"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2yiR3GrR3tXabm1bX2ZIQO","Paint Some Lines on It","spotify:artist:4EEiAmMxzm5scecrFnrTsX, spotify:artist:0rlt1LVNc5c7mAkdqpQ2hV","NAH, Givv","spotify:album:5bOTiHKiHrUxQP0rTirvTt","Woe","spotify:artist:4EEiAmMxzm5scecrFnrTsX","NAH","2014-08-13","https://i.scdn.co/image/ab67616d0000b273d8b90097130f444400966a28","1","1","108059","https://p.scdn.co/mp3-preview/4638886946cf1dfd7e10ea56cf49abe860c2bb3d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-26T23:41:04Z"
"spotify:track:5gSl4NQFZGZqMRmfICn3Sw","Rather Die","spotify:artist:4EEiAmMxzm5scecrFnrTsX, spotify:artist:0rlt1LVNc5c7mAkdqpQ2hV","NAH, Givv","spotify:album:5bOTiHKiHrUxQP0rTirvTt","Woe","spotify:artist:4EEiAmMxzm5scecrFnrTsX","NAH","2014-08-13","https://i.scdn.co/image/ab67616d0000b273d8b90097130f444400966a28","1","2","145583","https://p.scdn.co/mp3-preview/1a82abda40225dde415a4d9834094ffb2b2fd7dd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","20","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-26T23:41:04Z"
"spotify:track:4BRWVr0p6qeUd6bCJXpOP6","Knelt Over Body","spotify:artist:4EEiAmMxzm5scecrFnrTsX","NAH","spotify:album:5bOTiHKiHrUxQP0rTirvTt","Woe","spotify:artist:4EEiAmMxzm5scecrFnrTsX","NAH","2014-08-13","https://i.scdn.co/image/ab67616d0000b273d8b90097130f444400966a28","1","3","248849","https://p.scdn.co/mp3-preview/8c95086899080dc602971296c24a0092d0f5e6d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-26T23:41:04Z"
"spotify:track:7jVpmzT371LC6KhEvezHaE","They Out","spotify:artist:4EEiAmMxzm5scecrFnrTsX, spotify:artist:5xoEkpOdxDgQcLuan5VkEF","NAH, Prince Asshole","spotify:album:5bOTiHKiHrUxQP0rTirvTt","Woe","spotify:artist:4EEiAmMxzm5scecrFnrTsX","NAH","2014-08-13","https://i.scdn.co/image/ab67616d0000b273d8b90097130f444400966a28","1","4","103132","https://p.scdn.co/mp3-preview/3b3dfb3fbaf1c5027bb980ab59c781c20ba9c31a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","6","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-26T23:41:04Z"
"spotify:track:76oWCigTbVWEmfe05U6M45","Born","spotify:artist:4EEiAmMxzm5scecrFnrTsX","NAH","spotify:album:5bOTiHKiHrUxQP0rTirvTt","Woe","spotify:artist:4EEiAmMxzm5scecrFnrTsX","NAH","2014-08-13","https://i.scdn.co/image/ab67616d0000b273d8b90097130f444400966a28","1","5","119194","https://p.scdn.co/mp3-preview/e9301bb400250fc5a43cfa3bb3067c0b4cc8c821?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-26T23:41:04Z"
"spotify:track:1MOgtTdyWuS8zHwcb5U5kF","Punctured By","spotify:artist:4EEiAmMxzm5scecrFnrTsX","NAH","spotify:album:5bOTiHKiHrUxQP0rTirvTt","Woe","spotify:artist:4EEiAmMxzm5scecrFnrTsX","NAH","2014-08-13","https://i.scdn.co/image/ab67616d0000b273d8b90097130f444400966a28","1","6","262488","https://p.scdn.co/mp3-preview/f16034ebe776da59b87e5e29d6647280f5a0c96e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-26T23:41:04Z"
"spotify:track:57PRIgwjH2WG4vtL05hB0X","Lonely, Decelerating","spotify:artist:4EEiAmMxzm5scecrFnrTsX","NAH","spotify:album:5bOTiHKiHrUxQP0rTirvTt","Woe","spotify:artist:4EEiAmMxzm5scecrFnrTsX","NAH","2014-08-13","https://i.scdn.co/image/ab67616d0000b273d8b90097130f444400966a28","1","7","208041","https://p.scdn.co/mp3-preview/d5509f512d2a33eec4b65a7d06ac5967cf967c17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-26T23:41:04Z"
"spotify:track:4ywdgZrgfIPSHqL2Ez0Aox","Woe","spotify:artist:4EEiAmMxzm5scecrFnrTsX, spotify:artist:0rlt1LVNc5c7mAkdqpQ2hV","NAH, Givv","spotify:album:5bOTiHKiHrUxQP0rTirvTt","Woe","spotify:artist:4EEiAmMxzm5scecrFnrTsX","NAH","2014-08-13","https://i.scdn.co/image/ab67616d0000b273d8b90097130f444400966a28","1","8","82244","https://p.scdn.co/mp3-preview/72b5f2e19a7a81ff1335587a12f01503057adf99?cid=9950ac751e34487dbbe027c4fd7f8e99","true","4","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-26T23:41:04Z"
"spotify:track:3jLxDgFayw2p1XjNpn2zjk","Very Never Forever","spotify:artist:4EEiAmMxzm5scecrFnrTsX, spotify:artist:5vGLJtwp2hiS4x1h38cIKe","NAH, Tzii","spotify:album:5bOTiHKiHrUxQP0rTirvTt","Woe","spotify:artist:4EEiAmMxzm5scecrFnrTsX","NAH","2014-08-13","https://i.scdn.co/image/ab67616d0000b273d8b90097130f444400966a28","1","9","240656","https://p.scdn.co/mp3-preview/2ba0ddf740dc8a687e375ed16f3192f452d075ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-26T23:41:04Z"
"spotify:track:6BmyEBg7TpioghN6hTWuhm","INTRO","spotify:artist:4m0HRALRlPxbZp5SwvktFX","Cities Aviv","spotify:album:3OXxLVDoGaegIVCZn95lIc","Come To Life","spotify:artist:4m0HRALRlPxbZp5SwvktFX","Cities Aviv","2014-01-28","https://i.scdn.co/image/ab67616d0000b2731431e18e3661cc1e9c69abb5","1","1","125753","https://p.scdn.co/mp3-preview/e8ff8d8b28be59d29d4ba20ce077c57526b9bb72?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-06T15:32:08Z"
