"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0bxcUgWlOURkU6lZt4zog0","Locket","spotify:artist:4kSGbjWGxTchKpIxXPJv0B","Crumb","spotify:album:2Q61Zm3rOli876QegmVY50","Locket","spotify:artist:4kSGbjWGxTchKpIxXPJv0B","Crumb","2017-06-23","https://i.scdn.co/image/ab67616d0000b2736147b24815415ae922d2a88f","1","4","318378","https://p.scdn.co/mp3-preview/9dd2e34ad180cb46e40b1b11aca987b345a60372?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-30T03:01:18Z"
"spotify:track:0MfQGoXtkcfUXoUY7H14TT","Year of the Fly","spotify:artist:4xtjWWbch8NIdiDS6IeghC","Salvation","spotify:album:5uAfPnu7NRFpDGPb2X0EfI","Year of the Fly","spotify:artist:4xtjWWbch8NIdiDS6IeghC","Salvation","2019-11-22","https://i.scdn.co/image/ab67616d0000b27363e9d4eb477e3ea645f8a3f7","1","2","184840","https://p.scdn.co/mp3-preview/43372b06a17b20fc3f8a6b6f2d529aa476b67e40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-03T00:29:31Z"
"spotify:track:1CzagEt3BKgPOYjKTGdDKV","War","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","spotify:album:0ojQHzflxMs6SfvBBkRKt6","Ultra Mono","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","2020-09-25","https://i.scdn.co/image/ab67616d0000b273e9b124bbcd01f45fc07d2a1d","1","1","187451","https://p.scdn.co/mp3-preview/a7c0ab514b3493f7fdb9c26090f2adaa4b692fde?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-06T19:58:34Z"
"spotify:track:0KPIDoPwh8wPL06tgLfFuN","Malaria","spotify:artist:2YOXWWng2l3a1y9oqAWFgQ","Trvss","spotify:album:3ts1Ypz3zBs1omQY2Os9HK","New Distances","spotify:artist:2YOXWWng2l3a1y9oqAWFgQ","Trvss","2020-07-31","https://i.scdn.co/image/ab67616d0000b273f8602ede0d35da14a9af04d2","1","7","121414","https://p.scdn.co/mp3-preview/b74bcd9d9876057f7ace0f52194178e9041ceb19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-03T00:39:09Z"
"spotify:track:0AbjAtNjT1RAsFqcYn68Gp","Cuckold the Family Ghost","spotify:artist:5YB0PBvIdALzf0TWcaXt7U","Intercourse","spotify:album:31ZlwADJ04zpKu1MXsYAQn","Everything Is Pornography When You've Got an Imagination","spotify:artist:5YB0PBvIdALzf0TWcaXt7U","Intercourse","2018-03-17","https://i.scdn.co/image/ab67616d0000b273ac65d797b26c826a522ac41f","1","2","62601","https://p.scdn.co/mp3-preview/6cb483028b6cbcef07e53bbab56c967bbfda8515?cid=9950ac751e34487dbbe027c4fd7f8e99","true","3","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-03T00:41:19Z"
"spotify:track:0QSF5IoPej3Py8yCpCRx8L","El Sicko","spotify:artist:0BsGXcM4MKJRutqCTdSQXm","DANA","spotify:album:3X0LTXRpmmn4xBpStwLQE8","Glowing Auras & Black Money","spotify:artist:0BsGXcM4MKJRutqCTdSQXm","DANA","2019-09-27","https://i.scdn.co/image/ab67616d0000b27331fcbd3b5bdb8a7d78ab4573","1","3","191541","https://p.scdn.co/mp3-preview/1243b59f49092963e1e297552c753ce05ed47644?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-03T01:00:21Z"
"spotify:track:6DBDN2iPIs01mUg6wd8brm","Audubon Mass","spotify:artist:3nFQCIlvfYNHSOfGgVfemE","Bathe","spotify:album:1ogzK6dyy9Gpbg2OlnyWj6","A Field Guide to Dead Birds","spotify:artist:3nFQCIlvfYNHSOfGgVfemE","Bathe","2020-09-11","https://i.scdn.co/image/ab67616d0000b27319f16fe7b25acad534d0a43e","1","1","269158","https://p.scdn.co/mp3-preview/d53507b6fde5d3cfc153b0b33539a2cd666325dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-03T01:05:04Z"
"spotify:track:5DtN3qkW0FjI01nLJJ8uUj","Exposed Craw","spotify:artist:3nFQCIlvfYNHSOfGgVfemE","Bathe","spotify:album:1ogzK6dyy9Gpbg2OlnyWj6","A Field Guide to Dead Birds","spotify:artist:3nFQCIlvfYNHSOfGgVfemE","Bathe","2020-09-11","https://i.scdn.co/image/ab67616d0000b27319f16fe7b25acad534d0a43e","1","2","311125","https://p.scdn.co/mp3-preview/872111c0f61505274a85aadaefb43a6b7c3e1ee8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-03T01:05:04Z"
"spotify:track:3SwjpQNMyKbn1K8u1BveY3","Bird Kill","spotify:artist:3nFQCIlvfYNHSOfGgVfemE","Bathe","spotify:album:1ogzK6dyy9Gpbg2OlnyWj6","A Field Guide to Dead Birds","spotify:artist:3nFQCIlvfYNHSOfGgVfemE","Bathe","2020-09-11","https://i.scdn.co/image/ab67616d0000b27319f16fe7b25acad534d0a43e","1","3","155477","https://p.scdn.co/mp3-preview/18dacb9d38a0f43307b880392ee74e87464ea7c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-03T01:05:04Z"
"spotify:track:3o1nX61oecxnqXieA2ma0U","Terrible Lie","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","spotify:album:3umFHeEpc4yLXtrRcv9gLN","Pretty Hate Machine","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","1989-10-20","https://i.scdn.co/image/ab67616d0000b2739764c0993e45db213f0e359f","1","2","278866","https://p.scdn.co/mp3-preview/045bf1d6100e8d4148dcca7804c2e27aab426979?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-12T01:25:39Z"
