"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4mYpmNDyJv3HEl22hfrDnL","The Wolf Is Loose","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","spotify:album:1n8QZFcwx5aQ2LIIlj0iYe","Blood Mountain","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","2006-09-08","https://i.scdn.co/image/ab67616d0000b273abe244c2bab281947c3209cc","1","1","214160","https://p.scdn.co/mp3-preview/33cb35796a7a943dbfe3edaba9c71c8f7dd7b6b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-29T22:53:36Z"
"spotify:track:47FyQCd3TYLrZ9TU6MPaWK","Ace Of Spades","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","spotify:album:46a9whRz5DF0PC97HrZrqz","Ace Of Spades (Reissue - Expanded Bonus Track Edition)","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","1980-11-08","https://i.scdn.co/image/ab67616d0000b273dbb4a4384c36fb422b3f070a","1","1","166706","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-29T22:54:02Z"
"spotify:track:6b6uLZsoGhObYexIxnRbIb","Hangar 18 - Remastered 2004","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","spotify:album:0qaLL09EtF1hiUis7PRvaJ","Rust In Peace","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","1990-10-04","https://i.scdn.co/image/ab67616d0000b273be9fa5a89479b6af481938a0","1","2","311200","https://p.scdn.co/mp3-preview/5d599565f4b1a11a0ee8be4d74ae18f29262ed43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-29T22:54:15Z"
"spotify:track:30S4lZArzzALiKNc5pYb87","Live To Win","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","spotify:album:46a9whRz5DF0PC97HrZrqz","Ace Of Spades (Reissue - Expanded Bonus Track Edition)","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","1980-11-08","https://i.scdn.co/image/ab67616d0000b273dbb4a4384c36fb422b3f070a","1","4","214453","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-29T22:54:02Z"
"spotify:track:2c5Isyd07hWsl7AQia2Dig","Fast Lane","spotify:artist:77IURH5NC56Jn09QHi76is","Bad Meets Evil","spotify:album:5abCMGtyHwpOr9cEbwfP1P","Hell: The Sequel (Deluxe)","spotify:artist:77IURH5NC56Jn09QHi76is","Bad Meets Evil","2011-01-01","https://i.scdn.co/image/ab67616d0000b27359a1132f3cab22f80b2d2777","1","2","249560","https://p.scdn.co/mp3-preview/65534ec20092bc8682b25a60b5581c50056547d8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-29T23:05:36Z"
"spotify:track:1cuvBIEAnlBohQwQIjNQJn","Omen","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:3akffmhOpN4F45bXeW8BfO","Invaders Must Die","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","2009-10-09","https://i.scdn.co/image/ab67616d0000b273e6e21c4244bfdaffe303d2ba","1","2","215806","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-29T22:55:37Z"
"spotify:track:4LujRMTMwAfFKjm45tixHY","Straight Outta Compton","spotify:artist:4EnEZVjo3w1cwcQYePccay","N.W.A.","spotify:album:12UO1VN1TffieQyDyzjivp","Straight Outta Compton (2002 - Remaster)","spotify:artist:4EnEZVjo3w1cwcQYePccay","N.W.A.","1988-08-08","https://i.scdn.co/image/ab67616d0000b273bf8085a0bc48e82facb15555","1","1","259226","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-29T23:10:31Z"
"spotify:track:59pBA1HUMol92PIIeJ0h9F","Painkiller","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","spotify:album:7gxeenpzh6fCU4SyWCtSV5","Painkiller","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","1990","https://i.scdn.co/image/ab67616d0000b273251de59d39603affef9cd0f0","1","1","365826","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-29T23:02:19Z"
"spotify:track:47HuCEa5JRkHHbS6Sm3e1R","Love Me Like A Reptile","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","spotify:album:46a9whRz5DF0PC97HrZrqz","Ace Of Spades (Reissue - Expanded Bonus Track Edition)","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","1980-11-08","https://i.scdn.co/image/ab67616d0000b273dbb4a4384c36fb422b3f070a","1","2","200080","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-29T22:54:02Z"
"spotify:track:6mShyMcyCIIP4lbM63KmyS","Run With the Wolves","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:3akffmhOpN4F45bXeW8BfO","Invaders Must Die","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","2009-10-09","https://i.scdn.co/image/ab67616d0000b273e6e21c4244bfdaffe303d2ba","1","7","264614","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-29T23:18:13Z"
