"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0Kpat4BUpmwrXxDesajdus","Forest Fires (unknown virus 3.)","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","spotify:album:3hqPGbyxJ0vLKv3GFvvNgw","Cyber Cop [Unauthorized MP3.]","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","2018-11-30","https://i.scdn.co/image/ab67616d0000b27325768ac80bcf17eac5646cc6","1","3","127200","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-31T18:33:18Z"
"spotify:track:5crwe06Y5SeImrvd2gi5XG","Like Rats","spotify:artist:5A4ebXQf38xWIq0xSWLhsS","Godflesh","spotify:album:1BloguumODLJ2PKsP7dza6","Streetcleaner","spotify:artist:5A4ebXQf38xWIq0xSWLhsS","Godflesh","1989","https://i.scdn.co/image/ab67616d0000b273573b2cd0a7a964729be12e8f","1","1","269080","https://p.scdn.co/mp3-preview/74d58c99a75c912330b6ac08c01068c89c812129?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-31T18:33:54Z"
"spotify:track:309iQkCKxZMYsaHajSuah9","Image of Control (II)","spotify:artist:51yGpqOaCT6TlLzV3LefDV","Sumac","spotify:album:5WlPAv8CPivnen8o9QAJnP","What One Becomes","spotify:artist:51yGpqOaCT6TlLzV3LefDV","Sumac","2016-06-10","https://i.scdn.co/image/ab67616d0000b27313432e51d803d0aa9c86dd5e","1","2","359975","https://p.scdn.co/mp3-preview/a1388df07012c7fc02ff78126521d189918ddf9b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-28T19:44:11Z"
"spotify:track:5PV1EyOvniQzwcdUT4VzB3","Rigid Man (I)","spotify:artist:51yGpqOaCT6TlLzV3LefDV","Sumac","spotify:album:5WlPAv8CPivnen8o9QAJnP","What One Becomes","spotify:artist:51yGpqOaCT6TlLzV3LefDV","Sumac","2016-06-10","https://i.scdn.co/image/ab67616d0000b27313432e51d803d0aa9c86dd5e","1","3","323964","https://p.scdn.co/mp3-preview/a9cc3ad0b703b9924cc1119a0e42365ed74c2bc2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-28T19:44:14Z"
"spotify:track:2kK1qtarF9Ilip0dOBr6fc","The Fall","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","spotify:album:6pK142b1OANbpbyJ6XIuvo","Filth Pig","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","1996-01-26","https://i.scdn.co/image/ab67616d0000b273ad44567084d3f95921886dad","1","8","294533","https://p.scdn.co/mp3-preview/824b438695b652ad9b3f68962dc6c876b0cd3e49?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-31T18:33:34Z"
"spotify:track:1VCJN9y1WpGM1UA3mvP1LR","The Guardian","spotify:artist:4qRvtAdrXBBT0flfKrVmxG","Five Star Hotel","spotify:album:113KYCkSBJ4wMa497lShYS","Machine Girl / Five Star Hotel","spotify:artist:4qRvtAdrXBBT0flfKrVmxG, spotify:artist:17Vw9uuOYB7XYjPt0LNFN0","Five Star Hotel, Machine Girl","2016-10-31","https://i.scdn.co/image/ab67616d0000b2737709e08541d8827cb8eba85e","1","8","191160","https://p.scdn.co/mp3-preview/c368ba5e4f448d0966b1b9799bc69a64356aa62b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-09T03:27:02Z"
"spotify:track:5gsmirfX1SvzLPlLhXPJYi","Blackout","spotify:artist:3EgMK920cIH5aLxFnJ6zSi","Boris","spotify:album:2rRHqBhUioCssa9VHMRJYO","Pink (Deluxe Edition)","spotify:artist:3EgMK920cIH5aLxFnJ6zSi","Boris","2016-07-08","https://i.scdn.co/image/ab67616d0000b273258fe4bd5289c57dec0dfc66","1","5","289680","https://p.scdn.co/mp3-preview/64e4263828e23b89e81c2c9e23ddf6a635e4cfe1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-05T20:22:54Z"
"spotify:track:6SRhvzjVguhN0cgMXPgxVv","Embrace","spotify:artist:1i5rlthy5CmAYWaFOB0jhz","Full Of Hell","spotify:album:2ZPZB6SSLteZeXRuu0wEob","Rudiments of Mutilation","spotify:artist:1i5rlthy5CmAYWaFOB0jhz","Full Of Hell","2013-06-11","https://i.scdn.co/image/ab67616d0000b273669305544483b5392354f7f3","1","6","217772","https://p.scdn.co/mp3-preview/c67f9d594b3575d8608e28b23a997ab1abefa17a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-31T18:33:23Z"
"spotify:track:2acLc5ls1edbAt4WAdsx2F","Hexagoness Rising","spotify:artist:4qRvtAdrXBBT0flfKrVmxG","Five Star Hotel","spotify:album:67HkDyzyT4dS4cYAoM32xa","Open Wound","spotify:artist:4qRvtAdrXBBT0flfKrVmxG","Five Star Hotel","2018-12-07","https://i.scdn.co/image/ab67616d0000b2736b7d0914c4dea43e6e4e3a23","1","6","193250","https://p.scdn.co/mp3-preview/444059d1bc5a99de0b7a2eace6d45b037677df1b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-10T18:31:14Z"
"spotify:track:5wLiHXc41u32DmYz9SF5SB","Lethargy","spotify:artist:58d50jBQXhOetEGuSBgu64","Employed To Serve","spotify:album:5AvHoMHQFAVQ08cPuFLyYY","The Warmth of a Dying Sun","spotify:artist:58d50jBQXhOetEGuSBgu64","Employed To Serve","2017-05-19","https://i.scdn.co/image/ab67616d0000b273575a56d6d7bf191f4c05e9f8","1","4","240600","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-28T19:37:18Z"
