"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4dPe4UDCxCX41WS9L78aYW","Abodment","spotify:artist:0ZCbQOOfTwQacCamoOxx0D","Spawn of Possession","spotify:album:0Buany3y8swPfJXaYLeDA2","Incurso","spotify:artist:0ZCbQOOfTwQacCamoOxx0D","Spawn of Possession","2012-03-13","https://i.scdn.co/image/ab67616d0000b273fc25b48cb4baaa7fd071247e","1","1","98080","https://p.scdn.co/mp3-preview/1823123520b22836fabdb64559a8906e9c105995?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T18:36:51Z"
"spotify:track:6dlWHhp0U47m1vQW8YMrxe","Where Angels Go Demons Follow","spotify:artist:0ZCbQOOfTwQacCamoOxx0D","Spawn of Possession","spotify:album:0Buany3y8swPfJXaYLeDA2","Incurso","spotify:artist:0ZCbQOOfTwQacCamoOxx0D","Spawn of Possession","2012-03-13","https://i.scdn.co/image/ab67616d0000b273fc25b48cb4baaa7fd071247e","1","2","338373","https://p.scdn.co/mp3-preview/f73d498780c03f306efa1a4655f94263e15ea3e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T18:36:51Z"
"spotify:track:1uMVbk7lZGJgZmeRBrquo3","Bodiless Sleeper","spotify:artist:0ZCbQOOfTwQacCamoOxx0D","Spawn of Possession","spotify:album:0Buany3y8swPfJXaYLeDA2","Incurso","spotify:artist:0ZCbQOOfTwQacCamoOxx0D","Spawn of Possession","2012-03-13","https://i.scdn.co/image/ab67616d0000b273fc25b48cb4baaa7fd071247e","1","3","347400","https://p.scdn.co/mp3-preview/dfe14b29d6093ebfd5b2199c037aae7ff420b7f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T18:36:51Z"
"spotify:track:3qlgzTeObBORqBD8tCPhAZ","The Evangelist","spotify:artist:0ZCbQOOfTwQacCamoOxx0D","Spawn of Possession","spotify:album:0Buany3y8swPfJXaYLeDA2","Incurso","spotify:artist:0ZCbQOOfTwQacCamoOxx0D","Spawn of Possession","2012-03-13","https://i.scdn.co/image/ab67616d0000b273fc25b48cb4baaa7fd071247e","1","4","585520","https://p.scdn.co/mp3-preview/3a6a8bd64acebac30b6a4d9829289c6424f452e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T18:36:51Z"
"spotify:track:06q0FQCDqtraGub82u9DMW","Servitude of Souls","spotify:artist:0ZCbQOOfTwQacCamoOxx0D","Spawn of Possession","spotify:album:0Buany3y8swPfJXaYLeDA2","Incurso","spotify:artist:0ZCbQOOfTwQacCamoOxx0D","Spawn of Possession","2012-03-13","https://i.scdn.co/image/ab67616d0000b273fc25b48cb4baaa7fd071247e","1","5","271106","https://p.scdn.co/mp3-preview/0cfdc6c6b63737d36246a4694aee661de470cc8a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T18:36:51Z"
"spotify:track:4mUjGOzMI0ZUyjM4K303he","Deus Avertat","spotify:artist:0ZCbQOOfTwQacCamoOxx0D","Spawn of Possession","spotify:album:0Buany3y8swPfJXaYLeDA2","Incurso","spotify:artist:0ZCbQOOfTwQacCamoOxx0D","Spawn of Possession","2012-03-13","https://i.scdn.co/image/ab67616d0000b273fc25b48cb4baaa7fd071247e","1","6","338440","https://p.scdn.co/mp3-preview/705e1ec5048e08a1e180a3e7e48619a8e642e208?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T18:36:51Z"
"spotify:track:4n5NLDH8JX9VAWuVk83sb6","Spiritual Deception","spotify:artist:0ZCbQOOfTwQacCamoOxx0D","Spawn of Possession","spotify:album:0Buany3y8swPfJXaYLeDA2","Incurso","spotify:artist:0ZCbQOOfTwQacCamoOxx0D","Spawn of Possession","2012-03-13","https://i.scdn.co/image/ab67616d0000b273fc25b48cb4baaa7fd071247e","1","7","394173","https://p.scdn.co/mp3-preview/d5a2e1317e51cfe35a34728c45bd4b7594be0e67?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T18:36:51Z"
"spotify:track:3QzHXu2iayXLtN6WIR6dNg","No Light Spared","spotify:artist:0ZCbQOOfTwQacCamoOxx0D","Spawn of Possession","spotify:album:0Buany3y8swPfJXaYLeDA2","Incurso","spotify:artist:0ZCbQOOfTwQacCamoOxx0D","Spawn of Possession","2012-03-13","https://i.scdn.co/image/ab67616d0000b273fc25b48cb4baaa7fd071247e","1","8","277226","https://p.scdn.co/mp3-preview/2bc30bd02d7eba95720d725547adf6c225de6c88?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T18:36:51Z"
"spotify:track:54WcgqfWNZFIgk75tL4c1a","Apparition","spotify:artist:0ZCbQOOfTwQacCamoOxx0D","Spawn of Possession","spotify:album:0Buany3y8swPfJXaYLeDA2","Incurso","spotify:artist:0ZCbQOOfTwQacCamoOxx0D","Spawn of Possession","2012-03-13","https://i.scdn.co/image/ab67616d0000b273fc25b48cb4baaa7fd071247e","1","9","504840","https://p.scdn.co/mp3-preview/7cd09ae1f270d0f248cd64f15787d8acc2b997ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T18:36:51Z"
"spotify:track:3DOhLv6vrAdv7ZI1RWAwwf","Le Serment De Tsion","spotify:artist:51NIL49MVTWeXEC8LoVrQ0","First Fragment","spotify:album:58oTEzlYekVlexuT06UJ59","Dasein","spotify:artist:51NIL49MVTWeXEC8LoVrQ0","First Fragment","2016-05-20","https://i.scdn.co/image/ab67616d0000b2736dec7b4cb486369a77dbeba9","1","1","232013","https://p.scdn.co/mp3-preview/831da0f1a44ac98e541779c878668f3b097747c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T18:37:40Z"
