"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0Jlcvv8IykzHaSmj49uNW8","the 1","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:2fenSS68JI1h4Fo296JfGr","folklore","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-07-24","https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc","1","1","210251","https://p.scdn.co/mp3-preview/efebd9d9b761b7685da9264c637a1db1cd994f19?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-07-24T13:56:04Z"
"spotify:track:4R2kfaDFhslZEMJqAFNpdd","cardigan","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:2fenSS68JI1h4Fo296JfGr","folklore","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-07-24","https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc","1","2","239560","https://p.scdn.co/mp3-preview/7aa6b2b6bdf27b06171c7ceda476af5f2427ed4f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-07-24T13:56:04Z"
"spotify:track:2Eeur20xVqfUoM3Q7EFPFt","the last great american dynasty","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:2fenSS68JI1h4Fo296JfGr","folklore","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-07-24","https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc","1","3","230999","https://p.scdn.co/mp3-preview/f69342a1916e10fb283129fe0f051d75947b5c44?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-07-24T13:56:04Z"
"spotify:track:4pvb0WLRcMtbPGmtejJJ6y","exile (feat. Bon Iver)","spotify:artist:06HL4z0CvFAxyc27GXpf02, spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ","Taylor Swift, Bon Iver","spotify:album:2fenSS68JI1h4Fo296JfGr","folklore","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-07-24","https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc","1","4","285634","https://p.scdn.co/mp3-preview/b18c501a26b0df22304a662d9e36d1dcf9c046df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-07-24T13:56:04Z"
"spotify:track:1MgV7FIyNxIG7WzMRJV5HC","my tears ricochet","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:2fenSS68JI1h4Fo296JfGr","folklore","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-07-24","https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc","1","5","255893","https://p.scdn.co/mp3-preview/4a1d635bb0e0a185ee38de4a8b0ac4ff0b25b7e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-07-24T13:56:04Z"
"spotify:track:0ZNU020wNYvgW84iljPkPP","mirrorball","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:2fenSS68JI1h4Fo296JfGr","folklore","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-07-24","https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc","1","6","208977","https://p.scdn.co/mp3-preview/38ae99baf0f13ee9298832ca8258769532e4bab5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-07-24T13:56:04Z"
"spotify:track:6KJqZcs9XDgVck7Lg9QOTC","seven","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:2fenSS68JI1h4Fo296JfGr","folklore","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-07-24","https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc","1","7","208906","https://p.scdn.co/mp3-preview/18ef2bba58d7c73991c669984ae606402fbb9e17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-07-24T13:56:04Z"
"spotify:track:3hUxzQpSfdDqwM3ZTFQY0K","august","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:2fenSS68JI1h4Fo296JfGr","folklore","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-07-24","https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc","1","8","261922","https://p.scdn.co/mp3-preview/bdd773c753764b9942a002d8700eb001d339d6ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-07-24T13:56:04Z"
"spotify:track:7kt9e9LFSpN1zQtYEl19o1","this is me trying","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:2fenSS68JI1h4Fo296JfGr","folklore","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-07-24","https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc","1","9","195097","https://p.scdn.co/mp3-preview/e6008497e2463dda6a0155c1a1922e2f8279fd19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-07-24T13:56:04Z"
"spotify:track:2NmsngXHeC1GQ9wWrzhOMf","illicit affairs","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:2fenSS68JI1h4Fo296JfGr","folklore","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-07-24","https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc","1","10","190898","https://p.scdn.co/mp3-preview/f75aa162b0f737d0c598f8a8cdb0efc53d3f19f5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-07-24T13:56:04Z"
"spotify:track:6VsvKPJ4xjVNKpI8VVZ3SV","invisible string","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:2fenSS68JI1h4Fo296JfGr","folklore","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-07-24","https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc","1","11","252880","https://p.scdn.co/mp3-preview/d485161c302736cf97b30527fbfc21e27d5e94f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-07-24T13:56:04Z"
"spotify:track:2QDyYdZyhlP2fp79KZX8Bi","mad woman","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:2fenSS68JI1h4Fo296JfGr","folklore","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-07-24","https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc","1","12","237258","https://p.scdn.co/mp3-preview/b852d95b5513744c01ec695e93bcc33f025ecd7b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-07-24T13:56:04Z"
