"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:31M6kB16yl4F2Y82M7HrWa","Barbarian","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","spotify:album:1AxwLCMtx8rnIxkFQKU2LO","Dopethrone","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","2006","https://i.scdn.co/image/ab67616d0000b273d11797b2bfbfefe908e0ad92","1","4","389466","https://p.scdn.co/mp3-preview/d88f753004140a3a6e2dce8fcbb1511cbd86b2b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-15T07:19:32Z"
"spotify:track:1EOi3tXcxcLjarKZeLPWze","Cursing The One","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","spotify:album:0z61mrKPPxjoERi8ndZWia","Vænir","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","2015-04-28","https://i.scdn.co/image/ab67616d0000b273d8849d45e8fd34935059caf1","1","1","533914","https://p.scdn.co/mp3-preview/86283cb1886e4b92d2c44b000caca16a91645ace?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-15T06:59:56Z"
"spotify:track:21pZBpd9XgAmJQFnBeLIKV","Empress Rising","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","spotify:album:194RzRxGZNbgYLYcA6u2Fl","Empress Rising","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","2014-04-01","https://i.scdn.co/image/ab67616d0000b273db9638205e4d0fbe1624f034","1","1","739447","https://p.scdn.co/mp3-preview/b4481ef5727441551809e7f85ce97d11583e480d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-15T06:59:53Z"
"spotify:track:71l3qG9k5vc30vWN4p6HUa","Spasm","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:4ucDcX8iPgBKY9zAJyHOjy","Nothing","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2002-09-16","https://i.scdn.co/image/ab67616d0000b273980d62aa36e2aadcfe54acd8","1","8","254613","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-15T05:52:41Z"
"spotify:track:4kr3TSDNNOdv09snNWytEo","Like Rats","spotify:artist:5A4ebXQf38xWIq0xSWLhsS","Godflesh","spotify:album:5fRIh0Yk4eFLst6Nj7RUDF","Streetcleaner","spotify:artist:5A4ebXQf38xWIq0xSWLhsS","Godflesh","1989","https://i.scdn.co/image/ab67616d0000b2731fc7ea38110f5b153d9b7636","1","1","268400","https://p.scdn.co/mp3-preview/74f844ca9c6cc2198e57e84083e90513dd183757?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-15T07:08:19Z"
"spotify:track:309iQkCKxZMYsaHajSuah9","Image of Control (II)","spotify:artist:51yGpqOaCT6TlLzV3LefDV","Sumac","spotify:album:5WlPAv8CPivnen8o9QAJnP","What One Becomes","spotify:artist:51yGpqOaCT6TlLzV3LefDV","Sumac","2016-06-10","https://i.scdn.co/image/ab67616d0000b27313432e51d803d0aa9c86dd5e","1","2","359975","https://p.scdn.co/mp3-preview/a1388df07012c7fc02ff78126521d189918ddf9b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-15T07:03:48Z"
"spotify:track:7dU9Z24yR9AKuS9cAe2Tj7","Subjected to a Beating","spotify:artist:2DqzOWVL2ly48IA9bpZdie","Dying Fetus","spotify:album:6SGhbpz7boAiDk9CotSDSD","Reign Supreme","spotify:artist:2DqzOWVL2ly48IA9bpZdie","Dying Fetus","2012-06-19","https://i.scdn.co/image/ab67616d0000b27367c22e14a2f2adb1799f4748","1","2","293386","https://p.scdn.co/mp3-preview/125f5ae1d9e2fd4155cc407a285e33e661f0fd50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-15T05:51:59Z"
"spotify:track:0xEDgGdc8baGQLVOD6FuwM","Friends Are Evil","spotify:artist:1binm59tmJzoZLvLETVYBP","Jesu","spotify:album:6NR1JzFCsBrw4rexxJo8bK","Jesu","spotify:artist:1binm59tmJzoZLvLETVYBP","Jesu","2005","https://i.scdn.co/image/ab67616d0000b2730b82ef3d54c2473d4a95c358","1","2","583826","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-15T05:52:09Z"
"spotify:track:07ZVs9pwxRNkr6sRyiIeV0","Lava","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","spotify:album:6pK142b1OANbpbyJ6XIuvo","Filth Pig","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","1996-01-26","https://i.scdn.co/image/ab67616d0000b273ad44567084d3f95921886dad","1","3","390200","https://p.scdn.co/mp3-preview/1bd5590578a89480041ea034de84b95aa94faa0b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-15T05:53:20Z"
"spotify:track:4PHppm7v48ys7YrVelKSYq","ObZen","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:2x2VoPa1pG2jSElA73a9Xa","ObZen","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2008-03-07","https://i.scdn.co/image/ab67616d0000b2735ccc8b2dc988bafc68c55826","1","5","264413","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-15T06:59:21Z"
