"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:27bvwT6cm8AfEEGvi1Rg5J","A Lament","spotify:artist:1VFYpTpgmp7ANXqok2dTg3","The Body","spotify:album:3vRrTXRKeqF9eotYWzpOlZ","I've Seen All I Need To See","spotify:artist:1VFYpTpgmp7ANXqok2dTg3","The Body","2021-01-29","https://i.scdn.co/image/ab67616d0000b2738cc0a7e977fdb2d2be413044","1","1","354040","https://p.scdn.co/mp3-preview/97e957a7cd73f6c14b4358c6327d30a48b19c8f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-29T17:20:21Z"
"spotify:track:67gN8phJeJKeeFw35xRrwm","Tied Up and Locked In","spotify:artist:1VFYpTpgmp7ANXqok2dTg3","The Body","spotify:album:3vRrTXRKeqF9eotYWzpOlZ","I've Seen All I Need To See","spotify:artist:1VFYpTpgmp7ANXqok2dTg3","The Body","2021-01-29","https://i.scdn.co/image/ab67616d0000b2738cc0a7e977fdb2d2be413044","1","2","175880","https://p.scdn.co/mp3-preview/b4c971853f049f11594fbf1fbddee979040eb9ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-29T17:20:21Z"
"spotify:track:5VVCm65tiLgn1rcoZP6sHT","Eschatological Imperative","spotify:artist:1VFYpTpgmp7ANXqok2dTg3","The Body","spotify:album:3vRrTXRKeqF9eotYWzpOlZ","I've Seen All I Need To See","spotify:artist:1VFYpTpgmp7ANXqok2dTg3","The Body","2021-01-29","https://i.scdn.co/image/ab67616d0000b2738cc0a7e977fdb2d2be413044","1","3","277093","https://p.scdn.co/mp3-preview/d8128e41334f3bce56431aebd93674c7d697af5a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-29T17:20:21Z"
"spotify:track:5o6wW5pr5qfRteNCeIeGCu","A Pain of Knowing","spotify:artist:1VFYpTpgmp7ANXqok2dTg3","The Body","spotify:album:3vRrTXRKeqF9eotYWzpOlZ","I've Seen All I Need To See","spotify:artist:1VFYpTpgmp7ANXqok2dTg3","The Body","2021-01-29","https://i.scdn.co/image/ab67616d0000b2738cc0a7e977fdb2d2be413044","1","4","340293","https://p.scdn.co/mp3-preview/946520d5aedcd28a7a1e178efe5d74eaccf5ff89?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-29T17:20:21Z"
"spotify:track:0gWiyyHV6b2M7bo26Vz0wK","The City Is Shelled","spotify:artist:1VFYpTpgmp7ANXqok2dTg3","The Body","spotify:album:3vRrTXRKeqF9eotYWzpOlZ","I've Seen All I Need To See","spotify:artist:1VFYpTpgmp7ANXqok2dTg3","The Body","2021-01-29","https://i.scdn.co/image/ab67616d0000b2738cc0a7e977fdb2d2be413044","1","5","338866","https://p.scdn.co/mp3-preview/202d50bc4637b7da2e7baf29e8ef6629969b0a01?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-29T17:20:21Z"
"spotify:track:2GBCbWqJtrcMTecGmrUUG1","They Are Coming","spotify:artist:1VFYpTpgmp7ANXqok2dTg3","The Body","spotify:album:3vRrTXRKeqF9eotYWzpOlZ","I've Seen All I Need To See","spotify:artist:1VFYpTpgmp7ANXqok2dTg3","The Body","2021-01-29","https://i.scdn.co/image/ab67616d0000b2738cc0a7e977fdb2d2be413044","1","6","284280","https://p.scdn.co/mp3-preview/d7cab0c6e72b671af17ccc030771718107686628?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-29T17:20:21Z"
"spotify:track:3ONAvsDPBh3OXZWXw4eckX","The Handle/The Blade","spotify:artist:1VFYpTpgmp7ANXqok2dTg3","The Body","spotify:album:3vRrTXRKeqF9eotYWzpOlZ","I've Seen All I Need To See","spotify:artist:1VFYpTpgmp7ANXqok2dTg3","The Body","2021-01-29","https://i.scdn.co/image/ab67616d0000b2738cc0a7e977fdb2d2be413044","1","7","218560","https://p.scdn.co/mp3-preview/9cfb8a5c8cc6137d7a81087b43dd61ee3fb8c837?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-29T17:20:21Z"
"spotify:track:1Gw3DFXIdd7pf9bIQvy7Uu","Path of Failure","spotify:artist:1VFYpTpgmp7ANXqok2dTg3","The Body","spotify:album:3vRrTXRKeqF9eotYWzpOlZ","I've Seen All I Need To See","spotify:artist:1VFYpTpgmp7ANXqok2dTg3","The Body","2021-01-29","https://i.scdn.co/image/ab67616d0000b2738cc0a7e977fdb2d2be413044","1","8","308040","https://p.scdn.co/mp3-preview/b2a19e1715cebf01cc4b24ad22bbac75cfcffa55?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-29T17:20:21Z"
"spotify:track:75JzHXVcgT6n0EzmRgiEyU","Starved","spotify:artist:0eCB2pwtPnLywA4rxe4i4N","Gatecreeper","spotify:album:2NogIcQswwxbp1nlgfwgSw","An Unexpected Reality","spotify:artist:0eCB2pwtPnLywA4rxe4i4N","Gatecreeper","2021-01-13","https://i.scdn.co/image/ab67616d0000b273da369e48e8eeafe87025d25f","1","1","63484","https://p.scdn.co/mp3-preview/95815485a921c20fa1b74201616f0a764005d710?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-25T16:49:51Z"
"spotify:track:2F7pSkiJtQ9PaQjPz0tzfI","Sick of Being Sober","spotify:artist:0eCB2pwtPnLywA4rxe4i4N","Gatecreeper","spotify:album:2NogIcQswwxbp1nlgfwgSw","An Unexpected Reality","spotify:artist:0eCB2pwtPnLywA4rxe4i4N","Gatecreeper","2021-01-13","https://i.scdn.co/image/ab67616d0000b273da369e48e8eeafe87025d25f","1","2","58634","https://p.scdn.co/mp3-preview/56d82d17eea71ad646a54d1c14a68b30ba1273c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-25T16:49:51Z"
