"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2znJImPhsEV8FhHI4Xzxoc","Chauvinist","spotify:artist:2bpwFx2J3v4WxY4awDIPHd","Levels","spotify:album:6hRnrYQSZOKd8msauQCChA","Chauvinist","spotify:artist:2bpwFx2J3v4WxY4awDIPHd","Levels","2020-11-13","https://i.scdn.co/image/ab67616d0000b27333cfae9ab012279d7f28d226","1","1","193557","https://p.scdn.co/mp3-preview/1533c3e4faf8f40f83fbe03545b1318fb33088e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-25T20:50:57Z"
"spotify:track:4pCvnGkf7jveRMKHZosxxB","Edge","spotify:artist:4aKdmOXdUKX07HVd3sGgzw","Rezz","spotify:album:52vZKQID1SqrbDnzE0Je5K","The Silence Is Deafening","spotify:artist:4aKdmOXdUKX07HVd3sGgzw","Rezz","2016-01-22","https://i.scdn.co/image/ab67616d0000b2736859e3779b466ae08ffa2ff4","1","2","223886","https://p.scdn.co/mp3-preview/7eb3435223dc23d96bb6e95bd0fea7c2a4c4102f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-03T23:52:17Z"
"spotify:track:0fYRtkKlkSjTWjPtdTGGCI","Svårmodes bisynnalie makt","spotify:artist:5Fpas9AdEPn31dZ770DOgl","Nårdegaist","spotify:album:3FZwEcnEdVV186OBUzuMwH","Haimganggsringgninggi","spotify:artist:5Fpas9AdEPn31dZ770DOgl","Nårdegaist","2020-12-21","https://i.scdn.co/image/ab67616d0000b2733ff363384696c76457fdbcaa","1","3","470840","https://p.scdn.co/mp3-preview/20c82690bfa210aa5214b6c4086b43cb2bc8f0ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-10T23:16:56Z"
"spotify:track:72N9yy0ntH6OWzmxZRDhlQ","All at Once","spotify:artist:4NfvOU2TMtQhyBOW0erSDf","Matt Cameron","spotify:album:1cHCZKA4VkQnvZZXbXkAux","Cavedweller","spotify:artist:4NfvOU2TMtQhyBOW0erSDf","Matt Cameron","2017-09-22","https://i.scdn.co/image/ab67616d0000b2736d982b4bc99489e80123847c","1","2","212755","https://p.scdn.co/mp3-preview/dc8c5bbcddfcb975ccbd973a3ef9f096f162ce08?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-10T20:18:22Z"
"spotify:track:2DwN99S3TxwTm8MVhajiR2","TKO (feat. Rye Rye & Zion I)","spotify:artist:1JPy5PsJtkhftfdr6saN2i, spotify:artist:0S05AeePINj4CeTVMfysIu, spotify:artist:3LLs28LJVlXAjWc8UDkcQZ","Bassnectar, Rye Rye, Zion I","spotify:album:1mDhGuzHtRh0Bm9oraRmzE","Unlimited","spotify:artist:1JPy5PsJtkhftfdr6saN2i","Bassnectar","2016-06-17","https://i.scdn.co/image/ab67616d0000b27338f3ec43683dc0c04d64d5a9","1","3","158352","https://p.scdn.co/mp3-preview/5275533a9794bc0782b0cca4161f2a3a2cda75be?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-10T21:57:55Z"
"spotify:track:63PLy3xY93Nf3F1uHZWnj5","Burrow Below","spotify:artist:4QtqJ5KVIhBruJWEhWjnsv","Author & Punisher","spotify:album:4tqN4hO7hnboeQG4VE0JFl","Drone Machines","spotify:artist:4QtqJ5KVIhBruJWEhWjnsv","Author & Punisher","2010-02-15","https://i.scdn.co/image/ab67616d0000b273a3072ad72e4cff4c3178c5d0","1","2","470584","https://p.scdn.co/mp3-preview/15b3e0f6cccce246aad50964f5fb9a445616c69e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-10T23:51:48Z"
"spotify:track:4kJHxSrzUA9qmYGU6fDHk3","Krystle - URL Cyber Palace Mix","spotify:artist:17Vw9uuOYB7XYjPt0LNFN0","Machine Girl","spotify:album:1xbcqJ0EAMxyGyffMzO8rL","Wlfgrl","spotify:artist:17Vw9uuOYB7XYjPt0LNFN0","Machine Girl","2014-02-17","https://i.scdn.co/image/ab67616d0000b273c5b1bba9b35324a557cc33bc","1","3","216058","https://p.scdn.co/mp3-preview/286ae7a4dac143b51084d5a0f143000cdd85e642?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-15T02:28:43Z"
"spotify:track:1ZnnzaRXxiftFeQRe0aNH6","Crone Dance","spotify:artist:34gLicNdz493863yZTanvC, spotify:artist:4KoZpKiPeX4jIi7Euwcfuo","Emma Ruth Rundle, Thou","spotify:album:4EQDCy8uLrIRtHqkxhFe3n","The Helm of Sorrow","spotify:artist:34gLicNdz493863yZTanvC, spotify:artist:4KoZpKiPeX4jIi7Euwcfuo","Emma Ruth Rundle, Thou","2021-01-15","https://i.scdn.co/image/ab67616d0000b2732457175fc59bfed88acbffbd","1","2","357373","https://p.scdn.co/mp3-preview/b99d67320565179b05928d67c423308509cd28df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-16T19:45:32Z"
"spotify:track:2N3UYf8nLNX1OOVI4UjQ8V","Funeral Pyre","spotify:artist:7xTo7ipdBZezIoyAkmcRge","Tribulation","spotify:album:7h4leDSAoQ8pFWKplNP4rG","Funeral Pyre","spotify:artist:7xTo7ipdBZezIoyAkmcRge","Tribulation","2021-01-15","https://i.scdn.co/image/ab67616d0000b273f9415996112c902b5a685a95","1","1","262280","https://p.scdn.co/mp3-preview/3ec3373e0ddd91f368c89250faf10a50459ef974?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-16T20:00:31Z"
"spotify:track:0bxcUgWlOURkU6lZt4zog0","Locket","spotify:artist:4kSGbjWGxTchKpIxXPJv0B","Crumb","spotify:album:2Q61Zm3rOli876QegmVY50","Locket","spotify:artist:4kSGbjWGxTchKpIxXPJv0B","Crumb","2017-06-23","https://i.scdn.co/image/ab67616d0000b2736147b24815415ae922d2a88f","1","4","318378","https://p.scdn.co/mp3-preview/9dd2e34ad180cb46e40b1b11aca987b345a60372?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-16T20:12:55Z"
"spotify:track:0aVs2qBfWT24EM0zrQkstn","The Free Design","spotify:artist:3Rj0tDHoX7C5NFq5DKIpHt","Stereolab","spotify:album:0n95ZoggN6kIlKXm9i82lG","Cobra And Phases Group Play Voltage In The Milky Night (Expanded Edition)","spotify:artist:3Rj0tDHoX7C5NFq5DKIpHt","Stereolab","1999","https://i.scdn.co/image/ab67616d0000b273bbd9e8e18f9960a6af7dee06","1","3","227946","https://p.scdn.co/mp3-preview/f8b35b29bb080a82596f41821e3da9ede5931f31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-16T20:12:47Z"
"spotify:track:0hH154tuA2DSZT3DiWQL6N","Electric Machine","spotify:artist:0PK6ewFU4DbFB8Eqr58Sct","Acid King","spotify:album:1EKnUtlrqGQiz44ipzoWvZ","Busse Woods","spotify:artist:0PK6ewFU4DbFB8Eqr58Sct","Acid King","1999-09-03","https://i.scdn.co/image/ab67616d0000b273f36a652e21b71733b8d022e0","1","1","384866","https://p.scdn.co/mp3-preview/e338ede76ab306842534dbdfa079c29d77bfe03a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-17T17:27:43Z"
"spotify:track:0qe9s6s04DZYBwpFYoxp0K","Intergalaktický Pasák","spotify:artist:721o1Z0J6jQupyzLt9RnEk, spotify:artist:0p0OrTiqWgdg8OmoKPzW0s","Yzomandias, Lofty305","spotify:album:1aTPJlYRWEuQaudXSzdfKM","Starship: Oblivion","spotify:artist:721o1Z0J6jQupyzLt9RnEk, spotify:artist:0p0OrTiqWgdg8OmoKPzW0s","Yzomandias, Lofty305","2017-09-12","https://i.scdn.co/image/ab67616d0000b27321f667a6bd5ca445156cdd66","1","3","148293","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-19T08:38:47Z"
"spotify:track:611WshW3yQKLCQ2pTCOii4","Screaming","spotify:artist:4G9wSdX0klmoHfjm9i6DLd","Loathe","spotify:album:6nUUV3haj8ug8okTmOyIU2","I Let It in and It Took Everything","spotify:artist:4G9wSdX0klmoHfjm9i6DLd","Loathe","2020-02-07","https://i.scdn.co/image/ab67616d0000b273101232ffd5af0e3c37e2c528","1","8","354640","https://p.scdn.co/mp3-preview/a04571d4e6f1ae8b682d5d73403e8a04298e17a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-25T04:43:50Z"
