"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6rxUl3tyVMZUaKq5J7gZug","Looking Like Meat","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I, spotify:artist:5KuuNGYTUTokLerXMNYCGL","clipping., Ho99o9","spotify:album:0b1q9se93BEqBl3kiltn33","Visions of Bodies Being Burned","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","2020-10-23","https://i.scdn.co/image/ab67616d0000b273b63780c667c5cc123273294b","1","11","209525","https://p.scdn.co/mp3-preview/a8e64c2f1a8a2e40fe8dd0f5296e8a6156d8700d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-18T06:38:44Z"
"spotify:track:2dh2V6k9qU1FhQ2ZmTIdcg","Corduroy","spotify:artist:5v2WhpA59TJSdPh7LCx1lN","BONES","spotify:album:0TCNncLeqqeEm8s6xN9SjB","Garbage","spotify:artist:5v2WhpA59TJSdPh7LCx1lN","BONES","2014-06-14","https://i.scdn.co/image/ab67616d0000b27346ae55def08e3ad55d04782d","1","10","143386","https://p.scdn.co/mp3-preview/6e0949f7d635bdb40ac4bdd13e3244d7c69a18e4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-06T00:48:31Z"
"spotify:track:6M1QxOSjcCBCNnS7GSjd1o","Take_it_Back_v2","spotify:artist:6fxyWrfmjcbj5d12gXeiNV, spotify:artist:1rHOtdmGNr5vcYNw5v7QGC","Denzel Curry, Kenny Beats","spotify:album:5LsyqeWryTmxsmda4xkm5a","UNLOCKED","spotify:artist:6fxyWrfmjcbj5d12gXeiNV, spotify:artist:1rHOtdmGNr5vcYNw5v7QGC","Denzel Curry, Kenny Beats","2020-02-07","https://i.scdn.co/image/ab67616d0000b273922a12ba0b5a66f034dc9959","1","2","169466","https://p.scdn.co/mp3-preview/c2e6e64692d2bec357178432e78a05a4d9c7441e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-06T00:48:31Z"
"spotify:track:1dDgucIs82EtZGLHwiwcQT","GXLD","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","spotify:album:2AIiO9kxHJWl2MBRaSEOKh","IMMXRTALISATIXN","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","2019-10-04","https://i.scdn.co/image/ab67616d0000b2730226265389808101b8bd9959","1","13","199084","https://p.scdn.co/mp3-preview/e6503d47991ece450a3215c91aa4a36626a7ec89?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-11-12T00:32:27Z"
"spotify:track:3cy5kSb3ZxYKoPg3WRgQoT","we waste time FADED","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","spotify:album:09EUyV2T88hIcIBnlNyrNF","DXXM","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","2018-05-04","https://i.scdn.co/image/ab67616d0000b273d31792abc205d3349c1aa98b","1","5","147428","https://p.scdn.co/mp3-preview/341bbc034ced9a91698f2446583f5c6364d691f8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-09-21T19:03:22Z"
"spotify:track:178qBJGLw1AqOwOwotm9jC","Grayscale","spotify:artist:1VPmR4DJC1PlOtd0IADAO0, spotify:artist:2IeTSgjbzgX2BpItw2BOHa, spotify:artist:0roRnStSzF1uet2JvSM6U3, spotify:artist:3H6CaRooDAoCeRCpYwOXj2","$uicideboy$, JGRXXN, Black Smurf, Ramirez","spotify:album:1Jl1rFO3sAnlrqOtzU8Ypc","Dark Side Of The Clouds","spotify:artist:1VPmR4DJC1PlOtd0IADAO0","$uicideboy$","2016-02-03","https://i.scdn.co/image/ab67616d0000b27375242c7b966727875002ab9e","1","10","214230","","true","8","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-06T00:48:31Z"
"spotify:track:5iYsOFFm9jqytWpIOTzI2i","In A Grave","spotify:artist:5jh7sgXW2njALiIh0aPXjB, spotify:artist:6fxyWrfmjcbj5d12gXeiNV, spotify:artist:18ca9d5EU5R1AhVKPR1cm0, spotify:artist:4kANxfLenUobb7t5fHSrgA","Show Me the Body, Denzel Curry, Eartheater, Moor Mother","spotify:album:3sR99ifBBjElpRmIGkstcm","Corpus I","spotify:artist:5jh7sgXW2njALiIh0aPXjB","Show Me the Body","2017-03-24","https://i.scdn.co/image/ab67616d0000b2732fd250e2666e6bfb0ea19c68","1","5","163153","https://p.scdn.co/mp3-preview/29f28b57810feed9b30915db7104f74a7ab84c3d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-06T00:48:31Z"
"spotify:track:7fHqVBM914EJjzujOnUBFz","Bone Collector","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","spotify:album:1nZ6KcrNVpW85ajKHF1xoY","Bone Collector","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","2014-09-02","https://i.scdn.co/image/ab67616d0000b27341c8401ff35e219416ace858","1","1","174403","https://p.scdn.co/mp3-preview/b9a2be7e4ff19a176f8e5109536332c9bef4c2eb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-01-23T15:59:42Z"
"spotify:track:08zAFXhfyIxq9359NHksdP","Do Not Disturb (feat. Lil Yachty & Offset)","spotify:artist:21dooacK2WGBB5amYvKyfM, spotify:artist:3CbYyyd8wH3RT6t0jwpdzC, spotify:artist:6icQOAFXDZKsumw3YXyusw, spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW","Smokepurpp, Murda Beatz, Lil Yachty, Offset","spotify:album:4TkHHAIfecWUcXszJK9tYZ","Bless Yo Trap","spotify:artist:21dooacK2WGBB5amYvKyfM, spotify:artist:3CbYyyd8wH3RT6t0jwpdzC","Smokepurpp, Murda Beatz","2018-04-13","https://i.scdn.co/image/ab67616d0000b2733b57933ef0741e4241635fcd","1","3","157557","https://p.scdn.co/mp3-preview/db3ec86d12738013621038960c0e813352ee7b50?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-11-03T03:43:54Z"
"spotify:track:4VsMart0lkjUtyQnmxloK6","$outh $ide $uicide","spotify:artist:1VPmR4DJC1PlOtd0IADAO0, spotify:artist:4nXOZlYoAD67hF9aUEncMY","$uicideboy$, Pouya","spotify:album:4c883HVf99qEtZNFzprNli","High Tide In The Snake's Nest","spotify:artist:1VPmR4DJC1PlOtd0IADAO0","$uicideboy$","2015-06-15","https://i.scdn.co/image/ab67616d0000b273bbd2c3fb76c9c0e8aeca82ed","1","3","169319","","true","26","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-12T18:43:02Z"
