"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6jIKMPCGRHvQ1ItBMtgacH","Servant of This Sentience - Instrumental","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","spotify:album:68HA4PAyBhiXPPkA6BbhTK","Ultu Ulla (Instrumental)","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","2020-07-03","https://i.scdn.co/image/ab67616d0000b2739a6bfd9c476c7197e0b1c3bf","1","1","256519","https://p.scdn.co/mp3-preview/418fc46c19ce0ea610d950327f1067b30988ed6c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-01T14:42:18Z"
"spotify:track:79kRZSZ84KnYiSeWhDLx6S","Parallel Shift - Instrumental","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","spotify:album:68HA4PAyBhiXPPkA6BbhTK","Ultu Ulla (Instrumental)","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","2020-07-03","https://i.scdn.co/image/ab67616d0000b2739a6bfd9c476c7197e0b1c3bf","1","2","229466","https://p.scdn.co/mp3-preview/3a523a6586ec8108344de9cbe1910fea53ab1a80?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-01T14:42:18Z"
"spotify:track:7EIVKaFNN5U6Dk7aJcgh9Q","Unhallowed - Instrumental","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","spotify:album:68HA4PAyBhiXPPkA6BbhTK","Ultu Ulla (Instrumental)","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","2020-07-03","https://i.scdn.co/image/ab67616d0000b2739a6bfd9c476c7197e0b1c3bf","1","3","61200","https://p.scdn.co/mp3-preview/aee42274f504f2f679f3dc51321bfc71aa076834?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-01T14:42:18Z"
"spotify:track:1Xpx3MVfVabHW0pVptEeX3","Immemorial Essence - Instrumental","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","spotify:album:68HA4PAyBhiXPPkA6BbhTK","Ultu Ulla (Instrumental)","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","2020-07-03","https://i.scdn.co/image/ab67616d0000b2739a6bfd9c476c7197e0b1c3bf","1","4","284026","https://p.scdn.co/mp3-preview/ce2ac45601cb45767656e05dbe0ccd6c612e051b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-01T14:42:18Z"
"spotify:track:1i0TSBFSgKxpAVs4vsdKaN","The Relic - Instrumental","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","spotify:album:68HA4PAyBhiXPPkA6BbhTK","Ultu Ulla (Instrumental)","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","2020-07-03","https://i.scdn.co/image/ab67616d0000b2739a6bfd9c476c7197e0b1c3bf","1","5","288080","https://p.scdn.co/mp3-preview/43bc7819e0321916860463748c2ee4b0066adec3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-01T14:42:18Z"
"spotify:track:1SFFB2cmOVPe62T7rjeQ2j","Margidda - Instrumental","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","spotify:album:68HA4PAyBhiXPPkA6BbhTK","Ultu Ulla (Instrumental)","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","2020-07-03","https://i.scdn.co/image/ab67616d0000b2739a6bfd9c476c7197e0b1c3bf","1","6","300746","https://p.scdn.co/mp3-preview/772008af5a3cd7f7abd18757586032520b9a7a55?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-01T14:42:18Z"
"spotify:track:1D4lFQv5Jep78iWdmU5dcv","Harvest - Instrumental","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","spotify:album:68HA4PAyBhiXPPkA6BbhTK","Ultu Ulla (Instrumental)","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","2020-07-03","https://i.scdn.co/image/ab67616d0000b2739a6bfd9c476c7197e0b1c3bf","1","7","254840","https://p.scdn.co/mp3-preview/89fa075cb7f567b327ca1ba8329889ccaa5e5e2d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-01T14:42:18Z"
"spotify:track:1ubMlas39A3uUyHahFzX4c","The Macrocosm - Instrumental","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","spotify:album:68HA4PAyBhiXPPkA6BbhTK","Ultu Ulla (Instrumental)","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","2020-07-03","https://i.scdn.co/image/ab67616d0000b2739a6bfd9c476c7197e0b1c3bf","1","8","380586","https://p.scdn.co/mp3-preview/c856f6b2d1c036f42b8137512aaa87da8f52d2bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-01T14:42:18Z"
"spotify:track:1Xm9rQG00fg9XaTDsfVIoe","Prognosis Confirmed - Instrumental","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","spotify:album:68HA4PAyBhiXPPkA6BbhTK","Ultu Ulla (Instrumental)","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","2020-07-03","https://i.scdn.co/image/ab67616d0000b2739a6bfd9c476c7197e0b1c3bf","1","9","234666","https://p.scdn.co/mp3-preview/0067aa4e2dc44a3c21fa2538f048abd70ba8e4ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-01T14:42:18Z"
"spotify:track:3otBYzDPPk5kVviBf9HZ2b","Inadequate - Instrumental","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","spotify:album:68HA4PAyBhiXPPkA6BbhTK","Ultu Ulla (Instrumental)","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","2020-07-03","https://i.scdn.co/image/ab67616d0000b2739a6bfd9c476c7197e0b1c3bf","1","10","237706","https://p.scdn.co/mp3-preview/d0203434d77df6a43eb3c8b4e1debd51c66d42d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-01T14:42:18Z"
"spotify:track:0YyxQK7WdWszsHgrbFM4rZ","Empress Rising - Instrumental","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","spotify:album:6qXRk50HsU3sTuhwhnjkNO","Empress Rising (Instrumental)","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","2020-05-01","https://i.scdn.co/image/ab67616d0000b273e5b3a90b8bb7ab117b50d10c","1","1","740222","https://p.scdn.co/mp3-preview/94d22b57a1204da3162323be7ca576bc7a5b99c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-01T14:43:11Z"
"spotify:track:34D9sma1lALwPgK3azYxzE","Audhumbla - Instrumental","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","spotify:album:6qXRk50HsU3sTuhwhnjkNO","Empress Rising (Instrumental)","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","2020-05-01","https://i.scdn.co/image/ab67616d0000b273e5b3a90b8bb7ab117b50d10c","1","2","442887","https://p.scdn.co/mp3-preview/8860b3511c87d542f8f85a843b636b5da68f3c9c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-01T14:43:11Z"
"spotify:track:5om3r2F9tX6QWscHWX6kfb","Harbinger of Death - Instrumental","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","spotify:album:6qXRk50HsU3sTuhwhnjkNO","Empress Rising (Instrumental)","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","2020-05-01","https://i.scdn.co/image/ab67616d0000b273e5b3a90b8bb7ab117b50d10c","1","3","514675","https://p.scdn.co/mp3-preview/483fee786d183e1bfab359a7a3eb97d7edc26b1b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-01T14:43:11Z"
