"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0qnTV9LmMYBOyzsEPNvvTR","Every Little Twist","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","spotify:album:2CtG0KacG7ZYR6PL5dD1jA","Whales and Leeches (Deluxe Version)","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","2013-10-15","https://i.scdn.co/image/ab67616d0000b2739122d59f5e5946c957d60086","1","11","284040","https://p.scdn.co/mp3-preview/887d05f35e2c9f88c877269e731fb14dbaf491d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-02-11T21:31:11Z"
"spotify:track:59fKNCUMTncSMICMNqT2in","A Christmas Fucking Miracle","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","spotify:album:0hVXUOlozgihW44G4Il0Gu","Run the Jewels","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","2014-09-16","https://i.scdn.co/image/ab67616d0000b273dd51327be67c3bacb88fb543","1","10","261440","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-01-11T20:03:59Z"
"spotify:track:1O5pf5R8xvppS2pD03HVy5","May-December","spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO","Mos Def","spotify:album:5gK2l2LgWY0BA4p9uy27z6","Black On Both Sides","spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO","Mos Def","1999-10-12","https://i.scdn.co/image/ab67616d0000b27389b56f56323925d57b38944d","1","17","209066","https://p.scdn.co/mp3-preview/990e9ade5bbfc7b2ea0998c4bee0d3747ac7131d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-01-11T20:04:02Z"
"spotify:track:2x90KgJooOCuHD8Llz2WS9","My Last Words - Remastered","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","spotify:album:4PqSk2iBHnsYQK0ecXjS9k","Peace Sells...But Who's Buying (25th Anniversary)","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","1986","https://i.scdn.co/image/ab67616d0000b2730f783e735d0f43f071109a90","1","8","289000","https://p.scdn.co/mp3-preview/8a4cd1e48e510e28d029ce62864ce4bab851a152?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-01-11T20:04:17Z"
"spotify:track:5ZjfvGPEW7AZ00QZR2XQBJ","P.L.U.C.K.","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","spotify:album:3sSfjX4fhZonjyZ10x0l0f","System Of A Down","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","1998","https://i.scdn.co/image/ab67616d0000b2732dc63e977bd5101072adcef6","1","13","217133","https://p.scdn.co/mp3-preview/5c2df0729e8da858a08ba2addc663e20bd99856c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-01-11T20:04:17Z"
"spotify:track:0qXbFmhzQFxvLrgBUOMNG2","Knights Of Cydonia","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:6774wNM8F0LybUTbE04zHp","Black Holes And Revelations (US Only Version)","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2006-06-28","https://i.scdn.co/image/ab67616d0000b273db9c6c1b246723c2642bcd17","1","11","367306","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-01-11T20:04:17Z"
"spotify:track:4QcVK3Xfoty7fo7h1LAqsn","Masamune","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","spotify:album:65ysofnCsBkpZnlu1FvBXG","Periphery II","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","2012-07-03","https://i.scdn.co/image/ab67616d0000b273a62553d180c1e2f075e4b27a","1","14","369053","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-01-11T20:04:17Z"
"spotify:track:6hq7qTp5HpLhuSDkvdUfog","Dancers To A Discordant System","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:1E72ED2DF9qg7Dr08yCkHx","ObZen","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2008-03-11","https://i.scdn.co/image/ab67616d0000b2737985ff11d80ef7f01ff7ca76","1","9","576087","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-03-11T04:06:43Z"
"spotify:track:2zeXLSaVNXo9SUzIoQDDI3","Beyond the Hourglass","spotify:artist:79pfxECHSboPWv79E5R2Dt","I Am Ghost","spotify:album:0JW9upqj46QQ3LOSQsDQWS","Lovers' Requiem","spotify:artist:79pfxECHSboPWv79E5R2Dt","I Am Ghost","2006-10-10","https://i.scdn.co/image/ab67616d0000b2739a5ec95cd4244bb5b0d2a985","1","12","356840","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-01-11T20:04:17Z"
"spotify:track:6igw9ORiZN75gJQneVsnBt","Misery","spotify:artist:5yimluzyt2ZhLaha1KX1nn","Battlecross","spotify:album:0D3xVHSKQPUru7QLAyPozr","Pursuit of Honor","spotify:artist:5yimluzyt2ZhLaha1KX1nn","Battlecross","2011-08-02","https://i.scdn.co/image/ab67616d0000b273ec1a837e9bfb2310313947e3","1","10","289693","https://p.scdn.co/mp3-preview/de41cfd9b0dc25ef6d61521ab44565888c852934?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-01-11T20:04:22Z"
