"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1JT9uu6MfvVC8iZG3rIHq4","Oh My Darling Don't Cry","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","spotify:album:4Loc7NtCAo9mypHO6kbviD","Run The Jewels 2","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","2014-10-24","https://i.scdn.co/image/ab67616d0000b273e3a92b59ca220e9d14ccab60","1","2","204840","https://p.scdn.co/mp3-preview/96da66fa3130af00fb58aaccc94bde310499891a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-29T17:58:47Z"
"spotify:track:7EHAXZenBzmGCpccWCyg8z","SUMO | ZUMO","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","spotify:album:6idVoBWP2mt1qoMtASm3gc","TA13OO","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","2018-07-27","https://i.scdn.co/image/ab67616d0000b2737d05dd3ebb77cc048d66b294","1","4","227373","https://p.scdn.co/mp3-preview/56fbd42e6367ff3e2a4418a08e5fc803a2fc8e37?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-29T17:59:12Z"
"spotify:track:5SJUjbpVLHbiRTXZ5oLsa6","Coma","spotify:artist:1VPmR4DJC1PlOtd0IADAO0","$uicideboy$","spotify:album:72I2i7wwU3Q7mJGxbNW12D","I Want To Die In New Orleans","spotify:artist:1VPmR4DJC1PlOtd0IADAO0","$uicideboy$","2018-09-07","https://i.scdn.co/image/ab67616d0000b273557427b9ef605c6d0ba5aa82","1","9","137772","","true","11","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-29T18:20:59Z"
"spotify:track:7fHqVBM914EJjzujOnUBFz","Bone Collector","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","spotify:album:1nZ6KcrNVpW85ajKHF1xoY","Bone Collector","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","2014-09-02","https://i.scdn.co/image/ab67616d0000b27341c8401ff35e219416ace858","1","1","174403","https://p.scdn.co/mp3-preview/b9a2be7e4ff19a176f8e5109536332c9bef4c2eb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-04-15T20:43:11Z"
"spotify:track:48TYKdjkiIN6brcIilEVWB","Vagabond","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","spotify:album:3gEv1vpsDgaEo4TLuu0Lwz","ANTI-ICON","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","2020-10-21","https://i.scdn.co/image/ab67616d0000b273d2d74feea8cc2b317638969b","1","2","114305","https://p.scdn.co/mp3-preview/d5ae5dba19f66091d47b25bf322d598757ee8129?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-04-29T16:17:42Z"
"spotify:track:3aRLIiEAmfosXcYk2lixbq","Sheep Mentality","spotify:artist:6UzjrcNzva5QdEK1cJUA4N, spotify:artist:1pe6U5YILBNyIHEnh5PqE1","münki, Madbrain","spotify:album:1rhFLGEI9R9M7jfCbeYzr0","n*gga_n_d_snw.wav","spotify:artist:6UzjrcNzva5QdEK1cJUA4N","münki","2021-04-30","https://i.scdn.co/image/ab67616d0000b27365328a25255be37cfedabe81","1","3","200000","https://p.scdn.co/mp3-preview/e2f50ab8c3f9ee5c150d2d301ad2e3e6e93f867d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-05-05T02:45:49Z"
"spotify:track:3o1nX61oecxnqXieA2ma0U","Terrible Lie","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","spotify:album:3umFHeEpc4yLXtrRcv9gLN","Pretty Hate Machine","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","1989-10-20","https://i.scdn.co/image/ab67616d0000b2739764c0993e45db213f0e359f","1","2","278866","https://p.scdn.co/mp3-preview/045bf1d6100e8d4148dcca7804c2e27aab426979?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-05-05T21:58:18Z"
"spotify:track:0HjljpsWRCH5wU981NYPSb","WOT","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","spotify:album:7qE3WaOVAAIxgH8WtjbBBj","TYRON","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","2021-02-12","https://i.scdn.co/image/ab67616d0000b2736256c5303a98e9aefdf07127","1","5","48213","https://p.scdn.co/mp3-preview/ca9c2ecab9e8fc2d961695067e7972a6a02562e4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-05-07T21:38:26Z"
"spotify:track:1od1DwjPlypCwCM2pl6wv0","Face (Youth Code Remix)","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I, spotify:artist:15VmPRQCJEZWaZWgHEroj0","clipping., Youth Code","spotify:album:4zNDfknn4wS7u3XAZ8ZNdr","Face","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","2018-05-25","https://i.scdn.co/image/ab67616d0000b273b748d65adfc122f092274586","1","4","246839","https://p.scdn.co/mp3-preview/433597f67f302b9a2bdbc3838dd53d217fe7a184?cid=9950ac751e34487dbbe027c4fd7f8e99","true","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-05-17T22:23:40Z"
"spotify:track:1ugAuGyfxrLjfLg7F0bHhN","Oni Cypher","spotify:artist:2pXlZlfVJ2IADMqAaazNlJ, spotify:artist:0sDGTEVqVFrk9oRBAyhjrE, spotify:artist:7MMCg8f1evSJ8pPN1yDnJZ, spotify:artist:6mgyvLv2fSSE5XMEmpccpw, spotify:artist:0vqV4fZF5arLmtpz3RxJAe","Deadmemxry, Na$tii, Depth Strida, Sulph, Mugxtsu","spotify:album:10SAyyHbQ4pjSEELg8GEnB","DELIRIUM","spotify:artist:2pXlZlfVJ2IADMqAaazNlJ","Deadmemxry","2019-09-18","https://i.scdn.co/image/ab67616d0000b273cf77ab69c9a8aeb75b567d2e","1","2","134918","https://p.scdn.co/mp3-preview/8adadfaf77cdf1dea2ede722e9adc442c702821a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","10","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-05-17T22:33:55Z"
