"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6b7dOmCjytfqRZsEmNx86p","Aasvogel","spotify:artist:0cwWLXdrZgWNhhukVs4kjS","Vehement","spotify:album:3XCDle5iO9RRfRSZ5aREJH","Collapse","spotify:artist:0cwWLXdrZgWNhhukVs4kjS","Vehement","2013","https://i.scdn.co/image/ab67616d0000b27326f43eba46c43e759644353e","1","2","487981","https://p.scdn.co/mp3-preview/7703d6db70cc0e971cdfe1d540341b404e78416f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-28T17:49:08Z"
"spotify:track:3dY80XyoSfjf6YKSABJw3o","The Great Darkness","spotify:artist:13AqtEAizDfq1vVVK7MMYX","Wodensthrone","spotify:album:3p4xJNOFQ2QU5lu2XnWDB3","Curse","spotify:artist:13AqtEAizDfq1vVVK7MMYX","Wodensthrone","2012-04-23","https://i.scdn.co/image/ab67616d0000b273b8f1c3e9815376f86637d665","1","4","477706","https://p.scdn.co/mp3-preview/b3dbbbf6fef08d956e33a5d97c24cb4411be838a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-28T17:48:56Z"
"spotify:track:1cPKaQhPF0tasFEIbzZvWP","Cursus Honorum","spotify:artist:2f6LirhQWUKt59gv8DUL3q","Vukari","spotify:album:229fqOVz6C9P3gktXFtqza","Divination","spotify:artist:2f6LirhQWUKt59gv8DUL3q","Vukari","2016-08-01","https://i.scdn.co/image/ab67616d0000b273729d25aee0536fc835ce97e4","1","3","490971","https://p.scdn.co/mp3-preview/b4bf759ed1c5e0a7020aa19b383275288526d80c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-28T17:50:17Z"
"spotify:track:0fYRtkKlkSjTWjPtdTGGCI","Svårmodes bisynnalie makt","spotify:artist:5Fpas9AdEPn31dZ770DOgl","Nårdegaist","spotify:album:3FZwEcnEdVV186OBUzuMwH","Haimganggsringgninggi","spotify:artist:5Fpas9AdEPn31dZ770DOgl","Nårdegaist","2020-12-21","https://i.scdn.co/image/ab67616d0000b2733ff363384696c76457fdbcaa","1","3","470840","https://p.scdn.co/mp3-preview/20c82690bfa210aa5214b6c4086b43cb2bc8f0ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-28T17:53:22Z"
"spotify:track:1ij3DAxJHr1qkc66d7blSX","Fading - Завмирання","spotify:artist:4q5mj9YpaYesKvHzN8XYve","Drudkh","spotify:album:5CXrZiNSw4wQaJsmitefNn","Autumn Aurora","spotify:artist:4q5mj9YpaYesKvHzN8XYve","Drudkh","2010","https://i.scdn.co/image/ab67616d0000b27319c9fbcf08174a64a759bb26","1","1","90240","https://p.scdn.co/mp3-preview/7f9495d877941ac30946217af27b9374ec727c61?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-03-26T22:22:17Z"
"spotify:track:0yY0Gba40gNEBFCWWMZGZo","Summoning the Rain - Закликаючи Дощ","spotify:artist:4q5mj9YpaYesKvHzN8XYve","Drudkh","spotify:album:5CXrZiNSw4wQaJsmitefNn","Autumn Aurora","spotify:artist:4q5mj9YpaYesKvHzN8XYve","Drudkh","2010","https://i.scdn.co/image/ab67616d0000b27319c9fbcf08174a64a759bb26","1","2","342760","https://p.scdn.co/mp3-preview/5eac338f76c3ae59dd6512394b16cd10baeae55c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-03-26T22:22:17Z"
"spotify:track:6jwAa5jBOgDRayvaJbm4gR","Glare of Autumn - Відблиски Осені","spotify:artist:4q5mj9YpaYesKvHzN8XYve","Drudkh","spotify:album:5CXrZiNSw4wQaJsmitefNn","Autumn Aurora","spotify:artist:4q5mj9YpaYesKvHzN8XYve","Drudkh","2010","https://i.scdn.co/image/ab67616d0000b27319c9fbcf08174a64a759bb26","1","3","307720","https://p.scdn.co/mp3-preview/897c6359a3689c2d5a881b941f377917e90c9d62?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-03-26T22:22:17Z"
"spotify:track:3ZntoiAN7jN6D7u71umzNZ","Sunwheel - Сонячне Коло","spotify:artist:4q5mj9YpaYesKvHzN8XYve","Drudkh","spotify:album:5CXrZiNSw4wQaJsmitefNn","Autumn Aurora","spotify:artist:4q5mj9YpaYesKvHzN8XYve","Drudkh","2010","https://i.scdn.co/image/ab67616d0000b27319c9fbcf08174a64a759bb26","1","4","540280","https://p.scdn.co/mp3-preview/a2ad69968199ed7315aea32296deb4d4e1b414e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-03-26T22:22:17Z"
"spotify:track:67EdIjjk7HO48fM6SzBFr2","Wind of the Night Forests - Вітер Нічних Лісів","spotify:artist:4q5mj9YpaYesKvHzN8XYve","Drudkh","spotify:album:5CXrZiNSw4wQaJsmitefNn","Autumn Aurora","spotify:artist:4q5mj9YpaYesKvHzN8XYve","Drudkh","2010","https://i.scdn.co/image/ab67616d0000b27319c9fbcf08174a64a759bb26","1","5","586000","https://p.scdn.co/mp3-preview/a0857bf207f393b829bc5b5760583834d8c9ec13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-03-26T22:22:17Z"
"spotify:track:5gfht3DArf9tJoRKekInpK","The First Snow - Перший Сніг","spotify:artist:4q5mj9YpaYesKvHzN8XYve","Drudkh","spotify:album:5CXrZiNSw4wQaJsmitefNn","Autumn Aurora","spotify:artist:4q5mj9YpaYesKvHzN8XYve","Drudkh","2010","https://i.scdn.co/image/ab67616d0000b27319c9fbcf08174a64a759bb26","1","6","551720","https://p.scdn.co/mp3-preview/e91ae1f05652a55b2c847bbd1aa38d7fdaf15301?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-03-26T22:22:17Z"
"spotify:track:1LCZ9pHg8Uujk16idv1HLf","Et in pulverem mortis deduxisti me","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","spotify:album:3X0aX64SV2fhYPS8fGUZwd","De Praestgiis Angelorum","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","2015-09-25","https://i.scdn.co/image/ab67616d0000b273f17d430d224b7553fe5a2ae1","1","1","72071","https://p.scdn.co/mp3-preview/191eeb6f8781830ce6c6fbd1a1fc52da9e0cfdd9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-28T17:53:09Z"
"spotify:track:0FMhKYSVfvitUIxsaLDhic","Par le jugement causé par ses poisons","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","spotify:album:3X0aX64SV2fhYPS8fGUZwd","De Praestgiis Angelorum","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","2015-09-25","https://i.scdn.co/image/ab67616d0000b273f17d430d224b7553fe5a2ae1","1","2","349074","https://p.scdn.co/mp3-preview/881b45ed8c7cb30897aaac5658ea4cb66ba35346?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-28T17:53:09Z"
"spotify:track:2bDb0CifKPMSlswryM96Lp","La terre ne cessera de se consumer","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","spotify:album:3X0aX64SV2fhYPS8fGUZwd","De Praestgiis Angelorum","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","2015-09-25","https://i.scdn.co/image/ab67616d0000b273f17d430d224b7553fe5a2ae1","1","3","339069","https://p.scdn.co/mp3-preview/b9d3ec6e6afe6a3889cfdb0dae08786501f71688?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-28T17:53:09Z"
"spotify:track:0euWxWDjiPP1MXC8zdOAf0","Regarde tes cadavres car il ne te permettra pas qu'on les enterre","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","spotify:album:3X0aX64SV2fhYPS8fGUZwd","De Praestgiis Angelorum","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","2015-09-25","https://i.scdn.co/image/ab67616d0000b273f17d430d224b7553fe5a2ae1","1","4","424097","https://p.scdn.co/mp3-preview/bcf7707edc44a723d63b2a83973c687ddd42ff4f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-28T17:53:09Z"
"spotify:track:2DbVkny4cNCT9bjybDQu5Q","Une place parmi les morts","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","spotify:album:3X0aX64SV2fhYPS8fGUZwd","De Praestgiis Angelorum","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","2015-09-25","https://i.scdn.co/image/ab67616d0000b273f17d430d224b7553fe5a2ae1","1","5","368091","https://p.scdn.co/mp3-preview/d4fafbd6d21dc928c946e7e46bb3495e8d18bc65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-28T17:53:09Z"
"spotify:track:2MUqFpyScmHHYbEc4fKF1o","Voilà l'homme qui ne te prenait pas comme Seigneur","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","spotify:album:3X0aX64SV2fhYPS8fGUZwd","De Praestgiis Angelorum","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","2015-09-25","https://i.scdn.co/image/ab67616d0000b273f17d430d224b7553fe5a2ae1","1","6","330083","https://p.scdn.co/mp3-preview/a26c2804b0adbd1f0cc67b615f2ef8e87cec9538?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-28T17:53:09Z"
"spotify:track:0AbmVhYLnGBcT9eytyUR4H","Il est trop tard pour rendre gloire. Ainsi la lumière sera changée en ombre de la mort","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","spotify:album:3X0aX64SV2fhYPS8fGUZwd","De Praestgiis Angelorum","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","2015-09-25","https://i.scdn.co/image/ab67616d0000b273f17d430d224b7553fe5a2ae1","1","7","320078","https://p.scdn.co/mp3-preview/44a951a05a99e6e97807c06335735399aa0c5c27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-28T17:53:09Z"
"spotify:track:7uyCfwZw9bFMU9cydTZfRc","Plus aucun membre ne sera rendu","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","spotify:album:3X0aX64SV2fhYPS8fGUZwd","De Praestgiis Angelorum","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","2015-09-25","https://i.scdn.co/image/ab67616d0000b273f17d430d224b7553fe5a2ae1","1","8","492068","https://p.scdn.co/mp3-preview/c74685ca89290eece8cffa2150565f04cbe5bb90?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-28T17:53:09Z"
"spotify:track:1aPKINLn3AhNVtysqtSmcY","Epiklesis I","spotify:artist:4pP3Gtdmwp2cHtz736pyGI","Deathspell Omega","spotify:album:0IacUrFK1BuOr0MrhTGKQN","Paracletus","spotify:artist:4pP3Gtdmwp2cHtz736pyGI","Deathspell Omega","2010-11-08","https://i.scdn.co/image/ab67616d0000b273e8c5dd1a7476258e2446e5b1","1","1","101880","https://p.scdn.co/mp3-preview/e8d228cbcaeb003c44ea530a2590b9924a48af6c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-28T17:49:30Z"
"spotify:track:1BLM0GcEAwjDvZDRt0Rtdr","Wings of Predation","spotify:artist:4pP3Gtdmwp2cHtz736pyGI","Deathspell Omega","spotify:album:0IacUrFK1BuOr0MrhTGKQN","Paracletus","spotify:artist:4pP3Gtdmwp2cHtz736pyGI","Deathspell Omega","2010-11-08","https://i.scdn.co/image/ab67616d0000b273e8c5dd1a7476258e2446e5b1","1","2","220773","https://p.scdn.co/mp3-preview/01763fd15e827a8fd25b6101042b4b6bdcea5a0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-28T17:49:30Z"
"spotify:track:6BrmQVaUwy38Ta3nYNOzCU","Abscission","spotify:artist:4pP3Gtdmwp2cHtz736pyGI","Deathspell Omega","spotify:album:0IacUrFK1BuOr0MrhTGKQN","Paracletus","spotify:artist:4pP3Gtdmwp2cHtz736pyGI","Deathspell Omega","2010-11-08","https://i.scdn.co/image/ab67616d0000b273e8c5dd1a7476258e2446e5b1","1","3","362946","https://p.scdn.co/mp3-preview/aa6c85afaa7fbb03882bb309c3386434adb22d41?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-28T17:49:30Z"
"spotify:track:27puYSXFZbVFhEGiof9qMw","Dearth","spotify:artist:4pP3Gtdmwp2cHtz736pyGI","Deathspell Omega","spotify:album:0IacUrFK1BuOr0MrhTGKQN","Paracletus","spotify:artist:4pP3Gtdmwp2cHtz736pyGI","Deathspell Omega","2010-11-08","https://i.scdn.co/image/ab67616d0000b273e8c5dd1a7476258e2446e5b1","1","4","224813","https://p.scdn.co/mp3-preview/ed15095efd281815d3425f278aadca6b1a4ec64f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-28T17:49:30Z"
