"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5TFwGYhhFWa92FZXyIB7K8","Body & Blood","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","spotify:album:4jXGCAzUw7ZEccL3UoIjvT","CLPPNG","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","2014-06-10","https://i.scdn.co/image/ab67616d0000b273007401d5c6714488fe208aa1","1","2","268372","https://p.scdn.co/mp3-preview/c2ff2d6fa2fe66b1094159160ba0bc2a5772d710?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-04-27T18:44:03Z"
"spotify:track:3aRLIiEAmfosXcYk2lixbq","Sheep Mentality","spotify:artist:6UzjrcNzva5QdEK1cJUA4N, spotify:artist:1pe6U5YILBNyIHEnh5PqE1","münki, Madbrain","spotify:album:1rhFLGEI9R9M7jfCbeYzr0","n*gga_n_d_snw.wav","spotify:artist:6UzjrcNzva5QdEK1cJUA4N","münki","2021-04-30","https://i.scdn.co/image/ab67616d0000b27365328a25255be37cfedabe81","1","3","200000","https://p.scdn.co/mp3-preview/e2f50ab8c3f9ee5c150d2d301ad2e3e6e93f867d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-05-05T03:55:36Z"
"spotify:track:0y4YmA9UGpQnWdIFbWBHu0","Faceshopping","spotify:artist:5a2w2tgpLwv26BYJf2qYwu","SOPHIE","spotify:album:4z3YbEkKWwiIMSJTWUQbTH","OIL OF EVERY PEARL'S UN-INSIDES","spotify:artist:5a2w2tgpLwv26BYJf2qYwu","SOPHIE","2018-06-15","https://i.scdn.co/image/ab67616d0000b273fa3158c935aa3c01865f7150","1","3","236937","https://p.scdn.co/mp3-preview/960c621e8e604d28488ab1f4e7a26cdf427a6162?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-05-19T01:04:59Z"
"spotify:track:2acLc5ls1edbAt4WAdsx2F","Hexagoness Rising","spotify:artist:4qRvtAdrXBBT0flfKrVmxG","Five Star Hotel","spotify:album:67HkDyzyT4dS4cYAoM32xa","Open Wound","spotify:artist:4qRvtAdrXBBT0flfKrVmxG","Five Star Hotel","2018-12-07","https://i.scdn.co/image/ab67616d0000b2736b7d0914c4dea43e6e4e3a23","1","6","193250","https://p.scdn.co/mp3-preview/444059d1bc5a99de0b7a2eace6d45b037677df1b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-04-27T18:44:55Z"
"spotify:track:7ywLarZhHde9gRmeWWLbkb","I Have Clarity","spotify:artist:0DGtv5OHFgXsRhHh81ATPn","ESA (Electronic Substance Abuse)","spotify:album:7ljXOMXc0NwNZzUXnmT7Y3","That Beast","spotify:artist:0DGtv5OHFgXsRhHh81ATPn","ESA (Electronic Substance Abuse)","2018-03-09","https://i.scdn.co/image/ab67616d0000b2738c6dac1fb7287e0b8ea68137","1","1","482750","https://p.scdn.co/mp3-preview/b6c562c7d35fdc1e64bc6b5fc53efa38cb7e1fdd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-04-27T17:59:12Z"
"spotify:track:2PfgS7DYAMeN2D4q8PbZzu","Deadman (Perdition)","spotify:artist:5UDclMDQGpjU8WK59SWymU","Converter","spotify:album:1coMMPmUQVW43o84G28ghJ","Shock Front","spotify:artist:5UDclMDQGpjU8WK59SWymU","Converter","1999-05-10","https://i.scdn.co/image/ab67616d0000b273aa67d443c17ee122c3259bca","1","8","278826","https://p.scdn.co/mp3-preview/0c6a1359e506d02ae84926715cddc6ecfbc55add?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-04-27T20:41:41Z"
"spotify:track:1TWEQy0hgp1CnXNethzpLV","Didn't the Night End","spotify:artist:1VFYpTpgmp7ANXqok2dTg3, spotify:artist:1i5rlthy5CmAYWaFOB0jhz","The Body, Full Of Hell","spotify:album:4SXIysQ9zTWimy9uo5GMy8","Ascending a Mountain of Heavy Light","spotify:artist:1VFYpTpgmp7ANXqok2dTg3, spotify:artist:1i5rlthy5CmAYWaFOB0jhz","The Body, Full Of Hell","2017-11-17","https://i.scdn.co/image/ab67616d0000b273a1459fe2bc83d7ebc2f9e553","1","4","311204","https://p.scdn.co/mp3-preview/0d6bc9e76bad5d965e50d7d516a9a08f96807735?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-04-27T20:42:37Z"
"spotify:track:0IRhnnggBPZ1WMVWUgRrfj","Tattered & Torn","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","spotify:album:5lOFvOWAdy9G6p44noRILU","Slipknot","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","1999-06-12","https://i.scdn.co/image/ab67616d0000b27349de1b4acdde02e84c6023b7","1","7","173866","https://p.scdn.co/mp3-preview/0cca0fa024eea1493dfd055e78f66996b5a72662?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-04-27T20:45:58Z"
"spotify:track:0bKJHoBZk6iXpvbxcExXCx","Cognitive Dissonance","spotify:artist:3NJ5Ehtc1oNyTck1wFUf4G","Krista Bourgeois","spotify:album:0qeOcNqpjrrUEqO9FKe8RN","Cognitive Dissonance","spotify:artist:3NJ5Ehtc1oNyTck1wFUf4G","Krista Bourgeois","2020-05-04","https://i.scdn.co/image/ab67616d0000b2731903d062fa19c73434fe11bf","1","1","485000","https://p.scdn.co/mp3-preview/03b87dbf0f750393c05023157c8055316f32d569?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-05-03T22:29:35Z"
"spotify:track:5sa65VbqomX0BpQTfxNTnZ","Forced Compliance","spotify:artist:3NJ5Ehtc1oNyTck1wFUf4G","Krista Bourgeois","spotify:album:0qeOcNqpjrrUEqO9FKe8RN","Cognitive Dissonance","spotify:artist:3NJ5Ehtc1oNyTck1wFUf4G","Krista Bourgeois","2020-05-04","https://i.scdn.co/image/ab67616d0000b2731903d062fa19c73434fe11bf","1","2","297000","https://p.scdn.co/mp3-preview/8931e2e239c192d74fb5b50cb384f3eaca79f041?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-05-03T22:29:35Z"
