"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4TOZ8TuZQRMEgJjNsgewg2","Milk Lizard","spotify:artist:7IGcjaMGAtsvKBLQX26W4i","The Dillinger Escape Plan","spotify:album:65ai7QRrruWGNPcVU23PgD","Ire Works","spotify:artist:7IGcjaMGAtsvKBLQX26W4i","The Dillinger Escape Plan","2007-11-13","https://i.scdn.co/image/ab67616d0000b273c2b0ced8518ed8905e48c650","1","9","235266","https://p.scdn.co/mp3-preview/a78938c955b84cee55e287e12f6292e2caad7207?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-16T22:28:39Z"
"spotify:track:5FGiVhxx23Ce711x1mgisU","Bruane Brenn","spotify:artist:0VE0GTaTSeeGSzrQpLmeb9","Kvelertak","spotify:album:5PAjZGAD8j0XZANLxJWulb","Meir","spotify:artist:0VE0GTaTSeeGSzrQpLmeb9","Kvelertak","2013-03-22","https://i.scdn.co/image/ab67616d0000b273b7ee512ceec9a00107eaf8d8","1","4","247306","https://p.scdn.co/mp3-preview/941e1a5cf899703b9ec2d8f77d3b7ef9a8602e5d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-22T16:24:06Z"
"spotify:track:31joRJoijYOGBIW4444Fwk","Prehistoric Dog","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","spotify:album:1orQuQDeSCf7yEPSEAb6Gb","Red Fang","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","2009-03-10","https://i.scdn.co/image/ab67616d0000b273bc7bd2dafbd55237b170777c","1","1","268280","https://p.scdn.co/mp3-preview/f2c93b0c0f21c11075c501aebdcd0653a3d26590?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-22T16:25:42Z"
"spotify:track:3hHSOMGBpwP0y9RSdJUfCZ","Reverse Thunder","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","spotify:album:1orQuQDeSCf7yEPSEAb6Gb","Red Fang","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","2009-03-10","https://i.scdn.co/image/ab67616d0000b273bc7bd2dafbd55237b170777c","1","2","195453","https://p.scdn.co/mp3-preview/d40a01c3c8b5e333ff33c017b747332c05148cf3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-22T16:25:42Z"
"spotify:track:6950ik0V6HCWgnLIFKe8FX","Blood Like Cream","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","spotify:album:2CtG0KacG7ZYR6PL5dD1jA","Whales and Leeches (Deluxe Version)","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","2013-10-15","https://i.scdn.co/image/ab67616d0000b2739122d59f5e5946c957d60086","1","2","213293","https://p.scdn.co/mp3-preview/de53004dd5f08d4335e289464cf73644053d7e43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-22T16:26:07Z"
"spotify:track:5uJLuCYSpZIPR7f5jkuQm2","Good for Nothing","spotify:artist:58d50jBQXhOetEGuSBgu64","Employed To Serve","spotify:album:5vSsimAQm2FjwaIAqG5sit","The Warmth of a Dying Sun","spotify:artist:58d50jBQXhOetEGuSBgu64","Employed To Serve","2017-05-19","https://i.scdn.co/image/ab67616d0000b27318babee9eb4ff7701928131f","1","2","230956","https://p.scdn.co/mp3-preview/e23bd6db6cafa8efeac411d98400ff0464260e9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-22T16:26:18Z"
"spotify:track:3xLqwykOGrA8NDfAHrXuDr","Scapegoat","spotify:artist:7mO0JGOATH8fVHvgCdZsXh","Kylesa","spotify:album:0Aj7YOQ3gK97MouZ487emF","Static Tensions","spotify:artist:7mO0JGOATH8fVHvgCdZsXh","Kylesa","2009-03-17","https://i.scdn.co/image/ab67616d0000b27388a6d016f0e2193feed57386","1","1","204973","https://p.scdn.co/mp3-preview/022c2cdf321153873446542716247337e3609b73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-22T16:26:44Z"
"spotify:track:3jagGO7eHHuaD53ibehkux","Blood and Thunder","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","spotify:album:6khFoLWnJZDQvZ7Pijym3b","Leviathan","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","2004-08-31","https://i.scdn.co/image/ab67616d0000b27300388d66c87c2c0033849bfd","1","1","228586","https://p.scdn.co/mp3-preview/214f41a401c263439f5e715b2875940fef45f7b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-22T16:27:12Z"
"spotify:track:6shF79BmasRYo0ktqAvmXz","Superunknown","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:29sTacnS0qA9xri6YS8xLA","Superunknown (Deluxe Edition)","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b273ae6d8e36136353d550b2587d","1","5","306920","https://p.scdn.co/mp3-preview/3d097b4dfc8a21b4d8629747d754d6de082d2e1a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-22T16:28:47Z"
"spotify:track:55Eta7ne9rL3xDdSFxyNW2","Fix My Heart","spotify:artist:0lFiKrJUofJpnrAJnMsnQ3","Voivod","spotify:album:0EevA0t8Qcxh4TFLtBQPyo","The Outer Limits","spotify:artist:0lFiKrJUofJpnrAJnMsnQ3","Voivod","1993-01-01","https://i.scdn.co/image/ab67616d0000b273f77d7915c43a6bf6b6fc4dac","1","1","296786","https://p.scdn.co/mp3-preview/82a3e4f09feb60f33414df9f83131d63c05951ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-22T16:29:12Z"
"spotify:track:4i2F35b5tamKhvMsf0wuuL","Live to Win","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","spotify:album:3rxF05Aux0QTrN533Kjc91","Ace of Spades (Expanded Edition)","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","1980-11-08","https://i.scdn.co/image/ab67616d0000b273bb7d33186e4a26421c6a77ae","1","4","215573","https://p.scdn.co/mp3-preview/9afa8de111aa90f1314d0731bf564479d05edde3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-22T16:34:20Z"
"spotify:track:6b6uLZsoGhObYexIxnRbIb","Hangar 18 - Remastered 2004","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","spotify:album:0qaLL09EtF1hiUis7PRvaJ","Rust In Peace","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","1990-10-04","https://i.scdn.co/image/ab67616d0000b273be9fa5a89479b6af481938a0","1","2","311200","https://p.scdn.co/mp3-preview/5d599565f4b1a11a0ee8be4d74ae18f29262ed43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-22T16:34:35Z"
