"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1BTNolCRkEUEPpWiXuLfAm","Concerto No. 23 in A Major for Piano and Orchestra, K. 488: I. Allegro","spotify:artist:4NJhFmfw43RLBLjQvxDuRS, spotify:artist:4mQRX8ag4stLU5Ukl1Ji5b, spotify:artist:1vLbRhjf3MbdPmkQmiwW46","Wolfgang Amadeus Mozart, Mozart Festival Orchestra, Svetlana Stanceva","spotify:album:1zFQ9RnZyCemoNbihr15um","Mozart: The Great Piano Concertos","spotify:artist:4NJhFmfw43RLBLjQvxDuRS, spotify:artist:4mQRX8ag4stLU5Ukl1Ji5b","Wolfgang Amadeus Mozart, Mozart Festival Orchestra","2011-02-22","https://i.scdn.co/image/ab67616d0000b273f1483c7e675323db13ae5c61","1","4","651000","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-08T20:24:02Z"
"spotify:track:7wp4xLkyHKVsRs9I4db3YR","Concerto No. 21 in C Major for Piano and Orchestra, K. 467: II. Andante (""Elvira Madigan"")","spotify:artist:4NJhFmfw43RLBLjQvxDuRS, spotify:artist:4mQRX8ag4stLU5Ukl1Ji5b, spotify:artist:1vLbRhjf3MbdPmkQmiwW46","Wolfgang Amadeus Mozart, Mozart Festival Orchestra, Svetlana Stanceva","spotify:album:1zFQ9RnZyCemoNbihr15um","Mozart: The Great Piano Concertos","spotify:artist:4NJhFmfw43RLBLjQvxDuRS, spotify:artist:4mQRX8ag4stLU5Ukl1Ji5b","Wolfgang Amadeus Mozart, Mozart Festival Orchestra","2011-02-22","https://i.scdn.co/image/ab67616d0000b273f1483c7e675323db13ae5c61","1","2","337000","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-08T20:24:09Z"
"spotify:track:5cwN1htZyoWqZCc33f3RfE","The High Road","spotify:artist:6dgwEwnK0YtDfS9XhRwBTG","Broken Bells","spotify:album:0X7WyEKdm5afGj1fmD7Blx","Broken Bells","spotify:artist:6dgwEwnK0YtDfS9XhRwBTG","Broken Bells","2010-03-01","https://i.scdn.co/image/ab67616d0000b273e198b6b9c5bfe013458e8ec9","1","1","232200","https://p.scdn.co/mp3-preview/1cb4a78360b21e4566f7d3b278042f8a6963abb0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-08T20:47:52Z"
"spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn","Stressed Out","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:3cQO7jp5S9qLBoIVtbkSM1","Blurryface","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2015-05-15","https://i.scdn.co/image/ab67616d0000b273de03bfc2991fd5bcfde65ba3","1","2","202333","https://p.scdn.co/mp3-preview/0e0951b811f06fea9162eb7e95e4bae4802d97af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-08T20:50:38Z"
"spotify:track:2fmqPLRFdJNPhLU3b2NSFp","Glory (From the Motion Picture Selma)","spotify:artist:2GHclqNVjqGuiE5mA7BEoc, spotify:artist:5y2Xq6xcjJb2jVM54GHK3t","Common, John Legend","spotify:album:3cZ3dS7ogHb55sWjVzaBnx","Glory (From the Motion Picture Selma)","spotify:artist:2GHclqNVjqGuiE5mA7BEoc, spotify:artist:5y2Xq6xcjJb2jVM54GHK3t","Common, John Legend","2014-12-11","https://i.scdn.co/image/ab67616d0000b273dc1663786daf0c9752c9aa90","1","1","272727","https://p.scdn.co/mp3-preview/268f3b557cc77cb58e84e07465fc160251a1f5d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-08T20:53:34Z"
"spotify:track:7gC6Rbllqf1yXNC02e5jz2","Heart of the Sunrise - 2003 Remaster","spotify:artist:7AC976RDJzL2asmZuz7qil","Yes","spotify:album:0dZF93WHyOhTWjz5EWM7yG","Fragile (Deluxe Edition)","spotify:artist:7AC976RDJzL2asmZuz7qil","Yes","1971-11-26","https://i.scdn.co/image/ab67616d0000b27397f9466138456632edb5c00e","1","9","634440","https://p.scdn.co/mp3-preview/e45343c0c114de915f58cb3cb0fefea24a51a1c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-10T03:38:18Z"
"spotify:track:6ZOBP3NvffbU4SZcrnt1k6","Kryptonite","spotify:artist:2RTUTCvo6onsAnheUk3aL9","3 Doors Down","spotify:album:5gO2acKSOaJnP0Mcy8IpU6","The Better Life","spotify:artist:2RTUTCvo6onsAnheUk3aL9","3 Doors Down","2000","https://i.scdn.co/image/ab67616d0000b2732868c4713a3912fd476b42f1","1","1","233933","https://p.scdn.co/mp3-preview/c15d05e5689ca339a65a918d2fd2bbb4853ad525?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-14T18:58:36Z"
"spotify:track:5CQ30WqJwcep0pYcV4AMNc","Stairway to Heaven - Remaster","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","spotify:album:44Ig8dzqOkvkGDzaUof9lK","Led Zeppelin IV (Deluxe Edition)","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","1971-11-08","https://i.scdn.co/image/ab67616d0000b273c8a11e48c91a982d086afc69","1","4","482830","https://p.scdn.co/mp3-preview/8226164717312bc411f8635580562d67e191a754?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-14T18:59:35Z"
"spotify:track:5IAcmHktMIqXEDm1BLsEcG","South Side of the Sky - 2008 Remaster","spotify:artist:7AC976RDJzL2asmZuz7qil","Yes","spotify:album:4X6gq5bgpGXcHINlFWzriM","Fragile","spotify:artist:7AC976RDJzL2asmZuz7qil","Yes","1971-11-26","https://i.scdn.co/image/ab67616d0000b273c1b47eb8bd9667abb9bc7091","1","4","478066","https://p.scdn.co/mp3-preview/76ecd9077c95499977f43504b4378cce83240dd4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-05-04T19:00:35Z"
"spotify:track:4e9eGQYsOiBcftrWXwsVco","Aerials","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","spotify:album:6jWde94ln40epKIQCd8XUh","Toxicity","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","2001-09-04","https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578","1","14","235053","https://p.scdn.co/mp3-preview/17c08cf40c2f21a4b3e65fd092749a3e35e59b68?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-05-09T02:19:28Z"
