"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3elGOzqyhMY0Oyf33bmFRZ","Midwest Rock (Play Along for Drums)","spotify:artist:423W6pQrvx0cLZlfZrazyK","Drum! Drum! Drum!","spotify:album:2zCGNs4VkdNyogGhSz8SCf","Rock Drumless Backing Tracks, Vol. 1","spotify:artist:423W6pQrvx0cLZlfZrazyK","Drum! Drum! Drum!","2016-11-27","https://i.scdn.co/image/ab67616d0000b2739fe313acd1ebd66b20a6a2ee","1","3","203076","https://p.scdn.co/mp3-preview/ca95926988117fd7e13da966ebeb962adf6e74a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-06T18:55:34Z"
"spotify:track:5FprvVqSM2TB4R2PjTj2zc","High-Energy Rock Jam (Drumless Track)","spotify:artist:423W6pQrvx0cLZlfZrazyK","Drum! Drum! Drum!","spotify:album:2zCGNs4VkdNyogGhSz8SCf","Rock Drumless Backing Tracks, Vol. 1","spotify:artist:423W6pQrvx0cLZlfZrazyK","Drum! Drum! Drum!","2016-11-27","https://i.scdn.co/image/ab67616d0000b2739fe313acd1ebd66b20a6a2ee","1","5","264888","https://p.scdn.co/mp3-preview/9e98e5d57149aa753b98146011e164c7aabe483b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-06T18:56:18Z"
"spotify:track:0fRm8oMYxNSCTjQgj3c1ze","Patches (Drumless Backing Track)","spotify:artist:423W6pQrvx0cLZlfZrazyK","Drum! Drum! Drum!","spotify:album:2zCGNs4VkdNyogGhSz8SCf","Rock Drumless Backing Tracks, Vol. 1","spotify:artist:423W6pQrvx0cLZlfZrazyK","Drum! Drum! Drum!","2016-11-27","https://i.scdn.co/image/ab67616d0000b2739fe313acd1ebd66b20a6a2ee","1","14","203200","https://p.scdn.co/mp3-preview/bfa9870949521021b2600712b4352d2752c39c7a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-06T18:59:00Z"
"spotify:track:5cgm6hCAyyABID0nYC6Cen","Late Night Funk","spotify:artist:423W6pQrvx0cLZlfZrazyK","Drum! Drum! Drum!","spotify:album:2ZrW7mFRADvK9GrqxYEd2x","Drumless Backing Tracks, Vol. 5","spotify:artist:423W6pQrvx0cLZlfZrazyK","Drum! Drum! Drum!","2018-12-19","https://i.scdn.co/image/ab67616d0000b273d4beb17953d2309d278ed84c","1","1","241090","https://p.scdn.co/mp3-preview/5158b5f93766375b770888fdaad2a1190247bac8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-06T20:13:12Z"
"spotify:track:3P9kNh68W1QjTf9Y7DE9Rb","Cali Funk Rock Jam (Drumless Track)","spotify:artist:423W6pQrvx0cLZlfZrazyK","Drum! Drum! Drum!","spotify:album:3LLLHfzMcgHGLSqaueWso1","Funk Drumless Backing Tracks, Vol. 1","spotify:artist:423W6pQrvx0cLZlfZrazyK","Drum! Drum! Drum!","2016-11-28","https://i.scdn.co/image/ab67616d0000b273abe7e8e36dfe5040156ea9ad","1","8","260689","https://p.scdn.co/mp3-preview/3b695d894af64906c9d284622bc15e9b7950a73a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-06T20:24:04Z"
"spotify:track:14CPNDxEdh9qGVO4gyZBFF","Energetic Rock","spotify:artist:423W6pQrvx0cLZlfZrazyK","Drum! Drum! Drum!","spotify:album:2ZrW7mFRADvK9GrqxYEd2x","Drumless Backing Tracks, Vol. 5","spotify:artist:423W6pQrvx0cLZlfZrazyK","Drum! Drum! Drum!","2018-12-19","https://i.scdn.co/image/ab67616d0000b273d4beb17953d2309d278ed84c","1","3","191653","https://p.scdn.co/mp3-preview/89a59ac242c6635d57a4fab7da9e102f00256ffa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-06T20:14:45Z"
"spotify:track:5p1jp9jpty1TGcZXF5lF9i","Seattle Sound","spotify:artist:423W6pQrvx0cLZlfZrazyK","Drum! Drum! Drum!","spotify:album:2ZrW7mFRADvK9GrqxYEd2x","Drumless Backing Tracks, Vol. 5","spotify:artist:423W6pQrvx0cLZlfZrazyK","Drum! Drum! Drum!","2018-12-19","https://i.scdn.co/image/ab67616d0000b273d4beb17953d2309d278ed84c","1","5","217263","https://p.scdn.co/mp3-preview/14f9683eb57adc4ad4a448da3ab9431d7300f569?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-06T20:16:21Z"
"spotify:track:402tRuJCfZrwoF2mHOMthP","Dreamy Funk Jam","spotify:artist:423W6pQrvx0cLZlfZrazyK","Drum! Drum! Drum!","spotify:album:2ZrW7mFRADvK9GrqxYEd2x","Drumless Backing Tracks, Vol. 5","spotify:artist:423W6pQrvx0cLZlfZrazyK","Drum! Drum! Drum!","2018-12-19","https://i.scdn.co/image/ab67616d0000b273d4beb17953d2309d278ed84c","1","12","265000","https://p.scdn.co/mp3-preview/42d2cc40e220045b153b52faf42be5f42c2418b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-06T20:17:59Z"
"spotify:track:5naWq38rO29xNcZwKnkfaQ","Soulful Funk Fusion","spotify:artist:423W6pQrvx0cLZlfZrazyK","Drum! Drum! Drum!","spotify:album:65Z0BQl9mzIZrEWGC8ZL0J","Soulful Funk Fusion Drumless Tracks","spotify:artist:423W6pQrvx0cLZlfZrazyK","Drum! Drum! Drum!","2020-11-29","https://i.scdn.co/image/ab67616d0000b273b7bfc903a20d30f54ff1eaa9","1","1","276136","https://p.scdn.co/mp3-preview/29ad3c745727b10c690c35bbcb9ee4f91358c331?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-06T20:21:03Z"
"spotify:track:2ceeRIrVogMRQqBSo2Zdhs","Funky Disco Groove (Drumless Track)","spotify:artist:423W6pQrvx0cLZlfZrazyK","Drum! Drum! Drum!","spotify:album:3LLLHfzMcgHGLSqaueWso1","Funk Drumless Backing Tracks, Vol. 1","spotify:artist:423W6pQrvx0cLZlfZrazyK","Drum! Drum! Drum!","2016-11-28","https://i.scdn.co/image/ab67616d0000b273abe7e8e36dfe5040156ea9ad","1","4","249642","https://p.scdn.co/mp3-preview/2905680da4ea4b27936be20f64ffbf5be973fbe4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-06T20:22:34Z"
