"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:52dZyvQ3mSuS76t9Dok4hq","45 SMOKE","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","spotify:album:7qE3WaOVAAIxgH8WtjbBBj","TYRON","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","2021-02-12","https://i.scdn.co/image/ab67616d0000b2736256c5303a98e9aefdf07127","1","1","118026","https://p.scdn.co/mp3-preview/f116f21766046703288a005d663cb8a44737c29f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-04-01T01:25:28Z"
"spotify:track:70He9Bb1JohHQXq4XAavQD","CANCELLED (feat. Skepta)","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP, spotify:artist:2p1fiYHYiXz9qi0JJyxBzN","slowthai, Skepta","spotify:album:7qE3WaOVAAIxgH8WtjbBBj","TYRON","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","2021-02-12","https://i.scdn.co/image/ab67616d0000b2736256c5303a98e9aefdf07127","1","2","138640","https://p.scdn.co/mp3-preview/5945eee222108130112991ebd74003abc800c57c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-04-01T01:25:28Z"
"spotify:track:4Jtd2uIBBdAl5bOaLVIlNV","MAZZA (feat. A$AP Rocky)","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP, spotify:artist:13ubrt8QOOCPljQ2FL1Kca","slowthai, A$AP Rocky","spotify:album:7qE3WaOVAAIxgH8WtjbBBj","TYRON","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","2021-02-12","https://i.scdn.co/image/ab67616d0000b2736256c5303a98e9aefdf07127","1","3","171866","https://p.scdn.co/mp3-preview/51c493b2505fffb4ff8e214679f849ad2c5ffad9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-04-01T01:25:28Z"
"spotify:track:0l6D20UUxbOemPoaGneKK6","VEX","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","spotify:album:7qE3WaOVAAIxgH8WtjbBBj","TYRON","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","2021-02-12","https://i.scdn.co/image/ab67616d0000b2736256c5303a98e9aefdf07127","1","4","138613","https://p.scdn.co/mp3-preview/67c615f7a09b5b4449d4cbb4f6f9faa76ac70b7e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-04-01T01:25:28Z"
"spotify:track:0HjljpsWRCH5wU981NYPSb","WOT","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","spotify:album:7qE3WaOVAAIxgH8WtjbBBj","TYRON","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","2021-02-12","https://i.scdn.co/image/ab67616d0000b2736256c5303a98e9aefdf07127","1","5","48213","https://p.scdn.co/mp3-preview/ca9c2ecab9e8fc2d961695067e7972a6a02562e4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-04-01T01:25:28Z"
"spotify:track:4Cxy9yPLLnGHyKL3jRlWit","DEAD","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","spotify:album:7qE3WaOVAAIxgH8WtjbBBj","TYRON","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","2021-02-12","https://i.scdn.co/image/ab67616d0000b2736256c5303a98e9aefdf07127","1","6","179613","https://p.scdn.co/mp3-preview/4a59e5639b4da65fe1f05176a3812e9c1a81a07d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-04-01T01:25:28Z"
"spotify:track:1OGDBmK8pztbZTgGKc69is","PLAY WITH FIRE","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","spotify:album:7qE3WaOVAAIxgH8WtjbBBj","TYRON","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","2021-02-12","https://i.scdn.co/image/ab67616d0000b2736256c5303a98e9aefdf07127","1","7","171146","https://p.scdn.co/mp3-preview/258ac3e6a34dd9e7b0ca40b48eaab0d6ba5e4eb6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-04-01T01:25:28Z"
"spotify:track:5SpZDtg5U1W35HNjq1xYrM","i tried","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","spotify:album:7qE3WaOVAAIxgH8WtjbBBj","TYRON","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","2021-02-12","https://i.scdn.co/image/ab67616d0000b2736256c5303a98e9aefdf07127","2","1","134746","https://p.scdn.co/mp3-preview/6565f74c3cc807dabed7141164dc8c97cd49ed94?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-04-01T01:25:28Z"
"spotify:track:3WTtdcUzYmcZOePSXc8o67","focus","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","spotify:album:7qE3WaOVAAIxgH8WtjbBBj","TYRON","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","2021-02-12","https://i.scdn.co/image/ab67616d0000b2736256c5303a98e9aefdf07127","2","2","124640","https://p.scdn.co/mp3-preview/2bf9d729d016c5e598c38c40a19931d5e6d46f98?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-04-01T01:25:28Z"
"spotify:track:2iwLygOHE2YStc23isxS3b","terms (feat. Dominic Fike & Denzel Curry)","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP, spotify:artist:6USv9qhCn6zfxlBQIYJ9qs, spotify:artist:6fxyWrfmjcbj5d12gXeiNV","slowthai, Dominic Fike, Denzel Curry","spotify:album:7qE3WaOVAAIxgH8WtjbBBj","TYRON","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","2021-02-12","https://i.scdn.co/image/ab67616d0000b2736256c5303a98e9aefdf07127","2","3","192733","https://p.scdn.co/mp3-preview/8d20ce668369b278b1da96a98ec55b216d149718?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-04-01T01:25:28Z"
