"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6OmR6STnIugFfgvJDX3Z69","Suicide Deluxe","spotify:artist:2EcltAQF7JHjEk9Thd9Pui","Dreamcrusher","spotify:album:4BejoS6deivuJAfSQa5AhH","Suicide Deluxe","spotify:artist:2EcltAQF7JHjEk9Thd9Pui","Dreamcrusher","2014-10-08","https://i.scdn.co/image/ab67616d0000b273a090edb67bf21ebe53c190f0","1","1","235200","https://p.scdn.co/mp3-preview/6593edad53281e9a3c52b21276b3a055be679da4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-21T03:06:24Z"
"spotify:track:7fHqVBM914EJjzujOnUBFz","Bone Collector","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","spotify:album:1nZ6KcrNVpW85ajKHF1xoY","Bone Collector","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","2014-09-02","https://i.scdn.co/image/ab67616d0000b27341c8401ff35e219416ace858","1","1","174403","https://p.scdn.co/mp3-preview/b9a2be7e4ff19a176f8e5109536332c9bef4c2eb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-21T03:07:52Z"
"spotify:track:6KCthSzW230fnf6IygPaI0","Thieves","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","spotify:album:2Z73HeYQNCf5T8dzzHaoz5","The Mind Is A Terrible Thing To Taste","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","1989-11-10","https://i.scdn.co/image/ab67616d0000b273b24dc2f125c785d242029041","1","1","301426","https://p.scdn.co/mp3-preview/b6eabf66a8562aacb9558c3db6f9056578129996?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-21T03:13:40Z"
"spotify:track:1TWEQy0hgp1CnXNethzpLV","Didn't the Night End","spotify:artist:1VFYpTpgmp7ANXqok2dTg3, spotify:artist:1i5rlthy5CmAYWaFOB0jhz","The Body, Full Of Hell","spotify:album:4SXIysQ9zTWimy9uo5GMy8","Ascending a Mountain of Heavy Light","spotify:artist:1VFYpTpgmp7ANXqok2dTg3, spotify:artist:1i5rlthy5CmAYWaFOB0jhz","The Body, Full Of Hell","2017-11-17","https://i.scdn.co/image/ab67616d0000b273a1459fe2bc83d7ebc2f9e553","1","4","311204","https://p.scdn.co/mp3-preview/0d6bc9e76bad5d965e50d7d516a9a08f96807735?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-21T04:10:24Z"
"spotify:track:3cy5kSb3ZxYKoPg3WRgQoT","we waste time FADED","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","spotify:album:09EUyV2T88hIcIBnlNyrNF","DXXM","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","2018-05-04","https://i.scdn.co/image/ab67616d0000b273d31792abc205d3349c1aa98b","1","5","147428","https://p.scdn.co/mp3-preview/341bbc034ced9a91698f2446583f5c6364d691f8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-21T03:08:00Z"
"spotify:track:5iYsOFFm9jqytWpIOTzI2i","In A Grave","spotify:artist:5jh7sgXW2njALiIh0aPXjB, spotify:artist:6fxyWrfmjcbj5d12gXeiNV, spotify:artist:18ca9d5EU5R1AhVKPR1cm0, spotify:artist:4kANxfLenUobb7t5fHSrgA","Show Me the Body, Denzel Curry, Eartheater, Moor Mother","spotify:album:3sR99ifBBjElpRmIGkstcm","Corpus I","spotify:artist:5jh7sgXW2njALiIh0aPXjB","Show Me the Body","2017-03-24","https://i.scdn.co/image/ab67616d0000b2732fd250e2666e6bfb0ea19c68","1","5","163153","https://p.scdn.co/mp3-preview/29f28b57810feed9b30915db7104f74a7ab84c3d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-21T03:08:06Z"
"spotify:track:7jxuzJIr80FEIghYrfvzWH","Shock Front","spotify:artist:5UDclMDQGpjU8WK59SWymU","Converter","spotify:album:1coMMPmUQVW43o84G28ghJ","Shock Front","spotify:artist:5UDclMDQGpjU8WK59SWymU","Converter","1999-05-10","https://i.scdn.co/image/ab67616d0000b273aa67d443c17ee122c3259bca","1","2","435400","https://p.scdn.co/mp3-preview/dd81b2b3d3add84f848f082e141c47fb0b7d21ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-21T03:11:31Z"
"spotify:track:6rxUl3tyVMZUaKq5J7gZug","Looking Like Meat","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I, spotify:artist:5KuuNGYTUTokLerXMNYCGL","clipping., Ho99o9","spotify:album:0b1q9se93BEqBl3kiltn33","Visions of Bodies Being Burned","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","2020-10-23","https://i.scdn.co/image/ab67616d0000b273b63780c667c5cc123273294b","1","11","209525","https://p.scdn.co/mp3-preview/a8e64c2f1a8a2e40fe8dd0f5296e8a6156d8700d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-21T03:08:59Z"
"spotify:track:3Mns4Bp3YcGlXGTuGmd0Qd","FACEPLANT","spotify:artist:6TeJpqb3PcvfHxjKAEKCNu","PRXJEK","spotify:album:2k7BjkQidg8prFIIl70wut","FACEPLANT [Prod. Xerogi]","spotify:artist:6TeJpqb3PcvfHxjKAEKCNu","PRXJEK","2017-06-06","https://i.scdn.co/image/ab67616d0000b27363f58f28576e7e7474cecaa3","1","1","110811","https://p.scdn.co/mp3-preview/0772c17cb2c2b3002d1db2bbff9052d55687d101?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-21T03:09:19Z"
"spotify:track:3n4yrEaXbzdZh27TK2WqsK","Haveblue","spotify:artist:4qRvtAdrXBBT0flfKrVmxG","Five Star Hotel","spotify:album:113KYCkSBJ4wMa497lShYS","Machine Girl / Five Star Hotel","spotify:artist:4qRvtAdrXBBT0flfKrVmxG, spotify:artist:17Vw9uuOYB7XYjPt0LNFN0","Five Star Hotel, Machine Girl","2016-10-31","https://i.scdn.co/image/ab67616d0000b2737709e08541d8827cb8eba85e","1","9","123893","https://p.scdn.co/mp3-preview/6dcad62c1a157afb7e62cd2a93b1861fac36d4be?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-21T03:09:33Z"
"spotify:track:7ywLarZhHde9gRmeWWLbkb","I Have Clarity","spotify:artist:0DGtv5OHFgXsRhHh81ATPn","ESA (Electronic Substance Abuse)","spotify:album:7ljXOMXc0NwNZzUXnmT7Y3","That Beast","spotify:artist:0DGtv5OHFgXsRhHh81ATPn","ESA (Electronic Substance Abuse)","2018-03-09","https://i.scdn.co/image/ab67616d0000b2738c6dac1fb7287e0b8ea68137","1","1","482750","https://p.scdn.co/mp3-preview/b6c562c7d35fdc1e64bc6b5fc53efa38cb7e1fdd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-21T03:12:02Z"
"spotify:track:4bQcckDpE6MzROoP7fhErj","Thrones of Blood","spotify:artist:4ItRDIouodpnW6nm4TYDk1","Suffocation","spotify:album:3DkYd4sSQypuGcrsw2sU5K","Pierced From Within","spotify:artist:4ItRDIouodpnW6nm4TYDk1","Suffocation","1995-05-22","https://i.scdn.co/image/ab67616d0000b2734f09da09c977427f08b4c7cf","1","2","314933","https://p.scdn.co/mp3-preview/d01778eaaa043dbcf49c94a92d2fb544ad69755b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-21T03:12:54Z"
"spotify:track:6DU1WKdUnR7OZkw7BZl9P0","Funeralopolis","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","spotify:album:1AxwLCMtx8rnIxkFQKU2LO","Dopethrone","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","2006","https://i.scdn.co/image/ab67616d0000b273d11797b2bfbfefe908e0ad92","1","2","523333","https://p.scdn.co/mp3-preview/1f518f97f250d234cd29b6a03388867654eb8b43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-21T03:12:54Z"
"spotify:track:6NxjhUOm66qaQjeCkUUQ0R","Demiurge","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:5QElF4iyeMTrQlJ0I3OqIs","Koloss","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2012-03-23","https://i.scdn.co/image/ab67616d0000b2736c1b1e3009d0f4fd81c5a4b9","1","9","372866","https://p.scdn.co/mp3-preview/b1afb9b5f9aa2ab7e0d9515ffb59c796a4d001c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-21T03:12:54Z"
"spotify:track:0EgpEvw6pypRmij6kT5qgc","Towers of Emptiness","spotify:artist:5A4ebXQf38xWIq0xSWLhsS","Godflesh","spotify:album:1UbMFz1E6gcjrIvqohXoBk","A World Lit Only by Fire","spotify:artist:5A4ebXQf38xWIq0xSWLhsS","Godflesh","2017-09-24","https://i.scdn.co/image/ab67616d0000b273fcfd37962c7f81c853406d20","1","9","394500","https://p.scdn.co/mp3-preview/01ea96bf3f1a53995505e0514290e29763773b03?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-21T03:12:54Z"
"spotify:track:3UBmvrrksHebAKeQHBY06u","Neon Barnacle","spotify:artist:6AMqkTWbhukzRS5je3Q5qt","Frontierer","spotify:album:3AlBoQLSFlDkFhACAos7f2","Unloved","spotify:artist:6AMqkTWbhukzRS5je3Q5qt","Frontierer","2018-07-27","https://i.scdn.co/image/ab67616d0000b2731a46585b93ea409e239e3dda","1","12","226417","https://p.scdn.co/mp3-preview/b9a526fc0b7141f2d5d56149cff823850e89e71a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-21T03:13:26Z"
"spotify:track:5pUudDDuJgIpgKIGk2zmxv","Baby I'm Bleeding","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:51WLEfPEEkzAWurvuY6Gco","Veteran","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2018-01-19","https://i.scdn.co/image/ab67616d0000b273f8aaeba5e6dee1745371e822","1","5","152245","https://p.scdn.co/mp3-preview/6eb0df5dafb88135733be7bac8ea71815eefc501?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-21T03:18:00Z"
"spotify:track:0QVR1JB0Qmn3ACQlO4jmxH","Lights Out","spotify:artist:4GHi4xklo0FT0l2CNuLFh2, spotify:artist:5KuuNGYTUTokLerXMNYCGL","3TEETH, Ho99o9","spotify:album:0o92Evms1fdF3xwyFib88p","Lights Out","spotify:artist:4GHi4xklo0FT0l2CNuLFh2, spotify:artist:5KuuNGYTUTokLerXMNYCGL","3TEETH, Ho99o9","2018-02-07","https://i.scdn.co/image/ab67616d0000b273c19af1009e613f4ec9732900","1","1","255773","https://p.scdn.co/mp3-preview/b6b5d701de832ec9233dc99b8ce90d6a7e421ea9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-21T03:18:31Z"
