"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3doXY6Mbglh7gPSV0d3eut","I Am Colossus","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:5QElF4iyeMTrQlJ0I3OqIs","Koloss","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2012-03-23","https://i.scdn.co/image/ab67616d0000b2736c1b1e3009d0f4fd81c5a4b9","1","1","283493","https://p.scdn.co/mp3-preview/d54d2163a2639185a93721fd2119c424b83ed1a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-09T20:30:08Z"
"spotify:track:1hRF1ENX4yDUesJYPYgJ5b","The Demon's Name Is Surveillance","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:5QElF4iyeMTrQlJ0I3OqIs","Koloss","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2012-03-23","https://i.scdn.co/image/ab67616d0000b2736c1b1e3009d0f4fd81c5a4b9","1","2","279333","https://p.scdn.co/mp3-preview/846f83f517ff0fa3a4e502b5ced79b61aae9e5a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-09T20:30:08Z"
"spotify:track:3j63DQ8vYUyRIbSuyl9kfW","Do Not Look Down","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:5QElF4iyeMTrQlJ0I3OqIs","Koloss","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2012-03-23","https://i.scdn.co/image/ab67616d0000b2736c1b1e3009d0f4fd81c5a4b9","1","3","283800","https://p.scdn.co/mp3-preview/4ac51879081a439011e1a836e93280bbb0ebaf1a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-09T20:30:08Z"
"spotify:track:5ivwDs6p5oB0XEAlUi7l62","Behind the Sun","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:5QElF4iyeMTrQlJ0I3OqIs","Koloss","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2012-03-23","https://i.scdn.co/image/ab67616d0000b2736c1b1e3009d0f4fd81c5a4b9","1","4","374160","https://p.scdn.co/mp3-preview/33b777152d94f67e8c581b2cad0d31c19db3d724?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-09T20:30:08Z"
"spotify:track:6SpUlGMCYL46KNHjcgO0cZ","The Hurt That Finds You First","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:5QElF4iyeMTrQlJ0I3OqIs","Koloss","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2012-03-23","https://i.scdn.co/image/ab67616d0000b2736c1b1e3009d0f4fd81c5a4b9","1","5","333800","https://p.scdn.co/mp3-preview/5bb3fdc39456e06599277fb15e4bafe9f9d7100b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-09T20:30:08Z"
"spotify:track:5RUv20pEXtft7EcpJ9np4o","Marrow","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:5QElF4iyeMTrQlJ0I3OqIs","Koloss","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2012-03-23","https://i.scdn.co/image/ab67616d0000b2736c1b1e3009d0f4fd81c5a4b9","1","6","335066","https://p.scdn.co/mp3-preview/c3335ee874c80b080aaecdbb0ffc7dd12cb6b8bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-09T20:30:08Z"
"spotify:track:09KZmvGHicgoGBeqJ2VBkv","Break Those Bones Whose Sinews Gave It Motion","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:5QElF4iyeMTrQlJ0I3OqIs","Koloss","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2012-03-23","https://i.scdn.co/image/ab67616d0000b2736c1b1e3009d0f4fd81c5a4b9","1","7","415306","https://p.scdn.co/mp3-preview/63b88304b913deae647f375de795451dd400d2e2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-09T20:30:08Z"
"spotify:track:1rgAHAJIDL1mzjd6YKQZjx","Swarm","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:5QElF4iyeMTrQlJ0I3OqIs","Koloss","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2012-03-23","https://i.scdn.co/image/ab67616d0000b2736c1b1e3009d0f4fd81c5a4b9","1","8","326400","https://p.scdn.co/mp3-preview/cc10cd39a73c8e245411835fec97eb70f6d2d767?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-09T20:30:08Z"
"spotify:track:6NxjhUOm66qaQjeCkUUQ0R","Demiurge","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:5QElF4iyeMTrQlJ0I3OqIs","Koloss","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2012-03-23","https://i.scdn.co/image/ab67616d0000b2736c1b1e3009d0f4fd81c5a4b9","1","9","372866","https://p.scdn.co/mp3-preview/b1afb9b5f9aa2ab7e0d9515ffb59c796a4d001c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-09T20:30:08Z"
"spotify:track:30UsBuko1dUNoAFDsXBgP5","The Last Vigil","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:5QElF4iyeMTrQlJ0I3OqIs","Koloss","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2012-03-23","https://i.scdn.co/image/ab67616d0000b2736c1b1e3009d0f4fd81c5a4b9","1","10","272560","https://p.scdn.co/mp3-preview/66d12d26cb73aeec013e64e99e6b3c04c09b5d97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-09T20:30:08Z"
