"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3xLqwykOGrA8NDfAHrXuDr","Scapegoat","spotify:artist:7mO0JGOATH8fVHvgCdZsXh","Kylesa","spotify:album:0Aj7YOQ3gK97MouZ487emF","Static Tensions","spotify:artist:7mO0JGOATH8fVHvgCdZsXh","Kylesa","2009-03-17","https://i.scdn.co/image/ab67616d0000b27388a6d016f0e2193feed57386","1","1","204973","https://p.scdn.co/mp3-preview/022c2cdf321153873446542716247337e3609b73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-08T22:56:59Z"
"spotify:track:5jiiUKAOXSVcTy5MojXx5v","Nature's Predators","spotify:artist:7mO0JGOATH8fVHvgCdZsXh","Kylesa","spotify:album:0Aj7YOQ3gK97MouZ487emF","Static Tensions","spotify:artist:7mO0JGOATH8fVHvgCdZsXh","Kylesa","2009-03-17","https://i.scdn.co/image/ab67616d0000b27388a6d016f0e2193feed57386","1","6","250026","https://p.scdn.co/mp3-preview/78bfb20c3f894017efae3eaa21cd34956b99d6b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-08T22:59:59Z"
"spotify:track:4bDHr5yOmdI2nmbWvBpPS2","Dark Horse","spotify:artist:7kHzfxMLtVHHb523s43rY1","Converge","spotify:album:0sAtQQ4Y2zewIIxFidHbVR","Axe To Fall","spotify:artist:7kHzfxMLtVHHb523s43rY1","Converge","2009-10-20","https://i.scdn.co/image/ab67616d0000b27313dfb6ac92c44ac010e1d706","1","1","174746","https://p.scdn.co/mp3-preview/257c27b1df8402ddb9c9dbf02f447d55e947bf4b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-09T22:34:03Z"
"spotify:track:5utTwbiYVzAQILX18liKiz","Satisfy","spotify:artist:4uRYpUQZrNrY5t8tAv3XrD","NERO","spotify:album:5g6eO6WgJLARS71yyRzzBV","Satisfy","spotify:artist:4uRYpUQZrNrY5t8tAv3XrD","NERO","2014-01-01","https://i.scdn.co/image/ab67616d0000b2736dd70e6ace3f04685081b13a","1","1","284516","https://p.scdn.co/mp3-preview/2432f87e3508f1b6059c3003446b6f0d606c54ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-09T22:34:17Z"
"spotify:track:4A7qcJp2Sg867JST1pSPJz","Promises","spotify:artist:4uRYpUQZrNrY5t8tAv3XrD","NERO","spotify:album:7mLdDLzH8tMpan5Xi8tzB3","Welcome Reality","spotify:artist:4uRYpUQZrNrY5t8tAv3XrD","NERO","2011-01-01","https://i.scdn.co/image/ab67616d0000b273706811593f37c38a843ae35d","1","13","257359","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-09T22:34:17Z"
"spotify:track:47r2YKldN36ykegWkciO0E","Doomsday","spotify:artist:4uRYpUQZrNrY5t8tAv3XrD","NERO","spotify:album:7mLdDLzH8tMpan5Xi8tzB3","Welcome Reality","spotify:artist:4uRYpUQZrNrY5t8tAv3XrD","NERO","2011-01-01","https://i.scdn.co/image/ab67616d0000b273706811593f37c38a843ae35d","1","2","251649","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-09T22:34:17Z"
"spotify:track:5KirH5QuyG2cybx3fOURIG","Cold as Ice","spotify:artist:6IRouO5mvvfcyxtPDKMYFN","Foreigner","spotify:album:1zkinzWtpKeB39wdhj3Wo4","Records","spotify:artist:6IRouO5mvvfcyxtPDKMYFN","Foreigner","1982-11-17","https://i.scdn.co/image/ab67616d0000b2736656158253b4248003c79840","1","1","200213","https://p.scdn.co/mp3-preview/cf18b5451f250c4a2f6bc8dbb720f2aa164cffa9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-09T22:34:17Z"
"spotify:track:1mEaiE4yw6BsaNMsctM4Sr","TOXIC GARBAGE ISLAND","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt","Gojira","spotify:album:0OAWwL9eFzu2FHdI1EsDYQ","The Way of all Flesh","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt","Gojira","2008","https://i.scdn.co/image/ab67616d0000b27395d75c4cad157c2a8f465d6e","1","2","246680","https://p.scdn.co/mp3-preview/6c22a556ba8255ec9c5802f7450550c1be4d3d1e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-09T22:34:34Z"
"spotify:track:7vxtxgtlAecGklW2gomanZ","Flying Whales","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt","Gojira","spotify:album:649Pw0BSJIufilSgkogX9A","From Mars to Sirius","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt","Gojira","2005","https://i.scdn.co/image/ab67616d0000b27373620e8ba892439f46120b87","1","7","464453","https://p.scdn.co/mp3-preview/c4e3a61dd4533592092062266065c5bef197f17f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-09T22:34:42Z"
"spotify:track:25I6CiICRyGB0K7E9c7Ho0","The Axe","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt","Gojira","spotify:album:5dxqD5Kc6cRRi3rErmDfXG","L'Enfant Sauvage (Special Edition)","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt","Gojira","2012-06-26","https://i.scdn.co/image/ab67616d0000b2733ac9158414ee0e4042ffc56d","1","3","274480","https://p.scdn.co/mp3-preview/530bb179a53b76d96e29362482c74b68cf275c39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-02-09T22:34:51Z"
