"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:52UcjsM15hjCQAUbTW2hy1","Only Shallow","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","spotify:album:3GH4IiI6jQAIvnHVdb5FB6","Loveless","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","1991-11-04","https://i.scdn.co/image/ab67616d0000b2730ede770070357575bc050511","1","1","257519","https://p.scdn.co/mp3-preview/c3e2e9a753345c0a10fbc6dedc8d097ad905d085?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-25T19:00:49Z"
"spotify:track:3ow0TQVttXQF8rLckmXgRx","Cherub Rock - Remastered 2011","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","spotify:album:0bQglEvsHphrS19FGODEGo","Siamese Dream (Deluxe Edition)","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","1993","https://i.scdn.co/image/ab67616d0000b2735274788f34fc7656d2856dfd","1","1","298253","https://p.scdn.co/mp3-preview/ef5bbbe4699eae5582ad8c62fc9843ea0e90d546?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-25T19:04:34Z"
"spotify:track:0Qrb3L8JgreLBW8g4qyan9","Back to School (Mini Maggit)","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:5LEXck3kfixFaA3CqVE7bC","White Pony","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","2000-05-16","https://i.scdn.co/image/ab67616d0000b2735c53799f473fa3e1a48c00ed","1","1","237360","https://p.scdn.co/mp3-preview/90fa9e5411114424cb522167565ea10b96466354?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-25T19:01:03Z"
"spotify:track:46PDxEshU0SPeKY36Pu3FY","Tread Lightly","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","spotify:album:7mEkBi9a2p2f1WQbnH8Qk5","Once More 'Round the Sun","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","2014-06-20","https://i.scdn.co/image/ab67616d0000b2736faddf21400e22f617bcd2e4","1","1","314040","https://p.scdn.co/mp3-preview/b3122cd0af25fae7970015a2b5e181df09fc0c39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-25T19:01:11Z"
"spotify:track:7JzmCjvB6bk48JghLyrg8N","Last Living Souls","spotify:artist:3AA28KZvwAUcZuOKwyblJQ","Gorillaz","spotify:album:0bUTHlWbkSQysoM3VsWldT","Demon Days","spotify:artist:3AA28KZvwAUcZuOKwyblJQ","Gorillaz","2005-05-23","https://i.scdn.co/image/ab67616d0000b27319d85a472f328a6ed9b704cf","1","2","195400","https://p.scdn.co/mp3-preview/f465e73153bb8f7956a497b398c1ebc94e489717?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-25T19:09:51Z"
"spotify:track:4Ynr1SPCeUI0W0YPeSFSIK","Oblivion","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","spotify:album:2W2nqEKXWBorbq5yvm3jZg","Crack the Skye","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","2009","https://i.scdn.co/image/ab67616d0000b273ac79283ccb6d08af31fd33d8","1","1","346573","https://p.scdn.co/mp3-preview/0e941dde5899f437d8e5222d022c544eb10cb347?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-25T19:01:16Z"
"spotify:track:2bdlaYYLaXJIguKSSS63Lz","For Her Light","spotify:artist:3m8KqUjgKDwmJ9L9uBHMMs","Fields Of The Nephilim","spotify:album:08udU6yfPDCUmNXfByjwtE","Elizium","spotify:artist:3m8KqUjgKDwmJ9L9uBHMMs","Fields Of The Nephilim","1990","https://i.scdn.co/image/ab67616d0000b273c380e81769edaa322627fac1","1","2","181466","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-25T19:01:32Z"
"spotify:track:6ZzeXWwDvMzrgCWt9RwBj1","Pretty Noose","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:1IVa98im1RfxYp6qeOIg2B","Down On The Upside","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1996-05-21","https://i.scdn.co/image/ab67616d0000b2736d70b73bcb327515e9fa8fac","1","1","251866","https://p.scdn.co/mp3-preview/73dd1547e043f43519ad84d2e345dfbf068cd237?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-25T19:01:44Z"
"spotify:track:0eX5QY6o5cb9W72zVmWWjV","The Power of Equality","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:30Perjew8HyGkdSmqguYyg","Blood Sugar Sex Magik (Deluxe Edition)","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","1991-09-24","https://i.scdn.co/image/ab67616d0000b273153d79816d853f2694b2cc70","1","1","243533","https://p.scdn.co/mp3-preview/9695ed4925183caa3be20707cd1d3f25f98e9e17?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-25T19:02:02Z"
"spotify:track:73mseL1QMWuOVIrYwIFlPf","Let Me Drown","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:29sTacnS0qA9xri6YS8xLA","Superunknown (Deluxe Edition)","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b273ae6d8e36136353d550b2587d","1","1","232546","https://p.scdn.co/mp3-preview/d36a919a164aace08c31642376387d7edb1004d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-25T19:04:01Z"
