"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1iArQTuOzxvrtniGmkyy92","Burden In My Hand","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:1IVa98im1RfxYp6qeOIg2B","Down On The Upside","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1996-05-21","https://i.scdn.co/image/ab67616d0000b2736d70b73bcb327515e9fa8fac","1","7","290106","https://p.scdn.co/mp3-preview/36552bd26f508af909187ca9b2e3a5683c66733c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-09T21:19:56Z"
"spotify:track:5sFDReWLrZHLFZFjHsjUTS","Would?","spotify:artist:64tNsm6TnZe2zpcMVMOoHL","Alice In Chains","spotify:album:58NXIEYqmq5dQHg9nV9duM","Dirt","spotify:artist:64tNsm6TnZe2zpcMVMOoHL","Alice In Chains","1992-09-29","https://i.scdn.co/image/ab67616d0000b27331ea2c36c5da3979177127b1","1","13","206773","https://p.scdn.co/mp3-preview/1a21c213ead8446fe9053ddc70dd4c66e5204562?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-09T21:19:37Z"
"spotify:track:6dJODklApmve5IzgKWUqV2","Machinehead","spotify:artist:78SHxLdtysAXgywQ4vE0Oa","Bush","spotify:album:5IJm0boSQuEBLiYNZJKV2Y","Sixteen Stone (Remastered)","spotify:artist:78SHxLdtysAXgywQ4vE0Oa","Bush","2014-10-14","https://i.scdn.co/image/ab67616d0000b273b915466e715e0bf6c3da35a1","1","7","256333","https://p.scdn.co/mp3-preview/68af454375c0e97fbf4d432a146b1dd2dcae4f2c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-09T21:19:51Z"
"spotify:track:5TYQonY07iJP2ULhR4ptce","Mellowship Slinky in B Major","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:30Perjew8HyGkdSmqguYyg","Blood Sugar Sex Magik (Deluxe Edition)","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","1991-09-24","https://i.scdn.co/image/ab67616d0000b273153d79816d853f2694b2cc70","1","7","239960","https://p.scdn.co/mp3-preview/d2e056336d917a936630fb769c8af13e87f01cd3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-09T21:22:38Z"
"spotify:track:5ITOTuCOy6y4PB55CSZADE","The Righteous & the Wicked","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:30Perjew8HyGkdSmqguYyg","Blood Sugar Sex Magik (Deluxe Edition)","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","1991-09-24","https://i.scdn.co/image/ab67616d0000b273153d79816d853f2694b2cc70","1","8","248000","https://p.scdn.co/mp3-preview/fdc208b27b2db9b3358adc58d604d81db28d3c27?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-09T21:22:38Z"
"spotify:track:0uppYCG86ajpV2hSR3dJJ0","Give It Away","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:30Perjew8HyGkdSmqguYyg","Blood Sugar Sex Magik (Deluxe Edition)","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","1991-09-24","https://i.scdn.co/image/ab67616d0000b273153d79816d853f2694b2cc70","1","9","282906","https://p.scdn.co/mp3-preview/fcdf3224d230b26b637418c2d1028bc482db7fce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-09T21:22:49Z"
"spotify:track:3p3BfV7NeWCAHx9tSwsJEQ","Apache Rose Peacock","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:30Perjew8HyGkdSmqguYyg","Blood Sugar Sex Magik (Deluxe Edition)","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","1991-09-24","https://i.scdn.co/image/ab67616d0000b273153d79816d853f2694b2cc70","1","13","282133","https://p.scdn.co/mp3-preview/2586a9443c80d669482ed9405478a38c28470e6f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-09T21:22:49Z"
"spotify:track:0cG9ocYqYOIVtgiWTmTe3g","Breaking the Girl","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:30Perjew8HyGkdSmqguYyg","Blood Sugar Sex Magik (Deluxe Edition)","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","1991-09-24","https://i.scdn.co/image/ab67616d0000b273153d79816d853f2694b2cc70","1","3","295373","https://p.scdn.co/mp3-preview/5cfe126a64a752ae61b91a5bf92b6235c0233ca2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-09T21:22:56Z"
"spotify:track:5ynO8cYFjDwELIZfFHHeYe","Synchronicity II","spotify:artist:5NGO30tJxFlKixkPSgXcFE","The Police","spotify:album:5W9OT0a5iZlBr83a9WMKFY","Synchronicity (Remastered 2003)","spotify:artist:5NGO30tJxFlKixkPSgXcFE","The Police","1983-06-17","https://i.scdn.co/image/ab67616d0000b273c8e97cafeb2acb85b21a777e","1","6","300466","https://p.scdn.co/mp3-preview/1d87c214a82f7f65371525317e1337a7f48e49a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-09T21:23:51Z"
"spotify:track:4P723ZazKqQox4zEwgsDec","Driver 8","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","spotify:album:26vUt4edIwqnvkaTzHqkv3","Fables Of The Reconstruction","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","1985-06-10","https://i.scdn.co/image/ab67616d0000b27379d6ef956c7a368a75077e74","1","3","203800","https://p.scdn.co/mp3-preview/13b27af144320549d2e5c0f7425406ee953aadb7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-03-09T21:24:08Z"
