"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3pi9JXPYTWs6o2JmibQS3y","Stengah","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:3w341z84e9IpW3PED2WPEB","Nothing","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2002-09-16","https://i.scdn.co/image/ab67616d0000b273b176688b0704575d3003b364","1","1","338253","https://p.scdn.co/mp3-preview/487100aab67171098a5819bf64dc1be8928203ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-16T21:03:38Z"
"spotify:track:1BrgMKcTfNFNVDIIp3d6N8","Rational Gaze","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:3w341z84e9IpW3PED2WPEB","Nothing","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2002-09-16","https://i.scdn.co/image/ab67616d0000b273b176688b0704575d3003b364","1","2","304493","https://p.scdn.co/mp3-preview/b6ba5501485f515c15e478f551e344f66daec2d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-16T21:03:38Z"
"spotify:track:7cmmga8ySCSDqEsk63H11F","Perpetual Black Second","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:3w341z84e9IpW3PED2WPEB","Nothing","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2002-09-16","https://i.scdn.co/image/ab67616d0000b273b176688b0704575d3003b364","1","3","278986","https://p.scdn.co/mp3-preview/8d768782a70f9a8c3468c26414893f126251103a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-16T21:03:38Z"
"spotify:track:7efroeJcdYks38Z9sZ653V","Closed Eye Visuals","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:3w341z84e9IpW3PED2WPEB","Nothing","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2002-09-16","https://i.scdn.co/image/ab67616d0000b273b176688b0704575d3003b364","1","4","445773","https://p.scdn.co/mp3-preview/f8917b1cefda7dedce05cb08268fe71598a20b61?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-16T21:03:38Z"
"spotify:track:2HWdk3s8Fw3Ux71qOXoQt9","Glints Collide","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:3w341z84e9IpW3PED2WPEB","Nothing","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2002-09-16","https://i.scdn.co/image/ab67616d0000b273b176688b0704575d3003b364","1","5","295733","https://p.scdn.co/mp3-preview/481b4bf75efe08a156a881bf1b81c4e241ba4114?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-16T21:03:38Z"
"spotify:track:3XkX7NVol3yKaYLu9Baog2","Organic Shadows","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:3w341z84e9IpW3PED2WPEB","Nothing","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2002-09-16","https://i.scdn.co/image/ab67616d0000b273b176688b0704575d3003b364","1","6","307933","https://p.scdn.co/mp3-preview/58f4e88600f2277e04cd88a38772c680724019a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-16T21:03:38Z"
"spotify:track:6KWh7yuyyihAmhVLI12cSY","Straws Pulled at Random","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:3w341z84e9IpW3PED2WPEB","Nothing","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2002-09-16","https://i.scdn.co/image/ab67616d0000b273b176688b0704575d3003b364","1","7","310506","https://p.scdn.co/mp3-preview/da49a6d5199feedb364ae65a0c7dae82de212eba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-16T21:03:38Z"
"spotify:track:2oLA30tCLJMLR8vsLtjTU3","Spasm","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:3w341z84e9IpW3PED2WPEB","Nothing","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2002-09-16","https://i.scdn.co/image/ab67616d0000b273b176688b0704575d3003b364","1","8","254613","https://p.scdn.co/mp3-preview/10c69c8dbdf7387104315c304742d8a264c00648?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-16T21:03:38Z"
"spotify:track:2KDIHOuOQCKw4BpieKsY3x","Nebulous","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:3w341z84e9IpW3PED2WPEB","Nothing","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2002-09-16","https://i.scdn.co/image/ab67616d0000b273b176688b0704575d3003b364","1","9","393280","https://p.scdn.co/mp3-preview/3819d28b6d7254a2e6998c04f08791b138ee0615?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-16T21:03:38Z"
"spotify:track:73GLISsfUsZJibj8YkQCg9","Obsidian","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:3w341z84e9IpW3PED2WPEB","Nothing","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2002-09-16","https://i.scdn.co/image/ab67616d0000b273b176688b0704575d3003b364","1","10","262213","https://p.scdn.co/mp3-preview/c8603df7c1afb365fc81a8d62137c35104d9154e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-16T21:03:38Z"
