"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7t3zWOXjlXQ2NYeEc6EoYr","Somnarium","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","spotify:album:7IoPLwGpntUE7VaEXEU67i","Weightless","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","2011-11-08","https://i.scdn.co/image/ab67616d0000b273eda0d4ce815da9d0100561ba","1","3","255320","https://p.scdn.co/mp3-preview/478ff9f63e6fd7ab74bbb5328b2eec47eb06f0cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-16T19:53:13Z"
"spotify:track:3fqfuK6PQITWU0fCKfo31d","White Lines","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","spotify:album:3e7vtKJ3m1zVh38VGq2g3H","Atrocity Exhibition","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","2016-09-27","https://i.scdn.co/image/ab67616d0000b2733e25c9ef701bb637773531fe","1","8","143729","https://p.scdn.co/mp3-preview/12bf96a1e57e4fc9d9b23ad07ffd5adc40caaf9d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-16T19:53:54Z"
"spotify:track:6l2Q1Jb5c2VycqDEzp5ZlJ","Pneumonia","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","spotify:album:3e7vtKJ3m1zVh38VGq2g3H","Atrocity Exhibition","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","2016-09-27","https://i.scdn.co/image/ab67616d0000b2733e25c9ef701bb637773531fe","1","9","219883","https://p.scdn.co/mp3-preview/2524418cdb7b8fec1e4d7d838c741b1f23bb3bfd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-16T19:53:54Z"
"spotify:track:6KWh7yuyyihAmhVLI12cSY","Straws Pulled at Random","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:3w341z84e9IpW3PED2WPEB","Nothing","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2002-09-16","https://i.scdn.co/image/ab67616d0000b273b176688b0704575d3003b364","1","7","310506","https://p.scdn.co/mp3-preview/da49a6d5199feedb364ae65a0c7dae82de212eba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-16T19:53:16Z"
"spotify:track:3wUX7HpXS382s1DHTRouVk","We The People....","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","spotify:album:3WvQpufOsPzkZvcSuynCf3","We got it from Here... Thank You 4 Your service","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","2016-11-11","https://i.scdn.co/image/ab67616d0000b27389450c8e877bf04203b86819","1","2","172013","https://p.scdn.co/mp3-preview/33d620e9e6fc1896f1c8bd6292b325f05030aad1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-02T01:13:51Z"
"spotify:track:4cQoLN88Czh68CjxwcUPVD","Sanctuary","spotify:artist:1687IqXRdWmbRshgn194tT","Elder","spotify:album:3KHAbIF4DHori5AW2nWdUA","Reflections of a Floating World","spotify:artist:1687IqXRdWmbRshgn194tT","Elder","2017-06-02","https://i.scdn.co/image/ab67616d0000b273663a75c6ff487652991bc5dd","1","1","673666","https://p.scdn.co/mp3-preview/0a44c59ca110541c96f8531a67516165d370e342?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-04T16:41:38Z"
"spotify:track:6HZILIRieu8S0iqY8kIKhj","DNA.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:4eLPsYPBmXABThSJ821sqY","DAMN.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2017-04-14","https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699","1","2","185946","https://p.scdn.co/mp3-preview/aec48a4071604915de3bf1556393279ef3435b52?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-04T16:44:41Z"
"spotify:track:1BiCPudYwu9iGXhMnsPrZ6","Coldly Calculated Design","spotify:artist:1FQ6uth7icR6Jhla16K2vC","The Faceless","spotify:album:2Ba27h8snSUMJDvdzOlDKQ","Planetary Duality","spotify:artist:1FQ6uth7icR6Jhla16K2vC","The Faceless","2008-11-10","https://i.scdn.co/image/ab67616d0000b273a87f7e9173f0081ec88e54fc","1","4","220866","https://p.scdn.co/mp3-preview/adccde8b10c1c081e5e9daeff32d9f755b072313?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-13T15:22:13Z"
"spotify:track:0jvdrilqUTBugcaGEPZGN7","XenoChrist","spotify:artist:1FQ6uth7icR6Jhla16K2vC","The Faceless","spotify:album:2Ba27h8snSUMJDvdzOlDKQ","Planetary Duality","spotify:artist:1FQ6uth7icR6Jhla16K2vC","The Faceless","2008-11-10","https://i.scdn.co/image/ab67616d0000b273a87f7e9173f0081ec88e54fc","1","5","301173","https://p.scdn.co/mp3-preview/709d29b471f3f9da81ddfcce4d425bf05d344e1c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-13T15:22:13Z"
"spotify:track:6XZn9frOzXFM2eiVzwbCU9","Planetary Duality I: Hideous Revelation","spotify:artist:1FQ6uth7icR6Jhla16K2vC","The Faceless","spotify:album:2Ba27h8snSUMJDvdzOlDKQ","Planetary Duality","spotify:artist:1FQ6uth7icR6Jhla16K2vC","The Faceless","2008-11-10","https://i.scdn.co/image/ab67616d0000b273a87f7e9173f0081ec88e54fc","1","8","94213","https://p.scdn.co/mp3-preview/7dc0d44880ee9ca82f00c41c8c39e9a31975ff3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-13T15:22:13Z"
"spotify:track:7aV0OIPQ1wrRiZ2YvP5sUG","Planetary Duality II: A Prophecies Fruition","spotify:artist:1FQ6uth7icR6Jhla16K2vC","The Faceless","spotify:album:2Ba27h8snSUMJDvdzOlDKQ","Planetary Duality","spotify:artist:1FQ6uth7icR6Jhla16K2vC","The Faceless","2008-11-10","https://i.scdn.co/image/ab67616d0000b273a87f7e9173f0081ec88e54fc","1","9","327666","https://p.scdn.co/mp3-preview/119028f782ff98e3610816f4d8e4da78fa5e11c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2021-01-13T15:22:13Z"
"spotify:track:7MRoKkwofknta2RlGBQ8Sw","Fireheart","spotify:artist:5Cz18ETgjR6kcVMUK0YOqD, spotify:artist:1JYiiMSymJvrBW746otAla","Nachtmystium, Scott Judd","spotify:album:3ZLXI2NRAo46TytlWO4db9","The World We Left Behind","spotify:artist:5Cz18ETgjR6kcVMUK0YOqD","Nachtmystium","2014-08-05","https://i.scdn.co/image/ab67616d0000b27380b90aee55c5f803c60a0983","1","2","315481","https://p.scdn.co/mp3-preview/539c37f9066c9545f011d3d5d7b634dd42f7bed3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-16T19:53:21Z"
