"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2mKsPUojh602HvSeNt04CB","No Woman, No Cry - Live At The Lyceum, London/1975","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:24qLt9W28msLjUqsucGt1B","Live!","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","1975-01-01","https://i.scdn.co/image/ab67616d0000b2736c5c19571f37edf0d66f73b9","1","5","427800","","false","0","spotify:user:","2010-09-21T21:37:54Z"
"spotify:track:65feEGMCz3TnkTYtvUsful","Israelites","spotify:artist:4fmVPsGxjwP5ruiTEvIcOt","Desmond Dekker & The Aces","spotify:album:1Pq7Wpr50SiCFkHp0g2auU","Reggae Legends","spotify:artist:1FcB6xMihhP9Hb6AdGVbWe","Desmond Dekker","2008-06-20","https://i.scdn.co/image/ab67616d0000b273808e2dbdb2128062d83c7e58","1","10","154960","","false","0","spotify:user:","2010-09-21T21:37:54Z"
"spotify:track:6f9uap03TIQsHqF158iV6r","Stir It Up - Original Album Version","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:4qsXcmAgPNSliu6oMQGOQ9","Legend (The Definitive Remasters)","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","1984","https://i.scdn.co/image/ab67616d0000b2733dad91f4a796045ac25496f3","1","7","330760","","false","0","spotify:user:","2010-09-21T21:37:54Z"
"spotify:track:6xf7aGIqceArnYwetKUN48","Pressure Drop","spotify:artist:6ZFv3wQwwWPiVDWhv0mjQK","Toots & The Maytals","spotify:album:2LeR8Mq4rYPD2RTkAMgfRG","Reggae Legends","spotify:artist:6ZFv3wQwwWPiVDWhv0mjQK","Toots & The Maytals","2008-06-20","https://i.scdn.co/image/ab67616d0000b27336547ec756405ba6be28b5bb","1","5","178920","","false","0","spotify:user:","2010-09-21T21:37:54Z"
"spotify:track:7o5cv0MrpuUZvd87Txy0Ul","The Harder They Come - Short Version","spotify:artist:3rJ3m1tM6vUgiWLjfV8sRf","Jimmy Cliff","spotify:album:0FLncnaU95MWPP07CQ8qK8","Reggae Legends","spotify:artist:3rJ3m1tM6vUgiWLjfV8sRf","Jimmy Cliff","2008-06-13","https://i.scdn.co/image/ab67616d0000b2733739a398674572faba718207","1","20","186320","","false","0","spotify:user:","2010-09-21T21:39:25Z"
"spotify:track:4Y35EUCGm3nD2OdgvGzhgP","One Love / People Get Ready - Extended Version","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:4TmuCvXA80BXoubrggrFs0","Legend (Rarities Edition)","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","2010-06-14","https://i.scdn.co/image/ab67616d0000b273b8d19e211d031926e0dd8aa9","1","1","420040","","false","0","spotify:user:","2010-09-21T21:37:54Z"
"spotify:track:62GmNxtJQHE8shCSJss3w6","54-46 (That's My Number)","spotify:artist:6ZFv3wQwwWPiVDWhv0mjQK","Toots & The Maytals","spotify:album:3YaUhYZvjf0UDTOj0QquPO","Remember The 70's - The Greatest Hits","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-02-09","https://i.scdn.co/image/ab67616d0000b273d2322fe8e807d84ae4199de5","1","17","204813","","false","0","spotify:user:","2010-09-21T21:37:54Z"
"spotify:track:1VVFdjWU8cyVcn4Cn1CD6r","Funky Kingston","spotify:artist:6eHPmq8aR8X4TZIMvrD9Bo","The Maytals","spotify:album:4RTp4b4gEQyWgh7biF8X7G","Funky Kingston","spotify:artist:6ZFv3wQwwWPiVDWhv0mjQK","Toots & The Maytals","1973","https://i.scdn.co/image/ab67616d0000b273906af8a1423bc9b070902409","1","7","295066","https://p.scdn.co/mp3-preview/80a4d3ccc82080caebd19e5eb6bf8c1a29483a7a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:","2010-09-21T21:37:54Z"
"spotify:track:29S4Q1JgWRYBcWLfahYsI8","Montego Bay","spotify:artist:2q10ac8HgqhjdyVH6vTjoc","Freddie Notes & The Rudies","spotify:album:1kGc5JxpH8xbBQ9Y6cQVOT","Uptown Top Ranking","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2006","https://i.scdn.co/image/ab67616d0000b27385103950ae9c4797a7ff5ed8","2","20","142493","","false","0","spotify:user:","2010-09-21T21:37:54Z"
"spotify:track:0tnScgmxGcy6NNoX7LmUaR","Many Rivers To Cross - Harder They Come/Soundtrack Version","spotify:artist:3rJ3m1tM6vUgiWLjfV8sRf","Jimmy Cliff","spotify:album:3L6BeuI5Du0b7sl2AmYVGA","The Harder They Come (Remastered)","spotify:artist:3rJ3m1tM6vUgiWLjfV8sRf","Jimmy Cliff","1972-01-01","https://i.scdn.co/image/ab67616d0000b27364309e837788c4b0106fbc40","1","4","180266","","false","0","spotify:user:","2010-09-21T21:37:54Z"
"spotify:track:3Ni6vR9yGUnVy7fRFwpVfE","Marcus Garvey","spotify:artist:6qaKS0nzGP4hfjl4aFZmEU","Burning Spear","spotify:album:054qvIn982kZxFYHvoxrmL","Jah No Dead - An Introduction To Burning Spear","spotify:artist:6qaKS0nzGP4hfjl4aFZmEU","Burning Spear","2003-06-16","https://i.scdn.co/image/ab67616d0000b27353bc8b560e2b4e66c0af3e59","1","5","199613","","false","0","spotify:user:","2010-09-21T21:37:54Z"
"spotify:track:3j4f5c97RD6GxVeUySXyUd","Legalize It","spotify:artist:0oea1hwGMfUxZbLxJc1XUN","Peter Tosh","spotify:album:1h7T2Xpxmd547g15wnMgOi","Playlist: The Very Best Of Peter Tosh","spotify:artist:0oea1hwGMfUxZbLxJc1XUN","Peter Tosh","2009","https://i.scdn.co/image/ab67616d0000b273102b45ec1f31b9edafc6e444","1","1","279813","","false","0","spotify:user:","2010-09-21T21:37:54Z"
"spotify:track:4Pl8ViAolRF4rK8QBMhKd9","Redemption Song","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:4qsXcmAgPNSliu6oMQGOQ9","Legend (The Definitive Remasters)","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","1984","https://i.scdn.co/image/ab67616d0000b2733dad91f4a796045ac25496f3","1","12","227840","","false","0","spotify:user:","2010-09-21T21:37:54Z"
"spotify:track:1kMZ6QwQpwazjIRIAKTDEQ","Here I Come","spotify:artist:0UmBaQJflaHddKtf1lrA6F","Dennis Brown","spotify:album:5ZzR6aPdvR3aIXY801RENI","Reggae Anthology: Niney The Observer - Roots With Quality","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2009-01-26","https://i.scdn.co/image/ab67616d0000b2734bc512145b9a21d58587adec","1","14","173013","https://p.scdn.co/mp3-preview/c9008de247bf44dbe044759e4215883539f23048?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:","2010-09-21T21:37:54Z"
