"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2fskhJ95A0xWX8HBtVeLfD","I Know","spotify:artist:1CBZeQYlE46wqgmn6AX3FZ","Jude","spotify:album:2IxykVOZuS5JdJHjhlD2ds","City of Angels (Music from the Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1998-03-31","https://i.scdn.co/image/ab67616d0000b2734227f6d22d1a16904dd74e5b","1","9","274066","https://p.scdn.co/mp3-preview/3eb8c9bd60a043d3e62046800e9944a578d29394?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:","2012-07-15T21:23:17Z"
"spotify:track:3a89Jkv96JHa5YxTM94fVy","House M.d. Theme Song","spotify:artist:2oYcpw3orMFWXVMqzzLnhH, spotify:artist:7FNC0SgQMddsqo8WRdWhpW","Jon Ehrlich, Leigh Roberts","spotify:album:1InFcihvhFTZt18GopJDBG","House M.d. (Original Television Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007-09-17","https://i.scdn.co/image/ab67616d0000b273c399e08b833c9e4586b2af40","1","1","33800","","false","0","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0DQtwZLpvln583U1WWv6To","Sympathy For The Devil","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","spotify:album:5iN5hulBLyseDkpcicEDqu","Beggars Banquet","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","1968-12-06","https://i.scdn.co/image/ab67616d0000b273a975293d2db0663b1b589a18","1","1","377760","","false","0","spotify:user:","2010-08-23T21:25:45Z"
"spotify:track:5fCwwY9VFcpQr1JOKsHmPX","Rebel Rebel - 1997 Remaster","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","spotify:album:3htuY0OiwfkMfM6NJCRyrI","The Best of David Bowie 1969 - 1974","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","1997-10-27","https://i.scdn.co/image/ab67616d0000b273cea26455bd12bff64e9834a8","1","6","265653","https://p.scdn.co/mp3-preview/669634a65627e5e6ec80862d0dd9f0a949af13ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:hanpusu","2010-08-23T21:25:56Z"
"spotify:track:303SXchvzZh2pCQBsjMmcR","Rehab","spotify:artist:6Q192DXotxtaysaqNPy5yR","Amy Winehouse","spotify:album:2MG8iMen3jb1XBxoTlgVbo","Grammy Nominees 2008","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2008-01-01","https://i.scdn.co/image/ab67616d0000b27390753ab4489cdc81b150d254","1","2","213280","","false","0","spotify:user:","2010-08-23T21:26:06Z"
"spotify:track:7jqzZyJJLrpkRFYGpkqSK6","Breathe Me","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","spotify:album:5HRQFmLEuzQP8e12o8DzB5","Colour The Small One","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","2004-01-01","https://i.scdn.co/image/ab67616d0000b273940e6dd89f311e726fb5687c","1","3","272800","https://p.scdn.co/mp3-preview/0bd82ae82af74bc1a2e116548cb3e9eef909c80e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:","2010-08-23T21:26:27Z"
"spotify:track:0SFoqVoJLp74HLJQ7w0qbW","Medicine Man","spotify:artist:1RCoE2Dq19lePKhPzt9vM5","The Hush Sound","spotify:album:5jhZbi8q95rr7RXALZ6Gvy","Goodbye Blues","spotify:artist:1RCoE2Dq19lePKhPzt9vM5","The Hush Sound","2008-03-17","https://i.scdn.co/image/ab67616d0000b2734d6d332a015d16ee89961299","1","3","201240","https://p.scdn.co/mp3-preview/9a195279b80a29de5e621b80038aa92eb6bd0fbf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:","2010-08-23T21:27:33Z"
"spotify:track:4zzQdimiXlhJ5023Rgmq3C","Grounds For Divorce","spotify:artist:0TJB3EE2efClsYIDQ8V2Jk","Elbow","spotify:album:12ectug7mONYUgSgxJSnnC","The Seldom Seen Kid (EU Version)","spotify:artist:0TJB3EE2efClsYIDQ8V2Jk","Elbow","2008-03-17","https://i.scdn.co/image/ab67616d0000b273ff6f0d5b8a37c8fbfb18fa73","1","4","219453","","false","0","spotify:user:","2010-08-23T21:27:43Z"
"spotify:track:3Aak9oBjvZz9pCCv4cKXpS","I'm Alright (Theme from ""Caddyshack"")","spotify:artist:3Y3xIwWyq5wnNHPp5gPjOW","Kenny Loggins","spotify:album:4AytWp1vQeMboHXPcmwtBi","The Essential Kenny Loggins","spotify:artist:3Y3xIwWyq5wnNHPp5gPjOW","Kenny Loggins","1971","https://i.scdn.co/image/ab67616d0000b27336c433d3abdcb1ab5e9f116b","1","15","227040","","false","0","spotify:user:","2010-08-23T21:27:57Z"
"spotify:track:0PiFqoXA2vCrowth039F1H","Open Your Eyes","spotify:artist:3rIZMv9rysU7JkLzEaC5Jp","Snow Patrol","spotify:album:61ydlH3GzijGrRrivGZASi","Up To Now","spotify:artist:3rIZMv9rysU7JkLzEaC5Jp","Snow Patrol","2009-01-01","https://i.scdn.co/image/ab67616d0000b27385b9ae129bb376968f1055d8","2","8","338813","","false","0","spotify:user:","2010-08-23T21:28:09Z"
