"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5uEsVqrCXOT7HHXN3j8N94","Buckingham Green - Live In Chicago","spotify:artist:3u1ulLq00Y3bfmq9FfjsPu","Ween","spotify:album:5cbpKzoJ0C2mIVyjRRjUPG","Live In Chicago","spotify:artist:3u1ulLq00Y3bfmq9FfjsPu","Ween","2004-01-01","https://i.scdn.co/image/ab67616d0000b273157fc2e8f18baa10bec0c2e2","1","12","237333","","false","0","spotify:user:domodomodomo","2012-12-19T22:57:27Z"
"spotify:track:1l9cnLyTGFA6cyFNgYv3ks","1,000,000 Years B.C.","spotify:artist:1cXi8ALPQCBHZbf0EgP4Ey","Misfits","spotify:album:102bwQhOKMDsR2vmRgNGM1","Cuts From The Crypt","spotify:artist:1cXi8ALPQCBHZbf0EgP4Ey","Misfits","2001-10-29","https://i.scdn.co/image/ab67616d0000b27349e7178d4011ffee7681c603","1","11","139440","","false","0","spotify:user:domodomodomo","2012-12-19T23:49:57Z"
"spotify:track:0DQtBHVRvBf0lqZB0De04r","Side Kick","spotify:artist:6xTk3EK5T9UzudENVvu9YB","Rancid","spotify:album:5IWs1GKm1HCzrOazle9hdK","Let's Go","spotify:artist:6xTk3EK5T9UzudENVvu9YB","Rancid","1994-06-21","https://i.scdn.co/image/ab67616d0000b273b3413e52b4db860078cf9d72","1","3","121029","","false","0","spotify:user:domodomodomo","2012-12-19T23:51:11Z"
"spotify:track:16RLonBmK3BaWJnYRLUiyH","Linoleum","spotify:artist:4S2yOnmsWW97dT87yVoaSZ","NOFX","spotify:album:2BgiGyMKCFrdpVdYN2H8eK","Punk In Drublic","spotify:artist:4S2yOnmsWW97dT87yVoaSZ","NOFX","1994","https://i.scdn.co/image/ab67616d0000b273658ffa08400e65300896a713","1","1","130266","","false","0","spotify:user:domodomodomo","2013-01-15T00:03:47Z"
"spotify:track:68GdLQqyM7zkjDlVgMqRv8","I Was A Lover","spotify:artist:3HJIB8sYPyxrFGuwvKXSLR","TV On The Radio","spotify:album:7xn8nwwutlJFMb7Zf9NEHi","Return To Cookie Mountain","spotify:artist:3HJIB8sYPyxrFGuwvKXSLR","TV On The Radio","2006-01-01","https://i.scdn.co/image/ab67616d0000b273672e2cb5f912dc4b1646a416","1","1","261000","https://p.scdn.co/mp3-preview/6bccd4e457aa8a3b5f20c63d3d90316dfc75ddde?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:domodomodomo","2013-01-29T00:20:49Z"
"spotify:track:4lkwEgSppKli27thHdeRgc","Hip Hug-Her","spotify:artist:2vDV0T8sxx2ENnKXds75e5","Booker T. & the M.G.'s","spotify:album:5zXsbUwuTe99vw9E1wkebv","Hip Hug-Her","spotify:artist:2vDV0T8sxx2ENnKXds75e5","Booker T. & the M.G.'s","1992-06-16","https://i.scdn.co/image/ab67616d0000b2737648861a65a0f6e000f18064","1","1","146866","https://p.scdn.co/mp3-preview/c2f183202992e3b37274f050e7fe17feb8e703d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:domodomodomo","2013-04-01T20:06:20Z"
"spotify:track:03wKMRNYVvw6s9nm4I4jUS","Wolf Like Me","spotify:artist:3HJIB8sYPyxrFGuwvKXSLR","TV On The Radio","spotify:album:7xn8nwwutlJFMb7Zf9NEHi","Return To Cookie Mountain","spotify:artist:3HJIB8sYPyxrFGuwvKXSLR","TV On The Radio","2006-01-01","https://i.scdn.co/image/ab67616d0000b273672e2cb5f912dc4b1646a416","1","5","279293","https://p.scdn.co/mp3-preview/edf825365b1639a6a725d0ae11f177712b5d5e0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:domodomodomo","2013-04-02T17:27:42Z"
"spotify:track:4f0HiyWZhreKLfnxof4uRu","Born Toulouse-Lautrec","spotify:artist:5J17u3xQnvNm5GW5k50foj","New Bomb Turks","spotify:album:3MobczM3b3zWFdXkeC2Tso","Destroy-Oh-Boy!","spotify:artist:5J17u3xQnvNm5GW5k50foj","New Bomb Turks","1993","https://i.scdn.co/image/ab67616d0000b273b854339b9f7cdbe58c0a057f","1","1","153880","https://p.scdn.co/mp3-preview/4749ae7cb4c1af1959161af5a0bf159ccc914592?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:domodomodomo","2013-04-02T17:36:09Z"
"spotify:track:5tr7ZBO5wzEWTplnIYLWFF","Notes & Chords Mean Nothing To Me","spotify:artist:2l0m5zZDDup4TwDKwktCfk","The Monkeywrench","spotify:album:6PezjRZkHEgQTsVwlw1NtY","Clean As A Broke-Dick Dog","spotify:artist:2l0m5zZDDup4TwDKwktCfk","The Monkeywrench","1992-01-02","https://i.scdn.co/image/ab67616d0000b27332c10b119367b0c00abd035f","1","12","143506","","false","0","spotify:user:domodomodomo","2013-04-02T17:38:41Z"
"spotify:track:6tc1IhhVqycGqPOmlU6rB6","My Mind Playin Tricks On Me","spotify:artist:3f5fB1YUbkUnW7cf7I0R48","Geto Boys","spotify:album:1yqwBcekd8abnG4yN2jIgQ","Uncut Dope","spotify:artist:3f5fB1YUbkUnW7cf7I0R48","Geto Boys","1992-11-17","https://i.scdn.co/image/ab67616d0000b2737a0e0ffe5ffb5eb5240f12b0","1","4","311786","","true","0","spotify:user:domodomodomo","2013-04-02T23:11:13Z"
