"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4cfwFpKAAMjkUpDd0ZwWGs","Headache","spotify:artist:5Q8gM5SMBT2LAoZ5LzqAvH","Frank Black","spotify:album:2zRDp36FDBbOJDihTwQpKa","Teenager Of The Year","spotify:artist:5Q8gM5SMBT2LAoZ5LzqAvH","Frank Black","1994-05-23","https://i.scdn.co/image/ab67616d0000b273832d5fe26a72ddd2122dacdf","1","7","172560","","false","0","spotify:user:kvelertakofficial","2013-03-05T11:32:29Z"
"spotify:track:22goEULcezLAiENbgpJw7k","Into Your Arms","spotify:artist:6w7fc6IZlo5zwBaKT5jU1X","The Lemonheads","spotify:album:3VRRQ7ZomlkmGQfTmf6qDH","Come On Feel The Lemonheads","spotify:artist:6w7fc6IZlo5zwBaKT5jU1X","The Lemonheads","1993-10-12","https://i.scdn.co/image/ab67616d0000b273841b652246c4ee6578c75ee8","1","2","164466","","false","0","spotify:user:kvelertakofficial","2013-03-05T11:32:57Z"
"spotify:track:7wQ7clNvqu7Co3eUtVujEh","Killer's Kiss","spotify:artist:5J17u3xQnvNm5GW5k50foj","New Bomb Turks","spotify:album:22PTWaWzgO0LYmSIzXsjtN","Nightmare Scenario","spotify:artist:5J17u3xQnvNm5GW5k50foj","New Bomb Turks","2000-04-25","https://i.scdn.co/image/ab67616d0000b2733e45ed420a3f26a60ba11f5c","1","5","266360","","false","0","spotify:user:kvelertakofficial","2013-03-05T11:33:14Z"
"spotify:track:3fRacodE3NKJlBn3Fa0fVK","Got To Give It Up","spotify:artist:6biWAmrHyiMkX49LkycGqQ","Thin Lizzy","spotify:album:74J4goYLcEur0WFYZeu4Js","Black Rose (Deluxe Edition)","spotify:artist:6biWAmrHyiMkX49LkycGqQ","Thin Lizzy","1979","https://i.scdn.co/image/ab67616d0000b273c0668d674c7ba72a00a5bbc1","1","6","261706","https://p.scdn.co/mp3-preview/47009ac55fd760b8761c21693a98a97d981fcf0f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:kvelertakofficial","2013-03-05T11:33:37Z"
"spotify:track:0ritgEzDOsxbd2IfYX96S9","Bastards of Young - 2008 Remaster","spotify:artist:4WPY0N74T3KUja57xMQTZ3","The Replacements","spotify:album:47arM25GJraK9aWEk4A1Ve","Tim (Expanded)","spotify:artist:4WPY0N74T3KUja57xMQTZ3","The Replacements","1985","https://i.scdn.co/image/ab67616d0000b273b642af238927dd4cf465d8a4","1","7","218066","https://p.scdn.co/mp3-preview/20d471e5f93663ea369f6e4c9303d90d0f4bd466?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:kvelertakofficial","2013-03-05T11:34:04Z"
"spotify:track:0cnSx1v3epEZPSb2Rmq78W","Skate Rock","spotify:artist:1N6gqcItuPuWL8NYjKodhl","Haust","spotify:album:7197SB3CNIc19aELIBHa9H","The Powers of Horror","spotify:artist:1N6gqcItuPuWL8NYjKodhl","Haust","2010-06-07","https://i.scdn.co/image/ab67616d0000b2730cf2a7af206500404814ebfd","1","3","145915","","false","0","spotify:user:kvelertakofficial","2013-03-05T11:34:19Z"
"spotify:track:0zxUfLXAD4B37BEKHAaP8b","Grace","spotify:artist:0sHeX8oQ6o7xic3wMf4NBU","Supergrass","spotify:album:3bUFBkhvtXdg03Ap0ImU2V","10 Greatest Hits","spotify:artist:0sHeX8oQ6o7xic3wMf4NBU","Supergrass","2009-09-18","https://i.scdn.co/image/ab67616d0000b273d38cd24099cc9546b79b7530","1","8","149973","","false","0","spotify:user:kvelertakofficial","2013-03-05T11:35:03Z"
"spotify:track:12KRHx0l9lrN2eAlXPgI8C","Mexicola","spotify:artist:4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age","spotify:album:6fXW2wtwjt1IbQloReHRAK","Queens Of The Stone Age","spotify:artist:4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age","1998","https://i.scdn.co/image/ab67616d0000b273f6a38cf09bc481010b0513a7","1","8","295640","","false","0","spotify:user:kvelertakofficial","2013-03-05T11:35:20Z"
"spotify:track:0f4jlXfrqIRbugAKDhK2CC","Researching The Blues","spotify:artist:1USc9u5yL4tUaQKhGWNuvj","Redd Kross","spotify:album:19OePDQrJQJPdZpxIHCfEe","Researching The Blues","spotify:artist:1USc9u5yL4tUaQKhGWNuvj","Redd Kross","2012-08-06","https://i.scdn.co/image/ab67616d0000b273a3ae92446d59628868654fe0","1","1","231643","","false","0","spotify:user:kvelertakofficial","2013-07-26T08:35:17Z"
"spotify:track:5cCxw4QBfA1LGPwk5UgkRM","Stay Away From Downtown","spotify:artist:1USc9u5yL4tUaQKhGWNuvj","Redd Kross","spotify:album:19OePDQrJQJPdZpxIHCfEe","Researching The Blues","spotify:artist:1USc9u5yL4tUaQKhGWNuvj","Redd Kross","2012-08-06","https://i.scdn.co/image/ab67616d0000b273a3ae92446d59628868654fe0","1","2","216620","","false","0","spotify:user:kvelertakofficial","2013-07-26T08:35:17Z"
"spotify:track:3I3adiCGPbjnPPeaoKExt2","Uglier","spotify:artist:1USc9u5yL4tUaQKhGWNuvj","Redd Kross","spotify:album:19OePDQrJQJPdZpxIHCfEe","Researching The Blues","spotify:artist:1USc9u5yL4tUaQKhGWNuvj","Redd Kross","2012-08-06","https://i.scdn.co/image/ab67616d0000b273a3ae92446d59628868654fe0","1","3","232035","","false","0","spotify:user:kvelertakofficial","2013-07-26T08:35:17Z"
"spotify:track:2vgelRdRufmRVu2jEO2u4S","Dracula's Daughter","spotify:artist:1USc9u5yL4tUaQKhGWNuvj","Redd Kross","spotify:album:19OePDQrJQJPdZpxIHCfEe","Researching The Blues","spotify:artist:1USc9u5yL4tUaQKhGWNuvj","Redd Kross","2012-08-06","https://i.scdn.co/image/ab67616d0000b273a3ae92446d59628868654fe0","1","4","184594","","false","0","spotify:user:kvelertakofficial","2013-07-26T08:35:17Z"
