"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6ZWn1MVUaBH2HNQobhMYeE","Little Black Submarines - Radio Edit [radio edit]","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","spotify:album:2ZO3hTVFwvi08797IONxbs","Little Black Submarines (Radio Edit)","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","2012-08-21","https://i.scdn.co/image/ab67616d0000b2735075047f270e38efd3ed02b3","1","1","204692","https://p.scdn.co/mp3-preview/0ad91550c2b07e09b0bdae627600384d4859a68b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:","2012-10-12T01:57:56Z"
"spotify:track:2HbVINmehEbPmjlcueXEJJ","All My Life","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:1zCNrbPpz5OLSr6mSpPdKm","Greatest Hits","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","2009-11-03","https://i.scdn.co/image/ab67616d0000b273136d7250568820409f8fdd60","1","1","263560","https://p.scdn.co/mp3-preview/982751373c269d03c5f81459a3c5335cc0b59389?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:","2012-09-14T04:47:28Z"
"spotify:track:07q6QTQXyPRCf7GbLakRPr","Everlong","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:1zCNrbPpz5OLSr6mSpPdKm","Greatest Hits","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","2009-11-03","https://i.scdn.co/image/ab67616d0000b273136d7250568820409f8fdd60","1","3","249986","https://p.scdn.co/mp3-preview/26f7feca8e14f27659465e336117c03fb8ee29d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:","2012-09-14T04:47:38Z"
"spotify:track:6HNruFQlzQx4ulL4ppRLYI","The Pretender","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:1zCNrbPpz5OLSr6mSpPdKm","Greatest Hits","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","2009-11-03","https://i.scdn.co/image/ab67616d0000b273136d7250568820409f8fdd60","1","4","267360","https://p.scdn.co/mp3-preview/4b010601616c61e01d29a3730b9f7099a93eb34f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:","2012-09-14T04:47:46Z"
"spotify:track:7u5dBtASrtOuBTTZjJrvuJ","My Hero","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:1zCNrbPpz5OLSr6mSpPdKm","Greatest Hits","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","2009-11-03","https://i.scdn.co/image/ab67616d0000b273136d7250568820409f8fdd60","1","5","258973","https://p.scdn.co/mp3-preview/46145f46a9246e10f645929311a5a5ce8bd01d27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:","2012-09-14T04:47:48Z"
"spotify:track:4xanWVQIzdCf51mg8cd1cQ","Times Like These","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:1zCNrbPpz5OLSr6mSpPdKm","Greatest Hits","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","2009-11-03","https://i.scdn.co/image/ab67616d0000b273136d7250568820409f8fdd60","1","7","267973","https://p.scdn.co/mp3-preview/6537bf22505d0a7a168c8716099fcc7b2005d496?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:","2012-09-14T04:47:54Z"
"spotify:track:3QmesrvdbPjwf7i40nht1D","Everlong - Acoustic Version","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:1zCNrbPpz5OLSr6mSpPdKm","Greatest Hits","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","2009-11-03","https://i.scdn.co/image/ab67616d0000b273136d7250568820409f8fdd60","1","16","250906","https://p.scdn.co/mp3-preview/1c0b55249a31c0b33fe4689c7308169a4f99604c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:","2012-09-14T04:48:02Z"
"spotify:track:3AszgPDZd9q0DpDFt4HFBy","Hey Ya!","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","spotify:album:7etFl9qeqjD0luC40JAg8l","The Way You Move / Hey Ya!","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","2003","https://i.scdn.co/image/ab67616d0000b27344d34793d0f4bddf28e0e8a8","1","3","239240","https://p.scdn.co/mp3-preview/6c69ee9ec863053388b7c06fea9f42a66775acbc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:","2012-09-14T04:48:58Z"
"spotify:track:2gnP10XdjvCyshnV1qODWQ","The Way You Move (feat. Sleepy Brown) - Radio Mix","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7, spotify:artist:7Dnu2NmddNymEI2LMZVH5v","Outkast, Sleepy Brown","spotify:album:7etFl9qeqjD0luC40JAg8l","The Way You Move / Hey Ya!","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","2003","https://i.scdn.co/image/ab67616d0000b27344d34793d0f4bddf28e0e8a8","1","1","236093","https://p.scdn.co/mp3-preview/d4394450d37dfb491f89a69f395cfc68a2b96002?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:","2012-09-14T04:49:56Z"
"spotify:track:0uZ0orE84drZZzPKxCWSmR","Little Talks","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","spotify:album:4bxl07W8OBOP5PBXI5uhs6","Into The Woods","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","2011-01-01","https://i.scdn.co/image/ab67616d0000b273ed034ce9c8c4bf2e5f997888","1","1","267693","","false","0","spotify:user:","2012-09-14T04:52:09Z"
