"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:54AX5zM0sErIsLCIW9cecU","Fight Against Monsters","spotify:artist:4Lm0pUvmisUHMdoky5ch2I","Apocalyptica","spotify:album:3lnVMOXmUIAMC3hTOCWWBI","Wagner Reloaded - Live in Leipzig","spotify:artist:4Lm0pUvmisUHMdoky5ch2I","Apocalyptica","2013-11-19","https://i.scdn.co/image/ab67616d0000b273891225354d63f37ef2d8d9ed","1","3","369760","","false","0","spotify:user:infernalracket","2014-04-08T16:19:54Z"
"spotify:track:19ZgAiO2bhaQax9PIgUiX2","Orff: O Fortuna","spotify:artist:5c8Cw62ZYj9XO6iDLRDEsi","Therion","spotify:album:5MkXcxmIYeUAhBHWkFP1jP","Classical Goes Metal: Metal Covers of Classical Songs by Epica and Therion from Carmina Burana, Pirates of the Caribbean, Star Wars, Mozart, Dvorak, Verdi, Spiderman & More","spotify:artist:2GEXnvBwwydCpgQHm4PPBm, spotify:artist:5c8Cw62ZYj9XO6iDLRDEsi","Epica, Therion","2014-01-28","https://i.scdn.co/image/ab67616d0000b27397350ea7ba89439281acae13","1","1","201240","","false","0","spotify:user:infernalracket","2014-02-20T22:37:06Z"
"spotify:track:0oZI039wVNZr4lLrt6y6B4","Carmina Burana","spotify:artist:5OSQDUNmll299ldFIF1Dau","Trans-Siberian Orchestra","spotify:album:54Vnn83wq0qW2iVFkXAR4v","Night Castle","spotify:artist:5OSQDUNmll299ldFIF1Dau","Trans-Siberian Orchestra","2009-10-28","https://i.scdn.co/image/ab67616d0000b2733b0aeae6ff77c104b7bc2963","1","25","164173","https://p.scdn.co/mp3-preview/6c4dd3aaf98c2218b7a1dcfc6712f5ff961faa70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:infernalracket","2014-03-04T19:07:24Z"
"spotify:track:19Y2c3eK7xZapwrhqmGKUZ","Verdi: Dies Irae (Live in Miskolc)","spotify:artist:2GEXnvBwwydCpgQHm4PPBm","Epica","spotify:album:5MkXcxmIYeUAhBHWkFP1jP","Classical Goes Metal: Metal Covers of Classical Songs by Epica and Therion from Carmina Burana, Pirates of the Caribbean, Star Wars, Mozart, Dvorak, Verdi, Spiderman & More","spotify:artist:2GEXnvBwwydCpgQHm4PPBm, spotify:artist:5c8Cw62ZYj9XO6iDLRDEsi","Epica, Therion","2014-01-28","https://i.scdn.co/image/ab67616d0000b27397350ea7ba89439281acae13","1","2","135146","","false","0","spotify:user:infernalracket","2014-02-20T22:37:08Z"
"spotify:track:6pXPTJdTIigBUHwxBsbzg8","Dvorak: Excerpt from Symphony No. 9 (Live in Miskolc)","spotify:artist:5c8Cw62ZYj9XO6iDLRDEsi","Therion","spotify:album:5MkXcxmIYeUAhBHWkFP1jP","Classical Goes Metal: Metal Covers of Classical Songs by Epica and Therion from Carmina Burana, Pirates of the Caribbean, Star Wars, Mozart, Dvorak, Verdi, Spiderman & More","spotify:artist:2GEXnvBwwydCpgQHm4PPBm, spotify:artist:5c8Cw62ZYj9XO6iDLRDEsi","Epica, Therion","2014-01-28","https://i.scdn.co/image/ab67616d0000b27397350ea7ba89439281acae13","1","3","124160","","false","0","spotify:user:infernalracket","2014-02-20T22:37:10Z"
"spotify:track:6HtY2Tw7b5wCj7DJ2L53oz","Mozart and Memories","spotify:artist:5OSQDUNmll299ldFIF1Dau","Trans-Siberian Orchestra","spotify:album:54Vnn83wq0qW2iVFkXAR4v","Night Castle","spotify:artist:5OSQDUNmll299ldFIF1Dau","Trans-Siberian Orchestra","2009-10-28","https://i.scdn.co/image/ab67616d0000b2733b0aeae6ff77c104b7bc2963","1","7","316160","https://p.scdn.co/mp3-preview/a226711291428936cafc6aa51f241905bc079640?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:infernalracket","2014-03-04T19:07:15Z"
"spotify:track:0mvNeccKXgjRM4muyAO40V","Path in Life","spotify:artist:4Lm0pUvmisUHMdoky5ch2I","Apocalyptica","spotify:album:3lnVMOXmUIAMC3hTOCWWBI","Wagner Reloaded - Live in Leipzig","spotify:artist:4Lm0pUvmisUHMdoky5ch2I","Apocalyptica","2013-11-19","https://i.scdn.co/image/ab67616d0000b273891225354d63f37ef2d8d9ed","1","8","249040","","false","0","spotify:user:infernalracket","2014-03-04T19:13:17Z"
"spotify:track:5cg4slbV90hkFgmjChFPsh","Mozart: ""Dies Irae"" From Reqiuem (Live in Miskolc)","spotify:artist:5c8Cw62ZYj9XO6iDLRDEsi","Therion","spotify:album:5MkXcxmIYeUAhBHWkFP1jP","Classical Goes Metal: Metal Covers of Classical Songs by Epica and Therion from Carmina Burana, Pirates of the Caribbean, Star Wars, Mozart, Dvorak, Verdi, Spiderman & More","spotify:artist:2GEXnvBwwydCpgQHm4PPBm, spotify:artist:5c8Cw62ZYj9XO6iDLRDEsi","Epica, Therion","2014-01-28","https://i.scdn.co/image/ab67616d0000b27397350ea7ba89439281acae13","1","5","119040","","false","0","spotify:user:infernalracket","2014-02-20T22:37:14Z"
"spotify:track:2IPT1uEzkgI7Sfgf0mDjLz","Requiem (The Fifth)","spotify:artist:5OSQDUNmll299ldFIF1Dau","Trans-Siberian Orchestra","spotify:album:0SeR7x4gv4ycb7QEkQTCw5","Beethoven's Last Night (Deluxe Edition)","spotify:artist:5OSQDUNmll299ldFIF1Dau","Trans-Siberian Orchestra","2000","https://i.scdn.co/image/ab67616d0000b27389c0eba2c05ca779b4c5a2f0","1","20","178893","","false","21","spotify:user:infernalracket","2014-03-04T19:08:13Z"
"spotify:track:10jcQ1WRzZRades9tsD3zo","Grieg: In the Hall of the Mountain King (Live in Miskolc)","spotify:artist:2GEXnvBwwydCpgQHm4PPBm","Epica","spotify:album:5MkXcxmIYeUAhBHWkFP1jP","Classical Goes Metal: Metal Covers of Classical Songs by Epica and Therion from Carmina Burana, Pirates of the Caribbean, Star Wars, Mozart, Dvorak, Verdi, Spiderman & More","spotify:artist:2GEXnvBwwydCpgQHm4PPBm, spotify:artist:5c8Cw62ZYj9XO6iDLRDEsi","Epica, Therion","2014-01-28","https://i.scdn.co/image/ab67616d0000b27397350ea7ba89439281acae13","1","6","191146","","false","0","spotify:user:infernalracket","2014-02-20T22:37:16Z"
