"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:69geri2uSsSCoFksfb612h","Mocking Solemnity","spotify:artist:2e7hYqRjL82c1nIoREHc4J","Sunn 0)))","spotify:album:1vGXitTTwBuh1cXeV0Sg5h","3: Flight Of The Behemoth","spotify:artist:2e7hYqRjL82c1nIoREHc4J","Sunn 0)))","2002-01-01","https://i.scdn.co/image/ab67616d0000b273f1d3e5d0fd5abdddcc11faef","1","1","552106","","false","0","spotify:user:inisio","2014-08-11T16:43:53Z"
"spotify:track:1keMKGtN4oksDiDn9hGJNT","Teeth Of Lions Rule The Divine","spotify:artist:4mTFQE6aiehScgvreB9llC","Earth","spotify:album:2cVivWfgWHmixMZYl85KdF","Earth 2","spotify:artist:4mTFQE6aiehScgvreB9llC","Earth","1993-01-01","https://i.scdn.co/image/ab67616d0000b273ffd8b012800a48c09a8cebe2","1","2","1624826","","false","0","spotify:user:inisio","2014-08-11T16:44:53Z"
"spotify:track:73JNaRtDst8nZ6muz38ZRC","You Are as Dust","spotify:artist:5ilW7mgqfRPZzRi28RNk8V","Nadja","spotify:album:26x2Cjjwv5A966hnuMzj6b","Corrasion (2012 Remastered Edition)","spotify:artist:5ilW7mgqfRPZzRi28RNk8V","Nadja","2013-03-01","https://i.scdn.co/image/ab67616d0000b273d5c7212032ec1ee50e633867","1","2","608986","https://p.scdn.co/mp3-preview/a63425a0ab48ced90b6db855ba2cf44e630c078f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:inisio","2014-08-11T16:50:50Z"
"spotify:track:0fqF4sd5wFDOVI1NVMBhw6","Release","spotify:artist:0ZNCNiBDVNRNMXC6Bp3gOi","Khanate","spotify:album:4qlCTniCnNqKn18PIW3rou","Capture & Release","spotify:artist:0ZNCNiBDVNRNMXC6Bp3gOi","Khanate","2005","https://i.scdn.co/image/ab67616d0000b273b273fe0b7aa5b15a0e9ee06e","1","2","1503240","","false","0","spotify:user:inisio","2014-08-11T16:51:12Z"
"spotify:track:3DyNSiYN5z0sDaEjebnkZB","Her Horse Is Thunder","spotify:artist:1gscz9m0z4tDAUMBioqaEE","Ascend","spotify:album:5J9o8QhqYc6tB0foub4Zgf","Ample Fire Within","spotify:artist:1gscz9m0z4tDAUMBioqaEE","Ascend","2008-05-26","https://i.scdn.co/image/ab67616d0000b273345cbbfaba7a56841bdc1cd0","1","5","574666","","false","0","spotify:user:inisio","2014-08-11T16:52:11Z"
"spotify:track:626NovrMSLACsjIwUxJXsD","Storytelling of Ravens","spotify:artist:3iy3SOWFTiLpuebpxjrLrS","Eagle Twin","spotify:album:4G3tsJISM0Dokabp87Xolj","The Unkindness of Crows","spotify:artist:3iy3SOWFTiLpuebpxjrLrS","Eagle Twin","2009-09-07","https://i.scdn.co/image/ab67616d0000b27305768b79754043454431d913","1","4","383773","","false","0","spotify:user:inisio","2014-08-11T16:52:38Z"
"spotify:track:5neaU0BRldjYC0mZClCYEt","New Pants & Shirt","spotify:artist:5xgHM2kJ62YfS2LP3XM3Bb","Teeth Of Lions Rule The Divine","spotify:album:26U2sZpwe9FOui2w14pMXT","Rampton","spotify:artist:5xgHM2kJ62YfS2LP3XM3Bb","Teeth Of Lions Rule The Divine","2002-04-01","https://i.scdn.co/image/ab67616d0000b273e67e8a4e713ca07a679d0a9c","1","2","421413","","false","0","spotify:user:inisio","2014-08-11T16:52:57Z"
"spotify:track:2tslDIN33YoJMWzqVSVPoQ","Sacred Predictions","spotify:artist:0jPA74DtdgWqMU2x4cAFsb","Burning Witch","spotify:album:0RRGyVFc4gWTjBq464wkfI","Crippled Lucifer","spotify:artist:0jPA74DtdgWqMU2x4cAFsb","Burning Witch","1998-01-01","https://i.scdn.co/image/ab67616d0000b273436c63f9e77b88874c5e9441","1","1","422760","","false","0","spotify:user:inisio","2014-08-11T16:54:57Z"
"spotify:track:1KrWfIayQkwrymw5S1Wo2M","Burnt Offerings","spotify:artist:7aZKE2R7dnWvhfG11ODcWp","Menace Ruine","spotify:album:0U0HV2pE3MM10q0P4x7vLT","Alight in Ashes","spotify:artist:7aZKE2R7dnWvhfG11ODcWp","Menace Ruine","2012-10-02","https://i.scdn.co/image/ab67616d0000b273ce567ef3525c8f8b254012ec","1","3","487906","","false","0","spotify:user:inisio","2014-08-11T16:56:31Z"
"spotify:track:6gG8kuhKD382w9cVxX708n","Grissecon","spotify:artist:4KoZpKiPeX4jIi7Euwcfuo","Thou","spotify:album:1cn5zXgT7fbhx1KXqY49dO","Summit","spotify:artist:4KoZpKiPeX4jIi7Euwcfuo","Thou","2010-11-23","https://i.scdn.co/image/ab67616d0000b2730258e72ccc60d90d7ff79df2","1","2","501412","","false","0","spotify:user:inisio","2014-08-11T16:58:48Z"
