"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4MRSwoosSS1DrcbttGgq0o","So Did We","spotify:artist:2vsXeWGC8rILp3rpSN2Fyk","ISIS","spotify:album:77ahAndcGV4lc1E2BTCiLj","Panopticon","spotify:artist:2vsXeWGC8rILp3rpSN2Fyk","ISIS","2004-10-25","https://i.scdn.co/image/ab67616d0000b27393433f58ab83cb7a49f6e2e3","1","1","450866","","false","0","spotify:user:inisio","2014-06-03T09:19:05Z"
"spotify:track:0KiSRl2usPXSGaBaRhKnmS","The Tide","spotify:artist:1KHydwFySZY3YcWyo2q2dF","Neurosis","spotify:album:2cdr9bgZKUMUptKSMuC8mP","A Sun That Never Sets","spotify:artist:1KHydwFySZY3YcWyo2q2dF","Neurosis","2001-08-07","https://i.scdn.co/image/ab67616d0000b273fa68e14ef6d1ac8c69dd6c79","1","2","528133","https://p.scdn.co/mp3-preview/81f5d21fbe54e6875a4d35be2828357b02cdb807?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:inisio","2014-06-03T09:18:42Z"
"spotify:track:5ZcbCizAGLnj5kkhB1h78p","Bliss in Concrete","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","spotify:album:2Mb7STAZTEjXrATttamqdF","City of Echoes","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","2007","https://i.scdn.co/image/ab67616d0000b273845e4a448b3b04865bde0469","1","1","330440","","false","0","spotify:user:inisio","2014-06-03T09:19:28Z"
"spotify:track:24zrItcRHc2N65rcbddasc","OLD SUN RISE","spotify:artist:5u0S0rTyEBiPEBAS381q2K","KOLOSS","spotify:album:6CMyr39gRtAkNyjdTioV5e","END of THE CHAYOT","spotify:artist:5u0S0rTyEBiPEBAS381q2K","KOLOSS","2010-01-01","https://i.scdn.co/image/ab67616d0000b2739edf2084329f9f173ea18c13","1","2","598946","https://p.scdn.co/mp3-preview/f700c26eb416be1989cdb8763f54d61eca58c660?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:inisio","2014-08-11T14:47:28Z"
"spotify:track:0YodeiUKnpTft8EG0Hi1aP","Carpe","spotify:artist:0AZ3VR0YbFcS0Kgei7L2QF","Russian Circles","spotify:album:2mA14OzhQnZiG0U68ifX2U","Enter","spotify:artist:0AZ3VR0YbFcS0Kgei7L2QF","Russian Circles","2006","https://i.scdn.co/image/ab67616d0000b2736fa0df9fed146857b0d47162","1","1","541120","","false","0","spotify:user:inisio","2014-06-03T09:20:10Z"
"spotify:track:1w2sztROEaeREHkwlnnKB7","Owlwood","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe","Cult Of Luna","spotify:album:51fF4JNsyx99YAWixRgmVh","Eternal Kingdom","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe","Cult Of Luna","2008","https://i.scdn.co/image/ab67616d0000b2731bca75fd03b06045e0af745c","1","1","459640","https://p.scdn.co/mp3-preview/f11eedc42fd20bcffcdd9adfc080f28462a79cca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:inisio","2014-06-03T09:20:29Z"
"spotify:track:2hBaZUsplqQ8K1Q4WEWmIu","Sore Sight For Eyes","spotify:artist:17qfMEjKb5ry8L8mekQZfd","Intronaut","spotify:album:25zQ59bRfI7d2E8X8CJe75","Habitual Levitations","spotify:artist:17qfMEjKb5ry8L8mekQZfd","Intronaut","2013-03-18","https://i.scdn.co/image/ab67616d0000b273918f157b66c1db3c092ac141","1","4","330880","","false","0","spotify:user:inisio","2014-06-03T09:20:56Z"
"spotify:track:6vpIVeyOHnKsedlxfd5a47","Wormwood","spotify:artist:4ybKgPHm2IPUSWP8LIxNSK","Callisto","spotify:album:4zuvrBPgVxbFMWb2G2UEhp","Noir","spotify:artist:4ybKgPHm2IPUSWP8LIxNSK","Callisto","2006","https://i.scdn.co/image/ab67616d0000b2730c2d55dcb5ef22b0f2ecb9b2","1","1","434053","https://p.scdn.co/mp3-preview/b6c3cab8718741854590c6ffed68c6a7d67d6b60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:inisio","2014-06-03T09:23:27Z"
"spotify:track:2wWQwx1ymkpCr4ItPUQ94g","In Illusions Of Order","spotify:artist:4MT9A89Dq8xRJ9hMvvPiJw","Red Sparowes","spotify:album:1mLisF7qgSwVDrQ4gklpcR","The Fear Is Excruciating, But Therein Lies The Answer","spotify:artist:4MT9A89Dq8xRJ9hMvvPiJw","Red Sparowes","2010-04-06","https://i.scdn.co/image/ab67616d0000b273357b340a53240da42cf8e8da","1","2","456480","https://p.scdn.co/mp3-preview/8a9bdb638f0050159ac3bca4243c7bbdafaf79b4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:inisio","2014-06-04T11:20:25Z"
"spotify:track:6zho7OGR9IekEGuvSWRjuC","Je N'en Connais Pas la Fin","spotify:artist:0HJQZHbKgYyWCDc8uVko6S","Rosetta","spotify:album:4FflwO9xirHp9pZQAXlvKn","A Determinism of Morality","spotify:artist:0HJQZHbKgYyWCDc8uVko6S","Rosetta","2010-05-25","https://i.scdn.co/image/ab67616d0000b273c38bee702a4ec2118c7061a9","1","2","411426","https://p.scdn.co/mp3-preview/355c17c6b11f98e3ab2701e863940cce9b9c3a73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:inisio","2014-06-04T11:24:47Z"
