"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5oowXVNXkPcfZHWy8fh1Nc","Spoonman","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:4AvI4sIYIYE1fIbLLGN7tb","Superunknown","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b273d41e34cde82369bf19e845cc","1","8","246360","","false","0","spotify:user:pinkboxpear","2014-03-04T22:44:02Z"
"spotify:track:7vQ8cJE5h67lxbvbYtJeWk","A Jagged Gorgeous Winter","spotify:artist:4NVO7CCcOSMoawltzMSPBc","The Main Drag","spotify:album:1SkcHnJlHB7yh9zjedfLEd","Yours as Fast as Mine","spotify:artist:4NVO7CCcOSMoawltzMSPBc","The Main Drag","2007-06-28","https://i.scdn.co/image/ab67616d0000b273e917d315c67475e3aeb6cb10","1","3","230021","https://p.scdn.co/mp3-preview/26e2b9fd50777463250514a894013e01b142eef0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:pinkboxpear","2014-03-04T22:44:24Z"
"spotify:track:3AVZaAbDvR6rs2NN4n0aAF","Ace of Spades","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","spotify:album:0sbAKeTchIsRqECNFjPHSf","Ace of Spades (Deluxe Edition)","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","1980-11-07","https://i.scdn.co/image/ab67616d0000b273f2fca6e64d8944d8e623ec93","1","1","166706","","false","0","spotify:user:pinkboxpear","2014-03-04T22:45:02Z"
"spotify:track:6MjGugpOlSauS7CrYZgqDw","Alabama Getaway","spotify:artist:4TMHGUX5WI7OOm53PqSDAT","Grateful Dead","spotify:album:3EEAnPL9vS8RgupYPUJlQJ","Go to Heaven","spotify:artist:4TMHGUX5WI7OOm53PqSDAT","Grateful Dead","1980-04-28","https://i.scdn.co/image/ab67616d0000b273e5b02957e184d0da9a8d166c","1","1","217026","https://p.scdn.co/mp3-preview/5d762777fefb3650a4def711968c70ea8f66e6aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:pinkboxpear","2014-03-04T22:45:13Z"
"spotify:track:3RsKDyykKDIZ4PVzsO4nno","Alex Chilton","spotify:artist:4WPY0N74T3KUja57xMQTZ3","The Replacements","spotify:album:6ju0T4frATMN2SeZMutywF","Random Noise","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007-01-01","https://i.scdn.co/image/ab67616d0000b273f39b4b9354c06bd6121a1ebd","1","10","195400","","false","0","spotify:user:pinkboxpear","2014-03-04T22:45:37Z"
"spotify:track:620RU5uoEFpfDxAXlnlCW8","Alive","spotify:artist:1w5Kfo2jwwIPruYS2UWh56","Pearl Jam","spotify:album:7ynCbyrQ0x3yA8lOLLOsPK","Ten","spotify:artist:1w5Kfo2jwwIPruYS2UWh56","Pearl Jam","1991-08-27","https://i.scdn.co/image/ab67616d0000b27376713b7514fdc2770ec12ab7","1","3","341160","","false","0","spotify:user:pinkboxpear","2014-03-04T22:45:52Z"
"spotify:track:2BdSaGVMxZzEeJYjjrlo6n","American Woman","spotify:artist:5gznATMVO85ZcLTkE9ULU7","Lenny Kravitz","spotify:album:1cW0de5T5fdedlS4YqvyCv","Greatest Hits","spotify:artist:5gznATMVO85ZcLTkE9ULU7","Lenny Kravitz","2000","https://i.scdn.co/image/ab67616d0000b273550699c44dd74a7663c6ebfa","1","8","261706","https://p.scdn.co/mp3-preview/66f5aeae97308aa28f8516a34652649a562e1180?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:pinkboxpear","2014-03-04T22:46:33Z"
"spotify:track:2DyHhPyCZgZzNXn1IrtsTu","Any Way You Want It - Live at Cobo Hall in Detroit, Michigan, August 1980","spotify:artist:0rvjqX7ttXeg3mTy8Xscbt","Journey","spotify:album:5pfpXvoJtSIFrbPIoBEv3R","The Essential Journey","spotify:artist:0rvjqX7ttXeg3mTy8Xscbt","Journey","2001-10-16","https://i.scdn.co/image/ab67616d0000b2730f6ce5c138493ac768d9afc8","1","5","201866","https://p.scdn.co/mp3-preview/34fd0b3b2456ae0842d8e4242830b43ac5c70c46?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:pinkboxpear","2014-03-04T22:46:44Z"
"spotify:track:5UuikgHTxSRFRnC0zXx10i","Aqualung","spotify:artist:6w6z8m4WXX7Tub4Rb6Lu7R","Jethro Tull","spotify:album:0NGM3Ftwjw0dLNpAowmz3x","Aqualung (Special Edition)","spotify:artist:6w6z8m4WXX7Tub4Rb6Lu7R","Jethro Tull","1971-03-19","https://i.scdn.co/image/ab67616d0000b273be6e758fe8300a72eceddb8f","1","1","396186","https://p.scdn.co/mp3-preview/a5c0efc1f153c4cb3723ec7ab7f9623d6c8a18ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:pinkboxpear","2014-03-04T22:47:00Z"
"spotify:track:5u4fLqkLnTXCvhEq1oMnZj","Bad Reputation (In the Style of Joan Jett & the Blackhearts) [Performance Track with Demonstration Vocals]","spotify:artist:0GQkTwFb7D3ePIpnxwYavf","Done Again","spotify:album:6iB9qVhZLBlQcAENhgwcwh","Bad Reputation (In the Style of Joan Jett & the Blackhearts) [Performance Track with Demonstration Vocals]","spotify:artist:0GQkTwFb7D3ePIpnxwYavf","Done Again","2011-08-04","https://i.scdn.co/image/ab67616d0000b2739ae20b4528193717aa82858a","1","1","167395","https://p.scdn.co/mp3-preview/282474269f475393ed86d8b10cdc38c9b8b2d97f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:pinkboxpear","2014-03-04T22:47:33Z"
