"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4RC5ok9EushuAvVluGuEgg","Clarinet Concerto in A, K. 622 : 2. Adagio","spotify:artist:4NJhFmfw43RLBLjQvxDuRS, spotify:artist:77LIzLu0vVqpJSLd7xQKTU, spotify:artist:5bBulPVoQuw4lzargujOvI, spotify:artist:5yxyJsFanEAuwSM5kOuZKc","Wolfgang Amadeus Mozart, Gervase De Peyer, Peter Maag, London Symphony Orchestra","spotify:album:6oyFRAB7nQDF8HX0BzwLCw","The Complete Adagio Collection","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-07-23","https://i.scdn.co/image/ab67616d0000b273e1878edf9aa6075eab428a7f","1","1","482000","","false","0","spotify:user:classifyapp1","2014-03-18T12:36:56Z"
"spotify:track:5JYwT34JGPYMUlfX24lzDz","Adagio for Strings, Op. 11","spotify:artist:4XDJurjQCnWLlE7KLZCT9x, spotify:artist:77CaCn32H4mOMQA7UElzfF, spotify:artist:6NUhQz7eAEsZvjEHTKHux9","Samuel Barber, Academy of St. Martin in the Fields, Sir Neville Marriner","spotify:album:6oyFRAB7nQDF8HX0BzwLCw","The Complete Adagio Collection","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-07-23","https://i.scdn.co/image/ab67616d0000b273e1878edf9aa6075eab428a7f","1","2","447000","","false","0","spotify:user:classifyapp1","2014-03-18T12:36:56Z"
"spotify:track:3wYcykaYPXZT24AzTemhZC","Piano Concerto No. 5 in E Flat Major Op. 73 -""Emperor"" : 2. Adagio un poco mosso","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:3Tsq7oTvga9K2osAf6vArw, spotify:artist:0TrG2LSot4KhaXqdf5K2zE, spotify:artist:5yxyJsFanEAuwSM5kOuZKc","Ludwig van Beethoven, Stephen Kovacevich, Sir Colin Davis, London Symphony Orchestra","spotify:album:6oyFRAB7nQDF8HX0BzwLCw","The Complete Adagio Collection","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-07-23","https://i.scdn.co/image/ab67616d0000b273e1878edf9aa6075eab428a7f","1","3","547266","","false","0","spotify:user:classifyapp1","2014-03-18T12:36:56Z"
"spotify:track:7cp2H7caw5I8I9xRyfqSMb","Serenade No. 10 in B-Flat Major, K. 361, ""Gran Partita"": III. Adagio","spotify:artist:4NJhFmfw43RLBLjQvxDuRS, spotify:artist:58I7TbomhJRd4yWRyihNOF, spotify:artist:0vBafEFOLXtq5mZuhMgsyL","Wolfgang Amadeus Mozart, Amadeus Winds, Christopher Hogwood","spotify:album:6oyFRAB7nQDF8HX0BzwLCw","The Complete Adagio Collection","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-07-23","https://i.scdn.co/image/ab67616d0000b273e1878edf9aa6075eab428a7f","1","4","319533","","false","0","spotify:user:classifyapp1","2014-03-18T12:36:56Z"
"spotify:track:1YGEEObdDHxUghRAYEVLnm","Adagio for Strings and Organ in G Major - Completed Giazotto, arranged for organ by Carlo Curley","spotify:artist:2XVw29JYdo8C5MfteMnCqL, spotify:artist:5vulIZURYCGok8oPLt0aYp","Remo Giazotto, Carlo Curley","spotify:album:6oyFRAB7nQDF8HX0BzwLCw","The Complete Adagio Collection","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-07-23","https://i.scdn.co/image/ab67616d0000b273e1878edf9aa6075eab428a7f","1","5","533000","","false","0","spotify:user:classifyapp1","2014-03-18T12:36:56Z"
"spotify:track:05LyjKvG1bqG3k6T1ajPTB","Brandenburg Concerto No. 1 in F Major, BWV 1046: II. Adagio","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:7vPE26Y9PEQJ5NMdBj4213, spotify:artist:6XQ2DA18cvs4exdLMMneeU, spotify:artist:5L4UiW4PmaynwCnVahlABE, spotify:artist:1JiIxlpwYQ4PdmqHy5IvuJ, spotify:artist:2c6SFt8p4XsDmcv1WyHXNt, spotify:artist:0vBafEFOLXtq5mZuhMgsyL, spotify:artist:60adCptqwRkANTtVja0bvf","Johann Sebastian Bach, Michel Piguet, Catherine Mackintosh, Ku Ebbinge, Clare Shanks, Felix Warnock, Christopher Hogwood, Academy of Ancient Music","spotify:album:6oyFRAB7nQDF8HX0BzwLCw","The Complete Adagio Collection","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-07-23","https://i.scdn.co/image/ab67616d0000b273e1878edf9aa6075eab428a7f","1","6","217333","","false","0","spotify:user:classifyapp1","2014-03-18T12:36:56Z"
"spotify:track:5kLtMr1RwFFZH0SQTgCmjt","Piano Concerto No. 23 in A, K. 488 : 2. Andante","spotify:artist:4NJhFmfw43RLBLjQvxDuRS, spotify:artist:22c24jxFv4s340DtGNqUZo, spotify:artist:55ZzUX5aeX7bKQyRMsQMbG, spotify:artist:5yxyJsFanEAuwSM5kOuZKc","Wolfgang Amadeus Mozart, Sir Clifford Curzon, Josef Krips, London Symphony Orchestra","spotify:album:6oyFRAB7nQDF8HX0BzwLCw","The Complete Adagio Collection","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-07-23","https://i.scdn.co/image/ab67616d0000b273e1878edf9aa6075eab428a7f","1","7","391493","","false","0","spotify:user:classifyapp1","2014-03-18T12:36:56Z"
"spotify:track:0sCVNV2qxlTz2JprvJkiAF","12 Concerti a cinque, Op. 9 - Concerto No. 2 in D Minor for Oboe: II. Adagio","spotify:artist:17OArJzEhRR3OmhtGcnfBq, spotify:artist:1td0Lqu4V2wiTnvmrHzDkW, spotify:artist:5TYM4xzvG2OuZafhTEuAHX","Tomaso Albinoni, Heinz Holliger, I Musici","spotify:album:6oyFRAB7nQDF8HX0BzwLCw","The Complete Adagio Collection","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-07-23","https://i.scdn.co/image/ab67616d0000b273e1878edf9aa6075eab428a7f","1","8","323825","","false","0","spotify:user:classifyapp1","2014-03-18T12:36:56Z"
"spotify:track:5zxXctkV63MIP6wlmz8WB4","Cello Concerto in E Minor, Op. 85 : 3. Adagio","spotify:artist:430byzy0c5bPn5opiu0SRd, spotify:artist:1U4pv151m4SgVMg8fXROYp, spotify:artist:32i0ni9RO8Q7T7T7ZqkGU2, spotify:artist:0MvSBMGRQJY3mRwIbJsqF1","Edward Elgar, Julian Lloyd Webber, Yehudi Menuhin, Royal Philharmonic Orchestra","spotify:album:6oyFRAB7nQDF8HX0BzwLCw","The Complete Adagio Collection","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-07-23","https://i.scdn.co/image/ab67616d0000b273e1878edf9aa6075eab428a7f","1","9","314013","","false","0","spotify:user:classifyapp1","2014-03-18T12:36:56Z"
"spotify:track:0fWzRfwL70QqrT1JMdr36E","Sonata No. 12 in F Major for Piano, K. 332: II. Adagio","spotify:artist:4NJhFmfw43RLBLjQvxDuRS, spotify:artist:7GH65UbP1uRY9HtNvq4R9Y","Wolfgang Amadeus Mozart, Ingrid Haebler","spotify:album:6oyFRAB7nQDF8HX0BzwLCw","The Complete Adagio Collection","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-07-23","https://i.scdn.co/image/ab67616d0000b273e1878edf9aa6075eab428a7f","1","10","280000","","false","0","spotify:user:classifyapp1","2014-03-18T12:36:56Z"
