"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:23sLbOnQ9060s829E2OhSH","Rotlaust Tre Fell","spotify:artist:0NJ6wlOAsAJ1PN4VRdTPKA","Wardruna","spotify:album:6sOhOU33d0GlRAN8x0PSsX","Runaljod - Yggdrasil","spotify:artist:0NJ6wlOAsAJ1PN4VRdTPKA","Wardruna","2013-03-15","https://i.scdn.co/image/ab67616d0000b27359bb6a219b5dbed0bdadedc3","1","1","251653","","false","0","spotify:user:karlashnikov","2014-08-27T09:45:58Z"
"spotify:track:6aDNrqlZUUIZ0uog2sk8Rx","Fehu","spotify:artist:0NJ6wlOAsAJ1PN4VRdTPKA","Wardruna","spotify:album:6sOhOU33d0GlRAN8x0PSsX","Runaljod - Yggdrasil","spotify:artist:0NJ6wlOAsAJ1PN4VRdTPKA","Wardruna","2013-03-15","https://i.scdn.co/image/ab67616d0000b27359bb6a219b5dbed0bdadedc3","1","2","405280","","false","0","spotify:user:karlashnikov","2014-08-27T09:45:58Z"
"spotify:track:4VbZVtLlROeVm0YuEL13lu","NaudiR","spotify:artist:0NJ6wlOAsAJ1PN4VRdTPKA","Wardruna","spotify:album:6sOhOU33d0GlRAN8x0PSsX","Runaljod - Yggdrasil","spotify:artist:0NJ6wlOAsAJ1PN4VRdTPKA","Wardruna","2013-03-15","https://i.scdn.co/image/ab67616d0000b27359bb6a219b5dbed0bdadedc3","1","3","391573","","false","0","spotify:user:karlashnikov","2014-08-27T09:45:58Z"
"spotify:track:1E3N6IEP2QugJgwsncr6tv","EhwaR","spotify:artist:0NJ6wlOAsAJ1PN4VRdTPKA","Wardruna","spotify:album:6sOhOU33d0GlRAN8x0PSsX","Runaljod - Yggdrasil","spotify:artist:0NJ6wlOAsAJ1PN4VRdTPKA","Wardruna","2013-03-15","https://i.scdn.co/image/ab67616d0000b27359bb6a219b5dbed0bdadedc3","1","4","250893","","false","0","spotify:user:karlashnikov","2014-08-27T09:45:58Z"
"spotify:track:6Ty28Ng4YQZUmhpmJcj5ty","AnsuR","spotify:artist:0NJ6wlOAsAJ1PN4VRdTPKA","Wardruna","spotify:album:6sOhOU33d0GlRAN8x0PSsX","Runaljod - Yggdrasil","spotify:artist:0NJ6wlOAsAJ1PN4VRdTPKA","Wardruna","2013-03-15","https://i.scdn.co/image/ab67616d0000b27359bb6a219b5dbed0bdadedc3","1","5","391799","","false","0","spotify:user:karlashnikov","2014-08-27T09:45:58Z"
"spotify:track:2S1GN06PZ1dFu1V70b6FCk","IwaR","spotify:artist:0NJ6wlOAsAJ1PN4VRdTPKA","Wardruna","spotify:album:6sOhOU33d0GlRAN8x0PSsX","Runaljod - Yggdrasil","spotify:artist:0NJ6wlOAsAJ1PN4VRdTPKA","Wardruna","2013-03-15","https://i.scdn.co/image/ab67616d0000b27359bb6a219b5dbed0bdadedc3","1","6","342573","","false","0","spotify:user:karlashnikov","2014-08-27T09:45:58Z"
"spotify:track:6kATVpnpkKe3fG0QzislN4","IngwaR","spotify:artist:0NJ6wlOAsAJ1PN4VRdTPKA","Wardruna","spotify:album:6sOhOU33d0GlRAN8x0PSsX","Runaljod - Yggdrasil","spotify:artist:0NJ6wlOAsAJ1PN4VRdTPKA","Wardruna","2013-03-15","https://i.scdn.co/image/ab67616d0000b27359bb6a219b5dbed0bdadedc3","1","7","328866","","false","0","spotify:user:karlashnikov","2014-08-27T09:45:58Z"
"spotify:track:0hRFGMpjELfbBSqUGa69lx","Gibu","spotify:artist:0NJ6wlOAsAJ1PN4VRdTPKA","Wardruna","spotify:album:6sOhOU33d0GlRAN8x0PSsX","Runaljod - Yggdrasil","spotify:artist:0NJ6wlOAsAJ1PN4VRdTPKA","Wardruna","2013-03-15","https://i.scdn.co/image/ab67616d0000b27359bb6a219b5dbed0bdadedc3","1","8","330280","","false","0","spotify:user:karlashnikov","2014-08-27T09:45:58Z"
"spotify:track:1mELID7imqVCpel0YfveN8","Solringen","spotify:artist:0NJ6wlOAsAJ1PN4VRdTPKA","Wardruna","spotify:album:6sOhOU33d0GlRAN8x0PSsX","Runaljod - Yggdrasil","spotify:artist:0NJ6wlOAsAJ1PN4VRdTPKA","Wardruna","2013-03-15","https://i.scdn.co/image/ab67616d0000b27359bb6a219b5dbed0bdadedc3","1","9","390373","","false","0","spotify:user:karlashnikov","2014-08-27T09:45:58Z"
"spotify:track:5Gn4szeDXkuMQHnaKjUi7t","Sowelu","spotify:artist:0NJ6wlOAsAJ1PN4VRdTPKA","Wardruna","spotify:album:6sOhOU33d0GlRAN8x0PSsX","Runaljod - Yggdrasil","spotify:artist:0NJ6wlOAsAJ1PN4VRdTPKA","Wardruna","2013-03-15","https://i.scdn.co/image/ab67616d0000b27359bb6a219b5dbed0bdadedc3","1","10","460066","","false","0","spotify:user:karlashnikov","2014-08-27T09:45:58Z"
"spotify:track:3gc1kR9Y98HRIEwGGH8SKh","Helvegen","spotify:artist:0NJ6wlOAsAJ1PN4VRdTPKA","Wardruna","spotify:album:6sOhOU33d0GlRAN8x0PSsX","Runaljod - Yggdrasil","spotify:artist:0NJ6wlOAsAJ1PN4VRdTPKA","Wardruna","2013-03-15","https://i.scdn.co/image/ab67616d0000b27359bb6a219b5dbed0bdadedc3","1","11","431866","","false","0","spotify:user:karlashnikov","2014-08-27T09:45:58Z"
"spotify:track:29bfKPrd3bwOdyHrzvl1Fm","Anywhere Out Of The World (Remastered)","spotify:artist:6sq7prp0tj9Abn89khmfja","Dead Can Dance","spotify:album:4a7Go37RQcQJwo9wrFUThL","Within The Realm Of A Dying Sun (Remastered)","spotify:artist:6sq7prp0tj9Abn89khmfja","Dead Can Dance","1987","https://i.scdn.co/image/ab67616d0000b2731fba04c0098e389427a510ca","1","1","307306","","false","0","spotify:user:karlashnikov","2014-08-27T09:46:25Z"
"spotify:track:2CdBuvwgiTj5Bc3Pd9dMB9","Windfall (Remastered)","spotify:artist:6sq7prp0tj9Abn89khmfja","Dead Can Dance","spotify:album:4a7Go37RQcQJwo9wrFUThL","Within The Realm Of A Dying Sun (Remastered)","spotify:artist:6sq7prp0tj9Abn89khmfja","Dead Can Dance","1987","https://i.scdn.co/image/ab67616d0000b2731fba04c0098e389427a510ca","1","2","211346","","false","0","spotify:user:karlashnikov","2014-08-27T09:46:25Z"
"spotify:track:5AxoSnTbdL4hq5zA8tXRLN","In The Wake Of Adversity (Remastered)","spotify:artist:6sq7prp0tj9Abn89khmfja","Dead Can Dance","spotify:album:4a7Go37RQcQJwo9wrFUThL","Within The Realm Of A Dying Sun (Remastered)","spotify:artist:6sq7prp0tj9Abn89khmfja","Dead Can Dance","1987","https://i.scdn.co/image/ab67616d0000b2731fba04c0098e389427a510ca","1","3","254066","","false","0","spotify:user:karlashnikov","2014-08-27T09:46:25Z"
"spotify:track:2tuyexwlVmFNecyT1Rblzl","Xavier (Remastered)","spotify:artist:6sq7prp0tj9Abn89khmfja","Dead Can Dance","spotify:album:4a7Go37RQcQJwo9wrFUThL","Within The Realm Of A Dying Sun (Remastered)","spotify:artist:6sq7prp0tj9Abn89khmfja","Dead Can Dance","1987","https://i.scdn.co/image/ab67616d0000b2731fba04c0098e389427a510ca","1","4","375280","","false","0","spotify:user:karlashnikov","2014-08-27T09:46:25Z"
"spotify:track:5bFUDeC751QDpkTX8YQfik","Dawn Of The Iconoclast (Remastered)","spotify:artist:6sq7prp0tj9Abn89khmfja","Dead Can Dance","spotify:album:4a7Go37RQcQJwo9wrFUThL","Within The Realm Of A Dying Sun (Remastered)","spotify:artist:6sq7prp0tj9Abn89khmfja","Dead Can Dance","1987","https://i.scdn.co/image/ab67616d0000b2731fba04c0098e389427a510ca","1","5","128653","","false","0","spotify:user:karlashnikov","2014-08-27T09:46:25Z"
"spotify:track:4QhduKIxmE7pxwxSeJFzfB","Cantara (Remastered)","spotify:artist:6sq7prp0tj9Abn89khmfja","Dead Can Dance","spotify:album:4a7Go37RQcQJwo9wrFUThL","Within The Realm Of A Dying Sun (Remastered)","spotify:artist:6sq7prp0tj9Abn89khmfja","Dead Can Dance","1987","https://i.scdn.co/image/ab67616d0000b2731fba04c0098e389427a510ca","1","6","358293","","false","0","spotify:user:karlashnikov","2014-08-27T09:46:25Z"
"spotify:track:7wAqMDCa0FxXXnhX4Wt6Cv","Summoning Of The Muse (Remastered)","spotify:artist:6sq7prp0tj9Abn89khmfja","Dead Can Dance","spotify:album:4a7Go37RQcQJwo9wrFUThL","Within The Realm Of A Dying Sun (Remastered)","spotify:artist:6sq7prp0tj9Abn89khmfja","Dead Can Dance","1987","https://i.scdn.co/image/ab67616d0000b2731fba04c0098e389427a510ca","1","7","296880","","false","0","spotify:user:karlashnikov","2014-08-27T09:46:25Z"
"spotify:track:6J7t5b6cTWhhGTbkSbedBd","Persephone (The Gathering Of Flowers) [Remastered]","spotify:artist:6sq7prp0tj9Abn89khmfja","Dead Can Dance","spotify:album:4a7Go37RQcQJwo9wrFUThL","Within The Realm Of A Dying Sun (Remastered)","spotify:artist:6sq7prp0tj9Abn89khmfja","Dead Can Dance","1987","https://i.scdn.co/image/ab67616d0000b2731fba04c0098e389427a510ca","1","8","393426","","false","0","spotify:user:karlashnikov","2014-08-27T09:46:25Z"
