"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7HnCRKw5UnS5qVMtzTckJl","Lyrics","spotify:artist:7I4UeF0f6UYxwd7MLdeDkH","A.L.","spotify:album:21tkKiB2eq0Q3Nl49OxKbr","Lyricist Lounge Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2002-01-01","https://i.scdn.co/image/ab67616d0000b273ebf6d77b4e67d2acb497418d","2","6","227600","https://p.scdn.co/mp3-preview/c6e362e5fcd63b9ef1c59b85bc5b758659f81755?cid=9950ac751e34487dbbe027c4fd7f8e99","true","25","spotify:user:1283784797","2015-07-15T11:57:30Z"
"spotify:track:0Dx34JSpjOtaxmCTRNPg3A","Mr.","spotify:artist:2mKO7Me8ynxYyTXnr6WQTO, spotify:artist:7E50zc7CQvxJAco1putfym","The Crest, Suparanks","spotify:album:15KoOxiSaSZcByJIopQrgu","Skeptik","spotify:artist:2mKO7Me8ynxYyTXnr6WQTO","The Crest","2005-06-14","https://i.scdn.co/image/ab67616d0000b2739a525bf4127e6f71321b5666","1","14","260786","https://p.scdn.co/mp3-preview/fbabeede74d069c3aa0b272741bf6a9340410764?cid=9950ac751e34487dbbe027c4fd7f8e99","true","27","spotify:user:1283784797","2015-07-15T11:57:38Z"
"spotify:track:20CStYSfSClVPEiSnh234x","Fountain Of Youth","spotify:artist:51RbXPsxuxEcBg0mfTC8TT","Supastition","spotify:album:3NHOlxCyAKzngQPgUiUlEh","The Deadline","spotify:artist:51RbXPsxuxEcBg0mfTC8TT","Supastition","2008-01-01","https://i.scdn.co/image/ab67616d0000b27331f188a33c3861f6d8232644","1","3","209413","","true","0","spotify:user:1283784797","2015-07-15T11:57:46Z"
"spotify:track:7MDUVH4ITohsIjdynRwCJp","Dance with the Devil","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","spotify:album:1lOegkmEfMEMhHy0loZKXV","Revolutionary, Vol. 1","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","2001-09-18","https://i.scdn.co/image/ab67616d0000b27388370126552a130fe036dd75","1","11","579293","https://p.scdn.co/mp3-preview/64929ba360f147b3667411d316fe375adf2f77a6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","spotify:user:1283784797","2015-07-15T11:58:19Z"
"spotify:track:3znun9rP1VsPZfuHC8Ldc6","You Never Know","spotify:artist:7h8ja4JSORo2sXJPmCXRxa, spotify:artist:2ipBhKpOYqs6BbysLNGye6","Immortal Technique, Jean Grae","spotify:album:7wFFgBFdFJDvAM8ZHue160","Revolutionary Vol. 2","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","2003-11-18","https://i.scdn.co/image/ab67616d0000b273352008cb9cc9eebee4b9a0c2","1","17","468160","https://p.scdn.co/mp3-preview/0adeb5098409dddc447f1c5316c6602d1ffa3dbc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","spotify:user:1283784797","2015-07-15T11:58:51Z"
"spotify:track:34LBJLixYcHwdUr3bntzWx","Harlem Streets","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","spotify:album:7wFFgBFdFJDvAM8ZHue160","Revolutionary Vol. 2","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","2003-11-18","https://i.scdn.co/image/ab67616d0000b273352008cb9cc9eebee4b9a0c2","1","4","232040","https://p.scdn.co/mp3-preview/5d96189194f364f0ba8215c4677e3ef22c2d6a9c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","spotify:user:1283784797","2015-07-15T11:58:56Z"
"spotify:track:4dmh3OPtAhbEybhGoOG9TE","Liquid Swords","spotify:artist:6ns6XAOsw4B0nDUIovAOUO","GZA","spotify:album:3k8xoyOXkGgZxUKgpmxz4P","Liquid Swords","spotify:artist:6ns6XAOsw4B0nDUIovAOUO","GZA","1995-11-07","https://i.scdn.co/image/ab67616d0000b27384b6abc19fb31fb382378bbc","1","1","270800","https://p.scdn.co/mp3-preview/5ae667a980728eba7c0e97895e8884cfc2570886?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","spotify:user:1283784797","2015-07-15T11:59:21Z"
"spotify:track:5mOzvm41Pdh1WOtBKlCtZd","B.I.B.L.E. (Basic Instructions Before Leaving Earth)","spotify:artist:6ns6XAOsw4B0nDUIovAOUO, spotify:artist:0JYmatsiEQMn2v5KchV8u2","GZA, Killah Priest","spotify:album:3k8xoyOXkGgZxUKgpmxz4P","Liquid Swords","spotify:artist:6ns6XAOsw4B0nDUIovAOUO","GZA","1995-11-07","https://i.scdn.co/image/ab67616d0000b27384b6abc19fb31fb382378bbc","1","13","272866","https://p.scdn.co/mp3-preview/0b85e3f3632f86cab7d42a3926e366e4cb4a679f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:1283784797","2015-07-15T11:59:27Z"
"spotify:track:6fsspdc2FvvvgxLCAuqkL4","W.A.R.","spotify:artist:5DKuVtlpDH0agZQUFDy8O7, spotify:artist:7h8ja4JSORo2sXJPmCXRxa, spotify:artist:1nCiDbYWnN9G4VQ4LxeyxD","Pharoahe Monch, Immortal Technique, Vernon Reid","spotify:album:2Py3AkOXKWFVnJbPp3GYP0","W.A.R. (We Are Renegades)","spotify:artist:5DKuVtlpDH0agZQUFDy8O7","Pharoahe Monch","2011-03-22","https://i.scdn.co/image/ab67616d0000b273db0be8d9eeea8b70c3bcd45e","1","4","264960","","true","0","spotify:user:1283784797","2015-07-15T11:57:00Z"
"spotify:track:1QzCcvqjKRxIn3an4EMuhb","Say Hey There","spotify:artist:1GAS0rb4L8VTPvizAx2O9J","Atmosphere","spotify:album:1hBI1qvcmBmqga4rTJwCEG","You Can't Imagine How Much Fun We're Having","spotify:artist:1GAS0rb4L8VTPvizAx2O9J","Atmosphere","2005","https://i.scdn.co/image/ab67616d0000b27383b805df15547a5d6c8f82f4","1","5","269160","","true","0","spotify:user:1283784797","2015-07-15T12:00:07Z"
