"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5VNaJRtmPyenzSsZ7mDc6d","North of Corpus","spotify:artist:3AESf0xMv9HSc3svVqypnY","The Last Ten Seconds of Life","spotify:album:5kjjgzMSXP2mX68CSP9UnG","Soulless Hymns","spotify:artist:3AESf0xMv9HSc3svVqypnY","The Last Ten Seconds of Life","2015-01-13","https://i.scdn.co/image/ab67616d0000b27361525ec1376799a910443417","1","3","248640","","true","0","spotify:user:oceanoofficial","2015-03-25T15:38:12Z"
"spotify:track:0wvIGFIgbyz4JNwQhZgTv2","Rooster","spotify:artist:64tNsm6TnZe2zpcMVMOoHL","Alice In Chains","spotify:album:58NXIEYqmq5dQHg9nV9duM","Dirt","spotify:artist:64tNsm6TnZe2zpcMVMOoHL","Alice In Chains","1992-09-29","https://i.scdn.co/image/ab67616d0000b27331ea2c36c5da3979177127b1","1","6","374333","https://p.scdn.co/mp3-preview/28ceb0383cd9710e7e01f7a8fafd0c6e84973c5a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:oceanoofficial","2015-03-25T15:39:38Z"
"spotify:track:1QEEqeFIZktqIpPI4jSVSF","More Than a Feeling","spotify:artist:29kkCKKGXheHuoO829FxWK","Boston","spotify:album:2QLp07RO6anZHmtcKTEvSC","Boston","spotify:artist:29kkCKKGXheHuoO829FxWK","Boston","1976","https://i.scdn.co/image/ab67616d0000b27390ef9760e57fafd8f966d17a","1","1","285133","https://p.scdn.co/mp3-preview/97aaefeb43d0e2368526778487c7097607d5d78d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","spotify:user:oceanoofficial","2015-03-25T15:39:13Z"
"spotify:track:5yI3Cne9U6NnBFXzF54u0H","Talk","spotify:artist:42xPXoekzBbYZtoDCryY6i, spotify:artist:1iqXhsjGeWi2Gje5q0mFYb","Faces, xxyyxx","spotify:album:1Gws6ZxpT11wnMWd9QafHm","Prototype","spotify:artist:42xPXoekzBbYZtoDCryY6i","Faces","2012-10-13","https://i.scdn.co/image/ab67616d0000b273e6bccdbde29629554a5e4120","1","3","221244","","true","0","spotify:user:oceanoofficial","2015-03-25T15:39:02Z"
"spotify:track:1JR7GbobhcAEiWEAhTgLtz","Tell Me","spotify:artist:5eIbEEQnDM8yuDVB0bimSP, spotify:artist:4AA8eXtzqh5ykxtafLaPOi","RL Grime, What So Not","spotify:album:2F1bU9l5yUhD47Mn6RnrES","Tell Me","spotify:artist:5eIbEEQnDM8yuDVB0bimSP, spotify:artist:4AA8eXtzqh5ykxtafLaPOi","RL Grime, What So Not","2014-06-24","https://i.scdn.co/image/ab67616d0000b2731080fd2bdc87d1ad842f99e2","1","1","281142","","false","0","spotify:user:oceanoofficial","2015-03-25T15:38:44Z"
"spotify:track:28IxlIorcFCsx4BretzLk8","Professional","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:69xrpMAHT2VFw70VhBfHkM","Kiss Land","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2013-09-10","https://i.scdn.co/image/ab67616d0000b27338c09f95a0617c261587f39e","1","1","368720","","false","0","spotify:user:oceanoofficial","2015-01-14T12:46:10Z"
"spotify:track:4pUUhsc8fmZqnsPaOSU5CP","Fireworks","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Drake, Alicia Keys","spotify:album:6agmeioaDOBupymziJihgB","Thank Me Later (Int'l Version)","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2010-01-01","https://i.scdn.co/image/ab67616d0000b27372babba16ea5e3afe690b4f1","1","1","313266","https://p.scdn.co/mp3-preview/b2bd81155f2ff1e02e0aba619a44873bdae90261?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","spotify:user:oceanoofficial","2015-01-14T12:46:48Z"
"spotify:track:76SbgyidgTYi18sW1NfwaV","We Can Roll","spotify:artist:534rgZ76LDMlM7xLt9xSGR","Bad Rabbits","spotify:album:6HjrMfE8wPXQEhefcPZTJo","American Love","spotify:artist:534rgZ76LDMlM7xLt9xSGR","Bad Rabbits","2013-05-14","https://i.scdn.co/image/ab67616d0000b273fdc34a98164756781b1ec1c8","1","1","195529","https://p.scdn.co/mp3-preview/a2e7b7eac0e50228670ff4e42b8864bb1a5d3632?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:oceanoofficial","2015-01-14T12:47:19Z"
"spotify:track:5wliFXYwYvepI2HXERNU5I","Birdo","spotify:artist:5YUQk45IjdzzQ49G1Txzkk","Horse The Band","spotify:album:0nGauiKLkUNorNEJyJldlP","The Mechanical Hand","spotify:artist:5YUQk45IjdzzQ49G1Txzkk","Horse The Band","2005-09-20","https://i.scdn.co/image/ab67616d0000b2734b6b544575b0bd84297e3bc0","1","1","201386","","true","0","spotify:user:oceanoofficial","2015-01-14T12:48:13Z"
"spotify:track:6KLgKZwCJp8GWo35KEOF3S","The Beginning...","spotify:artist:5y2Xq6xcjJb2jVM54GHK3t","John Legend","spotify:album:4OTAx9un4e6NfoHuVRiOrC","Love In The Future (Expanded Edition)","spotify:artist:5y2Xq6xcjJb2jVM54GHK3t","John Legend","2013-08-30","https://i.scdn.co/image/ab67616d0000b27394c9217a398f5174757c0c78","1","2","205053","https://p.scdn.co/mp3-preview/a6fa29a702871072248ddbef2a5fa05a2e29568d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:oceanoofficial","2015-01-14T12:48:47Z"
