"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:17NqMixWkiwoxPp03BON8p","Submission","spotify:artist:1u7kkVrr14iBvrpYnZILJR","Sex Pistols","spotify:album:4FVe0j5deTmqC56LbIwmb7","Spunk","spotify:artist:1u7kkVrr14iBvrpYnZILJR","Sex Pistols","1977-09-01","https://i.scdn.co/image/ab67616d0000b273b093b45c698867ceda71b737","1","5","256853","","false","0","spotify:user:12131325745","2014-04-30T14:31:09Z"
"spotify:track:4J3ch1xDqhbzgxQ44iIuO8","Kickin' and Stickin'","spotify:artist:5Mhs3Eu8lU6sRCtRYsmABV","Black Flag","spotify:album:0jOSPoDFUWtRLXwKDa0tQD","I Can See You","spotify:artist:5Mhs3Eu8lU6sRCtRYsmABV","Black Flag","1989","https://i.scdn.co/image/ab67616d0000b27347209de613daeb5bce299dde","1","2","84266","https://p.scdn.co/mp3-preview/03a35a77a34a5ff40c19719f26911ce201aa0af2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:12131325745","2014-05-01T05:50:41Z"
"spotify:track:3LCYYxouNz4RmgKdTlX7k8","I've Got to Run","spotify:artist:5Mhs3Eu8lU6sRCtRYsmABV","Black Flag","spotify:album:79OTJ682TxMyzftlo8kh43","Tv Party","spotify:artist:5Mhs3Eu8lU6sRCtRYsmABV","Black Flag","1982","https://i.scdn.co/image/ab67616d0000b27331e2b72dab90e2350a674836","1","2","105293","https://p.scdn.co/mp3-preview/ada6bb99ee7baf7345b4aee038f2c57654ba71ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:12131325745","2014-05-02T06:13:36Z"
"spotify:track:3FZyO8oxFtcImgdLaUTSed","Wound Up","spotify:artist:5Mhs3Eu8lU6sRCtRYsmABV","Black Flag","spotify:album:5kjVAM9j8u2HyVwC7Coafk","Slip It In","spotify:artist:5Mhs3Eu8lU6sRCtRYsmABV","Black Flag","1984-12-01","https://i.scdn.co/image/ab67616d0000b273348ef033d6f9ada1816ac5ee","1","3","263333","https://p.scdn.co/mp3-preview/62df000ff5dbb2ccf6a2e6d856eaf8f9cb918b82?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:12131325745","2014-05-03T06:35:28Z"
"spotify:track:5R3w9JrCCcwjkXUbGAmmEr","Pervert","spotify:artist:1FGH4Bh7g9W6V4fUcKZWp5","Descendents","spotify:album:5kOp5XHhmMoG2e41VyVQC0","I Don't Want to Grow Up","spotify:artist:1FGH4Bh7g9W6V4fUcKZWp5","Descendents","1987","https://i.scdn.co/image/ab67616d0000b2735bbf83a225fcfc7b54523fe2","1","3","107200","https://p.scdn.co/mp3-preview/8960e3fc902d2a9e3fb908f64467260eb066f4fb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","spotify:user:12131325745","2014-05-05T15:15:35Z"
"spotify:track:678Fh7cIfN1sLqxsj5sc2G","Sonic Reducer","spotify:artist:4RjtLUZNqLtMpRKIOaVokc","Dead Boys","spotify:album:6SiRxD9eeJELm4TR8C6MDJ","Young, Loud And Snotty","spotify:artist:4RjtLUZNqLtMpRKIOaVokc","Dead Boys","1977","https://i.scdn.co/image/ab67616d0000b2738a9bd9772d2edab0c20b0f3c","1","1","189333","https://p.scdn.co/mp3-preview/fc1143a4c3997eb1c4592c791ffb0ba9f4286924?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:12131325745","2014-05-05T15:19:57Z"
"spotify:track:0oIUsMpzqPJoFi0bQFWEva","Don't Call Me White","spotify:artist:4S2yOnmsWW97dT87yVoaSZ","NOFX","spotify:album:2BgiGyMKCFrdpVdYN2H8eK","Punk In Drublic","spotify:artist:4S2yOnmsWW97dT87yVoaSZ","NOFX","1994","https://i.scdn.co/image/ab67616d0000b273658ffa08400e65300896a713","1","5","153426","","false","0","spotify:user:12131325745","2014-05-05T15:47:35Z"
"spotify:track:3NoOwvxhI2yMYknxqnFUVx","Nervous Breakdown","spotify:artist:5Mhs3Eu8lU6sRCtRYsmABV","Black Flag","spotify:album:4jBYjoYLD7GOHzVQ8olPlV","Nervous Breakdown","spotify:artist:5Mhs3Eu8lU6sRCtRYsmABV","Black Flag","2006-01-24","https://i.scdn.co/image/ab67616d0000b273a4eecbf28da3bd032e4c9e39","1","1","129173","https://p.scdn.co/mp3-preview/5a9bb1f8277e0d668d2891fdaa81c5bb1ad8513b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","spotify:user:12131325745","2014-05-06T03:37:47Z"
"spotify:track:4DA95pyBe6QORPGvTEuMWQ","TV Party","spotify:artist:5Mhs3Eu8lU6sRCtRYsmABV","Black Flag","spotify:album:34aFnrFRBlErcbU6moRZR3","Damaged","spotify:artist:5Mhs3Eu8lU6sRCtRYsmABV","Black Flag","1981","https://i.scdn.co/image/ab67616d0000b273ba9fff4147e9e1656a5c33e1","1","5","211200","https://p.scdn.co/mp3-preview/608018875ba820b1424024417bd66c93932dad21?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:12131325745","2014-05-06T04:02:25Z"
"spotify:track:5h5reMGNpL19vdn5wMkbNn","Halloween","spotify:artist:1cXi8ALPQCBHZbf0EgP4Ey","Misfits","spotify:album:7dUrduNuWHYQ8pdDKtBedD","Collection 2","spotify:artist:1cXi8ALPQCBHZbf0EgP4Ey","Misfits","1995-01-01","https://i.scdn.co/image/ab67616d0000b2733b5f421e03b66186de38c4ef","1","9","112426","https://p.scdn.co/mp3-preview/3e33f8465b648f35ab06e530e809fd5da237b427?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:12131325745","2014-05-06T04:04:15Z"
