"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3qBAaoahAIR8cMaE0GAyGi","Pentagon","spotify:artist:4eSQMlnSUDwVfRYhLqikyd","Sean Murray","spotify:album:1wNRiDESMvDAKJN1302arj","Call of Duty: Black Ops","spotify:artist:4eSQMlnSUDwVfRYhLqikyd","Sean Murray","2010-11-16","https://i.scdn.co/image/ab67616d0000b2733b165f2d91defd60be83a460","1","17","193893","","false","0","spotify:user:124014143","2014-09-10T17:55:23Z"
"spotify:track:7LnqwXUEvcyWu2c8BuidUW","No Retreat","spotify:artist:56OMwqr8qaLIRH4ZrvvdXq, spotify:artist:2LiWxiQzuD9nmWQ6NCA8Gd","Dilated Peoples, B-Real","spotify:album:4FLIb7KILAeKlllF1SeRTy","The Platform","spotify:artist:56OMwqr8qaLIRH4ZrvvdXq","Dilated Peoples","2000-05-23","https://i.scdn.co/image/ab67616d0000b2730553a154e1589b0c2835efbd","1","3","320600","https://p.scdn.co/mp3-preview/456fe7e016239a3af3e4a06203aa8738542d8f17?cid=9950ac751e34487dbbe027c4fd7f8e99","true","25","spotify:user:124014143","2015-03-10T16:03:16Z"
"spotify:track:5xlsoAkssJLr31hGEBa8bu","Too Much","spotify:artist:7lNJ1ZVAHcx6V4HqC68xRY, spotify:artist:3PaRWHJX1nnmN4kffMGm93","Lowkey, Shadia Mansour","spotify:album:6RLfzSwPv3wyLrB3Xir2cn","Soundtrack to the Struggle...","spotify:artist:7lNJ1ZVAHcx6V4HqC68xRY","Lowkey","2011-10-16","https://i.scdn.co/image/ab67616d0000b2733ccd7bb7d190c2e42cdb5cc5","1","2","234471","https://p.scdn.co/mp3-preview/605709720164a783175cacd1648b4ffc0cc675c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:124014143","2013-05-04T18:40:51Z"
"spotify:track:74y7mjtAUxInQhtB3ha4DK","What Kinda World","spotify:artist:2gINJ8xw86xawPyGvx1bla","KRS-One","spotify:album:2pwc00f5uTFXWwOBoEJ5jh","Sneak Attack","spotify:artist:2gINJ8xw86xawPyGvx1bla","KRS-One","2001-03-27","https://i.scdn.co/image/ab67616d0000b273fc7269b7a6f65325a28d64f4","1","10","204973","","true","0","spotify:user:124014143","2013-05-04T18:42:48Z"
"spotify:track:3QQO965nzENNYR6ez6whyH","Close Edge","spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO","Mos Def","spotify:album:3CuQ6usFo0TEGIhgrBx8rh","The New Danger (Explicit Version)","spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO","Mos Def","2004-10-19","https://i.scdn.co/image/ab67616d0000b27370297628d572cd6442e969ab","1","9","190106","","true","0","spotify:user:124014143","2014-09-27T17:18:08Z"
"spotify:track:6XPgUJXod5yOAwTAYN6RCX","It Ain't Hard To Tell - Explicit Album Version","spotify:artist:20qISvAhX20dpIbOOzGK3q","Nas","spotify:album:4oG64fJsDnfS9SZb3Jj1er","Illmatic","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1994-04-19","https://i.scdn.co/image/ab67616d0000b2731e42c4fbdfd827bcc680da56","1","10","202133","","true","0","spotify:user:124014143","2013-02-15T05:24:44Z"
"spotify:track:6V3OLZgJzFTTOKmOk7joMr","Long Live Palestine","spotify:artist:7lNJ1ZVAHcx6V4HqC68xRY","Lowkey","spotify:album:6RLfzSwPv3wyLrB3Xir2cn","Soundtrack to the Struggle...","spotify:artist:7lNJ1ZVAHcx6V4HqC68xRY","Lowkey","2011-10-16","https://i.scdn.co/image/ab67616d0000b2733ccd7bb7d190c2e42cdb5cc5","1","17","249422","https://p.scdn.co/mp3-preview/5799e05738e44a6e526da54a34c69b17cb0faca5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:124014143","2013-05-04T18:41:09Z"
"spotify:track:3nktGs7MeEKAq2f7YSpENs","Peruvian Cocaine","spotify:artist:7h8ja4JSORo2sXJPmCXRxa, spotify:artist:5Pm1ivc6SEmNCl6Z8oXVGi, spotify:artist:6DlRKPBLhSYo0KbxVPljBk, spotify:artist:15GygzQHeg7bjfowjyLvyH, spotify:artist:1l4hfWLBSaYjCO8E0lzASA, spotify:artist:54rUhWtGTfR3GMKNyGXyRW, spotify:artist:6tJRz44hifa2rNseM7RoTt","Immortal Technique, Poison Pen, Pumpkinhead, Diabolic, C-Rayz Walz, Loucipher, Tonedeff","spotify:album:7wFFgBFdFJDvAM8ZHue160","Revolutionary Vol. 2","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","2003-11-18","https://i.scdn.co/image/ab67616d0000b273352008cb9cc9eebee4b9a0c2","1","3","288666","https://p.scdn.co/mp3-preview/e47a4901d135d96e9628cb8f40eeb62515a632bd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","spotify:user:124014143","2013-05-04T18:44:13Z"
"spotify:track:5jgHI1gXKRhjEvp8S8v0Na","Why","spotify:artist:2gINJ8xw86xawPyGvx1bla","KRS-One","spotify:album:2pwc00f5uTFXWwOBoEJ5jh","Sneak Attack","spotify:artist:2gINJ8xw86xawPyGvx1bla","KRS-One","2001-03-27","https://i.scdn.co/image/ab67616d0000b273fc7269b7a6f65325a28d64f4","1","5","158360","","true","0","spotify:user:124014143","2013-05-04T18:42:29Z"
"spotify:track:0jmcEc0GDlmzvnYxlEbFC9","Out For Fame","spotify:artist:2gINJ8xw86xawPyGvx1bla","KRS-One","spotify:album:17C90B1H8gxYa664SSVM9x","KRS-One","spotify:artist:2gINJ8xw86xawPyGvx1bla","KRS-One","1995-10-10","https://i.scdn.co/image/ab67616d0000b273d0c36501e3574923c5a4c126","1","12","292760","https://p.scdn.co/mp3-preview/104abd1b69b3f91e71b7768e9dfe0492a5b1018b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:124014143","2013-02-15T05:25:54Z"
