"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1RAT6ITtieUtR7pgUm6LCY","Processional","spotify:artist:40uWyieMnDCdIlba6Pr7xL","Weedeater","spotify:album:5RzD1w7ubnPOPJ4EkxUfTf","Goliathan","spotify:artist:40uWyieMnDCdIlba6Pr7xL","Weedeater","2015-05-18","https://i.scdn.co/image/ab67616d0000b2734663a66924077087293aa313","1","1","132706","https://p.scdn.co/mp3-preview/ca72996f25c65abdbdd6da1fca764f43f6b17e50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:metalwreckage666","2015-05-18T14:19:34Z"
"spotify:track:1RGp4Q1vv7DCb0ZH6SRQcN","Goliathan","spotify:artist:40uWyieMnDCdIlba6Pr7xL","Weedeater","spotify:album:5RzD1w7ubnPOPJ4EkxUfTf","Goliathan","spotify:artist:40uWyieMnDCdIlba6Pr7xL","Weedeater","2015-05-18","https://i.scdn.co/image/ab67616d0000b2734663a66924077087293aa313","1","2","227813","https://p.scdn.co/mp3-preview/89d09dceb5f908123a7f5bbcdab6db3c0a1f8553?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:metalwreckage666","2015-05-18T14:19:34Z"
"spotify:track:5FqjPD5OMIiupILtuJl2eX","Cain Enabler","spotify:artist:40uWyieMnDCdIlba6Pr7xL","Weedeater","spotify:album:5RzD1w7ubnPOPJ4EkxUfTf","Goliathan","spotify:artist:40uWyieMnDCdIlba6Pr7xL","Weedeater","2015-05-18","https://i.scdn.co/image/ab67616d0000b2734663a66924077087293aa313","1","3","181426","https://p.scdn.co/mp3-preview/478634a45c9a716174d13b3556d320c3b7b1251c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:metalwreckage666","2015-05-18T14:19:34Z"
"spotify:track:7vegExoi5ccdQVleXasCvV","Bow Down","spotify:artist:40uWyieMnDCdIlba6Pr7xL","Weedeater","spotify:album:5RzD1w7ubnPOPJ4EkxUfTf","Goliathan","spotify:artist:40uWyieMnDCdIlba6Pr7xL","Weedeater","2015-05-18","https://i.scdn.co/image/ab67616d0000b2734663a66924077087293aa313","1","4","282213","https://p.scdn.co/mp3-preview/d7397bdb8ee66d1ff298f60b10e2c439f5a6bc5a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:metalwreckage666","2015-05-18T14:19:34Z"
"spotify:track:1QDeeGKi9AP1iXmZ9fRNpz","Battered & Fried","spotify:artist:40uWyieMnDCdIlba6Pr7xL","Weedeater","spotify:album:5RzD1w7ubnPOPJ4EkxUfTf","Goliathan","spotify:artist:40uWyieMnDCdIlba6Pr7xL","Weedeater","2015-05-18","https://i.scdn.co/image/ab67616d0000b2734663a66924077087293aa313","1","5","218746","https://p.scdn.co/mp3-preview/b674221fdb6daad4eacbc99f831f48c6a8b76b69?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:metalwreckage666","2015-05-18T14:19:34Z"
"spotify:track:1GhBLXJ3TvnWdhcilkqifx","Claw of the Sloth","spotify:artist:40uWyieMnDCdIlba6Pr7xL","Weedeater","spotify:album:5RzD1w7ubnPOPJ4EkxUfTf","Goliathan","spotify:artist:40uWyieMnDCdIlba6Pr7xL","Weedeater","2015-05-18","https://i.scdn.co/image/ab67616d0000b2734663a66924077087293aa313","1","6","324426","https://p.scdn.co/mp3-preview/54daafb0c43e2e60208676f4d75e34b2c06095d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:metalwreckage666","2015-05-18T14:19:34Z"
"spotify:track:1hHsPJIn1rsDEAkSvPXW6w","Bully","spotify:artist:40uWyieMnDCdIlba6Pr7xL","Weedeater","spotify:album:5RzD1w7ubnPOPJ4EkxUfTf","Goliathan","spotify:artist:40uWyieMnDCdIlba6Pr7xL","Weedeater","2015-05-18","https://i.scdn.co/image/ab67616d0000b2734663a66924077087293aa313","1","7","107373","https://p.scdn.co/mp3-preview/4f91c176e8d5fa969f3de40496708c6d4467658e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:metalwreckage666","2015-05-18T14:19:34Z"
"spotify:track:0UpTuX3YWU09nRiA7mmk8b","Joseph (All Talk)","spotify:artist:40uWyieMnDCdIlba6Pr7xL","Weedeater","spotify:album:5RzD1w7ubnPOPJ4EkxUfTf","Goliathan","spotify:artist:40uWyieMnDCdIlba6Pr7xL","Weedeater","2015-05-18","https://i.scdn.co/image/ab67616d0000b2734663a66924077087293aa313","1","8","172293","https://p.scdn.co/mp3-preview/7db500e24c643a8b8432a8a65ece8b8ee7d7ddbd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:metalwreckage666","2015-05-18T14:19:34Z"
"spotify:track:4LhUtym3pJpgv2TKsGds27","Reprise","spotify:artist:40uWyieMnDCdIlba6Pr7xL","Weedeater","spotify:album:5RzD1w7ubnPOPJ4EkxUfTf","Goliathan","spotify:artist:40uWyieMnDCdIlba6Pr7xL","Weedeater","2015-05-18","https://i.scdn.co/image/ab67616d0000b2734663a66924077087293aa313","1","9","159200","https://p.scdn.co/mp3-preview/612e8a2add1927d587d1959d97f7629065fc4566?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:metalwreckage666","2015-05-18T14:19:34Z"
"spotify:track:3Q0IVONUfU2VhiK4Saf59Q","Benaddiction","spotify:artist:40uWyieMnDCdIlba6Pr7xL","Weedeater","spotify:album:5RzD1w7ubnPOPJ4EkxUfTf","Goliathan","spotify:artist:40uWyieMnDCdIlba6Pr7xL","Weedeater","2015-05-18","https://i.scdn.co/image/ab67616d0000b2734663a66924077087293aa313","1","10","191373","https://p.scdn.co/mp3-preview/99b8d462206160e659ad53efcebadb4b84cbb363?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:metalwreckage666","2015-05-18T14:19:34Z"
