"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2B02khVro11uaspyCEKh5u","Prelude","spotify:artist:5SizWbJ5S7KxIR8e07jvqf","This Patch of Sky","spotify:album:2K2RvGoAcZxQkBokrBSJmk","This Patch of Sky","spotify:artist:5SizWbJ5S7KxIR8e07jvqf","This Patch of Sky","2014-08-26","https://i.scdn.co/image/ab67616d0000b27390741eaa18dc1fe4ce2733a7","1","1","160866","","false","0","spotify:user:metalwreckage666","2014-10-21T14:55:24Z"
"spotify:track:1qjepM8Kvr049e9gE1fkdm","Passage","spotify:artist:7trvyUUXmPhi1StCNYHj4e","Lowercase Noises","spotify:album:5KFRuWDL0crUoNfvBqMFyw","Passage","spotify:artist:7trvyUUXmPhi1StCNYHj4e","Lowercase Noises","2012-11-28","https://i.scdn.co/image/ab67616d0000b273830c3ef9a80d37ce9e01bdc9","1","3","347636","https://p.scdn.co/mp3-preview/32ba545e622cfe1df52fbef64cc70c9d3f27dc8e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:metalwreckage666","2015-06-24T20:15:02Z"
"spotify:track:3Vb3MW2mzBsGEq4jYL8ZYB","Time Destroys Everything, But Our Foundation Remains","spotify:artist:5SizWbJ5S7KxIR8e07jvqf","This Patch of Sky","spotify:album:2K2RvGoAcZxQkBokrBSJmk","This Patch of Sky","spotify:artist:5SizWbJ5S7KxIR8e07jvqf","This Patch of Sky","2014-08-26","https://i.scdn.co/image/ab67616d0000b27390741eaa18dc1fe4ce2733a7","1","2","481175","","false","0","spotify:user:metalwreckage666","2014-10-21T14:55:26Z"
"spotify:track:5R8BPVaMn0h2ACvGPtCxTh","We Were Only Dreaming","spotify:artist:4psrqC3PJSJSNJ9Vmqj2ZK","Tides Of Man","spotify:album:6sL2VY4HI50pkkWy2sJsfh","Young and Courageous","spotify:artist:4psrqC3PJSJSNJ9Vmqj2ZK","Tides Of Man","2014-02-04","https://i.scdn.co/image/ab67616d0000b273b886deb64bcb0bdd72947902","1","7","289064","https://p.scdn.co/mp3-preview/82ce45a5cce269c6adbdbc9f87da7e8334ce679f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:metalwreckage666","2015-05-26T15:33:19Z"
"spotify:track:7GJiaXhK4lXQdmXHIcL6JZ","Sur","spotify:artist:4gmxGXxgEmGVrEgiFJYGv3","threestepstotheocean","spotify:album:5mtaiL4QaTb4Kxo6U6QyYP","Migration Light","spotify:artist:4gmxGXxgEmGVrEgiFJYGv3","threestepstotheocean","2015-03-10","https://i.scdn.co/image/ab67616d0000b2734404a5ad582e0efaff6406b6","1","2","456159","https://p.scdn.co/mp3-preview/ab1e417521f113fcf5016eec3767d2124692a385?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:metalwreckage666","2015-07-16T18:51:32Z"
"spotify:track:10uXQzj292zbmNXpa3bWBZ","Megan","spotify:artist:3T2itXg1zygJtMydKVQxbp","Anesthesia","spotify:album:0mzpIh1S3AvEAfM7Ug834h","Wake Up","spotify:artist:3T2itXg1zygJtMydKVQxbp","Anesthesia","2008-08-29","https://i.scdn.co/image/ab67616d0000b273e3088cdeae1c13024cfa9f09","1","6","324320","https://p.scdn.co/mp3-preview/5d77e8761fb1dfa789739cf25cd295b73957ebd3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:metalwreckage666","2015-07-20T17:23:55Z"
"spotify:track:18KrphnmhjEagBup2W9Hj3","We Always Think There Is Going to Be More Time...","spotify:artist:4AXRViJcT2cJ0x1CxSSldW","The End Of The Ocean","spotify:album:0AcN6qKwf00huBIs83EcSO","Pacific•atlantic","spotify:artist:4AXRViJcT2cJ0x1CxSSldW","The End Of The Ocean","2011-03-01","https://i.scdn.co/image/ab67616d0000b273b19aad0af082de78804f8d2a","1","8","677200","https://p.scdn.co/mp3-preview/55019c9ae4696b0e55b024be445ea6817959b1e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:metalwreckage666","2015-03-11T15:24:36Z"
"spotify:track:6BZFeisu2l3kkVm2C2hYzK","Decayer","spotify:artist:3pmb6EnakP15oTPwkUndJx","Pray for Sound","spotify:album:1faB36WLHliVa6xqjzTtcu","Dreamer","spotify:artist:3pmb6EnakP15oTPwkUndJx","Pray for Sound","2014-07-09","https://i.scdn.co/image/ab67616d0000b27360a4390945a0ce5b4a9325a7","1","2","286080","https://p.scdn.co/mp3-preview/30692acf180b1b7a8e908cdce2376759033cd4da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:metalwreckage666","2015-03-11T17:02:51Z"
"spotify:track:007mIQkyQcn2Mu1UHlUiFV","Not Everything, Not Yet","spotify:artist:6ci6E73JwOYCirhYCGBYjh","Glories","spotify:album:4Arg57e7HK7XzIFmF4iW5m","Put the Beast out of Mind","spotify:artist:6ci6E73JwOYCirhYCGBYjh","Glories","2014-07-29","https://i.scdn.co/image/ab67616d0000b273b8bedf1c27ab21e8cff6480b","1","7","429401","","false","0","spotify:user:metalwreckage666","2015-01-24T18:36:37Z"
"spotify:track:37HI0imp0t6a0MBS00lPkS","The Mighty Rio Grande","spotify:artist:0MG4LXIw7n4x0wjDc6WYXk","This Will Destroy You","spotify:album:72vAmnfrNfzORX6gG7p8Jf","S/T","spotify:artist:0MG4LXIw7n4x0wjDc6WYXk","This Will Destroy You","2007-01-08","https://i.scdn.co/image/ab67616d0000b27346db3c1d529e0d7c0f7430ce","1","5","676986","https://p.scdn.co/mp3-preview/62a98d301ad914d49397a9727fd756d7a7c7bd63?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:metalwreckage666","2015-01-24T18:22:55Z"
