"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5cUTs6NyKrwFS1Bxx2O4H0","Aruca","spotify:artist:61uYVpJPgBq9dNrfUy6kTp","Medicine","spotify:album:4fnB4RZdmBrnE6AN3xcCQw","Shot Forth Self Living","spotify:artist:61uYVpJPgBq9dNrfUy6kTp","Medicine","1992","https://i.scdn.co/image/ab67616d0000b2734125ecdbe1e3bd5bd3cf99d7","1","2","288800","https://p.scdn.co/mp3-preview/5b438b17bba89459b59a75cc1bcdfd0901abc704?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:traviswilliams727","2015-01-15T17:58:39Z"
"spotify:track:1rekKuNoaufKQf9OwdqbDS","Starlust","spotify:artist:3ysp8GwsheDcBxP9q65lBg","Lush","spotify:album:3n4p49rcSQnvMfCUMkmVso","Split","spotify:artist:3ysp8GwsheDcBxP9q65lBg","Lush","1994-06-13","https://i.scdn.co/image/ab67616d0000b273070ef5839a342e4f233f0f3a","1","11","272026","","false","0","spotify:user:traviswilliams727","2015-01-15T17:58:39Z"
"spotify:track:2tFgvN2DGTFn0xvjtWoSBl","Tall Ships","spotify:artist:0Zk7We5BZoDR40himAI86D","Swirlies","spotify:album:5b28hs1aD1UTUWJ5Gxb2Ly","What To Do About Them","spotify:artist:0Zk7We5BZoDR40himAI86D","Swirlies","1992","https://i.scdn.co/image/ab67616d0000b2731ba00dbdccb782b571f461a1","1","1","273493","https://p.scdn.co/mp3-preview/f6540a5c790294b044f3c596f7c61734697f4e58?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:traviswilliams727","2015-01-15T17:58:39Z"
"spotify:track:1U4RLIXHCrtGZluB38xQOl","Lilies","spotify:artist:5q2ehaRqAFmM6tLl4vaVwP","Cranes","spotify:album:6Wu68IuRJPzC3JqYSbtG1L","Loved","spotify:artist:5q2ehaRqAFmM6tLl4vaVwP","Cranes","1994-10-11","https://i.scdn.co/image/ab67616d0000b2736d7aad76fd12b19243874109","1","4","226426","https://p.scdn.co/mp3-preview/ebf2ff4fe1176f08de257ed779291f6eebc17602?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:traviswilliams727","2015-01-15T17:58:39Z"
"spotify:track:4t0YSm5foVoTYHLpxoK9t2","Tastes Like Honey","spotify:artist:6HXzAVwfQyS92X8UN6JVAu","Swallow","spotify:album:0ySteqpbwjhNcttU9kiAaw","Blow","spotify:artist:6HXzAVwfQyS92X8UN6JVAu","Swallow","1992-07-20","https://i.scdn.co/image/ab67616d0000b273ff73f98f6042bb3543f75eff","1","2","281666","","false","0","spotify:user:traviswilliams727","2015-01-15T17:58:39Z"
"spotify:track:0x2k5tosNNyGDWZpCcGmWQ","Shallow Then Halo","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","spotify:album:1hOKdXqKBxmUPZWBGgTtnU","Garlands","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","1982-09-01","https://i.scdn.co/image/ab67616d0000b273b7e27afbff974fbc9db3feca","1","5","316800","","false","0","spotify:user:traviswilliams727","2015-01-15T17:58:39Z"
"spotify:track:68cXRrO8ttbroA4INDkYIA","Your Imagination","spotify:artist:7aQYAgj99PW9P8dxIVbhao","All Natural Lemon & Lime Flavors","spotify:album:7DCmh3ml2zMqKEbUcvuBGw","Turning Into Small","spotify:artist:7aQYAgj99PW9P8dxIVbhao","All Natural Lemon & Lime Flavors","1998","https://i.scdn.co/image/ab67616d0000b273ba387b4a37fd43f473740b70","1","2","466547","https://p.scdn.co/mp3-preview/6b8576dce163eb695bc431fe30b4d838975688a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:traviswilliams727","2015-01-15T17:58:39Z"
"spotify:track:1Nx6OxScLQPHrOcEaf2yva","Door 2416","spotify:artist:61YqFMbB6vsYfB9Ky9Mil5","Bethany Curve","spotify:album:5mOUlGVmXA8INckQNZckZl","Skies A Crossed Sky","spotify:artist:61YqFMbB6vsYfB9Ky9Mil5","Bethany Curve","1996","https://i.scdn.co/image/ab67616d0000b273f60077361cbcebf35c04373d","1","6","323000","https://p.scdn.co/mp3-preview/5f5a411db3253414810c0e916d12f0bd5e5eb293?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","spotify:user:traviswilliams727","2015-01-15T17:58:39Z"
"spotify:track:4M4OBTaXR9fuphRIJr2HgC","Treasure","spotify:artist:3r94PF71LWRI5K6wqclNjQ","Chapterhouse","spotify:album:5Sc59oKieHPFvruoxBgmSp","Whirlpool (Expanded Edition)","spotify:artist:3r94PF71LWRI5K6wqclNjQ","Chapterhouse","1990","https://i.scdn.co/image/ab67616d0000b273ee0518a795c45ae03f87b5e2","1","4","380706","https://p.scdn.co/mp3-preview/bfaee290a4f85851be79987826f4e06541befe6e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:traviswilliams727","2015-01-15T17:58:39Z"
"spotify:track:1pktUx16maePuS6M5zt808","3 To Beam Up","spotify:artist:2duIh1sS0qsKqvoPm0X2g4","Kitchens Of Distinction","spotify:album:6JYO29Pc5u8Qz7pKCxD8EH","Capsule - the Best of Kod","spotify:artist:2duIh1sS0qsKqvoPm0X2g4","Kitchens Of Distinction","2003","https://i.scdn.co/image/ab67616d0000b273ed77e2f3843763dba1e049aa","2","9","474773","https://p.scdn.co/mp3-preview/c39ec672049181f76feb05134c0b7a28f68dd73e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","spotify:user:traviswilliams727","2015-01-15T17:58:39Z"
