"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2nekiOF3rt3JVfPQUQXo2d","In The Mood","spotify:artist:7e9843xr17L5hRYAti3dtG","Tex Beneke","spotify:album:4zdNQI5E1pd4boIpyhAImH","Tex Beneke And His Music In The Miller Mood","spotify:artist:7e9843xr17L5hRYAti3dtG","Tex Beneke","2004","https://i.scdn.co/image/ab67616d0000b2737c705a56add607b1b6d910ea","1","1","196362","https://p.scdn.co/mp3-preview/630208176780271ff5c2d07504841dece1999b46?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:a1ckdavis","2016-04-26T06:45:51Z"
"spotify:track:4bDHr5yOmdI2nmbWvBpPS2","Dark Horse","spotify:artist:7kHzfxMLtVHHb523s43rY1","Converge","spotify:album:0sAtQQ4Y2zewIIxFidHbVR","Axe To Fall","spotify:artist:7kHzfxMLtVHHb523s43rY1","Converge","2009-10-20","https://i.scdn.co/image/ab67616d0000b27313dfb6ac92c44ac010e1d706","1","1","174746","https://p.scdn.co/mp3-preview/257c27b1df8402ddb9c9dbf02f447d55e947bf4b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:a1ckdavis","2016-04-26T06:40:21Z"
"spotify:track:0iget4icTqUya9wtpvCTF2","Surfacing","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","spotify:album:2dL9Q5AtIv4Rw1L6lKcIUc","Slipknot (10th Anniversary Edition)","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","2009-09-09","https://i.scdn.co/image/ab67616d0000b273baf04a1d30db6ac9de26da7d","1","5","218093","https://p.scdn.co/mp3-preview/60a4aededac337a843d10c8fd6ac3ae9cbb651dc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","spotify:user:a1ckdavis","2016-04-26T06:34:01Z"
"spotify:track:0x4DPuL58ex0ktlsCCNNe4","The weight of love blinds eyes","spotify:artist:68tKVjVvcqUfKFFLr2j0Ek","Emarosa","spotify:album:1OlewCHNhDBcQBqzXhNws5","Emarosa","spotify:artist:68tKVjVvcqUfKFFLr2j0Ek","Emarosa","2010-06-28","https://i.scdn.co/image/ab67616d0000b27364aeb99b8dacb45e9fac05e4","1","9","215666","https://p.scdn.co/mp3-preview/01e4ec9185f7f7b2038feef73ce5fd70e80eeba1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:a1ckdavis","2016-04-26T06:40:04Z"
"spotify:track:4CT3KbK4VK0reaopK609eX","Wet Leather","spotify:artist:24dCDrr94SNSAREMJhBHCs","Woods Of Ypres","spotify:album:6QCd6IRkbpty4LPPajcYvN","Woods 4: The Green Album","spotify:artist:24dCDrr94SNSAREMJhBHCs","Woods Of Ypres","2009","https://i.scdn.co/image/ab67616d0000b273d6eb84f2391f9206d00f0660","1","7","270386","https://p.scdn.co/mp3-preview/dfe7e366d9d629e6bf518e53ec37fb463834012c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:a1ckdavis","2016-04-26T06:45:17Z"
"spotify:track:0zXXWXseqUw4F7W2PRkRl3","My Demons","spotify:artist:0kD8IT1CzF7js2XKM9lLLa","STARSET","spotify:album:51x4md5ZtffnGDryA4rV5T","Transmissions","spotify:artist:0kD8IT1CzF7js2XKM9lLLa","STARSET","2014-07-08","https://i.scdn.co/image/ab67616d0000b273f894e03cf9d6f46ca4329be2","1","7","288036","","false","0","spotify:user:a1ckdavis","2016-04-26T06:35:26Z"
"spotify:track:2yBAPa9HZj3P2szSaaj4k1","Down In A Hole - Live at the Majestic Theatre, Brooklyn, NY - April 1996","spotify:artist:64tNsm6TnZe2zpcMVMOoHL","Alice In Chains","spotify:album:5PdgIAHzwDvTZRjIGSQGtN","Unplugged","spotify:artist:64tNsm6TnZe2zpcMVMOoHL","Alice In Chains","1996-07-29","https://i.scdn.co/image/ab67616d0000b273f2b6bebda774909d71e0f796","1","5","346026","https://p.scdn.co/mp3-preview/beb5afcbe14700b225af61cf43c22c77bc90edeb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:a1ckdavis","2016-04-26T06:34:28Z"
"spotify:track:1iWgFnhR0oW5Mup8yXDAPW","Soldiers","spotify:artist:1OVyBGCKn7vObVIVPXcmLa","Otherwise","spotify:album:6wI2K6ApwaqRa80EEQlLzZ","Soldiers","spotify:artist:1OVyBGCKn7vObVIVPXcmLa","Otherwise","2012-07-10","https://i.scdn.co/image/ab67616d0000b27370c8f324238c9cd21da4f74a","1","1","241848","https://p.scdn.co/mp3-preview/61c3f208756910a8db3a9f93311cf33ded18df34?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:a1ckdavis","2016-04-26T06:43:37Z"
"spotify:track:47No93LxERvV6MtOAmQzHS","Ignorance","spotify:artist:74XFHRwlV6OrjEM0A2NCMF","Paramore","spotify:album:27UqZoE1kV6sIV6uQcI28A","Brand New Eyes","spotify:artist:74XFHRwlV6OrjEM0A2NCMF","Paramore","2009-09-28","https://i.scdn.co/image/ab67616d0000b273e01d7d558032457b0e4883f6","1","2","218626","https://p.scdn.co/mp3-preview/472a4b28533e319d93fba97e8dc6a349488fc9e1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:a1ckdavis","2016-04-26T06:39:15Z"
"spotify:track:4KANJH1baadr3U7XsVbM17","Something I Need","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:2bbhW5ifCwOYM8DMkqoYBF","Native","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e80e7dbce3996a1ae5967751","1","11","241266","https://p.scdn.co/mp3-preview/d527b3baa3362f596d32e6a8679c6c9ce568be05?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:a1ckdavis","2016-04-26T06:41:04Z"
"spotify:track:3Gu6VPA4aHaGSpoNgiPWFg","If Your Dad Doesn’t Have A Beard, You've Got To Mums","spotify:artist:4GCIJ2KTFzWnFrh9UsdHJQ","The Beards","spotify:album:0fizD9L8HN0u9ZVUTsrEqT","Beards Beards Beards","spotify:artist:4GCIJ2KTFzWnFrh9UsdHJQ","The Beards","2010-01-01","https://i.scdn.co/image/ab67616d0000b2730fe533531e578f6b9960eef1","1","5","220920","https://p.scdn.co/mp3-preview/30e9f3d9087eebba5d7b1acea7e628f8c0209c6c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:a1ckdavis","2016-04-26T06:35:54Z"
"spotify:track:1tUuMjAJR9vBu2vNWvlYmy","Zebra","spotify:artist:6fBF4MULW5yMzyGaon1kUt","John Butler Trio","spotify:album:4v8fleThkidEttSVVdle6p","Sunrise Over Sea","spotify:artist:6fBF4MULW5yMzyGaon1kUt","John Butler Trio","2005-03-01","https://i.scdn.co/image/ab67616d0000b2734236613f332ff57a15439b06","1","11","237560","https://p.scdn.co/mp3-preview/b275bb81ac2a3925360c48ea4859f86e0cc02048?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:a1ckdavis","2016-04-26T06:35:08Z"
