"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3gRlmtdCyNoKiyozn2pqc9","Mathematics","spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO","Mos Def","spotify:album:5gK2l2LgWY0BA4p9uy27z6","Black On Both Sides","spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO","Mos Def","1999-10-12","https://i.scdn.co/image/ab67616d0000b27389b56f56323925d57b38944d","1","16","246440","https://p.scdn.co/mp3-preview/9055c1de374c2cd6da967d81b6df88612f27abff?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","spotify:user:128867313","2015-05-04T18:59:12Z"
"spotify:track:2Mb3zpobD0CvJGWv6NpsPy","They Reminisce Over You (T.R.O.Y.)","spotify:artist:3fJ60AcIgLzQkVitEvA7uq","Pete Rock & C.L. Smooth","spotify:album:2AgTKAULjbHpqqtyI53hdp","Mecca And The Soul Brother","spotify:artist:3fJ60AcIgLzQkVitEvA7uq","Pete Rock & C.L. Smooth","1992-05-26","https://i.scdn.co/image/ab67616d0000b273d535e6a05ec517c25a232f43","1","10","286693","https://p.scdn.co/mp3-preview/c696ec77c738166e30ce3145b3320410008e9285?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:128867313","2015-05-04T18:59:59Z"
"spotify:track:6A3NM7T9CzsFJOGUbUgjf9","Strugglin'","spotify:artist:7pGyQZx9thVa8GxMBeXscB","K'NAAN","spotify:album:5UOFbvib3LBFauz2PI8Znw","The Dusty Foot Philosopher","spotify:artist:7pGyQZx9thVa8GxMBeXscB","K'NAAN","2006","https://i.scdn.co/image/ab67616d0000b273897f86c1339c1bf75a90d68a","1","11","214760","https://p.scdn.co/mp3-preview/060b06d7113a5e5f3ff6d16f7e5ac3e5db4e6f87?cid=9950ac751e34487dbbe027c4fd7f8e99","true","22","spotify:user:128867313","2015-05-04T19:01:17Z"
"spotify:track:4E9oMuvzEsS2T9hdxWBwPQ","Ill Mind of Hopsin 7","spotify:artist:7EWU4FhUJM1sZQgQKdENeT","Hopsin","spotify:album:0b8mFD9R0dfVga1xDJjNC5","Ill Mind of Hopsin 7","spotify:artist:7EWU4FhUJM1sZQgQKdENeT","Hopsin","2014-07-18","https://i.scdn.co/image/ab67616d0000b273370c5f45406f2f48ec601b3c","1","1","350482","https://p.scdn.co/mp3-preview/32adb06fc737ef3402d3f3ce918adfee81c0f275?cid=9950ac751e34487dbbe027c4fd7f8e99","true","41","spotify:user:128867313","2015-05-04T19:02:34Z"
"spotify:track:1npFiE1SD6Uf7pbwpW6X8T","I Don't Like To","spotify:artist:15lOM8PWY9pXQoURZwSZlK","Shad","spotify:album:1E4FcdX5crcVtWckvC8sDq","The Old Prince","spotify:artist:15lOM8PWY9pXQoURZwSZlK","Shad","2009-01-01","https://i.scdn.co/image/ab67616d0000b2731565642bb0241a21af7b6b15","1","2","181613","https://p.scdn.co/mp3-preview/538a7845a1d1fc4561248f3a407829253de7ec4e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:128867313","2015-05-04T19:02:50Z"
"spotify:track:3YjQfsV7vIDj0eovuUlbK7","Villuminati","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:1NfrmcXk8xNennyxQ57JcW","Born Sinner","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2013-06-14","https://i.scdn.co/image/ab67616d0000b2735bed713e0774ad8bf8d0fbab","1","1","307866","","true","0","spotify:user:128867313","2015-05-04T19:03:00Z"
"spotify:track:7hpHYdxRcjgmkidW4DdqI3","Retrospect for Life","spotify:artist:2GHclqNVjqGuiE5mA7BEoc","Common","spotify:album:6nXto9rlPmmhdoUmGMKbtE","One Day It'll All Make Sense","spotify:artist:2GHclqNVjqGuiE5mA7BEoc","Common","1997-09-30","https://i.scdn.co/image/ab67616d0000b273c5f66637f2447f4634c41eb9","1","4","383333","https://p.scdn.co/mp3-preview/a1963f219c7c3b7096d6f1d2cfdb62643ff866f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:128867313","2015-05-04T19:04:33Z"
"spotify:track:4fVqQKbROkz8Z9FFJS7vls","HiiiPower","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:13WjgUEEAQp0d9JqojlWp1","Section.80","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2011-07-02","https://i.scdn.co/image/ab67616d0000b27333d50ba80791b4ed381f5221","1","16","279854","","true","0","spotify:user:128867313","2015-05-04T19:06:19Z"
"spotify:track:0eK5y1c7WDyWwx6k9SFjbT","Renegade","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","JAY-Z, Eminem","spotify:album:69CmkikTHkGKdkrUZTtyWl","The Blueprint (Explicit Version)","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB","JAY-Z","2001-09-11","https://i.scdn.co/image/ab67616d0000b2731b3f6f34954118500ed3e7a7","1","12","337760","https://p.scdn.co/mp3-preview/ec62e6446fe34b4c3ead1837d2a38f586636aa6c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","spotify:user:128867313","2015-05-04T20:08:18Z"
"spotify:track:6wFxUq7Gr44N3uwLjVQRR0","Family Business","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:3ff2p3LnR6V7m6BinwhNaQ","The College Dropout","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2004-02-13","https://i.scdn.co/image/ab67616d0000b2732892dd14331eaa4cee20194d","1","20","278893","","true","0","spotify:user:128867313","2015-05-04T20:08:41Z"
