"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3x4j5Yajg32VKuZ8Ezz26Y","From Scythe To Sceptre","spotify:artist:7qUcsMCdIHrs2LOZlmciQp","Be'lakor","spotify:album:68ikttRfb1HwSgRdhkaht7","Stone's Reach","spotify:artist:7qUcsMCdIHrs2LOZlmciQp","Be'lakor","2009-06-20","https://i.scdn.co/image/ab67616d0000b273fe71554ccd6b9f42681a5db2","1","2","418213","","false","0","spotify:user:22uonggvlpi45l7ki244aoz6q","2016-05-18T02:22:04Z"
"spotify:track:1NfDg4jELqgVs8NVoxrUdu","Forest of October","spotify:artist:0ybFZ2Ab08V8hueghSXm6E","Opeth","spotify:album:58UDSi4pjVLsWqatGETPyK","Orchid","spotify:artist:0ybFZ2Ab08V8hueghSXm6E","Opeth","1995-01-01","https://i.scdn.co/image/ab67616d0000b273cba516f7b3b6af15eeccf8f5","1","4","785026","","false","0","spotify:user:22uonggvlpi45l7ki244aoz6q","2016-05-18T02:22:16Z"
"spotify:track:78oXVwnORdh6GTVQpyoOMY","Tillsammans Ar Vi Allt","spotify:artist:7wqTItc5qEyIwWw5ksN1Ya","Shining","spotify:album:60HgFNk6taDde67qjgwgJN","VII - Född Förlorare","spotify:artist:7wqTItc5qEyIwWw5ksN1Ya","Shining","2011-01-01","https://i.scdn.co/image/ab67616d0000b273a066990ff4fe91e2cd316819","1","4","562773","https://p.scdn.co/mp3-preview/1caa9f37c49192bc1250ae7c8ff0c351f6ad3217?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:22uonggvlpi45l7ki244aoz6q","2016-05-18T02:22:18Z"
"spotify:track:0wryh0qJbYYvGXLDH4XV3H","Fundamental Process","spotify:artist:3HBOxN9iagI9Ot1kTHpPX8","Beyond Creation","spotify:album:66llewXGhBEb4282lZfJ0s","Earthborn Evolution","spotify:artist:3HBOxN9iagI9Ot1kTHpPX8","Beyond Creation","2014-10-27","https://i.scdn.co/image/ab67616d0000b2739defc242bb25ab0f571d1c0e","1","10","433127","https://p.scdn.co/mp3-preview/c2618fb9f59dc6042b3e5b9e3951534f3ae03108?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:22uonggvlpi45l7ki244aoz6q","2016-05-18T02:22:20Z"
"spotify:track:4PTWmPNSD948z3AOE5XHgJ","Orbital Elements","spotify:artist:7i82bJxWj1Tggc7pnU1hzt","Obscura","spotify:album:2z9xbX2tET6A4A83YX4Pk8","Cosmogenesis","spotify:artist:7i82bJxWj1Tggc7pnU1hzt","Obscura","2009-02-17","https://i.scdn.co/image/ab67616d0000b273da0f94f9c6a7e4684ab4b534","1","5","321533","https://p.scdn.co/mp3-preview/49fc6df610742c0fab0403448d251c3d6cfa2a3f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:22uonggvlpi45l7ki244aoz6q","2016-05-18T02:22:23Z"
"spotify:track:1sRuxHGe5UHBzZdUKWp2MN","Painters of the Tempest - Part II - Triptych Lux","spotify:artist:5kbidtcpyRRMdAQUnI1BG4","Ne Obliviscaris","spotify:album:4BX2URR8ee6P2aQFvee2yF","Citadel","spotify:artist:5kbidtcpyRRMdAQUnI1BG4","Ne Obliviscaris","2014-11-10","https://i.scdn.co/image/ab67616d0000b273e890f2027f801b1386d91d1e","1","2","995053","https://p.scdn.co/mp3-preview/94a9b8904829c7625c67711a5088bb1479edec4d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:22uonggvlpi45l7ki244aoz6q","2016-05-18T02:22:26Z"
"spotify:track:4RsKu4vxE4kvHa8ySdpYIo","Mass Darkness","spotify:artist:2E1jLcUfqd9w2XtybNB2Za","Ihsahn","spotify:album:58Kyna6rwEssbvRxh7c9de","Arktis.","spotify:artist:2E1jLcUfqd9w2XtybNB2Za","Ihsahn","2016-04-08","https://i.scdn.co/image/ab67616d0000b2733f808b1529c3a3368f403c6c","1","2","232433","https://p.scdn.co/mp3-preview/d10f792807e50e33b96a5d4846e4840294bd4613?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:22uonggvlpi45l7ki244aoz6q","2016-05-18T02:22:29Z"
"spotify:track:2Cpe65rZN9tGBvMXIxlals","Rider On The Bonez","spotify:artist:5NiGzteFr6N4yfGV2nvTsf","Diabolical Masquerade","spotify:album:0WIERWeQ5D6XYCMt08hVzy","Nightwork","spotify:artist:5NiGzteFr6N4yfGV2nvTsf","Diabolical Masquerade","2007-01-22","https://i.scdn.co/image/ab67616d0000b27312d599d3a69ec6e70dc47e7a","1","1","354986","","false","0","spotify:user:22uonggvlpi45l7ki244aoz6q","2016-05-18T02:22:31Z"
"spotify:track:7jNnpOegHVqiyEWF3a67bq","With Strength I Burn","spotify:artist:6jPWrSmxOd9mj7Xaj4EP2Y","Emperor","spotify:album:1RpTzs3bP1a3rb46nup1Of","Anthems to the Welkin at Dusk","spotify:artist:6jPWrSmxOd9mj7Xaj4EP2Y","Emperor","2004","https://i.scdn.co/image/ab67616d0000b273f0a6086c32b2c4c94bb9a009","1","7","497600","","false","0","spotify:user:22uonggvlpi45l7ki244aoz6q","2016-05-18T02:22:33Z"
"spotify:track:4npmo2IoRcTWwUW3PPUBfS","Isa","spotify:artist:2HmtB6wVRRi3z0JwZHtkiD","Enslaved","spotify:album:3E7YxHaWlOHiqTBHRtZL7D","Isa","spotify:artist:2HmtB6wVRRi3z0JwZHtkiD","Enslaved","2004-10-18","https://i.scdn.co/image/ab67616d0000b273fc07c435c0b34e84e9c7136c","1","3","226240","https://p.scdn.co/mp3-preview/cfd6607cb437158e5b8740d20620f0553eecc867?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:22uonggvlpi45l7ki244aoz6q","2016-05-18T02:22:35Z"
