"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6ntPF24RtHotzc3FhcFMH7","BUMP","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","spotify:album:67smHJOf5YlFwad6dAlppm","SATURATION","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","2017-06-09","https://i.scdn.co/image/ab67616d0000b273a0c4a585a7d73b4943b9bf13","1","12","158108","https://p.scdn.co/mp3-preview/73fb55a0081679319f8c9486f5144a84a5df93fc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","spotify:user:ihaterafael","2017-07-03T23:53:58Z"
"spotify:track:1qbk0ZbuSsgsWoFLMTvWKC","On This (feat. Chip, Ice Kid & Little D)","spotify:artist:7k9T7lZlHjRAM1bb0r9Rm3, spotify:artist:0tJCNteqwm7LmRZ6KWr8GT, spotify:artist:7p3GpLWqvgHVcWgm8Q8uCL, spotify:artist:7ov9CbKGFjp56rSfH3XhZ0","Wiley, Chip, Ice Kid, Little D","spotify:album:1F4VaFhSDTVK5uDPXbm42l","Godfather","spotify:artist:7k9T7lZlHjRAM1bb0r9Rm3","Wiley","2017-01-13","https://i.scdn.co/image/ab67616d0000b27307f9fcebdb36794ed77919e1","1","11","220600","","true","0","spotify:user:ihaterafael","2017-07-05T23:36:09Z"
"spotify:track:35tWhD29yvWwB0IDRr6zsL","Yeah Right","spotify:artist:68kEuyFKyqrdQQLLsmiatm","Vince Staples","spotify:album:5h3WJG0aZjNOrayFu3MhCS","Big Fish Theory","spotify:artist:68kEuyFKyqrdQQLLsmiatm","Vince Staples","2017-06-23","https://i.scdn.co/image/ab67616d0000b2737ba7b4d23c717f3211717946","1","7","188946","https://p.scdn.co/mp3-preview/5a83317aaa1c9a16a190805f5f1f5b6a6305f71d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","spotify:user:ihaterafael","2017-07-05T23:36:24Z"
"spotify:track:6zEPJJzojnfOrvfyuJiPtF","All This Money","spotify:artist:3nf2EaHj8HikLNdaiW3v73","Injury Reserve","spotify:album:67sUOjUevVJGgfCj1N2e4N","Floss","spotify:artist:3nf2EaHj8HikLNdaiW3v73","Injury Reserve","2016-12-15","https://i.scdn.co/image/ab67616d0000b273e2004d5d1b0559b9b748f82c","1","3","197558","https://p.scdn.co/mp3-preview/18e4f8d7756ac31952ff6bd115a30df93585cdab?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","spotify:user:ihaterafael","2017-07-05T23:37:47Z"
"spotify:track:2Xk50QBg06pdvGPbvzA4ON","Hoover","spotify:artist:67lytN32YpUxiSeWlKfHJ3","Yung Lean","spotify:album:3OHYFlFMX0kx8NrPbfk04p","Warlord (Deluxe)","spotify:artist:67lytN32YpUxiSeWlKfHJ3","Yung Lean","2016-02-25","https://i.scdn.co/image/ab67616d0000b273eede620ac37065eaa0aec23a","1","5","160879","https://p.scdn.co/mp3-preview/febba65edc0e8c36c96e08228aa30fc5617ad67e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","spotify:user:ihaterafael","2017-07-13T15:19:23Z"
"spotify:track:7KXjTSCq5nL1LoYtL7XAwS","HUMBLE.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:4eLPsYPBmXABThSJ821sqY","DAMN.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2017-04-14","https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699","1","8","177000","https://p.scdn.co/mp3-preview/dca63100f96e4000e719433d36131a9b5a5883c9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","spotify:user:ihaterafael","2017-07-13T15:19:32Z"
"spotify:track:0GIF0mcmAUMncJZFKnoywe","Accordion","spotify:artist:2aoFQUeHD1U7pL098lRsDU","Madvillain","spotify:album:61809gZj46tFYs0g4s51nu","Madvillainy","spotify:artist:2aoFQUeHD1U7pL098lRsDU","Madvillain","2004-03-24","https://i.scdn.co/image/ab67616d0000b273da34f488b06d08d90618b040","1","2","118853","","true","0","spotify:user:ihaterafael","2017-07-19T22:20:53Z"
"spotify:track:5DJTYOAHZEKjNqXpOwnomi","None Shall Pass","spotify:artist:2fSaE6BXtQy0x7R7v9IOmZ","Aesop Rock","spotify:album:7mB5yhTfOUdtLdjRAsPY4t","None Shall Pass","spotify:artist:2fSaE6BXtQy0x7R7v9IOmZ","Aesop Rock","2007-08-28","https://i.scdn.co/image/ab67616d0000b273a76854835bbf81a51deea3a7","1","2","243626","https://p.scdn.co/mp3-preview/a890ba211fb66caf4345ba80b96323a2b28448c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:1219160012","2017-07-19T22:22:08Z"
"spotify:track:35pgwXH1yU6etC4g7KBgoG","Shut Up, Man (feat. El-P)","spotify:artist:4iqAeIP1ynbt71G0Oi8VIt, spotify:artist:57UnSUpae3SbRekxNa5Kgl","Das Racist, El-P","spotify:album:17jYVS8faKzBSZZSGyyA12","Relax","spotify:artist:4iqAeIP1ynbt71G0Oi8VIt","Das Racist","2011-09-13","https://i.scdn.co/image/ab67616d0000b273aa050db56dc01350eeb2d2b7","1","6","218653","","false","0","spotify:user:ihaterafael","2017-07-19T22:22:22Z"
"spotify:track:6OyRpRa1xjDNriftwh1dZR","Hoe Cakes","spotify:artist:2pAWfrd7WFF3XhVt9GooDL","MF DOOM","spotify:album:7IvmRtuLsTlRZhRS6KUQRn","MM...FOOD","spotify:artist:2pAWfrd7WFF3XhVt9GooDL","MF DOOM","2004","https://i.scdn.co/image/ab67616d0000b27374db4b6928c824b57f7d743b","1","2","234146","","false","0","spotify:user:1219160012","2017-07-19T22:22:30Z"
