"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:00CaBuR3L7BeQCzuRA4oO4","Cadaverous mastication","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:5tseGCimgf6FIRleYyKdSy","Rare Trax","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2001","https://i.scdn.co/image/ab67616d0000b273193096aec35834159288dcc9","1","2","471080","","false","0","spotify:user:12167573353","2017-04-30T22:58:49Z"
"spotify:track:2mva8I2YvlLjWeImwyLxYi","Sovereigns morbidity","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:5tseGCimgf6FIRleYyKdSy","Rare Trax","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2001","https://i.scdn.co/image/ab67616d0000b273193096aec35834159288dcc9","1","3","271000","","false","0","spotify:user:12167573353","2017-04-30T22:58:57Z"
"spotify:track:3xfmOm3nieTpQFhOMiscKK","Debt of nature","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:5tseGCimgf6FIRleYyKdSy","Rare Trax","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2001","https://i.scdn.co/image/ab67616d0000b273193096aec35834159288dcc9","1","4","439746","","false","0","spotify:user:12167573353","2017-04-30T22:59:02Z"
"spotify:track:0aX5tkSCLFpJ1mcTQJ8AKY","Paralyzing ignorance","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:6Xj8WNwnCUQFsIHBsRWziT","Contradictions Collapse (Deluxe Edition)","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","1991","https://i.scdn.co/image/ab67616d0000b2735fe46283dbff59c27a79fd54","1","1","267866","","false","0","spotify:user:12167573353","2017-04-30T22:59:46Z"
"spotify:track:0Q9BUQjtDGF4ydqfli5fV3","Erroneous manipulation","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:6Xj8WNwnCUQFsIHBsRWziT","Contradictions Collapse (Deluxe Edition)","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","1991","https://i.scdn.co/image/ab67616d0000b2735fe46283dbff59c27a79fd54","1","2","380866","","false","0","spotify:user:12167573353","2017-04-30T22:59:46Z"
"spotify:track:6xLwRRCwSqIMtBwU1TzKqv","Abnegating cecity","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:6Xj8WNwnCUQFsIHBsRWziT","Contradictions Collapse (Deluxe Edition)","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","1991","https://i.scdn.co/image/ab67616d0000b2735fe46283dbff59c27a79fd54","1","3","391293","","false","0","spotify:user:12167573353","2017-04-30T22:59:46Z"
"spotify:track:4WeU5TufO7EOoQPO72uAvJ","Internal evidence","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:6Xj8WNwnCUQFsIHBsRWziT","Contradictions Collapse (Deluxe Edition)","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","1991","https://i.scdn.co/image/ab67616d0000b2735fe46283dbff59c27a79fd54","1","4","448973","","false","0","spotify:user:12167573353","2017-04-30T22:59:46Z"
"spotify:track:221h7kAu9UCybuC2KxSKbu","Qualms of reality","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:6Xj8WNwnCUQFsIHBsRWziT","Contradictions Collapse (Deluxe Edition)","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","1991","https://i.scdn.co/image/ab67616d0000b2735fe46283dbff59c27a79fd54","1","5","427266","","false","0","spotify:user:12167573353","2017-04-30T22:59:46Z"
"spotify:track:1cGmtEm7r0INMaPoeJYprq","We'll never see the day","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:6Xj8WNwnCUQFsIHBsRWziT","Contradictions Collapse (Deluxe Edition)","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","1991","https://i.scdn.co/image/ab67616d0000b2735fe46283dbff59c27a79fd54","1","6","363333","","false","0","spotify:user:12167573353","2017-04-30T22:59:46Z"
"spotify:track:3ElVfvPVtdeE2VefVJjIfh","Greed","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:6Xj8WNwnCUQFsIHBsRWziT","Contradictions Collapse (Deluxe Edition)","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","1991","https://i.scdn.co/image/ab67616d0000b2735fe46283dbff59c27a79fd54","1","7","426400","","false","0","spotify:user:12167573353","2017-04-30T22:59:46Z"
