"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0Y1r5aaZqTfo0TUNAG5wMG","Moderate Stimulation","spotify:artist:2n7USVO8fO8FF8zq4kG2N1","Mat Zo","spotify:album:5Nrx0GEDuLwrQcEvb1IM8l","Damage Control","spotify:artist:2n7USVO8fO8FF8zq4kG2N1","Mat Zo","2013-01-01","https://i.scdn.co/image/ab67616d0000b2732dcfc8b143667c498ef309ba","1","10","87027","https://p.scdn.co/mp3-preview/2e1ed0f7fedac1bb036deea8e8a427bb85269be2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:22m3ykds5uz3kixhlvd5oekry","2017-07-18T23:47:17Z"
"spotify:track:6Ns2JyCa5xtANadq8gJ67u","Ms. Ho","spotify:artist:2sAlo7Fey5cqBk5WJILSd8","Onra","spotify:album:74ZSI0MFZgtgBn3SL7JyZO","Chinoiseries pt 2","spotify:artist:2sAlo7Fey5cqBk5WJILSd8","Onra","2011-11-15","https://i.scdn.co/image/ab67616d0000b273f6f73778aaeb8c15eb118b82","1","21","116758","https://p.scdn.co/mp3-preview/16ede0fb93d94b9c594ae90ad09fb5c064e06452?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:22m3ykds5uz3kixhlvd5oekry","2017-10-25T00:03:35Z"
"spotify:track:3o0Qg2s3XFfypvCk6nBDUu","Fkn Dead","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","spotify:album:29luvT98TnqHjVDYSRbbrj","You're Dead!","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2014-10-06","https://i.scdn.co/image/ab67616d0000b273dfa6ba57d446244054f068f4","1","4","40285","https://p.scdn.co/mp3-preview/66766b41f6fd1976d19617618530d776e865b50e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:22m3ykds5uz3kixhlvd5oekry","2017-10-24T23:54:25Z"
"spotify:track:0K396v9ngKrZd61ANK8zVh","Italy","spotify:artist:56j1OkSq0AMCgZGKVNc8GP","Samiyam","spotify:album:0ph8TsmFX0PwfA4aPgdTpK","Wish You Were Here","spotify:artist:56j1OkSq0AMCgZGKVNc8GP","Samiyam","2013-10-08","https://i.scdn.co/image/ab67616d0000b27312d4c55dd74b6d5cf0f93a34","1","11","143231","","false","0","spotify:user:22m3ykds5uz3kixhlvd5oekry","2017-10-24T23:55:23Z"
"spotify:track:0P7Zl3Eci5pRJlmCS4kS4X","Flute Loops","spotify:artist:5pQjRhCKmFtkDZSy67Z0tp","Odd Nosdam","spotify:album:2mDlZMV0pT6NHSFvdPs7xn","Off Tapes Outtakes","spotify:artist:5pQjRhCKmFtkDZSy67Z0tp","Odd Nosdam","2017-10-06","https://i.scdn.co/image/ab67616d0000b2739c6e8a8d8ce877eadb593a89","1","2","54032","","false","0","spotify:user:22m3ykds5uz3kixhlvd5oekry","2017-10-25T00:37:35Z"
"spotify:track:58EiO8y2nOJ0JHbCUE264w","While You Doooo","spotify:artist:2L2unNFaPbDxjg3NqzpqhJ","Teebs","spotify:album:4NtIc6H8UadGHAYysXqzkc","Ardour","spotify:artist:2L2unNFaPbDxjg3NqzpqhJ","Teebs","2010-10-19","https://i.scdn.co/image/ab67616d0000b273301b60062713e1532eac5f8b","1","4","90969","","false","0","spotify:user:22m3ykds5uz3kixhlvd5oekry","2017-10-25T00:00:46Z"
"spotify:track:34wIz7WMyKRfJOenJ3sXYc","27","spotify:artist:56j1OkSq0AMCgZGKVNc8GP","Samiyam","spotify:album:7C2a9Ys91AnGqrTJHXj2ln","Rap Beats Vol. 1","spotify:artist:56j1OkSq0AMCgZGKVNc8GP","Samiyam","2008-05-06","https://i.scdn.co/image/ab67616d0000b273d08a9b0f33bfdf3a752bc71b","1","3","58026","","false","0","spotify:user:22m3ykds5uz3kixhlvd5oekry","2017-10-24T23:58:22Z"
"spotify:track:4GtN7yHlsvQanJfp2Qzw1A","Zodiac Shit","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","spotify:album:5c7XChrHxYaqykCZLaGM5f","Cosmogramma","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2010-05-03","https://i.scdn.co/image/ab67616d0000b273a9e54a589a171c955c54ed79","1","5","164640","https://p.scdn.co/mp3-preview/afc03483410e29ada6f8443885722a32a9908a6a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:22m3ykds5uz3kixhlvd5oekry","2017-10-24T22:56:03Z"
"spotify:track:1RiuVQWyC7g7tL3niYzHKP","Marijuana","spotify:artist:2pTCZ9C1fXdaVlv6d5EIXM","Chrome Sparks","spotify:album:2yt27CaN3hjii0G1aWNBA7","Sparks EP","spotify:artist:2pTCZ9C1fXdaVlv6d5EIXM","Chrome Sparks","2013-09-13","https://i.scdn.co/image/ab67616d0000b2730240f42875f25f00bc8fe50e","1","2","181149","","false","0","spotify:user:22m3ykds5uz3kixhlvd5oekry","2017-10-24T23:39:40Z"
"spotify:track:6uULtQ7dw2zHAnpDw6QxUu","Get My Nails Did","spotify:artist:3ikKyCOrsMeANi0d5u8BCR","TOBACCO","spotify:album:5KHgi6hMB4n8w34QEag0zw","Fucked up Friends","spotify:artist:3ikKyCOrsMeANi0d5u8BCR","TOBACCO","2008-10-14","https://i.scdn.co/image/ab67616d0000b273cff4f42e05ef8fe463543c3d","1","8","10706","","false","0","spotify:user:22m3ykds5uz3kixhlvd5oekry","2017-10-25T00:33:37Z"
"spotify:track:629Cjw0fUyZUMkBjnjttDR","Places","spotify:artist:6y80I9YZi4DOpbaSUlL725","Shlohmo","spotify:album:7BjSjxv8CfoUXRTyW329x2","Bad Vibes","spotify:artist:6y80I9YZi4DOpbaSUlL725","Shlohmo","2011-08-09","https://i.scdn.co/image/ab67616d0000b273411076d5833584631e930c98","1","2","302210","","false","0","spotify:user:22m3ykds5uz3kixhlvd5oekry","2017-10-24T23:04:14Z"
"spotify:track:6ESKKGPemetFpwcKwrgkku","Track 8","spotify:artist:3PU8Ju4WBYNY5xvJE3DMfV","Ras G","spotify:album:4al9vvS6itDgMynwzmU779","My Kinda Blues","spotify:artist:3PU8Ju4WBYNY5xvJE3DMfV","Ras G","2017-10-14","https://i.scdn.co/image/ab67616d0000b273b266e4ef661f79125bfc3bf4","1","8","82666","https://p.scdn.co/mp3-preview/fde03f2fb65d1764fa8836355560d23e63c534cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","spotify:user:22m3ykds5uz3kixhlvd5oekry","2017-10-25T00:53:36Z"
"spotify:track:39XL2oVKjEDeSlPAthKc4i","Paddle Boat","spotify:artist:56j1OkSq0AMCgZGKVNc8GP","Samiyam","spotify:album:1v64rG0syXgCUWEucejCC9","Animals Have Feelings","spotify:artist:56j1OkSq0AMCgZGKVNc8GP","Samiyam","2016-03-04","https://i.scdn.co/image/ab67616d0000b273ba535360e084513af76cc734","1","19","119052","","false","0","spotify:user:22m3ykds5uz3kixhlvd5oekry","2017-10-25T00:48:07Z"
"spotify:track:0gEyewy0yzpMsoenHE5crz","Autumn Antique","spotify:artist:2L2unNFaPbDxjg3NqzpqhJ","Teebs","spotify:album:4NtIc6H8UadGHAYysXqzkc","Ardour","spotify:artist:2L2unNFaPbDxjg3NqzpqhJ","Teebs","2010-10-19","https://i.scdn.co/image/ab67616d0000b273301b60062713e1532eac5f8b","1","18","117986","","false","0","spotify:user:22m3ykds5uz3kixhlvd5oekry","2017-10-25T00:16:39Z"
"spotify:track:6OHWgUuDDedHRVhcg8vlaf","Massage Situation","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","spotify:album:1XBO7AlmG2Ac5aGH5T9yEt","Reset EP","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2007-10-01","https://i.scdn.co/image/ab67616d0000b2737376522e92b062f34bdc98fd","1","3","167173","https://p.scdn.co/mp3-preview/162b3749ee81ea109fff957ec1c3d162ea50b814?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:22m3ykds5uz3kixhlvd5oekry","2017-10-25T01:02:39Z"
