"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0GILd3eTcEsjzSTyDX2XXi","Flesh and the Power It Holds","spotify:artist:4f5V3PQ66nIrBCqugJtaGn","Death","spotify:album:0p6DxsQOhQ5qiBnUu9G1PB","The Sound of Perseverance - Reissue","spotify:artist:4f5V3PQ66nIrBCqugJtaGn","Death","1998","https://i.scdn.co/image/ab67616d0000b27391fcdc499f2dbfbcd7e58b59","1","5","506813","https://p.scdn.co/mp3-preview/1416851be87fa867855597fdffe702a5be909f0e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:kvelertakofficial","2013-03-05T11:35:47Z"
"spotify:track:2xHJTfCBj8213xdBBboymD","The Personal Decay","spotify:artist:2xZOjY3LYFt8mfHuBUOBwF","Silver","spotify:album:4PezoH8tZJADftU0PlglCq","World Against World","spotify:artist:2xZOjY3LYFt8mfHuBUOBwF","Silver","2006-05-11","https://i.scdn.co/image/ab67616d0000b2734f90650dd14d70d6cc20b73f","1","3","104000","","false","0","spotify:user:kvelertakofficial","2013-03-05T11:36:03Z"
"spotify:track:2ybmxruJ8jlFtlb9Ui3kju","My Michelle","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:1oR3KrPIp4CbagPa3PhtPp","Appetite For Destruction (Explicit Version)","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","1987-07-21","https://i.scdn.co/image/ab67616d0000b2735ed714183a6fa90e4121c889","1","7","219933","","true","0","spotify:user:kvelertakofficial","2013-03-05T11:36:22Z"
"spotify:track:4XlMs3IHQPwMVMNJW9s25x","The Longing","spotify:artist:2ytfu1MWsf763hCBQmaQr6","Windir","spotify:album:2dkODLsgZGd84kBlRNMVEg","Arntor","spotify:artist:2ytfu1MWsf763hCBQmaQr6","Windir","1999-10-20","https://i.scdn.co/image/ab67616d0000b27385908c7927205e405be8e0bb","1","6","603559","","false","0","spotify:user:kvelertakofficial","2013-03-05T11:36:36Z"
"spotify:track:2GClIkNR8dP3E2jZEklaZE","Auto Pilot","spotify:artist:4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age","spotify:album:4aHGoMJUqP9t5IkUDmpN8f","Rated R - Deluxe Edition","spotify:artist:4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age","2010-01-01","https://i.scdn.co/image/ab67616d0000b2735b0287554e4139c34651064a","1","4","240986","","false","0","spotify:user:kvelertakofficial","2013-03-05T11:36:58Z"
"spotify:track:6N9JltR6RNoEyue50UjHAm","Kick Me","spotify:artist:6h0Bo9fddLWRPfg2IjWqVa","Thulsa Doom","spotify:album:7HsXTyAvL4hfMwS1Nft87C","And Then Take You A Place Where Jars Are Kept.","spotify:artist:6h0Bo9fddLWRPfg2IjWqVa","Thulsa Doom","2002-01-01","https://i.scdn.co/image/ab67616d0000b2734e35dbf61a752044948c4f87","1","2","258386","","false","0","spotify:user:kvelertakofficial","2013-03-05T11:37:23Z"
"spotify:track:0kwaU02NjXm5kEkcbvSOLg","I would hurt a fly","spotify:artist:3kbBWco9PZ5eSQsNScwG6U","Built To Spill","spotify:album:4jtiHRi74O8APRdGfZXgbj","Perfect From Now On","spotify:artist:3kbBWco9PZ5eSQsNScwG6U","Built To Spill","1997","https://i.scdn.co/image/ab67616d0000b2730ee227e410fefe141828af9d","1","2","374973","","false","0","spotify:user:kvelertakofficial","2013-03-28T17:42:41Z"
"spotify:track:5z1UEMrU0fIpmiEcGaTvaK","White Guilt","spotify:artist:7nqSDaZKccpnUqjzedyZF4","The Bronx","spotify:album:358PdmCAluM4Ml3sNxeG9x","The Bronx (II)","spotify:artist:7nqSDaZKccpnUqjzedyZF4","The Bronx","2006-07-18","https://i.scdn.co/image/ab67616d0000b27349af4460fd9ba968723fed89","1","13","226360","https://p.scdn.co/mp3-preview/79dcdf82a54b632803f5b6e60ec259ea1015ff04?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:kvelertakofficial","2013-03-28T17:48:28Z"
"spotify:track:0JsALCzVCIphPWHo0boccl","Sadness Comes Home","spotify:artist:7kHzfxMLtVHHb523s43rY1","Converge","spotify:album:2P8qH1KVE5QTmsLnka9jgp","All We Love We Leave Behind [Deluxe Edition]","spotify:artist:7kHzfxMLtVHHb523s43rY1","Converge","2012-10-09","https://i.scdn.co/image/ab67616d0000b273207870765613d83f10472589","1","4","192443","","false","0","spotify:user:kvelertakofficial","2013-03-28T17:49:19Z"
"spotify:track:0k9RlbnV79ncW9XJpF2ZgU","She Owns the Streets","spotify:artist:3LTXHU3DhiYzGIgF2PP8Q8","The Raveonettes","spotify:album:4rJLJqJwQkqDWqD5GPInEd","She Owns the Streets","spotify:artist:3LTXHU3DhiYzGIgF2PP8Q8","The Raveonettes","2012-07-09","https://i.scdn.co/image/ab67616d0000b273489ca5404830eab26c2397ac","1","1","182440","","false","0","spotify:user:kvelertakofficial","2013-03-28T17:49:44Z"
