"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0jdQOYFhxCZyOLUr8IqFYq","The Last","spotify:artist:3GzWhE2xadJiW8MqRKIVSK","Underoath","spotify:album:7DzIsdNXdlHKazt4n4xI0b","Cries of the Past","spotify:artist:3GzWhE2xadJiW8MqRKIVSK","Underoath","2013-08-20","https://i.scdn.co/image/ab67616d0000b273af8c11a36e568c5efde08f96","1","1","462093","","false","2","spotify:user:12131253879","2018-08-02T06:57:34Z"
"spotify:track:02bgK3B87T2TWPL5niV3Iz","Resistance","spotify:artist:2vqfIznyoJDjhrbNAueQ6s","Zao","spotify:album:578IgVr3OKJVqPYT7u4lR3","All Else Failed","spotify:artist:2vqfIznyoJDjhrbNAueQ6s","Zao","1996","https://i.scdn.co/image/ab67616d0000b273267fc5fbf2b3ee25a19a59e9","1","1","171837","https://p.scdn.co/mp3-preview/ae6cad796f205ce356df4053d736bd43d5844bd6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:12131253879","2018-08-02T06:58:58Z"
"spotify:track:5fF5Q1Oxe4KLRCxgVqPWjL","Incinerate","spotify:artist:44wJRGNtWywCUJZug8FJg3","Unearth","spotify:album:4Bknx1JZ64kYTZN55peL5Q","Incinerate","spotify:artist:44wJRGNtWywCUJZug8FJg3","Unearth","2018-07-02","https://i.scdn.co/image/ab67616d0000b273e80b60d28ca135d913e520da","1","1","239433","https://p.scdn.co/mp3-preview/5431f46dc7431a19ec6c22fce29378cf2820d4a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:12131253879","2018-08-02T06:59:35Z"
"spotify:track:2DsPvgNnW8vO85gselwhYD","Zeitgeist","spotify:artist:3nS4tSuT4VwGiZH6BtlJfC","Incendiary","spotify:album:4fZQu2sCBdC1AOJZIKmsWr","Cost of Living","spotify:artist:3nS4tSuT4VwGiZH6BtlJfC","Incendiary","2013-03-19","https://i.scdn.co/image/ab67616d0000b2739aacd87c83ad0a485be3f655","1","1","150573","https://p.scdn.co/mp3-preview/6e22aad340882f7882d415348cfaeebf00e61a63?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:12131253879","2018-08-02T06:59:49Z"
"spotify:track:5HcpbWfedx1JAwvGhIIKAx","My World","spotify:artist:6qtECqesbU29iftyeWmldK","Code Orange","spotify:album:0P73EznyWn6J60Iw3H1EOf","I Am King","spotify:artist:6qtECqesbU29iftyeWmldK","Code Orange","2014-09-02","https://i.scdn.co/image/ab67616d0000b273ba713115223c60c304401950","1","6","175966","","false","0","spotify:user:12131253879","2018-08-02T07:00:06Z"
"spotify:track:51AFDyuVsCej5yovvYfcVR","Believe","spotify:artist:2x48WoJGRLCpCWHEKXMZoB","Trapped Under Ice","spotify:album:2gf9jWmUeGC4Kl7IrublBB","Secrets Of The World","spotify:artist:2x48WoJGRLCpCWHEKXMZoB","Trapped Under Ice","2009-08-04","https://i.scdn.co/image/ab67616d0000b273837f90d220ee24994bc864ea","1","2","129386","https://p.scdn.co/mp3-preview/6951596867cc642f8c1d68d84bdd08488dec04c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:12131253879","2018-08-02T07:00:56Z"
"spotify:track:4o7qNwGi42OCGPhP41yY0W","Slice Paper Wrists","spotify:artist:71t8oi0TjZ9Op6JRrVqaBx","Poison The Well","spotify:album:6a29de1cUHKgnExT3wgu8y","The Opposite Of December / Tear From The Red","spotify:artist:71t8oi0TjZ9Op6JRrVqaBx","Poison The Well","2012-11-19","https://i.scdn.co/image/ab67616d0000b2738db6e919326c10137cc4168a","1","4","235244","","false","0","spotify:user:12131253879","2018-08-02T07:01:14Z"
"spotify:track:0rZafkLnrcAFbVTrMo2NIl","Lies Of Serpents, A River Of Tears","spotify:artist:2vqfIznyoJDjhrbNAueQ6s","Zao","spotify:album:2cl5dUYMZOeIAJXjzKpvj5","Where Blood And Fire Bring Rest","spotify:artist:2vqfIznyoJDjhrbNAueQ6s","Zao","1998-05-26","https://i.scdn.co/image/ab67616d0000b273782f4f39f819d9a4f9ca21d8","1","1","159360","https://p.scdn.co/mp3-preview/1fc78f535224e42480efe2eca02fb2f3f3e7bb03?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:12131253879","2018-08-02T07:02:58Z"
"spotify:track:7BkNhxXudP4ikQ0yxsh2pM","Sick Life","spotify:artist:4Q6EFOghPrRjdwsF4p7Nzm","Nailbomb","spotify:album:0CcgwAkqiglrLu6lH5lrSU","Point Blank","spotify:artist:4Q6EFOghPrRjdwsF4p7Nzm","Nailbomb","1994-02-28","https://i.scdn.co/image/ab67616d0000b273b7bfb70a6dc640b548ee22e1","1","13","1070693","https://p.scdn.co/mp3-preview/c5d963cd01bd98ae90254eb59b8b06fdb0bf40da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:12131253879","2018-08-02T07:04:05Z"
"spotify:track:2QcHIZFd5Meeroa1HB1L90","My Own Grave","spotify:artist:2vd2HnNh4pdYa9gDVHFjEu","As I Lay Dying","spotify:album:4zSeVXasb7coGxo7ymD3EM","My Own Grave","spotify:artist:2vd2HnNh4pdYa9gDVHFjEu","As I Lay Dying","2018-06-08","https://i.scdn.co/image/ab67616d0000b273ab876e767fcb1cace4048db4","1","1","253317","","false","0","spotify:user:12131253879","2018-08-02T07:04:46Z"
"spotify:track:2YsSgK8pnw9AmCAmOoYZ0i","Beneath The Encasing Of Ashes","spotify:artist:2vd2HnNh4pdYa9gDVHFjEu","As I Lay Dying","spotify:album:2uZxUCOF9ImZSWC3TnDIc0","A Long March: The First Recordings","spotify:artist:2vd2HnNh4pdYa9gDVHFjEu","As I Lay Dying","2006","https://i.scdn.co/image/ab67616d0000b273bce83fd8883746b0899f53b0","1","6","167933","https://p.scdn.co/mp3-preview/2edf90619baa4430846a79b17dc7dcdbc2c38b89?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:12131253879","2018-08-02T07:05:51Z"
"spotify:track:1Rz1CTinAymBA4dcMPGijY","Real Thing","spotify:artist:2qnpHrOzdmOo1S4ox3j17x","Turnstile","spotify:album:7bZveW9UQfYbkPH9pkpaQx","Time & Space","spotify:artist:2qnpHrOzdmOo1S4ox3j17x","Turnstile","2018-02-23","https://i.scdn.co/image/ab67616d0000b273da460bd80377420b21884053","1","1","116453","https://p.scdn.co/mp3-preview/842ab0ee5efba2663d03dea44306b8c0a8622cb6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:12131253879","2018-08-02T07:07:12Z"
