"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0IEtL7nw7nfcMrmVBOPoxY","Your Love","spotify:artist:63yl9nDNrHpiAYGlNJxxjc","Frankie Knuckles","spotify:album:4d5YuKmY2IwltrdzNVCZyD","Frankie Knuckles Presents: His Greatest Hits from Trax Records","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2004","https://i.scdn.co/image/ab67616d0000b2735ef8e366d08d21b0fa2b0a96","1","5","405493","","false","0","spotify:user:","2018-06-21T10:28:25Z"
"spotify:track:6RSmWJzW67qDXRyjs8wRob","Strings of Life","spotify:artist:0v6N0xV7AfHHKVcgUOjC51","Derrick May","spotify:album:4QBNHSOgUn4bsT1eXSJorD","Innovator","spotify:artist:0v6N0xV7AfHHKVcgUOjC51","Derrick May","2013-10-20","https://i.scdn.co/image/ab67616d0000b273c8dc63e3b06849f3ce66381c","1","27","362946","","false","0","spotify:user:","2018-06-21T10:28:25Z"
"spotify:track:040feKzAD1CyH8asrYDfDp","Meet Every Situation Head On (Noise & Mista Luv Mix)","spotify:artist:3oi0s3WIuxBU5oh87n7za2","Psychic TV","spotify:album:0ievrQGwcBv6T0K4ByZFb7","Origin Of The Species Volume Too! - Third Tablet Of Acid","spotify:artist:3oi0s3WIuxBU5oh87n7za2","Psychic TV","1999","https://i.scdn.co/image/ab67616d0000b273aaafe1990fd3ceb622390201","1","12","323280","https://p.scdn.co/mp3-preview/2f402e05d2238b4ab92b4e05ffb5ebe140aa2213?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:","2018-06-21T10:28:25Z"
"spotify:track:00DgpLEbEGEZT2qimby2a7","Energy Flash","spotify:artist:4OW0w5K2UNaWtbpRqzWqI0","Joey Beltram","spotify:album:13jniS0G1VsgWaie8d6jKN","Classics","spotify:artist:4OW0w5K2UNaWtbpRqzWqI0","Joey Beltram","1996","https://i.scdn.co/image/ab67616d0000b2736ea2b48e8ad6f7bddab14067","1","1","350813","","false","0","spotify:user:","2018-06-21T10:28:25Z"
"spotify:track:0xjxXC9tnntiSibd4xFlCq","Radio Babylon - Version Galore","spotify:artist:3AO9jmM1JTooPNcu9tTyZx","Meat Beat Manifesto","spotify:album:3LaTYECoQfSJuqqHRXXNcr","Version Galore","spotify:artist:3AO9jmM1JTooPNcu9tTyZx","Meat Beat Manifesto","1991","https://i.scdn.co/image/ab67616d0000b2735e0550d6863f26909d24d538","1","2","296040","","false","0","spotify:user:","2018-06-21T10:28:25Z"
"spotify:track:3hVnJ8rRSVa1tfgaYswfYn","You Used to Hold Me","spotify:artist:0c5584rnmlOvkMpJtpBLTh","Ralphi Rosario","spotify:album:1X1NgiMTByMIIZkjvoAtXh","Ralphi Rosario's Greatest Hits","spotify:artist:0c5584rnmlOvkMpJtpBLTh","Ralphi Rosario","2003","https://i.scdn.co/image/ab67616d0000b2737903c17c0cffa70f49402304","1","2","299946","https://p.scdn.co/mp3-preview/a8c8a7132265df580aa220e9c786e5afd9d8c392?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:","2018-06-21T10:28:25Z"
"spotify:track:74TZSreTt6eXdCE8EJhpN1","The Juice","spotify:artist:0dRiUTGvNV17AMIULRYsvn","Mr. Fingers","spotify:album:62K6JylULgZWs9fnqlurpM","DJ-Kicks (Motor City Drum Emsemble)","spotify:artist:4TlzX7s6kuZDtiBpsopcBf","Motor City Drum Ensemble","2011-07-04","https://i.scdn.co/image/ab67616d0000b273745e8780fc565992fb12028d","1","7","152693","","false","0","spotify:user:","2018-06-21T10:28:25Z"
"spotify:track:0vpXry3pru4sIm7VraagKY","Let The Music Use You","spotify:artist:06SAdf9QB0xFf5BicN99SV","The Nightwriters","spotify:album:4d5YuKmY2IwltrdzNVCZyD","Frankie Knuckles Presents: His Greatest Hits from Trax Records","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2004","https://i.scdn.co/image/ab67616d0000b2735ef8e366d08d21b0fa2b0a96","1","1","477333","","false","0","spotify:user:","2018-06-21T10:28:25Z"
"spotify:track:4ECiSO5OmUy41ifKknjsf4","The House Music Anthem / Move Your Body","spotify:artist:2Di8r9df6xjyj6CVOqbGVz","Marshall Jefferson","spotify:album:36k9wYTYtNHdZOnu65jtj6","Trax Records: The 20th Anniversary Collection Mixed by Maurice Joshua & Paul Johnson","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2004-06-17","https://i.scdn.co/image/ab67616d0000b27393e1763f59b38399fe15325e","1","9","206400","","false","0","spotify:user:","2018-06-21T10:28:25Z"
"spotify:track:1KhD7czAxuNn0orSVwNnhd","151 - Original Mix","spotify:artist:6JuRhSfY164psE7nZIXw53","Armando","spotify:album:64El0kofsV6FGEs17h7wRr","The History Of House Sound Of Chicago - Part 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-02-02","https://i.scdn.co/image/ab67616d0000b27340c6cd30b1958f0aca3436fb","1","7","360466","","false","0","spotify:user:","2018-06-21T10:28:25Z"
