"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1GXPBNGMUFyG56Gf9pyMQo","My Doorbell","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:6K8LgaK1oJFfZfNGszd4TG","Get Behind Me Satan","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2005-06-07","https://i.scdn.co/image/ab67616d0000b273aadf719afe5c130e53d1d2cd","1","3","241866","","false","0","spotify:user:12153198080","2018-02-25T06:55:44Z"
"spotify:track:2b0AarwIy6Dr0oJeAhc80s","Blue Orchid","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:6K8LgaK1oJFfZfNGszd4TG","Get Behind Me Satan","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2005-06-07","https://i.scdn.co/image/ab67616d0000b273aadf719afe5c130e53d1d2cd","1","1","157560","","false","3","spotify:user:12153198080","2018-02-25T06:55:56Z"
"spotify:track:6YK2tAEYnHgYkkC6TSziqM","Fell In Love With A Girl","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:0LicnijsvZ3Q7OCU0g9U8Z","White Blood Cells","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2001-07-03","https://i.scdn.co/image/ab67616d0000b273078862268984bf49b7edec6a","1","4","110093","","false","3","spotify:user:12153198080","2018-02-25T06:56:27Z"
"spotify:track:0VRZJQpVz9Hdpkm5A4Qyb3","Hello Operator","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:3m67IYWE82EKX3nX9N7fhX","De Stijl","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2000-06-20","https://i.scdn.co/image/ab67616d0000b273272b4a3971355c1ac5e460be","1","2","156266","","false","0","spotify:user:12153198080","2018-02-25T06:57:24Z"
"spotify:track:0f0IKbJOT1RAOYsY2mefJ9","I Was Born (A Unicorn)","spotify:artist:7L5HH5QtkDe7u2hJ1FUKFo","The Unicorns","spotify:album:4HjyDiZiduHOET6zZbHeaj","Who Will Cut Our Hair When We're Gone? (Remastered)","spotify:artist:7L5HH5QtkDe7u2hJ1FUKFo","The Unicorns","2014-07-29","https://i.scdn.co/image/ab67616d0000b27320a8f15f1a2231fe269f9482","1","9","165613","","false","0","spotify:user:12153198080","2018-02-25T07:00:03Z"
"spotify:track:0XMIvA1Ktf4aaky9jHDSAl","Rough Gem","spotify:artist:1ObsHTgbvIYOfSHohHuV6n","Islands","spotify:album:0dGPEw8SlwV3n7LrTm2Hvp","Return to the Sea (10th Anniversary Remaster)","spotify:artist:1ObsHTgbvIYOfSHohHuV6n","Islands","2016-11-11","https://i.scdn.co/image/ab67616d0000b273edb7ad5ff99d7d33c41e50a0","1","4","216406","","false","0","spotify:user:12153198080","2018-02-25T07:00:46Z"
"spotify:track:6nzXkCBOhb2mxctNihOqbb","Bad Girls","spotify:artist:0QJIPDAEDILuo8AIq3pMuU","M.I.A.","spotify:album:3dAxXNscIj0p53lBMEziYR","Matangi","spotify:artist:0QJIPDAEDILuo8AIq3pMuU","M.I.A.","2013-01-01","https://i.scdn.co/image/ab67616d0000b2733d6fa293f49903ed38fbe0de","1","8","227520","https://p.scdn.co/mp3-preview/9b916c7b05576568aa7e3169abdc79b170e4f031?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:12153198080","2018-02-25T07:02:08Z"
"spotify:track:0E7nCbceMTNXiKZg8S8kmU","It Takes A Muscle","spotify:artist:0QJIPDAEDILuo8AIq3pMuU","M.I.A.","spotify:album:52PnOzMKfAK8Nrv7KGdBq6","MAYA","spotify:artist:0QJIPDAEDILuo8AIq3pMuU","M.I.A.","2010-01-01","https://i.scdn.co/image/ab67616d0000b273d801754f7ffd6ce94235285e","1","7","180346","","false","0","spotify:user:12153198080","2018-02-25T07:03:50Z"
"spotify:track:7oDYlQnPMxJsvRFAKgQHeG","Pull Up The People","spotify:artist:0QJIPDAEDILuo8AIq3pMuU","M.I.A.","spotify:album:4H732ay6gyFrsqUeyWrZl9","Arular","spotify:artist:0QJIPDAEDILuo8AIq3pMuU","M.I.A.","2005-01-01","https://i.scdn.co/image/ab67616d0000b27361b6393d0618e13f86772a0d","1","2","222400","","false","0","spotify:user:12153198080","2018-02-25T07:05:16Z"
"spotify:track:0phXjBj2Cgpa9WbumlKEKp","Bucky Done Gun","spotify:artist:0QJIPDAEDILuo8AIq3pMuU","M.I.A.","spotify:album:4H732ay6gyFrsqUeyWrZl9","Arular","spotify:artist:0QJIPDAEDILuo8AIq3pMuU","M.I.A.","2005-01-01","https://i.scdn.co/image/ab67616d0000b27361b6393d0618e13f86772a0d","1","3","225506","","false","0","spotify:user:12153198080","2018-02-25T07:05:27Z"
