"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5Q41NLTmGbVPozwHKK7bk2","Paradise City","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:5JKFiC2WVi9HtvJEm8CUB8","Appetite For Destruction","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","1987-07-21","https://i.scdn.co/image/ab67616d0000b273c8e5391a619e9e8ea2162073","1","6","406306","","false","0","spotify:user:easportsmusic","2018-02-16T23:51:15Z"
"spotify:track:6shyEhv7EqbnL2ZGcMdaHo","Us V Them","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","spotify:album:1R8kkopLT4IAxzMMkjic6X","Sound of Silver","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","2007-03-12","https://i.scdn.co/image/ab67616d0000b273e6272ad26e7a55bc342a6dd0","1","6","509733","https://p.scdn.co/mp3-preview/dc52eb78468e4383daadf7661f21afa8776b956c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:easportsmusic","2018-02-16T23:51:28Z"
"spotify:track:7F0dwqgKzlaIRrngChBRAc","Stop","spotify:artist:02NfyD6AlLA12crYzw5YcR","Jane's Addiction","spotify:album:2Jkbi83HTSfqEd0CBdYwpU","Ritual De Lo Habitual","spotify:artist:02NfyD6AlLA12crYzw5YcR","Jane's Addiction","1990-08-21","https://i.scdn.co/image/ab67616d0000b27380c8257f3e17780ea2a4bab0","1","1","254839","https://p.scdn.co/mp3-preview/bbea3c7b0d9acf68c9ed84beab055bc41d7c9dc4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:easportsmusic","2018-02-16T23:51:42Z"
"spotify:track:5fodi5z7BngUgku13WtF81","My Curse","spotify:artist:37394IP6uhnjIpsawpMu4l","Killswitch Engage","spotify:album:42EsiMKN2jXw0RafNy2yYn","As Daylight Dies","spotify:artist:37394IP6uhnjIpsawpMu4l","Killswitch Engage","2006-01-21","https://i.scdn.co/image/ab67616d0000b27304672df7a2e206de29f01166","1","5","244773","https://p.scdn.co/mp3-preview/591da0da6fe74da8c2b774dd2670e94b1361d5da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:easportsmusic","2018-02-16T23:52:02Z"
"spotify:track:1eoHjFYPjG7cBJi6Obb7oV","Stand and Deliver","spotify:artist:2DppeCnNtvrLfEobq9Pw5r","Adam & The Ants","spotify:album:1y1U4lZOWdkRt83aTSucXK","Hits","spotify:artist:3QP0XPDwbvGivqDAaJ5f5G","Adam Ant","1986","https://i.scdn.co/image/ab67616d0000b273002e4466594ac6dcc87cebab","1","4","187400","","false","0","spotify:user:easportsmusic","2018-02-16T23:52:25Z"
"spotify:track:5sFDReWLrZHLFZFjHsjUTS","Would?","spotify:artist:64tNsm6TnZe2zpcMVMOoHL","Alice In Chains","spotify:album:58NXIEYqmq5dQHg9nV9duM","Dirt","spotify:artist:64tNsm6TnZe2zpcMVMOoHL","Alice In Chains","1992-09-29","https://i.scdn.co/image/ab67616d0000b27331ea2c36c5da3979177127b1","1","13","206773","https://p.scdn.co/mp3-preview/1a21c213ead8446fe9053ddc70dd4c66e5204562?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:easportsmusic","2018-02-16T23:52:38Z"
"spotify:track:1G3TReuCzc7YIXdw3xW8tP","Girlfriend - Radio Edit","spotify:artist:0p4nmQO2msCgU4IF37Wi3j","Avril Lavigne","spotify:album:25cV0otMLz4zQDS0Aclyuj","The Best Damn Thing","spotify:artist:0p4nmQO2msCgU4IF37Wi3j","Avril Lavigne","2007-04-13","https://i.scdn.co/image/ab67616d0000b273f10a1cdd5e49e8db7fd28eac","1","1","216600","","false","0","spotify:user:easportsmusic","2018-02-16T23:53:03Z"
"spotify:track:5fW07jQkSaonWs90rn6x5i","Archers","spotify:artist:168dgYui7ExaU612eooDF1","Brand New","spotify:album:2YnqAuFmC2r8JeQVOIozTy","The Devil And God Are Raging Inside Me","spotify:artist:168dgYui7ExaU612eooDF1","Brand New","2006-01-01","https://i.scdn.co/image/ab67616d0000b2739f8ac0f160a5141a077b41c1","1","11","253560","https://p.scdn.co/mp3-preview/7542c0969f93fac9f7afd38231fd632017610da8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:easportsmusic","2018-02-16T23:53:29Z"
"spotify:track:0iZP2hut17wjXTjOsLwiX4","Route 66 - Beatmasters Mix","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","spotify:album:4wvqSj96WPcUOi4XsOnGyF","Remixes 81>04","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","2004-10-26","https://i.scdn.co/image/ab67616d0000b2736bb5483c24e79e1bba1eee20","1","9","378386","https://p.scdn.co/mp3-preview/c2bca523a803c5d03fb2c29f5340db89484e4f17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:easportsmusic","2018-02-16T23:55:22Z"
"spotify:track:5P1x1Ne3PFcKm2aqRtbfLZ","Going Through Changes","spotify:artist:7uvp7p8iWcfqdX5ZDNJci6","Army Of Me","spotify:album:6JOX1Pm2cEw5zpBS2ti1VR","Citizen","spotify:artist:7uvp7p8iWcfqdX5ZDNJci6","Army Of Me","2007-04-10","https://i.scdn.co/image/ab67616d0000b273e267f04dd87c5cc080007fe1","1","2","246773","","false","0","spotify:user:easportsmusic","2018-02-16T23:55:36Z"
"spotify:track:4ReyTz0y3TGkX48wO3Llot","Epic","spotify:artist:6GbCJZrI318Ybm8mY36Of5","Faith No More","spotify:album:6LEP3L94jnkqjOxYJWPRP0","The Real Thing","spotify:artist:6GbCJZrI318Ybm8mY36Of5","Faith No More","1989","https://i.scdn.co/image/ab67616d0000b273e081ef6de656ee714788ea0d","1","2","293653","https://p.scdn.co/mp3-preview/990d2a036460850226e2058f1dc9ad063e13dc61?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:easportsmusic","2018-02-16T23:56:00Z"
