"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:01UYpHuzHi4eB9PAbDoPY2","Summer Breeze","spotify:artist:6jdObwsrIjSRnBbMw6lPBj","Seals and Crofts","spotify:album:4dkdQY484elFRfcVNY6uzj","Seals & Crofts' Greatest Hits","spotify:artist:6jdObwsrIjSRnBbMw6lPBj","Seals and Crofts","1972","https://i.scdn.co/image/ab67616d0000b273dfa20da3b777d38da4b044ca","1","9","205480","https://p.scdn.co/mp3-preview/5c64316cf5c7bbf26a47987810b864723be6a02d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:danteegraves","2018-06-07T10:08:32Z"
"spotify:track:2374M0fQpWi3dLnB54qaLX","Africa","spotify:artist:0PFtn5NtBbbUNbU9EAmIWF","TOTO","spotify:album:62U7xIHcID94o20Of5ea4D","Toto IV","spotify:artist:0PFtn5NtBbbUNbU9EAmIWF","TOTO","1982-04-08","https://i.scdn.co/image/ab67616d0000b2734a052b99c042dc15f933145b","1","10","295893","https://p.scdn.co/mp3-preview/4551544dbf630ad584de356432e8afbd84b96914?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","spotify:user:danteegraves","2018-06-07T10:11:08Z"
"spotify:track:4aVuWgvD0X63hcOCnZtNFA","Hold the Line","spotify:artist:0PFtn5NtBbbUNbU9EAmIWF","TOTO","spotify:album:1mnu4hYvdwQgZXcNvtJ3D3","Toto","spotify:artist:0PFtn5NtBbbUNbU9EAmIWF","TOTO","1978-10-10","https://i.scdn.co/image/ab67616d0000b273f903e62767a0e22e33b7af83","1","9","235546","https://p.scdn.co/mp3-preview/ae5b5990efb6105af7ccf2d5b2690c1bdb08cdf3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","spotify:user:danteegraves","2018-06-07T10:16:17Z"
"spotify:track:3fv4azYeibbo9wa37SsFiV","Se perdo anche te","spotify:artist:15FrhfFYJIx7Ijltkpjbsr","Gianni Morandi","spotify:album:2bFMNIFvppcYCLA4t8QCrC","Questa E La Storia: Andavo A Cento All'ora","spotify:artist:15FrhfFYJIx7Ijltkpjbsr","Gianni Morandi","1994-11-11","https://i.scdn.co/image/ab67616d0000b27362c56b1c4310fe2d8c9fd1aa","1","24","150173","https://p.scdn.co/mp3-preview/c093bc653b119f42b984235ae773b7086f9a65f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:danteegraves","2018-06-07T10:18:17Z"
"spotify:track:1JLn8RhQzHz3qDqsChcmBl","I Want to Know What Love Is - 1999 Remaster","spotify:artist:6IRouO5mvvfcyxtPDKMYFN","Foreigner","spotify:album:4oQhDQDKMeI6IMlwpXt3j8","Agent Provocateur","spotify:artist:6IRouO5mvvfcyxtPDKMYFN","Foreigner","1984-12-12","https://i.scdn.co/image/ab67616d0000b2733e030a7e606959674643d274","1","3","304786","https://p.scdn.co/mp3-preview/cb8c1bc4a400807b09d60c5c7d7402acdfe79988?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","spotify:user:danteegraves","2018-06-07T10:20:11Z"
"spotify:track:4tmvNDYDxzspyUTVckmwI9","In Too Deep - Remastered 2007","spotify:artist:3CkvROUTQ6nRi9yQOcsB50","Genesis","spotify:album:5BDGtXKMQ6k267KX4PoGhP","Invisible Touch","spotify:artist:3CkvROUTQ6nRi9yQOcsB50","Genesis","1986-06-09","https://i.scdn.co/image/ab67616d0000b273087ca24aa58e7c67514061a1","1","4","302840","https://p.scdn.co/mp3-preview/1ddc7763378f17ac34539c93af4058d84005814d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:danteegraves","2018-06-07T10:27:21Z"
"spotify:track:5RfhUFcQBeonzqLRhU8gvK","Midnight Rider","spotify:artist:4wQ3PyMz3WwJGI5uEqHUVR","Allman Brothers Band","spotify:album:0t8HthfqcaTKZvS2XacxgC","Idlewild South (Deluxe Edition Remastered)","spotify:artist:4wQ3PyMz3WwJGI5uEqHUVR","Allman Brothers Band","1970-09-18","https://i.scdn.co/image/ab67616d0000b2733878d6b21cc4b8408f251d28","1","3","180066","","false","0","spotify:user:danteegraves","2018-06-07T10:27:38Z"
"spotify:track:371VkfwKiXJxgH5ZPoQNHD","The Joker","spotify:artist:6QtGlUje9TIkLrgPZrESuk","Steve Miller Band","spotify:album:6jIR8ITF5YSa3i9ILvA9E1","The Joker","spotify:artist:6QtGlUje9TIkLrgPZrESuk","Steve Miller Band","1973-01-01","https://i.scdn.co/image/ab67616d0000b27375da4b79907852f0c5d0cd9e","1","5","264503","","false","17","spotify:user:danteegraves","2018-06-07T10:27:46Z"
"spotify:track:6bxqVA0hflgfiVxdBcs7KY","Runnin' Down A Dream","spotify:artist:4tX2TplrkIP4v05BNC903e","Tom Petty and the Heartbreakers","spotify:album:1jdLbCgZFGrJV5HFwPJIKJ","Anthology: Through The Years","spotify:artist:4tX2TplrkIP4v05BNC903e","Tom Petty and the Heartbreakers","2000-10-31","https://i.scdn.co/image/ab67616d0000b273457eecb06829fc2dede39562","2","11","262693","","false","0","spotify:user:danteegraves","2018-06-07T10:28:07Z"
"spotify:track:1pvEacBCjS7EMQUZbM4Pj8","Into The Great Wide Open","spotify:artist:4tX2TplrkIP4v05BNC903e","Tom Petty and the Heartbreakers","spotify:album:2OAkzJdbnDtd45Zh2lkdWe","Into The Great Wide Open","spotify:artist:4tX2TplrkIP4v05BNC903e","Tom Petty and the Heartbreakers","1991-07-02","https://i.scdn.co/image/ab67616d0000b2737d69a4b6837d27e484f62321","1","3","223333","","false","0","spotify:user:danteegraves","2018-06-07T10:28:25Z"
