"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:61wOeXJdF95WyImvYgc6pH","Maia","spotify:artist:5Fmr3KeGe2IAVFmMxUq1sD","Fat Jon","spotify:album:04f6x4vPQmxn3VLVvMW7Nh","Libyus Music Sound History 2004-2010","spotify:artist:34QbYbTlUCLkZsQ8QmacV9","DJ Okawari","2010-09-29","https://i.scdn.co/image/ab67616d0000b273847bac7f9ded3c44cf222906","1","10","222600","","false","0","spotify:user:quintonma","2017-03-09T16:49:09Z"
"spotify:track:3BEd5u1Td7t2A7JOs7dm4j","Makin' my Way","spotify:artist:5sU2ovyukWzzvQw3Jo1SI9","Strange Fruit Project","spotify:album:7pT1lrMJsQyEyfT3seZOuM","The Healing","spotify:artist:5sU2ovyukWzzvQw3Jo1SI9","Strange Fruit Project","2006-05-30","https://i.scdn.co/image/ab67616d0000b273d75038a29ee43c2e769adb78","1","13","275680","https://p.scdn.co/mp3-preview/86ee3e304b8ca3906852c2b4044f7ec50aa8fe18?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:quintonma","2016-05-20T15:21:18Z"
"spotify:track:61KHfpOOqUgSWpzfpufkzs","Que Sera","spotify:artist:3qwxSif06Qwzykdln8ZGfG","Wax Tailor","spotify:album:7dzxM6pI8umSkVqv1yY9qZ","Tales of the Forgotten Melodies","spotify:artist:3qwxSif06Qwzykdln8ZGfG","Wax Tailor","2005","https://i.scdn.co/image/ab67616d0000b273b344a347144b2948bbae66d8","1","2","164093","","false","0","spotify:user:quintonma","2016-05-20T15:21:18Z"
"spotify:track:07Q56uPVQHJw7a1e4d8EJu","Hypnotix","spotify:artist:5sU2ovyukWzzvQw3Jo1SI9","Strange Fruit Project","spotify:album:5piZo8ch6F27WvBDVX1WEm","From Divine - Special Edition","spotify:artist:5sU2ovyukWzzvQw3Jo1SI9","Strange Fruit Project","2006-05-16","https://i.scdn.co/image/ab67616d0000b273fbcdb8d7a5f9ef9b1e2aec28","1","13","166506","https://p.scdn.co/mp3-preview/e071be17adb9c647f01aba448897d82cfc639158?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:quintonma","2016-05-20T15:21:18Z"
"spotify:track:7DLHcfrCEwsykOXhrdn108","Defeat","spotify:artist:6SWohEYYTym0RIBxvoh6wt","Afu-Ra","spotify:album:6HB0hHlIIn3jngBqILTA96","Body Of The Life Force","spotify:artist:6SWohEYYTym0RIBxvoh6wt","Afu-Ra","2000-10-24","https://i.scdn.co/image/ab67616d0000b27335ed3ea160e92192a6ee445e","1","3","204013","","true","0","spotify:user:quintonma","2016-05-20T15:21:18Z"
"spotify:track:62lzdd6GtHCNqD0Oe17Ikd","Crown (feat. Black Milk & Med)","spotify:artist:5S8L0diSZfnelH2OH2VVIf, spotify:artist:77zgRkcehIGCAtROXkXkb3, spotify:artist:36zSkwftotDHslP3KUQpew","14KT, Black Milk, MED","spotify:album:2ein2etj2nwYAbsGwzgXMw","Nickel & Dimed","spotify:artist:5S8L0diSZfnelH2OH2VVIf","14KT","2013-08-27","https://i.scdn.co/image/ab67616d0000b27386ff01984120007bae905f2f","1","20","202836","https://p.scdn.co/mp3-preview/1ba9e8cc45c11f462bf84d6025f45fe27a4c9aa9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","5","spotify:user:quintonma","2016-05-20T15:21:18Z"
"spotify:track:3fQLTeJcZHO3uXf5CslPSV","A Little Piano","spotify:artist:4F8O7axjzw3z0xVPRG8JFS","DJ Mitsu The Beats","spotify:album:4KavUPcI5l9EuXL5dYS7GU","Beat Installments","spotify:artist:4F8O7axjzw3z0xVPRG8JFS","DJ Mitsu The Beats","2012-04-25","https://i.scdn.co/image/ab67616d0000b273ed6a29e986a061ed7bc38476","1","7","148594","","false","0","spotify:user:quintonma","2017-03-09T16:47:22Z"
"spotify:track:56oUD9ZzgSSDFgvLHxoWyZ","Carnivores Unite","spotify:artist:7bHm3B3jJju0q9FUdOgp3b","Blockhead","spotify:album:5kEQ9AhNjGvjvplVU3dEkj","Music By Cavelight","spotify:artist:7bHm3B3jJju0q9FUdOgp3b","Blockhead","2004-03-09","https://i.scdn.co/image/ab67616d0000b27300c1bd4d3221c1fa0755d37f","1","2","285986","https://p.scdn.co/mp3-preview/617f86f3ec6eb3559c99a65568d2793fa5215234?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:quintonma","2018-04-09T22:08:27Z"
"spotify:track:4UvGBQU3zPO5IcagzHDIxS","Love Is Real","spotify:artist:14uVJsPC4DByeuD0cq36ez","Moods","spotify:album:0Q3E7y6JhymAaBJelyhXTJ","Sincere - Single","spotify:artist:14uVJsPC4DByeuD0cq36ez","Moods","2015-02-09","https://i.scdn.co/image/ab67616d0000b2738adfd0d50ba231af6a142b0c","1","2","202213","","false","1","spotify:user:quintonma","2018-05-04T17:24:26Z"
"spotify:track:2ouMVpv6OJglrFHg2GQPwd","Chase Me (feat. Run The Jewels & Big Boi) - Single Version - Music From The Motion Picture Baby Driver","spotify:artist:2dBj3prW7gP9bCCOIQeDUf, spotify:artist:4RnBFZRiMLRyZy0AzzTg2C, spotify:artist:2ht3wxeT69CzyKFChNnNAB","Danger Mouse, Run The Jewels, Big Boi","spotify:album:4gWX3HriDmej4AS8vE4Bh0","Chase Me (feat. Run The Jewels & Big Boi)","spotify:artist:2dBj3prW7gP9bCCOIQeDUf","Danger Mouse","2017-05-18","https://i.scdn.co/image/ab67616d0000b273dab57a201486b4f6c0bd4457","1","1","206746","https://p.scdn.co/mp3-preview/4920d404f13c7393995a81904725ed2a52fe983e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","spotify:user:quintonma","2018-05-04T17:25:08Z"
"spotify:track:5ZI9ZXX5dLkpLqSEbrtalQ","Kiara","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:412m7Fq2zFtCB9uwNNxNM0","Black Sands","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2010-03-29","https://i.scdn.co/image/ab67616d0000b273e94ceb850397650d0664dda8","1","2","230306","","false","0","spotify:user:quintonma","2012-12-30T06:09:08Z"
