"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4ZfaferDPIg00rqvcHQxco","Tempus Fugit","spotify:artist:570vCzcespB48HIQyTbDO6","Bud Powell","spotify:album:0uiRXMUQT4ctOgzb0FzbEZ","Jazz Giant","spotify:artist:570vCzcespB48HIQyTbDO6","Bud Powell","1988-01-19","https://i.scdn.co/image/ab67616d0000b2739b6d8b4a468f71b2e68e67b8","1","1","149533","https://p.scdn.co/mp3-preview/8c82c745537124dcf4e52734c389eaee9de3c61e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:1229495632","2018-09-30T21:16:53Z"
"spotify:track:4dIrAEWhZkJCGBNdx97vEA","Long Tall Dexter","spotify:artist:3NUsiT2JSyaWAnWaXxDzhQ","Dexter Gordon","spotify:album:7c2SKYGxm5NCw9NxpYGJvp","Dexter Digs In: The Young Dexter Gordon","spotify:artist:3NUsiT2JSyaWAnWaXxDzhQ","Dexter Gordon","2009-01-01","https://i.scdn.co/image/ab67616d0000b2733d1390c0202a0b1b353863d9","1","4","183800","","false","0","spotify:user:1229495632","2018-09-30T21:17:56Z"
"spotify:track:2zVfxYOLnV6JFjoR2yQxwe","Moon Dreams - Remastered","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4","Miles Davis","spotify:album:2vm2b8COVMLIoHqB58iN4w","The Complete Birth Of The Cool","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4","Miles Davis","1957","https://i.scdn.co/image/ab67616d0000b273ff29c44ffc4d4ff9b12f24e0","1","3","200093","","false","0","spotify:user:1229495632","2018-09-30T21:18:13Z"
"spotify:track:0DXk3raE35Dp9wB44hZAvf","Night In Tunisia","spotify:artist:1HJHwWck1EY096ea2iPAHO","Clifford Brown","spotify:album:2VWBVfXpQ6RPHRwrcAjkOo","The Beginning And The End","spotify:artist:1HJHwWck1EY096ea2iPAHO","Clifford Brown","1973","https://i.scdn.co/image/ab67616d0000b273182767073d65d3c91b21a725","1","4","660226","https://p.scdn.co/mp3-preview/d9d93f979095c8f7f1101d6023e901a6717f07f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:1229495632","2018-09-30T21:19:23Z"
"spotify:track:2OG3Ii6rzS99yW3DtVReZi","Autumn Nocturne - Live","spotify:artist:1VEzN9lxvG6KPR3QQGsebR","Sonny Rollins","spotify:album:05Zp2A2TA6YKvGNF6W7lzc","Silver City (A Celebration Of 25 Years Of Milestone)","spotify:artist:1VEzN9lxvG6KPR3QQGsebR","Sonny Rollins","1996-01-01","https://i.scdn.co/image/ab67616d0000b27386fa9f45b14ad40288fe4599","1","1","394333","https://p.scdn.co/mp3-preview/9f667ae5dc4905e11fffda03de9b6d4f941464c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:1229495632","2018-09-30T21:20:31Z"
"spotify:track:0IbD8xojkJgwh9lLu8hoxg","Rhythm-A-Ning","spotify:artist:4PDpGtF16XpqvXxsrFwQnN","Thelonious Monk","spotify:album:0QTVbs5gj4pbv3Je4fJ3VI","Criss-Cross (Expanded Edition)","spotify:artist:4PDpGtF16XpqvXxsrFwQnN","Thelonious Monk","1963","https://i.scdn.co/image/ab67616d0000b27316272e3ef5368f8db98ddfbd","1","5","233066","https://p.scdn.co/mp3-preview/ad02334a69854e18eb67c50a321fc383cf3c9e36?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:1229495632","2018-09-30T21:21:08Z"
"spotify:track:11cHTwgw5L3qrNcv5Ugv0O","Boogie Stop Shuffle","spotify:artist:1W8TbFzNS15VwsempfY12H","Charles Mingus","spotify:album:7pojWP7x9uEFSJgw765khA","Ah Um","spotify:artist:1W8TbFzNS15VwsempfY12H","Charles Mingus","1959","https://i.scdn.co/image/ab67616d0000b273aa397a43547cd41e228a3063","1","3","298960","https://p.scdn.co/mp3-preview/6e813a92fc7309263eee1edebc6c0a13961ac961?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:1229495632","2018-09-30T21:21:28Z"
"spotify:track:5edKI6uYydFcAqbKY8TI8n","Concerto for Billy the Kid","spotify:artist:1CkthcIyaPjnbHLcwhbU7c","George Russell","spotify:album:1T7niTeHTetOKSKY8JAZqr","Chromatic Universe","spotify:artist:1CkthcIyaPjnbHLcwhbU7c","George Russell","2011-10-10","https://i.scdn.co/image/ab67616d0000b273022197363b614bab1ed976e0","1","8","286306","https://p.scdn.co/mp3-preview/ba300db906397c6266a7ce90d9f3ad04fea2b428?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:1229495632","2018-09-30T21:22:06Z"
"spotify:track:4vLYewWIvqHfKtJDk8c8tq","So What (feat. John Coltrane, Cannonball Adderley & Bill Evans)","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4, spotify:artist:2hGh5VOeeqimQFxqXvfCUf, spotify:artist:5v74mT11KGJqadf9sLw4dA, spotify:artist:4jXfFzeP66Zy67HM2mvIIF","Miles Davis, John Coltrane, Cannonball Adderley, Bill Evans","spotify:album:4sb0eMpDn3upAFfyi4q2rw","Kind Of Blue (Legacy Edition)","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4","Miles Davis","1959-08-17","https://i.scdn.co/image/ab67616d0000b2730ebc17239b6b18ba88cfb8ca","1","1","562640","https://p.scdn.co/mp3-preview/e692f71aa410f2dd6dc50e59e7f75e31d925aca5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:1229495632","2018-09-30T21:22:33Z"
"spotify:track:0CLbmkYmQIWiEwnsbOkLpd","A Love Supreme, Pt. I – Acknowledgement","spotify:artist:2hGh5VOeeqimQFxqXvfCUf","John Coltrane","spotify:album:7Eoz7hJvaX1eFkbpQxC5PA","A Love Supreme","spotify:artist:2hGh5VOeeqimQFxqXvfCUf","John Coltrane","1965-02","https://i.scdn.co/image/ab67616d0000b273ea42191f549dce4d9c8ecd1a","1","1","462866","https://p.scdn.co/mp3-preview/5d3d1312ce333e99c6e546a7d4e0e5dc7e7147e6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:1229495632","2018-09-30T21:22:49Z"
