"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:07pVjGo1JPijPpCEpbhpAD","Kelo","spotify:artist:4Euhhr6Da22zneAorqNTov","NYOS","spotify:album:2WglMvEz0bZJgVKd9Tj7Ql","Nature","spotify:artist:4Euhhr6Da22zneAorqNTov","NYOS","2017","https://i.scdn.co/image/ab67616d0000b27339b6fb9920508c16ff6cea51","1","2","274693","","false","0","spotify:user:","2018-12-05T04:03:41Z"
"spotify:track:0l2pTA5HrEjL7pO7kPC1LW","True Blue","spotify:artist:5K6NcAMcGUCYWWvcv3i1di","Capsule","spotify:album:6ZjPoj2VEDJdC59QpI3omK","Blue","spotify:artist:5K6NcAMcGUCYWWvcv3i1di","Capsule","2008-02-12","https://i.scdn.co/image/ab67616d0000b273f135481c696c6eff5adfd7ca","1","1","51760","https://p.scdn.co/mp3-preview/3dde89bb6e4006d34a597acc18edad454c432fe7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","spotify:user:","2018-12-05T04:03:41Z"
"spotify:track:6EnonJlebRp2U7F92wJ9qB","Harlem","spotify:artist:4Euhhr6Da22zneAorqNTov","NYOS","spotify:album:1wWprucqJIrx8uvfY4nkGt","Navigation","spotify:artist:4Euhhr6Da22zneAorqNTov","NYOS","2017","https://i.scdn.co/image/ab67616d0000b27321d345c9afa5fbe7d884c366","1","1","314167","","false","0","spotify:user:","2018-12-05T04:03:41Z"
"spotify:track:0krRe9eiJtn8TuUzsrm5Vo","The Scarlet Whore - Her Dealings with the Initiate","spotify:artist:2kmTOiWcJrKvGRzirxlrC2","Toby Driver","spotify:album:3Er5G9CACZXylCzC8aiRXC","Madonnawhore","spotify:artist:2kmTOiWcJrKvGRzirxlrC2","Toby Driver","2017-04-21","https://i.scdn.co/image/ab67616d0000b273e58ef102ce4571806c2a8fbf","1","1","436804","https://p.scdn.co/mp3-preview/62115fbfead834651fcb2ed1dcd9a5a078c0f46f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:","2018-12-05T04:03:41Z"
"spotify:track:6JpgIadx1ZnaCJmyTkz5zE","Something in the Sky","spotify:artist:5YWIIiqupYpLTAVSrYZ0Ns","Mothlite","spotify:album:2vW6LkU6sG6AixZWXDvZD0","Dark Age","spotify:artist:5YWIIiqupYpLTAVSrYZ0Ns","Mothlite","2012-05-13","https://i.scdn.co/image/ab67616d0000b273b8098e32c28ef801395e41f4","1","5","198133","","false","0","spotify:user:","2018-12-05T04:03:41Z"
"spotify:track:2GDAEqfthWYQ2Xvl03nQzm","The Rest of Us","spotify:artist:4G6HhUUQ1LgyYnA2WJppf8, spotify:artist:17YxHBveizVRDwCUBVn1X0","Colin Stetson, Sarah Neufeld","spotify:album:5XWTi7aJnVcihhmN3vGqwD","Never Were the Way She Was","spotify:artist:4G6HhUUQ1LgyYnA2WJppf8, spotify:artist:17YxHBveizVRDwCUBVn1X0","Colin Stetson, Sarah Neufeld","2015-04-28","https://i.scdn.co/image/ab67616d0000b2734438776fc71fa366f7ec48ca","1","6","390506","https://p.scdn.co/mp3-preview/d56d0c9e4025d9d3556c780bf48640da427037e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:","2018-12-05T04:03:41Z"
"spotify:track:79tBiWJqXINEDDjJl4MjhK","Parsifal","spotify:artist:2kmTOiWcJrKvGRzirxlrC2","Toby Driver","spotify:album:3Er5G9CACZXylCzC8aiRXC","Madonnawhore","spotify:artist:2kmTOiWcJrKvGRzirxlrC2","Toby Driver","2017-04-21","https://i.scdn.co/image/ab67616d0000b273e58ef102ce4571806c2a8fbf","1","4","297225","https://p.scdn.co/mp3-preview/140737d3bb049dbd1465da24036a3d43fd9b9a5b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:","2018-12-05T04:03:41Z"
"spotify:track:01qRtHoHogRz9Eldkjn9Mq","Fuck Off","spotify:artist:6oKwhpxFeDeanFE9bC2b8g","The Frogs","spotify:album:2AwGOnBaNy8gn97OEJh90p","Hopscotch Lollipop Sunday Surprise","spotify:artist:6oKwhpxFeDeanFE9bC2b8g","The Frogs","2001","https://i.scdn.co/image/ab67616d0000b273b7a76ed8e77b383be70fcc28","1","12","127746","https://p.scdn.co/mp3-preview/36a84b4b103d0d14b7766d08734a877cecb9dda6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","35","spotify:user:","2018-12-05T04:03:41Z"
"spotify:track:3PsfIhi9R0UUGhP2a6G55X","Holy Christos","spotify:artist:0erhjm5MwzWpFRFuorXLT2","King Dude","spotify:album:2QUf3qxHwZAX4jOYvm57v5","Sex","spotify:artist:0erhjm5MwzWpFRFuorXLT2","King Dude","2016-10-28","https://i.scdn.co/image/ab67616d0000b273d62a6267448745ca64db99ea","1","1","172239","https://p.scdn.co/mp3-preview/6b27b7ad6556d29d26af9b977ce8defd25a41a58?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:","2018-12-05T04:03:41Z"
"spotify:track:6W2Mby1CgZfTSyAExsDsbZ","God Sent Us I","spotify:artist:35xabxHHFbeGMmPk4AnKMQ","Genocide Organ","spotify:album:5p0A7Am6sg6XbDXrNVE9CY","Archive II - EP","spotify:artist:35xabxHHFbeGMmPk4AnKMQ","Genocide Organ","2011-08-22","https://i.scdn.co/image/ab67616d0000b273ed14829aa2ac4c08a51ce8fd","1","1","263685","https://p.scdn.co/mp3-preview/3e069cd2981d95c3dd982fd60a2e7da8dc28118a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:","2018-12-05T04:03:41Z"
