"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7Igg8GGE1FZLbvND32ry55","Got a Match?","spotify:artist:2ReTnNzaUAM6RgKCtlvMPf, spotify:artist:5olDKSsFhhmwh8UCWwKtpq","Chick Corea Elektric Band, Chick Corea","spotify:album:5k7c63mQUUEJvikCxCTDSi","History","spotify:artist:5olDKSsFhhmwh8UCWwKtpq","Chick Corea","2014-04-02","https://i.scdn.co/image/ab67616d0000b273b082a7a414c182ea6c19ee7f","1","4","343400","","false","0","spotify:user:mailmikereed","2015-04-10T20:56:33Z"
"spotify:track:5i3kEggJ0v9G8P0RHGyk33","Beneath The Mask","spotify:artist:2ReTnNzaUAM6RgKCtlvMPf","Chick Corea Elektric Band","spotify:album:4XeGNlBjRL8wQZsPzPqjnk","Beneath The Mask","spotify:artist:2ReTnNzaUAM6RgKCtlvMPf","Chick Corea Elektric Band","1991-01-01","https://i.scdn.co/image/ab67616d0000b273d63ac508fe7291f7864c4be6","1","1","213866","","false","0","spotify:user:mailmikereed","2015-05-05T23:42:16Z"
"spotify:track:6s1vvfK1oFGH3ue4hkERCx","Lippincott","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","spotify:album:3BfAgyF1AdYKaOO7EBoDw4","The Joy of Motion","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","2014-03-25","https://i.scdn.co/image/ab67616d0000b2731ce45979342c65ecddf9f72e","1","2","262292","https://p.scdn.co/mp3-preview/8c5a2d9b72fe1a896edbff6c6309b7b120751cb5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:mailmikereed","2015-04-10T20:56:57Z"
"spotify:track:7hY2Kc7Hvu0BudOoQwu8Ez","Kascade","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","spotify:album:3BfAgyF1AdYKaOO7EBoDw4","The Joy of Motion","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","2014-03-25","https://i.scdn.co/image/ab67616d0000b2731ce45979342c65ecddf9f72e","1","1","323728","https://p.scdn.co/mp3-preview/5469353435eea7a08c416ba896325b7139afbb08?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:mailmikereed","2015-04-10T20:57:03Z"
"spotify:track:4j6ascTxs21rACPdPpqFQN","The Woven Web","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","spotify:album:3BfAgyF1AdYKaOO7EBoDw4","The Joy of Motion","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","2014-03-25","https://i.scdn.co/image/ab67616d0000b2731ce45979342c65ecddf9f72e","1","10","247780","https://p.scdn.co/mp3-preview/abea14af6ddf39fd13d3e64336521c6c722412cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:mailmikereed","2015-04-10T20:57:16Z"
"spotify:track:3TwKLIOl2hIPDE7z7rvOH3","Tempting Time","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","spotify:album:1BRtQtljRJIxroJXI20K39","Animals as Leaders","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","2009-04-28","https://i.scdn.co/image/ab67616d0000b27393bb9d619c92bcd6ba242c39","1","1","323933","https://p.scdn.co/mp3-preview/9e7f791eb3adbe8749c8f99d807ff8dfa08d3796?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:mailmikereed","2015-04-10T20:57:42Z"
"spotify:track:5OYumxiBEEEL5Hq2fGhpsS","Weightless","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","spotify:album:7IoPLwGpntUE7VaEXEU67i","Weightless","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","2011-11-08","https://i.scdn.co/image/ab67616d0000b273eda0d4ce815da9d0100561ba","1","11","315986","https://p.scdn.co/mp3-preview/7aed1ba5dd0de1c08feb737cdf9021cf1e292bd4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:mailmikereed","2015-04-10T20:58:34Z"
"spotify:track:0JGuSgtmWyfuxLGBs2wX0C","Physical Education","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","spotify:album:3BfAgyF1AdYKaOO7EBoDw4","The Joy of Motion","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","2014-03-25","https://i.scdn.co/image/ab67616d0000b2731ce45979342c65ecddf9f72e","1","5","280955","https://p.scdn.co/mp3-preview/fd41af3eda82e25a70752119006857d940a1f8af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:mailmikereed","2015-04-10T20:59:26Z"
"spotify:track:6791xRWIf9DWEudbE7cg9v","Another Year","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","spotify:album:3BfAgyF1AdYKaOO7EBoDw4","The Joy of Motion","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","2014-03-25","https://i.scdn.co/image/ab67616d0000b2731ce45979342c65ecddf9f72e","1","4","230934","https://p.scdn.co/mp3-preview/316493fd3ba1f7a30e1a88bf18fbf15028f5ba28?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:mailmikereed","2015-04-10T21:02:00Z"
"spotify:track:6OrrIP1n3M3psLx38w6CzG","Nephele","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","spotify:album:3BfAgyF1AdYKaOO7EBoDw4","The Joy of Motion","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","2014-03-25","https://i.scdn.co/image/ab67616d0000b2731ce45979342c65ecddf9f72e","1","12","271000","https://p.scdn.co/mp3-preview/6945f63096a567f9955a9e2688a6b58029e35968?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:mailmikereed","2015-04-10T21:02:32Z"
