"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6ZWYN5GsObNdeT6K3j3V5E","1539 N. Calvert","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:22LKdgY3vLsAsWrOafwCM3","Veteran","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2018-01-19","https://i.scdn.co/image/ab67616d0000b2739a8fce763b8a58d7d3e4a7f2","1","1","157258","","true","0","spotify:user:tndausten","2018-01-23T03:47:43Z"
"spotify:track:2QPiE4GpUzAFmcklNc7WFA","Phreqs","spotify:artist:1WiZz4d759EPtACSUBEfmt","Portal","spotify:album:3Ah46ts0j8wOr4lG73e346","Ion","spotify:artist:1WiZz4d759EPtACSUBEfmt","Portal","2018-01-26","https://i.scdn.co/image/ab67616d0000b273af5f5ea883813d1858a83a71","1","4","294000","https://p.scdn.co/mp3-preview/f27248a8ed51d5a4bcbc28346e43b5101ba54eeb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:tndausten","2018-02-03T00:47:45Z"
"spotify:track:2Y0iGXY6m6immVb2ktbseM","Little Dark Age","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:7GjVWG39IOj4viyWplJV4H","Little Dark Age","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2018-02-09","https://i.scdn.co/image/ab67616d0000b273b47d309281c66820b7137f5d","1","2","299960","https://p.scdn.co/mp3-preview/624494f31c4716d324a7d56f027e737254fb30e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","spotify:user:tndausten","2018-02-13T03:38:36Z"
"spotify:track:7cc9UE2A6RUt72KT7Blvcl","La Rumba Me Llamo Yo","spotify:artist:6LcWO77VeIUPqNY22N3fI0","Daymé Arocena","spotify:album:0PFDg54yooHoFRXXuWzELb","Cubafonía","spotify:artist:6LcWO77VeIUPqNY22N3fI0","Daymé Arocena","2017-03-10","https://i.scdn.co/image/ab67616d0000b273a5dfd072486f37561c413466","1","2","264026","","false","15","spotify:user:tndausten","2018-02-21T02:50:28Z"
"spotify:track:6H5JsDwJDTmOBaq6E5T6SP","Cute Thing","spotify:artist:5PbpKlxQE0Ktl5lcNABoFf","Car Seat Headrest","spotify:album:20U1UWeGcGq7JVW0tf8yfH","Twin Fantasy","spotify:artist:5PbpKlxQE0Ktl5lcNABoFf","Car Seat Headrest","2018-02-16","https://i.scdn.co/image/ab67616d0000b273e4221d183898a2c206626b64","1","7","339321","","true","0","spotify:user:tndausten","2018-02-21T02:51:01Z"
"spotify:track:0t8L9kP2PIg8WnJZc1sGhV","Pearly Gates","spotify:artist:3AHFDfqhSqPBecjQDIOIJA","U.S. Girls","spotify:album:5mcuyVRQmrRlfFqDDfJI1q","In a Poem Unlimited","spotify:artist:3AHFDfqhSqPBecjQDIOIJA","U.S. Girls","2018-02-16","https://i.scdn.co/image/ab67616d0000b273cdfe9ca52fbe76c85e055aef","1","8","242172","","false","0","spotify:user:tndausten","2018-02-27T02:00:52Z"
"spotify:track:04RwxoRhYbyAJ6ikgUJw7o","Agnes Martin","spotify:artist:3pZ666b6CyO1KGpVYirY0t","Screaming Females","spotify:album:27WCDmHjVFzzdhxjqMKDgD","All at Once","spotify:artist:3pZ666b6CyO1KGpVYirY0t","Screaming Females","2018-02-23","https://i.scdn.co/image/ab67616d0000b273729a14df03de74b0c66ddd2f","1","5","254533","","false","0","spotify:user:tndausten","2018-03-13T03:52:45Z"
"spotify:track:2ZsbtrFluQsuzsJMApF6yw","I Never Dream","spotify:artist:0ngUeF0DGpYmPec80MqSi1","Against All Logic","spotify:album:1uzfGk9vxMXfaZ2avqwxod","2012 - 2017","spotify:artist:0ngUeF0DGpYmPec80MqSi1","Against All Logic","2018-02-17","https://i.scdn.co/image/ab67616d0000b273f1297d75af3140afebb941b2","1","2","405992","https://p.scdn.co/mp3-preview/18b2f806bf484fe5cc746bcd80e72722c1123b93?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:tndausten","2018-03-13T03:53:04Z"
"spotify:track:3kSKewiMBattmHk1GsWE08","The Devil's On Your Side","spotify:artist:4YJR4xviDKHoelt9WKHlBa","Andrew W.K.","spotify:album:0JxUvmY64hj0QKgbChqv6z","You're Not Alone","spotify:artist:4YJR4xviDKHoelt9WKHlBa","Andrew W.K.","2018-03-02","https://i.scdn.co/image/ab67616d0000b273002e9658713a8cf9fb067967","1","11","322653","https://p.scdn.co/mp3-preview/594ec7c471fe64b7488648a40ecb03c7adc84a6f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:tndausten","2018-03-13T03:53:28Z"
"spotify:track:6y1hWuNQjq0x4qqVqfpp1Q","The Mysterious Vanishing of Electra","spotify:artist:1eiXrvua27VlWgZ9kiaIn6","Anna von Hausswolff","spotify:album:29haLrvX37jDkDfwVk4FKV","Dead Magic","spotify:artist:1eiXrvua27VlWgZ9kiaIn6","Anna von Hausswolff","2018-03-02","https://i.scdn.co/image/ab67616d0000b273584585df3cf83f03bf3d780a","1","2","368692","https://p.scdn.co/mp3-preview/be1a2fbed027ca96ba1fca42de63dc0243a42966?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:tndausten","2018-03-13T03:53:49Z"
"spotify:track:5XkqOjBws8qpEkBW7X5Ppy","Derecho de Nacimiento (feat. Los Macorinos)","spotify:artist:1hcdI2N1023RvSwLzTtdsp, spotify:artist:1ldFRYgmjxDrX27bIe3dWx","Natalia Lafourcade, Los Macorinos","spotify:album:7JbbUP152jaRbhQ7CJ1DOy","Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos), Vol. 2","spotify:artist:1hcdI2N1023RvSwLzTtdsp","Natalia Lafourcade","2018-02-09","https://i.scdn.co/image/ab67616d0000b2730fe864cc5162c51ab11f4492","1","7","348840","https://p.scdn.co/mp3-preview/7ec81fa436e615b8d8a94fd33bbd30b19a750695?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:tndausten","2018-03-19T16:26:38Z"
"spotify:track:2dl8ys1dK1qLpRGCMeDVJj","Spectre","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","spotify:album:7p3G0OCxtlWyJcPE1FxnyB","Firepower","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","2018-03-09","https://i.scdn.co/image/ab67616d0000b2735c48f1b63e4b70cf96ffb088","1","10","265800","https://p.scdn.co/mp3-preview/8aa2c441b45701880a024b4e815566f7f74a0877?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:tndausten","2018-03-27T23:47:22Z"
"spotify:track:0iCUBrpsGH8xtIBE9Yy0iZ","Ice Station Zebra","spotify:artist:4FZ3j1oH43e7cukCALsCwf","Jack White","spotify:album:6btUx9G2BPajQ7P6mpTxId","Boarding House Reach","spotify:artist:4FZ3j1oH43e7cukCALsCwf","Jack White","2018-03-23","https://i.scdn.co/image/ab67616d0000b273f06339d17dd213558c5e7088","1","6","239586","https://p.scdn.co/mp3-preview/780498f5fb665464276a24a36934006e53660cb2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:tndausten","2018-03-27T23:47:42Z"
"spotify:track:2Q7QUy1t3wHhoUWA7v9aYH","All Wordz Are Made Up","spotify:artist:4nUBBtLtzqZGpdiynTJbYJ","The Voidz","spotify:album:2dMmcXlG8xtRJNlsjIrPWe","Virtue","spotify:artist:4nUBBtLtzqZGpdiynTJbYJ","The Voidz","2018-03-30","https://i.scdn.co/image/ab67616d0000b273d00e504004a48159ac896b64","1","7","199320","https://p.scdn.co/mp3-preview/e688cb17d8ed8f94d8a48bfbfef7cf6e28102c90?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:tndausten","2018-04-09T23:17:06Z"
"spotify:track:2fzvibAxqwManQKIJLrMgs","My Contribution to This Scam","spotify:artist:2ipBhKpOYqs6BbysLNGye6, spotify:artist:2SlUrJAcTYbWR8GcmB9IEi","Jean Grae, Quelle Chris","spotify:album:22oHrB4SLwayyuLE02t5BD","Everything's Fine","spotify:artist:2ipBhKpOYqs6BbysLNGye6, spotify:artist:2SlUrJAcTYbWR8GcmB9IEi","Jean Grae, Quelle Chris","2018-03-30","https://i.scdn.co/image/ab67616d0000b273b9b4356c54014ff79ead05ed","1","2","282911","https://p.scdn.co/mp3-preview/fc0dfa7c13eb3bdcd14c3b3e1e70933fe81066e2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","24","spotify:user:tndausten","2018-04-09T23:17:29Z"
"spotify:track:1gmarFWgSwb4SWlmqDjWka","After The Storm (feat. Tyler, The Creator & Bootsy Collins)","spotify:artist:1U1el3k54VvEUzo3ybLPlM, spotify:artist:4V8LLVI7PbaPR0K2TGSxFF, spotify:artist:5K0rbdBrs2tNXe5LeWMATT","Kali Uchis, Tyler\, The Creator, Bootsy Collins","spotify:album:1Brx50SJLtOj1InsRw7umU","After The Storm (feat. Tyler, The Creator & Bootsy Collins)","spotify:artist:1U1el3k54VvEUzo3ybLPlM","Kali Uchis","2018-01-12","https://i.scdn.co/image/ab67616d0000b273479ab0eacb3b370b9ae47d8a","1","1","207454","https://p.scdn.co/mp3-preview/b05e3ce55b03c9af3a8a50181351cb43c4c3da94?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:tndausten","2018-04-16T04:06:30Z"
"spotify:track:1qe9hue6nh9KPHvRlA1hob","My Queen Is Harriet Tubman","spotify:artist:3pvRbmrqOyFxB2Eext4Dki","Sons Of Kemet","spotify:album:4pxnDGBdoGu88h8ZInX5f5","Your Queen Is A Reptile","spotify:artist:3pvRbmrqOyFxB2Eext4Dki","Sons Of Kemet","2018-03-30","https://i.scdn.co/image/ab67616d0000b2736574a3f65aadef81dab68edc","1","3","338133","https://p.scdn.co/mp3-preview/046a1673dca4d54ca3d709e6b0074468eed9475e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:tndausten","2018-04-25T01:37:51Z"
"spotify:track:7uDRYzCgOPTYDuTSfNpuxo","Marijuanaut's Theme","spotify:artist:4Mt6w4tDGiPgV5q6JWPlrI","Sleep","spotify:album:790MeSzafcgXNCoY2AagnP","The Sciences","spotify:artist:4Mt6w4tDGiPgV5q6JWPlrI","Sleep","2018-04-20","https://i.scdn.co/image/ab67616d0000b273feee83b559123cb23b171fac","1","2","399893","","false","0","spotify:user:tndausten","2018-04-25T01:38:28Z"
"spotify:track:7JPIRFlQL2acGnyqujDrDQ","How Simple","spotify:artist:3yYUV3hkJit05YIUEODqgp","Hop Along","spotify:album:7taAuoHvZ4LJzEaB0OzuP3","Bark Your Head Off, Dog","spotify:artist:3yYUV3hkJit05YIUEODqgp","Hop Along","2018-04-06","https://i.scdn.co/image/ab67616d0000b273789fed90a8e25bc8500351a8","1","1","228458","https://p.scdn.co/mp3-preview/254f1929c3a8e3d2eb52763d36de33826eebfea7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:tndausten","2018-05-07T12:44:53Z"
"spotify:track:5wN9Ccxuhbl4icORQTn1VC","Funeral Procession “AMI FIDÈLE ET TENDRE”","spotify:artist:4MZcJOMRpShPojZwHJRoTC","Félix Blume","spotify:album:6S9gC3Mf5Pna3BHewbgODe","Death In Haiti: Funeral Brass Bands & Sounds from Port Au Prince","spotify:artist:4MZcJOMRpShPojZwHJRoTC","Félix Blume","2018-03-16","https://i.scdn.co/image/ab67616d0000b273a059340ca6ac5cb46c880b20","1","4","166821","","false","0","spotify:user:tndausten","2018-05-07T12:45:52Z"
"spotify:track:5gW5dSy3vXJxgzma4rQuzH","Make Me Feel","spotify:artist:6ueGR6SWhUJfvEhqkvMsVs","Janelle Monáe","spotify:album:2PjlaxlMunGOUvcRzlTbtE","Dirty Computer","spotify:artist:6ueGR6SWhUJfvEhqkvMsVs","Janelle Monáe","2018-04-27","https://i.scdn.co/image/ab67616d0000b2730a60fb0deda858270cca82ee","1","8","194230","https://p.scdn.co/mp3-preview/214ede6c18faaba9935774edfba69e50d7fbf6a6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","spotify:user:tndausten","2018-05-07T12:47:16Z"
"spotify:track:0QAEc5JBdaZMdxqU3xL64H","Almost Had to Start a Fight/In and Out of Patience","spotify:artist:23NIwARd4vPbxt3wwNnJ6k","Parquet Courts","spotify:album:5uTI2HcpAywDP8Vo1DpJta","Wide Awake!","spotify:artist:23NIwARd4vPbxt3wwNnJ6k","Parquet Courts","2018-05-18","https://i.scdn.co/image/ab67616d0000b2731317be574cc7f4cad6eb4f27","1","5","194693","","false","0","spotify:user:tndausten","2018-05-28T05:08:50Z"
"spotify:track:6bGwKHXHNLmTy6yt147FPh","If You Know You Know","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy","Pusha T","spotify:album:07bIdDDe3I3hhWpxU6tuBp","DAYTONA","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy","Pusha T","2018-05-25","https://i.scdn.co/image/ab67616d0000b273263555eebbe2b375593aa31e","1","1","202120","https://p.scdn.co/mp3-preview/b89642533a57ae3319cda7738db75e65422a4b71?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","spotify:user:tndausten","2018-06-04T04:11:50Z"
"spotify:track:6Bg7MznA9X0dIhlAsLyBYj","Ghost Town","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:2HPaUgqeutzr3jx5a9WyDV","Kanye West, PARTYNEXTDOOR","spotify:album:5EBGCvO6upi3GNknMVe9x9","ye","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2018-06-01","https://i.scdn.co/image/ab67616d0000b27397508a4b756763370510bd44","1","6","271386","","true","0","spotify:user:tndausten","2018-06-11T17:41:16Z"
"spotify:track:4u39IY2QjY1utpNCCF4is0","Rats","spotify:artist:1Qp56T7n950O3EGMsSl81D","Ghost","spotify:album:1KMfjy6MmPorahRjxhTnxm","Prequelle","spotify:artist:1Qp56T7n950O3EGMsSl81D","Ghost","2018-06-01","https://i.scdn.co/image/ab67616d0000b273dd712ef33296be4dd442d425","1","2","261573","https://p.scdn.co/mp3-preview/a2f65982562bb7a01b1fb5bbe1612c5a75267025?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:tndausten","2018-06-11T17:41:49Z"
"spotify:track:4RVbK6cV0VqWdpCDcx3hiT","Reborn","spotify:artist:2hPgGN4uhvXAxiXQBIXOmE","KIDS SEE GHOSTS","spotify:album:6pwuKxMUkNg673KETsXPUV","KIDS SEE GHOSTS","spotify:artist:2hPgGN4uhvXAxiXQBIXOmE, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:0fA0VVWsXO9YnASrzqfmYu","KIDS SEE GHOSTS, Kanye West, Kid Cudi","2018-06-08","https://i.scdn.co/image/ab67616d0000b273013c00ee367dd85396f79c82","1","5","324674","https://p.scdn.co/mp3-preview/5fae53eae3dc211dc91b785e655f940bcf17a0fc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","spotify:user:tndausten","2018-07-02T03:06:47Z"
"spotify:track:1x3aS6zZ6wQNBm3a5SvDvL","Chameleon Paint","spotify:artist:0mL6LBSQ4bHe6hWq90KzHL","Tropical Fuck Storm","spotify:album:1gUUJWp55njMNKe6V3tgR3","A Laughing Death in Meatspace","spotify:artist:0mL6LBSQ4bHe6hWq90KzHL","Tropical Fuck Storm","2018-05-04","https://i.scdn.co/image/ab67616d0000b273c9267acfc4f9a9aa07aee89b","1","3","269533","","false","0","spotify:user:tndausten","2018-07-02T03:07:02Z"
"spotify:track:1cYvs9fP9Lh2bRqXdPFF9u","Is It Cold In The Water?","spotify:artist:5a2w2tgpLwv26BYJf2qYwu","SOPHIE","spotify:album:0CKiI5WdJ5rzUIK8hyD3SY","OIL OF EVERY PEARL'S UN-INSIDES","spotify:artist:5a2w2tgpLwv26BYJf2qYwu","SOPHIE","2018-06-14","https://i.scdn.co/image/ab67616d0000b27390efbb6f4bd415bf5f22c136","1","4","212213","","false","0","spotify:user:tndausten","2018-07-02T03:07:29Z"
"spotify:track:50vpmMn6YztmEqtCgOXA32","Dilemma","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","spotify:album:46eayJPxf1cBWWUqNa2MJJ","Year Of The Snitch","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","2018-06-22","https://i.scdn.co/image/ab67616d0000b2738b0fd435be942b69343759e9","1","9","233588","https://p.scdn.co/mp3-preview/86fff5d7d28bb58488dfebc8b13e3c0936c74459?cid=9950ac751e34487dbbe027c4fd7f8e99","true","38","spotify:user:tndausten","2018-07-02T03:08:13Z"
