"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3oIQfBgaruqihkCHokRQZ0","Rejoice","spotify:artist:4IDpDJIDfK96HMLD4Tphyl","AJJ","spotify:album:2jRdTNGZzb3drtFRYaUpFE","People Who Can Eat People are the Luckiest People in the World","spotify:artist:4IDpDJIDfK96HMLD4Tphyl","AJJ","2007-09-11","https://i.scdn.co/image/ab67616d0000b2732a4aeff3ddbbc30af9131e12","1","1","195586","https://p.scdn.co/mp3-preview/e355b738aeb21d0bc7599cc0492c38224e0801ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:granterwin6","2018-08-23T20:51:36Z"
"spotify:track:6bfPo8Ge3VoD4dEGSDs0R9","Brave as a Noun","spotify:artist:4IDpDJIDfK96HMLD4Tphyl","AJJ","spotify:album:2jRdTNGZzb3drtFRYaUpFE","People Who Can Eat People are the Luckiest People in the World","spotify:artist:4IDpDJIDfK96HMLD4Tphyl","AJJ","2007-09-11","https://i.scdn.co/image/ab67616d0000b2732a4aeff3ddbbc30af9131e12","1","2","74960","https://p.scdn.co/mp3-preview/f4d70c0bcaed03fca3a94089eba2d72fd81a3f31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:granterwin6","2018-08-23T20:51:36Z"
"spotify:track:47hr9KDPHYmOCCd0aj3Q04","Survival Song","spotify:artist:4IDpDJIDfK96HMLD4Tphyl","AJJ","spotify:album:2jRdTNGZzb3drtFRYaUpFE","People Who Can Eat People are the Luckiest People in the World","spotify:artist:4IDpDJIDfK96HMLD4Tphyl","AJJ","2007-09-11","https://i.scdn.co/image/ab67616d0000b2732a4aeff3ddbbc30af9131e12","1","3","148293","https://p.scdn.co/mp3-preview/aa4ab87ead9558d62c4cac6aa4a1dc5ae5561502?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:granterwin6","2018-08-23T20:51:36Z"
"spotify:track:4s5DywrMqIlGxvKi4WrHwH","Bad Bad Things","spotify:artist:4IDpDJIDfK96HMLD4Tphyl","AJJ","spotify:album:2jRdTNGZzb3drtFRYaUpFE","People Who Can Eat People are the Luckiest People in the World","spotify:artist:4IDpDJIDfK96HMLD4Tphyl","AJJ","2007-09-11","https://i.scdn.co/image/ab67616d0000b2732a4aeff3ddbbc30af9131e12","1","4","119880","https://p.scdn.co/mp3-preview/c4488306c5d9ce51415e307a65acd2aeaf61d647?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:granterwin6","2018-08-23T20:51:36Z"
"spotify:track:2wqhEDKlvFLq4dzZOq4qSL","No More Tears","spotify:artist:4IDpDJIDfK96HMLD4Tphyl","AJJ","spotify:album:2jRdTNGZzb3drtFRYaUpFE","People Who Can Eat People are the Luckiest People in the World","spotify:artist:4IDpDJIDfK96HMLD4Tphyl","AJJ","2007-09-11","https://i.scdn.co/image/ab67616d0000b2732a4aeff3ddbbc30af9131e12","1","5","62133","https://p.scdn.co/mp3-preview/20a5ced16e6f8a2c2750de4982e8cdd90b56cd9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:granterwin6","2018-08-23T20:51:36Z"
"spotify:track:1BwHpDbCWUBn0lNNyPHpeH","Bells and Whistles","spotify:artist:4IDpDJIDfK96HMLD4Tphyl","AJJ","spotify:album:2jRdTNGZzb3drtFRYaUpFE","People Who Can Eat People are the Luckiest People in the World","spotify:artist:4IDpDJIDfK96HMLD4Tphyl","AJJ","2007-09-11","https://i.scdn.co/image/ab67616d0000b2732a4aeff3ddbbc30af9131e12","1","6","88400","https://p.scdn.co/mp3-preview/e615d2982e29eaad0f88c435a268bafb76c49ed7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:granterwin6","2018-08-23T20:51:36Z"
"spotify:track:21eO0ANsk3RlTD8zjcsKg0","Randy's House","spotify:artist:4IDpDJIDfK96HMLD4Tphyl","AJJ","spotify:album:2jRdTNGZzb3drtFRYaUpFE","People Who Can Eat People are the Luckiest People in the World","spotify:artist:4IDpDJIDfK96HMLD4Tphyl","AJJ","2007-09-11","https://i.scdn.co/image/ab67616d0000b2732a4aeff3ddbbc30af9131e12","1","7","83746","https://p.scdn.co/mp3-preview/820e0509a74bc0d2cf5ba8914defec9be2e017e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:granterwin6","2018-08-23T20:51:36Z"
"spotify:track:3eG1hZzHlXvLMaSzlltbLA","A Song Dedicated to the Memory of Stormy the Rabbit","spotify:artist:4IDpDJIDfK96HMLD4Tphyl","AJJ","spotify:album:2jRdTNGZzb3drtFRYaUpFE","People Who Can Eat People are the Luckiest People in the World","spotify:artist:4IDpDJIDfK96HMLD4Tphyl","AJJ","2007-09-11","https://i.scdn.co/image/ab67616d0000b2732a4aeff3ddbbc30af9131e12","1","8","184533","https://p.scdn.co/mp3-preview/7caf8874f999b32e52d9b97f604477cda62568da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:granterwin6","2018-08-23T20:51:36Z"
"spotify:track:35ycG8vBnHjAfw1Q5WDl76","People Ii: The Reckoning","spotify:artist:4IDpDJIDfK96HMLD4Tphyl","AJJ","spotify:album:2jRdTNGZzb3drtFRYaUpFE","People Who Can Eat People are the Luckiest People in the World","spotify:artist:4IDpDJIDfK96HMLD4Tphyl","AJJ","2007-09-11","https://i.scdn.co/image/ab67616d0000b2732a4aeff3ddbbc30af9131e12","1","9","248773","https://p.scdn.co/mp3-preview/a60f82643386df5709c6b82363c6c67970d73555?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:granterwin6","2018-08-23T20:51:36Z"
"spotify:track:2Ok2MUomO0kORdxCZNjrmF","Personal Space Invader","spotify:artist:4IDpDJIDfK96HMLD4Tphyl","AJJ","spotify:album:2jRdTNGZzb3drtFRYaUpFE","People Who Can Eat People are the Luckiest People in the World","spotify:artist:4IDpDJIDfK96HMLD4Tphyl","AJJ","2007-09-11","https://i.scdn.co/image/ab67616d0000b2732a4aeff3ddbbc30af9131e12","1","10","179013","https://p.scdn.co/mp3-preview/bbf5b592889c8ef534c18bfaf6aec88ec548363f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:granterwin6","2018-08-23T20:51:36Z"
