"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3MAfAtD9lKvugbWzaz21LS","Oxygen","spotify:artist:5v2WhpA59TJSdPh7LCx1lN","BONES","spotify:album:14UHDxQHc0vS7uSkByELdL","NoRedeemingQualities","spotify:artist:5v2WhpA59TJSdPh7LCx1lN","BONES","2017-06-16","https://i.scdn.co/image/ab67616d0000b2738493445689edc0a1743a1804","1","1","142000","","true","0","spotify:user:","2018-12-24T13:02:56Z"
"spotify:track:6R0GRYk2vs2XuBVemYK5YZ","Ultimate","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","spotify:album:5r0LVuUjx659ddoV15P5MI","Ultimate","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","2015-01-01","https://i.scdn.co/image/ab67616d0000b273b9c31bc080dd46b38bbafce2","1","1","189974","https://p.scdn.co/mp3-preview/3eca1eb7fae901ce6c2df1128d3c4d8ec81c6b5a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","spotify:user:","2018-12-24T13:02:56Z"
"spotify:track:24xeulvirnzsmZpmyeruCz","Baby I'm Bleeding","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:22LKdgY3vLsAsWrOafwCM3","Veteran","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2018-01-19","https://i.scdn.co/image/ab67616d0000b2739a8fce763b8a58d7d3e4a7f2","1","5","154043","","true","0","spotify:user:","2018-12-24T13:02:56Z"
"spotify:track:6egOR0AUWFqq0Vqh3nFjdQ","Gratitude","spotify:artist:5r1fQsxkiQl0VwUlERnDBP","Car Bomb","spotify:album:2VXwYjBFtwA3PF8OVyGs5w","Meta","spotify:artist:5r1fQsxkiQl0VwUlERnDBP","Car Bomb","2016-10-28","https://i.scdn.co/image/ab67616d0000b27302817738bfc59f3f7f81665b","1","4","262725","https://p.scdn.co/mp3-preview/02823962ad51458d5c7897ac2527449758e54821?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:","2018-12-24T13:02:56Z"
"spotify:track:5TQMTo6N9QB7q9Im1iVfkV","Don't Bang My Line (feat. Night Lovell)","spotify:artist:4nXOZlYoAD67hF9aUEncMY, spotify:artist:2y246nnP9pQT0E6v3ZMMOO","Pouya, Night Lovell","spotify:album:08WwBA0maVmt0ZaMXJwVzK","FIVE FIVE","spotify:artist:4nXOZlYoAD67hF9aUEncMY","Pouya","2018-03-05","https://i.scdn.co/image/ab67616d0000b273a44f476f600594bd9025e13d","1","7","179103","https://p.scdn.co/mp3-preview/05fcb9a65593457cd60bd1c9086bc39b92d0083b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","spotify:user:","2018-12-24T13:02:56Z"
"spotify:track:7HRv1sYuwgoea1m0JRvChV","GOLD","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","spotify:album:67smHJOf5YlFwad6dAlppm","SATURATION","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","2017-06-09","https://i.scdn.co/image/ab67616d0000b273a0c4a585a7d73b4943b9bf13","1","2","266000","https://p.scdn.co/mp3-preview/fdf0d2d8f206ecb26aa68faf4fdf62bbebfdb632?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","spotify:user:","2018-12-24T13:02:56Z"
"spotify:track:3cy5kSb3ZxYKoPg3WRgQoT","we waste time FADED","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","spotify:album:09EUyV2T88hIcIBnlNyrNF","DXXM","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","2018-05-04","https://i.scdn.co/image/ab67616d0000b273d31792abc205d3349c1aa98b","1","5","147428","https://p.scdn.co/mp3-preview/341bbc034ced9a91698f2446583f5c6364d691f8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","40","spotify:user:","2018-12-24T13:02:56Z"
"spotify:track:52UcjsM15hjCQAUbTW2hy1","Only Shallow","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","spotify:album:3GH4IiI6jQAIvnHVdb5FB6","Loveless","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","1991-11-04","https://i.scdn.co/image/ab67616d0000b2730ede770070357575bc050511","1","1","257519","https://p.scdn.co/mp3-preview/c3e2e9a753345c0a10fbc6dedc8d097ad905d085?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:","2018-12-24T13:02:56Z"
"spotify:track:6yaYG1GgD0cYJvvbB02iRz","Warping","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","spotify:album:4dIPUQHheyH9e6ioplvNT2","Bottomless Pit","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","2016-05-06","https://i.scdn.co/image/ab67616d0000b273a154492c2d4d630f1eae8a3a","1","4","174278","https://p.scdn.co/mp3-preview/fe9baa0cddb3d40f0d5734b7f0b98fbb7c26d59c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","spotify:user:","2018-12-24T13:02:56Z"
"spotify:track:1vup3vAmSmFLxSIzGOM38V","S on Ya Chest","spotify:artist:3nf2EaHj8HikLNdaiW3v73","Injury Reserve","spotify:album:67sUOjUevVJGgfCj1N2e4N","Floss","spotify:artist:3nf2EaHj8HikLNdaiW3v73","Injury Reserve","2016-12-15","https://i.scdn.co/image/ab67616d0000b273e2004d5d1b0559b9b748f82c","1","4","264983","https://p.scdn.co/mp3-preview/465a296b15ae63f6343769278df9aa09acef235f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","spotify:user:","2018-12-24T13:02:56Z"
