"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:781V2Y5LPtcpgONEOadadE","Get Got","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","spotify:album:1PQDjdBpHPikAodJqjzm6a","The Money Store","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","2012-04-23","https://i.scdn.co/image/ab67616d0000b273b4f8459b0f719f8a97ee1c8c","1","1","171866","https://p.scdn.co/mp3-preview/2f92c872df55b8bda55839b78c3276d20a63f50c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","spotify:user:sonemic.com","2019-05-24T13:27:55Z"
"spotify:track:3czFKL6ZHuuVxU7blDq3Bl","free press and curl","spotify:artist:6C403AR4y6PjN0xNNGh42m","Shabazz Palaces","spotify:album:7BivjtZDPMhWSyCPCt7rau","Black Up","spotify:artist:6C403AR4y6PjN0xNNGh42m","Shabazz Palaces","2011-06-28","https://i.scdn.co/image/ab67616d0000b27383c35b7cc2c184c2480b8d8a","1","1","255440","","false","0","spotify:user:sonemic.com","2019-05-24T13:49:20Z"
"spotify:track:5hV5cJP8Xri5pUSAA0MJGR","Ox out the Cage","spotify:artist:3FjTqZ6SZYSYQMzY03O4RG","Cannibal Ox","spotify:album:4iyCxURICjYcIERJt85C5W","The Cold Vein (Deluxe Edition)","spotify:artist:3FjTqZ6SZYSYQMzY03O4RG","Cannibal Ox","2013-12-03","https://i.scdn.co/image/ab67616d0000b273f256e3c990d3554c08892108","1","2","208960","https://p.scdn.co/mp3-preview/f4aa3cfa3a0eafab56d2dd60cfccfef9c18e3e0a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","spotify:user:sonemic.com","2019-05-24T14:14:38Z"
"spotify:track:2fo6VAoLHs9XTRmoYQHF3m","Apt. A - 2","spotify:artist:5LNpPvvMgrH9lgJLFa1uev","cLOUDDEAD","spotify:album:7g28714kyNheUAlF3nDH8U","SOUND01: A Big Dada Sampler","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2001-06-01","https://i.scdn.co/image/ab67616d0000b273c7790be928727a784409468f","1","7","352013","https://p.scdn.co/mp3-preview/cdc2a2de3fc311a46516684f3d847890afe6b389?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:sonemic.com","2019-05-24T15:29:52Z"
"spotify:track:324SJWggDq6FCdPvckfOlJ","No Days Off","spotify:artist:3SCI7sXHUZIeDKMWC5NT9C, spotify:artist:39vtb2iiz3079nqfL5nfFc, spotify:artist:6F5n3bvrBgoyicdFT6L8IB","Armand Hammer, billy woods, E L U C I D","spotify:album:1LkgalktPs3mJMbcD9dhY8","Paraffin","spotify:artist:3SCI7sXHUZIeDKMWC5NT9C","Armand Hammer","2018-08-30","https://i.scdn.co/image/ab67616d0000b273989101dc3121ef8c0d94cf95","1","4","179053","https://p.scdn.co/mp3-preview/19d5daac3ebb91606d95c673d65260390d028f02?cid=9950ac751e34487dbbe027c4fd7f8e99","true","34","spotify:user:sonemic.com","2019-05-24T15:26:13Z"
"spotify:track:60PZUWKsJC52uXaPlPcEVf","Meat Grinder","spotify:artist:2aoFQUeHD1U7pL098lRsDU, spotify:artist:5LhTec3c7dcqBvpLRWbMcf, spotify:artist:2pAWfrd7WFF3XhVt9GooDL","Madvillain, Madlib, MF DOOM","spotify:album:01FCoGEQ3NFWF4fHJzdiax","Madvillainy","spotify:artist:2aoFQUeHD1U7pL098lRsDU, spotify:artist:5LhTec3c7dcqBvpLRWbMcf, spotify:artist:2pAWfrd7WFF3XhVt9GooDL","Madvillain, Madlib, MF DOOM","2004-03-24","https://i.scdn.co/image/ab67616d0000b27302abe1eaf9da931f42629b4a","1","3","131866","https://p.scdn.co/mp3-preview/28232a65fbbd1e5009785ac121244541a7e204f4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","spotify:user:sonemic.com","2019-05-24T14:37:18Z"
"spotify:track:51ri5k3DG3HSm85YcOJ0XF","Hey!","spotify:artist:2pAWfrd7WFF3XhVt9GooDL","MF DOOM","spotify:album:4UG3kz6qoHtNI1glQ2wdon","Operation: Doomsday (Complete)","spotify:artist:2pAWfrd7WFF3XhVt9GooDL","MF DOOM","1999-04-20","https://i.scdn.co/image/ab67616d0000b273f56213eede5f2e6a6065fb6d","1","12","226546","https://p.scdn.co/mp3-preview/ce54b5df2dd3aa29b12ca2aeb9e2f2b6a1bc02aa?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","spotify:user:sonemic.com","2019-05-24T14:38:38Z"
"spotify:track:0V6QNE31BWyMuiKlvDRnE9","(How Could Anybody) Feel at Home","spotify:artist:5CuU6SRJjbbZL926nSGGxX","Open Mike Eagle","spotify:album:1VDnqZVFSg0xVF104kaIix","Brick Body Kids Still Daydream","spotify:artist:5CuU6SRJjbbZL926nSGGxX","Open Mike Eagle","2017-09-15","https://i.scdn.co/image/ab67616d0000b2737092bbc13520b5e56962a059","1","2","254049","https://p.scdn.co/mp3-preview/6564299d78c040dd4ac3b9cc84f2e75c3a68cfc5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","spotify:user:sonemic.com","2019-05-24T15:17:37Z"
"spotify:track:73w4KL3kaThzI4rMbxYuaN","A Beast Caged","spotify:artist:1zDrsLJJfYel0jJruLe4Yp","Dälek","spotify:album:3BZ6xojBsjUVq2iQttod8v","Absence","spotify:artist:1zDrsLJJfYel0jJruLe4Yp","Dälek","2005-02-08","https://i.scdn.co/image/ab67616d0000b273d982b5d6aff2ebb50d97c9a1","1","5","401949","","false","0","spotify:user:sonemic.com","2019-05-24T13:46:37Z"
"spotify:track:39GBFwBe4GGk7i3yr3F46P","3030","spotify:artist:2efzHZrUGhawnSOTpyAHOQ, spotify:artist:0YsLR3SQd5QTXAhGIGX7cl, spotify:artist:4fv5w0LJib9OMbXQegqZ01, spotify:artist:2s0438sn0pYL2OuukcFqPN","Deltron 3030, Del The Funky Homosapien, Dan The Automator, Kid Koala","spotify:album:04uhhcjGVCHodMgZjXOlye","Deltron 3030","spotify:artist:2efzHZrUGhawnSOTpyAHOQ","Deltron 3030","2000","https://i.scdn.co/image/ab67616d0000b273210c8f856757abec0806209c","1","2","449480","https://p.scdn.co/mp3-preview/028702357d2aa6eccb6491f973ab4ea07097d94d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:sonemic.com","2019-05-24T13:40:02Z"
